recvSeq,recvNum,compute1num,compute2num,timestamp
214,91,62,0,8747.0
215,92,63,0,8797.0
216,93,64,0,8847.0
217,94,65,0,8897.0
218,95,66,0,8947.0
219,96,67,0,8997.0
220,97,68,0,9047.0
220,97,68,0,9097.0
220,97,68,0,9147.0
223,98,68,0,9197.0
223,98,68,0,9247.0
223,98,68,0,9297.0
226,99,68,0,9347.0
226,99,68,0,9397.0
226,99,68,0,9447.0
229,100,68,0,9497.0
229,100,68,0,9547.0
231,101,69,0,9597.0
232,102,70,0,9647.0
233,103,71,0,9697.0
234,104,72,0,9747.0
235,105,73,0,9797.0
236,106,74,0,9847.0
237,107,75,0,9897.0
238,108,76,0,9947.0
239,109,77,0,9997.0
239,109,77,0,10047.0
241,110,77,0,10097.0
241,110,77,0,10147.0
243,111,77,0,10197.0
243,111,77,0,10247.0
245,112,77,0,10297.0
245,112,77,0,10347.0
247,113,77,0,10397.0
247,113,77,0,10447.0
249,114,77,0,10497.0
250,115,78,0,10547.0
251,116,79,0,10597.0
252,117,80,0,10647.0
253,118,81,0,10697.0
254,119,82,0,10747.0
255,120,83,0,10797.0
256,121,84,0,10847.0
257,122,85,0,10897.0
258,123,86,0,10947.0
259,124,87,0,10997.0
259,124,87,0,11047.0
259,124,87,0,11097.0
262,125,87,0,11147.0
262,125,87,0,11197.0
264,126,87,0,11247.0
265,127,88,0,11297.0
266,128,89,0,11347.0
267,129,90,0,11397.0
268,130,91,0,11447.0
269,131,92,0,11497.0
270,132,93,0,11547.0
270,132,93,0,11597.0
270,132,93,0,11647.0
273,133,93,0,11697.0
274,134,94,0,11747.0
274,134,94,0,11797.0
276,135,94,0,11847.0
277,136,95,0,11897.0
277,136,95,0,11947.0
277,136,95,0,11997.0
280,137,95,0,12047.0
280,137,95,0,12097.0
282,138,95,0,12147.0
283,139,96,0,12197.0
284,140,97,0,12247.0
284,140,97,0,12297.0
286,141,97,0,12347.0
287,142,98,0,12397.0
287,142,98,0,12447.0
287,142,98,0,12497.0
290,143,98,0,12547.0
291,144,99,0,12597.0
292,145,100,0,12647.0
293,146,101,0,12697.0
293,146,101,0,12747.0
295,147,101,0,12797.0
295,147,101,0,12847.0
297,148,101,0,12897.0
298,149,102,0,12947.0
298,149,102,0,12997.0
300,150,102,0,13047.0
301,151,103,0,13097.0
301,151,103,0,13147.0
303,152,103,0,13197.0
304,153,104,0,13247.0
305,154,105,0,13297.0
306,155,106,0,13347.0
307,156,107,0,13397.0
308,157,108,0,13447.0
308,157,108,0,13497.0
310,158,108,0,13547.0
311,159,109,0,13597.0
311,159,109,0,13647.0
311,159,109,0,13697.0
314,160,109,0,13747.0
314,160,109,0,13797.0
316,161,109,0,13847.0
317,162,110,0,13897.0
318,163,111,0,13947.0
318,163,111,0,13997.0
318,163,111,0,14047.0
321,164,111,0,14097.0
322,165,112,0,14147.0
322,165,112,0,14197.0
324,166,112,0,14247.0
325,167,113,0,14297.0
326,168,114,0,14347.0
326,168,114,0,14397.0
328,169,114,0,14447.0
329,170,115,0,14497.0
