recvSeq,recvNum,compute1num,compute2num,timestamp
347,309,286,19,56507.0
348,310,287,19,56557.0
349,311,288,19,56607.0
350,312,289,19,56657.0
351,313,290,19,56707.0
352,314,291,19,56757.0
353,315,292,19,56807.0
354,316,293,19,56857.0
355,317,294,19,56907.0
356,318,295,19,56957.0
357,319,296,19,57007.0
358,320,297,19,57057.0
359,321,298,19,57107.0
360,322,299,19,57157.0
361,323,300,19,57207.0
362,324,301,19,57257.0
363,325,302,19,57307.0
364,326,303,19,57357.0
365,327,304,19,57407.0
366,328,305,19,57457.0
367,329,306,19,57507.0
368,330,307,19,57557.0
369,331,308,19,57607.0
370,332,309,19,57657.0
371,333,310,19,57707.0
372,334,311,19,57757.0
373,335,312,19,57807.0
374,336,313,19,57857.0
375,337,314,19,57907.0
376,338,315,19,57957.0
377,339,316,19,58007.0
378,340,317,19,58057.0
379,341,318,19,58107.0
380,342,319,19,58157.0
381,343,320,19,58207.0
382,344,321,19,58257.0
383,345,322,19,58307.0
384,346,323,19,58357.0
385,347,324,19,58407.0
386,348,325,19,58457.0
387,349,326,19,58507.0
388,350,327,19,58557.0
389,351,328,19,58607.0
390,352,329,19,58657.0
391,353,330,19,58707.0
392,354,331,19,58757.0
393,355,332,19,58807.0
394,356,333,19,58857.0
395,357,334,19,58907.0
396,358,335,19,58957.0
397,359,336,19,59007.0
398,360,337,19,59057.0
399,361,338,19,59107.0
400,362,339,19,59157.0
401,363,340,19,59207.0
402,364,341,19,59257.0
403,365,342,19,59307.0
404,366,343,19,59357.0
405,367,344,19,59407.0
406,368,345,19,59457.0
407,369,346,19,59507.0
408,370,347,19,59557.0
409,371,348,19,59607.0
410,372,349,19,59657.0
411,373,350,19,59707.0
412,374,351,19,59757.0
413,375,352,19,59807.0
414,376,353,19,59857.0
415,377,354,19,59907.0
416,378,355,19,59957.0
417,379,356,19,60007.0
417,379,356,19,60057.0
419,380,357,19,60107.0
420,381,358,19,60157.0
420,381,358,19,60207.0
422,382,359,19,60257.0
423,383,360,19,60307.0
424,384,361,19,60357.0
425,385,362,19,60407.0
426,386,363,19,60457.0
427,387,364,19,60507.0
428,388,365,19,60557.0
429,389,366,19,60607.0
430,390,367,19,60657.0
431,391,368,19,60707.0
431,391,368,19,60757.0
433,392,369,19,60807.0
434,393,370,19,60857.0
435,394,371,19,60907.0
436,395,372,19,60957.0
437,396,373,19,61007.0
438,397,374,19,61057.0
439,398,375,19,61107.0
440,399,376,19,61157.0
441,400,377,19,61207.0
442,401,378,19,61257.0
443,402,379,19,61307.0
444,403,380,19,61357.0
445,404,381,19,61407.0
446,405,382,19,61457.0
447,406,383,19,61507.0
448,407,384,19,61557.0
449,408,385,19,61607.0
450,409,386,19,61657.0
451,410,387,19,61707.0
452,411,388,19,61757.0
453,412,389,19,61807.0
454,413,390,19,61857.0
455,414,391,19,61907.0
456,415,392,19,61957.0
457,416,393,19,62007.0
458,417,394,19,62057.0
459,418,395,19,62107.0
459,418,395,19,62157.0
459,418,395,19,62207.0
462,419,396,19,62257.0
463,420,397,19,62307.0
463,420,397,19,62357.0
465,421,398,19,62407.0
466,422,399,19,62457.0
467,423,400,19,62507.0
468,424,401,19,62557.0
469,425,402,19,62607.0
470,426,403,19,62657.0
471,427,404,19,62707.0
472,428,405,19,62757.0
473,429,406,19,62807.0
473,429,406,19,62857.0
475,430,407,19,62907.0
476,431,408,19,62957.0
477,432,409,19,63007.0
478,433,410,19,63057.0
479,434,411,19,63107.0
480,435,412,19,63157.0
481,436,413,19,63207.0
482,437,414,19,63257.0
483,438,415,19,63307.0
484,439,416,19,63357.0
485,440,417,19,63407.0
486,441,418,19,63457.0
487,442,419,19,63507.0
488,443,420,19,63557.0
489,444,421,19,63607.0
490,445,422,19,63657.0
491,446,423,19,63707.0
492,447,424,19,63757.0
493,448,425,19,63807.0
494,449,426,19,63857.0
495,450,427,19,63907.0
496,451,428,19,63957.0
497,452,429,19,64007.0
498,453,430,19,64057.0
499,454,431,19,64107.0
500,455,432,19,64157.0
501,456,433,19,64207.0
502,457,434,19,64257.0
503,458,435,19,64307.0
504,459,436,19,64357.0
505,460,437,19,64407.0
506,461,438,19,64457.0
507,462,439,19,64507.0
508,463,440,19,64557.0
509,464,441,19,64607.0
510,465,442,19,64657.0
511,466,443,19,64707.0
512,467,444,19,64757.0
513,468,445,19,64807.0
514,469,446,19,64857.0
515,470,447,19,64907.0
516,471,448,19,64957.0
517,472,449,19,65007.0
518,473,450,19,65057.0
518,473,450,19,65107.0
519,474,451,19,65157.0
520,475,452,19,65207.0
520,475,452,19,65257.0
522,476,453,19,65307.0
523,477,454,19,65357.0
524,478,455,19,65407.0
525,479,456,19,65457.0
526,480,457,19,65507.0
527,481,458,19,65557.0
528,482,459,19,65607.0
529,483,460,19,65657.0
530,484,461,19,65707.0
531,485,462,19,65757.0
532,486,463,19,65807.0
533,487,464,19,65857.0
534,488,465,19,65907.0
535,489,466,19,65957.0
536,490,467,19,66007.0
537,491,468,19,66057.0
538,492,469,19,66107.0
539,493,470,19,66157.0
540,494,471,19,66207.0
541,495,472,19,66257.0
542,496,473,19,66307.0
543,497,474,19,66357.0
544,498,475,19,66407.0
544,498,475,19,66457.0
546,499,476,19,66507.0
547,500,477,19,66557.0
548,501,478,19,66607.0
549,502,479,19,66657.0
550,503,480,19,66707.0
551,504,481,19,66757.0
552,505,482,19,66807.0
553,506,483,19,66857.0
554,507,484,19,66907.0
555,508,485,19,66957.0
556,509,486,19,67007.0
557,510,487,19,67057.0
558,511,488,19,67107.0
559,512,489,19,67157.0
560,513,490,19,67207.0
561,514,491,19,67257.0
562,515,492,19,67307.0
563,516,493,19,67357.0
564,517,494,19,67407.0
565,518,495,19,67457.0
566,519,496,19,67507.0
567,520,497,19,67557.0
568,521,498,19,67607.0
569,522,499,19,67657.0
570,523,500,19,67707.0
571,524,501,19,67757.0
572,525,502,19,67807.0
573,526,503,19,67857.0
574,527,504,19,67907.0
575,528,505,19,67957.0
576,529,506,19,68007.0
577,530,507,19,68057.0
578,531,508,19,68107.0
579,532,509,19,68157.0
580,533,510,19,68207.0
581,534,511,19,68257.0
582,535,512,19,68307.0
583,536,513,19,68357.0
584,537,514,19,68407.0
585,538,515,19,68457.0
585,538,515,19,68507.0
585,538,515,19,68557.0
588,539,516,19,68607.0
589,540,517,19,68657.0
590,541,518,19,68707.0
591,542,519,19,68757.0
592,543,520,19,68807.0
593,544,521,19,68857.0
594,545,522,19,68907.0
595,546,523,19,68957.0
596,547,524,19,69007.0
597,548,524,19,69057.0
598,549,525,19,69107.0
599,550,526,19,69157.0
599,550,526,19,69207.0
601,551,527,19,69257.0
602,552,528,19,69307.0
603,553,529,19,69357.0
604,554,530,19,69407.0
605,555,531,19,69457.0
606,556,532,19,69507.0
607,557,533,19,69557.0
608,558,534,19,69607.0
609,559,535,19,69657.0
610,560,536,19,69707.0
611,561,537,19,69757.0
612,562,538,19,69807.0
613,563,539,19,69857.0
614,564,540,19,69907.0
615,565,541,19,69957.0
616,566,542,19,70007.0
617,567,543,19,70057.0
617,567,543,19,70107.0
619,568,544,19,70157.0
620,569,545,19,70207.0
621,570,546,19,70257.0
622,571,547,19,70307.0
623,572,548,19,70357.0
624,573,549,19,70407.0
625,574,550,19,70457.0
625,574,550,19,70507.0
627,575,551,19,70557.0
628,576,552,19,70607.0
629,577,553,19,70657.0
630,578,554,19,70707.0
631,579,555,19,70757.0
632,580,556,19,70807.0
633,581,557,19,70857.0
634,582,558,19,70907.0
635,583,559,19,70957.0
636,584,560,19,71007.0
637,585,561,19,71057.0
638,586,562,19,71107.0
639,587,563,19,71157.0
640,588,564,19,71207.0
641,589,565,19,71257.0
642,590,566,19,71307.0
643,591,567,19,71357.0
644,592,568,19,71407.0
645,593,569,19,71457.0
646,594,570,19,71507.0
647,595,571,19,71557.0
648,596,572,19,71607.0
649,597,573,19,71657.0
650,598,574,19,71707.0
650,598,574,19,71757.0
652,599,575,19,71807.0
653,600,576,19,71857.0
654,601,577,19,71907.0
655,602,578,19,71957.0
656,603,579,19,72007.0
657,604,580,19,72057.0
658,605,581,19,72107.0
