recvSeq1,recvNum1,compute1num1,compute2num1,timestamp
1281,655,365,283,49742.0
1282,656,366,283,49782.0
1283,657,366,284,49822.0
1283,657,366,284,49862.0
1283,657,366,284,49902.0
1285,658,367,284,49942.0
1286,659,367,285,49982.0
1287,660,368,285,50022.0
1287,660,368,285,50062.0
1288,661,368,286,50102.0
1288,661,368,286,50142.0
1290,662,369,286,50182.0
1291,663,369,287,50222.0
1291,663,369,287,50262.0
1291,663,369,287,50302.0
1293,664,369,288,50342.0
1294,665,370,288,50382.0
1295,666,371,288,50422.0
1295,666,371,288,50462.0
1296,667,371,289,50502.0
1296,667,371,289,50542.0
1298,668,371,290,50582.0
1299,669,372,290,50622.0
1299,669,372,290,50662.0
1300,670,373,290,50702.0
1300,670,373,290,50742.0
1300,670,373,290,50782.0
1303,671,374,290,50822.0
1303,671,374,290,50862.0
1304,672,375,290,50902.0
1305,673,375,291,50942.0
1306,674,376,291,50982.0
1306,674,376,291,51022.0
1306,674,376,291,51062.0
1308,675,376,292,51102.0
1309,676,377,292,51142.0
1310,677,377,293,51182.0
1310,677,377,293,51222.0
1311,678,378,293,51262.0
1312,679,378,294,51302.0
1312,679,378,294,51342.0
1314,680,379,294,51382.0
1315,681,380,294,51422.0
1315,681,380,294,51462.0
1316,682,380,295,51502.0
1317,683,380,296,51542.0
1318,684,380,297,51582.0
1319,685,380,298,51622.0
1319,685,380,298,51662.0
1320,686,380,299,51702.0
1320,686,380,299,51742.0
1320,686,380,299,51782.0
1323,687,381,299,51822.0
1323,687,381,299,51862.0
1324,688,381,300,51902.0
1324,688,381,300,51942.0
1326,689,381,300,51982.0
1326,689,381,300,52022.0
1326,689,381,300,52062.0
1328,690,381,301,52102.0
1329,691,382,301,52142.0
1330,692,382,302,52182.0
1330,692,382,302,52222.0
1330,692,382,302,52262.0
1330,692,382,302,52302.0
1333,693,383,302,52342.0
1334,694,383,303,52382.0
1334,694,383,303,52422.0
1334,694,383,303,52462.0
1336,695,384,303,52502.0
1337,696,384,304,52542.0
1337,696,384,304,52582.0
1339,697,384,305,52622.0
1339,697,384,305,52662.0
1340,698,385,305,52702.0
1341,699,385,306,52742.0
1342,700,386,306,52782.0
1343,701,386,307,52822.0
1343,701,386,307,52862.0
1344,702,387,307,52902.0
1345,703,387,308,52942.0
1346,704,388,308,52982.0
1347,705,389,308,53022.0
1347,705,389,308,53062.0
1348,706,390,308,53102.0
1349,707,390,309,53142.0
1350,708,391,309,53182.0
1351,709,391,310,53222.0
1351,709,391,310,53262.0
1351,709,391,310,53302.0
1353,710,392,310,53342.0
1354,711,392,311,53382.0
1355,712,393,311,53422.0
1355,712,393,311,53462.0
1355,712,393,311,53502.0
1355,712,393,311,53542.0
1355,712,393,311,53582.0
1359,713,394,311,53622.0
1359,713,394,311,53662.0
1359,713,394,311,53702.0
1361,714,395,311,53742.0
1361,714,395,311,53782.0
1361,714,395,311,53822.0
1361,714,395,311,53862.0
1364,715,396,311,53902.0
1365,716,396,312,53942.0
1365,716,396,312,53982.0
1367,717,397,312,54022.0
1367,717,397,312,54062.0
1367,717,397,312,54102.0
1369,718,398,312,54142.0
1370,719,399,312,54182.0
1371,720,399,313,54222.0
1371,720,399,313,54262.0
1371,720,399,313,54302.0
1371,720,399,313,54342.0
1374,721,400,313,54382.0
1375,722,400,314,54422.0
1376,723,401,314,54462.0
1376,723,401,314,54502.0
1377,724,402,314,54542.0
1377,724,402,314,54582.0
1379,725,402,315,54622.0
1379,725,402,315,54662.0
1380,726,403,315,54702.0
1381,727,403,316,54742.0
1382,728,404,316,54782.0
1383,729,405,316,54822.0
1383,729,405,316,54862.0
1383,729,405,316,54902.0
1385,730,406,316,54942.0
1386,731,407,316,54982.0
1386,731,407,316,55022.0
1386,731,407,316,55062.0
1386,731,407,316,55102.0
1389,732,408,316,55142.0
1389,732,408,316,55182.0
1391,733,409,316,55222.0
1391,733,409,316,55262.0
1391,733,409,316,55302.0
1393,734,410,316,55342.0
1394,735,410,317,55382.0
1395,736,411,317,55422.0
1395,736,411,317,55462.0
1396,737,411,318,55502.0
1397,738,412,318,55542.0
1398,739,412,319,55582.0
1399,740,413,319,55622.0
1399,740,413,319,55662.0
1399,740,413,319,55702.0
1399,740,413,319,55742.0
1402,741,414,319,55782.0
1403,742,414,320,55822.0
1404,743,415,320,55862.0
1404,743,415,320,55902.0
1404,743,415,320,55942.0
1406,744,415,321,55982.0
1407,745,416,321,56022.0
1408,746,416,322,56062.0
1408,746,416,322,56102.0
1409,747,417,322,56142.0
1410,748,417,323,56182.0
1411,749,417,324,56222.0
1411,749,417,324,56262.0
1411,749,417,324,56302.0
1413,750,417,325,56342.0
1414,751,418,325,56382.0
1414,751,418,325,56422.0
1416,752,418,326,56462.0
1416,752,418,326,56502.0
1416,752,418,326,56542.0
1418,753,419,326,56582.0
1418,753,419,326,56622.0
1420,754,420,326,56662.0
1420,754,420,326,56702.0
1420,754,420,326,56742.0
1422,755,421,326,56782.0
1423,756,421,327,56822.0
1424,757,422,327,56862.0
1424,757,422,327,56902.0
1425,758,422,328,56942.0
1426,759,423,328,56982.0
1427,760,423,329,57022.0
1428,761,424,329,57062.0
1428,761,424,329,57102.0
1428,761,424,329,57142.0
1430,762,425,329,57182.0
1431,763,426,329,57222.0
1432,764,426,330,57262.0
1432,764,426,330,57302.0
1433,765,427,330,57342.0
1433,765,427,330,57382.0
1433,765,427,330,57422.0
1436,766,428,330,57462.0
1436,766,428,330,57502.0
1437,767,429,330,57542.0
1438,768,429,331,57582.0
1438,768,429,331,57622.0
1438,768,429,331,57662.0
1440,769,430,331,57702.0
1441,770,430,332,57742.0
1441,770,430,332,57782.0
1443,771,430,333,57822.0
1443,771,430,333,57862.0
1444,772,431,333,57902.0
1444,772,431,333,57942.0
1444,772,431,333,57982.0
1447,773,432,333,58022.0
1447,773,432,333,58062.0
1448,774,432,333,58102.0
1449,775,433,333,58142.0
1450,776,433,334,58182.0
1450,776,433,334,58222.0
1450,776,433,334,58262.0
1452,777,433,335,58302.0
1453,778,434,335,58342.0
1454,779,434,336,58382.0
1455,780,434,337,58422.0
1455,780,434,337,58462.0
1455,780,434,337,58502.0
1457,781,435,337,58542.0
1457,781,435,337,58582.0
1457,781,435,337,58622.0
1457,781,435,337,58662.0
1457,781,435,337,58702.0
1457,781,435,337,58742.0
1457,781,435,337,58783.0
1463,782,435,337,58822.0
1463,782,435,337,58862.0
1464,783,436,337,58902.0
1465,784,436,338,58942.0
1466,785,437,338,58982.0
1466,785,437,338,59022.0
1466,785,437,338,59062.0
1468,786,438,338,59102.0
1469,787,438,339,59142.0
