,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,26088,log0,0,0,0,0,-1,255,291,170,65,101,195,2,-0.8055621,0.34770563,0.05324928,1.0630409,0.25504124,0.0034396609
1,26128,log0,0,0,0,0,-1,255,293,171,65,102,195,2,-0.8054333,0.34790272,0.053158674,1.0630598,0.2545935,0.004222359
2,26168,log0,0,0,0,0,-1,255,294,172,65,103,196,2,-0.8054569,0.34791005,0.053151973,1.0631411,0.25503406,0.0037013069
3,26208,log0,0,0,0,0,-1,255,294,172,65,103,196,2,-0.7993841,0.35064706,0.050916087,1.0632709,0.25507453,0.0037769654
4,17307,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,-0.7994248,0.350836,0.050819863,1.0634038,0.25486484,0.0038831271
5,26248,log0,0,0,0,0,-1,255,296,173,66,103,192,1,-0.796441,0.35398412,0.04670838,1.0637088,0.25515342,0.0042111017
6,17347,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,-0.7962298,0.35419035,0.046246022,1.063569,0.25597626,0.003976379
7,17387,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0612653,0.25778562,0.0036605557,-0.7979232,0.36478698,0.045495495
8,26288,log0,0,0,0,0,-1,255,296,173,66,103,192,1,0.0,0.8755368,6.9e-44,0.0,0.0,4e-45
9,26328,log0,0,0,0,0,-1,255,296,173,66,103,192,1,1.0681888,0.24574693,0.010299487,-0.8036356,0.3658925,0.05284918
10,17427,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0685049,0.24525006,0.010324811,-0.80360067,0.3659172,0.052784927
11,26368,log0,0,0,0,0,-1,255,296,173,66,103,192,1,1.0684385,0.2458217,0.010261329,-0.7972459,0.35973322,0.05098319
12,26408,log0,0,0,0,0,-1,255,299,174,66,104,192,2,1.0594721,0.26699087,0.013191739,-0.7978221,0.3655637,0.04592005
13,17507,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0595242,0.26761937,0.013651057,-0.7980635,0.36397898,0.04613642
14,26448,log0,0,0,0,0,-1,255,300,175,66,105,195,2,1.0598664,0.26750067,0.013724384,-0.7982038,0.36398712,0.046115622
15,17547,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0599337,0.24648929,0.005063814,-0.7982403,0.36404708,0.046111066
16,26488,log0,0,0,0,0,-1,255,300,175,66,105,195,2,1.0678352,0.24136876,0.0081081465,-0.7986369,0.36512053,0.045349512
17,17587,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0666112,0.24144416,0.015670009,-0.7986584,0.36548582,0.045250833
18,26528,log0,0,0,0,0,-1,255,300,175,66,105,195,2,1.0633414,0.26044494,0.00852731,-0.7988289,0.36564642,0.04517499
19,17627,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0640918,0.25929704,0.009367655,-0.78992593,0.34305295,0.05916693
20,26568,log0,0,0,0,0,-1,255,302,176,66,106,195,2,1.0629795,0.259416,0.008790891,-0.789995,0.34305802,0.05915515
21,17667,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,,,,1.063729,0.24460267,0.009366868
22,26608,log0,0,0,0,0,-1,255,303,177,66,107,197,2,1.0667936,0.24177213,0.009351755,-0.7986961,0.36522272,0.04586812
23,17707,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,1.0643148,0.23871733,0.013508182,-0.7987279,0.3652477,0.045933593
24,26648,log0,0,0,0,0,-1,255,303,177,66,107,197,2,,,,1.0590347,0.24866758,0.0084482385
25,17747,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,,,,1.0584131,0.24846086,0.009363699
26,26688,log0,0,0,0,0,-1,255,305,178,66,108,197,2,,,,-0.80576,0.3648796,0.0556054
27,17787,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,,,,-0.8059662,0.36468643,0.0562476
28,26728,log0,0,0,0,0,-1,255,305,178,66,108,197,2,,,,1.0575277,0.24941617,0.02313096
29,17827,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,-0.8034558,0.37127972,0.061585512,1.0546992,0.24910094,0.029243914
30,26768,log0,0,0,0,0,-1,255,306,179,66,109,195,2,-0.8036441,0.37113023,0.062706195,-0.7920843,0.341437,0.06661952
31,17867,"log[1, 1, 0, 0, 0, 1]",471,125,57,57,190,1,0,0,0,0,-1,255,-0.80385476,0.3711072,0.06410759,-0.7926132,0.34173566,0.068175256
32,26808,log0,0,0,0,0,-1,255,307,180,66,110,194,2,-0.80621827,0.37066582,0.06965187,-0.7938603,0.34077328,0.07487314
33,17907,"log[1, 1, 0, 0, 0, 1]",485,126,57,57,190,1,0,0,0,0,-1,255,,,,-0.79970384,0.35866386,0.07202631
34,26848,log0,0,0,0,0,-1,255,308,181,67,110,191,1,-0.80592376,0.3622982,0.0655585,-0.79567367,0.33954713,0.086210094
35,17947,"log[1, 1, 0, 0, 0, 1]",485,126,57,57,190,1,0,0,0,0,-1,255,1.0380857,0.23885117,0.09309405,-0.7957947,0.33979088,0.08917688
36,26888,log0,0,0,0,0,-1,255,308,181,67,110,191,1,1.0350943,0.24226624,0.10440236,-0.79493153,0.3401285,0.09369358
37,17987,"log[1, 1, 0, 0, 0, 1]",487,127,58,57,189,1,0,0,0,0,-1,255,1.0326387,0.24487634,0.11488352,-0.79525995,0.34016746,0.09984678
38,26928,log0,0,0,0,0,-1,255,308,181,67,110,191,1,1.03014,0.24830386,0.12616014,-0.7948916,0.3405212,0.108022206
