,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
0,30134,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
1,32188,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
2,30184,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
3,32238,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
4,30234,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
5,32288,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
6,30284,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
7,32338,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
8,30334,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
9,32388,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
10,30384,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
11,32438,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
12,30434,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
13,32488,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
14,30484,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
15,32538,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
16,30534,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
17,32588,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
18,30584,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
19,32638,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
20,30634,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
21,32688,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
22,30684,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
23,32738,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
24,30734,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
25,30784,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
26,32838,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
27,30834,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
28,32888,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
29,30884,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
30,32938,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
31,30934,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
32,32988,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
33,30984,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
34,33038,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
35,31034,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
36,33088,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
37,31084,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
38,33138,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
39,31134,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
40,33188,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
41,31184,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
42,33238,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
43,31234,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
44,33288,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
45,31284,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
46,33338,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
47,31334,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
48,33388,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
49,31384,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
50,33438,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
51,31434,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
52,33488,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
53,31484,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
54,33538,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
55,31534,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
56,33588,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
57,31584,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
58,33638,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
59,31634,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
60,33688,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
61,31684,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
62,33738,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
63,31734,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
64,33788,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
65,31784,1,37.0,1.0,0.0,0.0,-1.0,0.0,,,,,,
66,33838,0,,,,,,,125.0,1.0,0.0,0.0,-1.0,2.6288702487945557
