,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1
0,30431,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
1,23333,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
2,30481,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
3,23383,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
4,30531,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
5,23433,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
6,30581,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
7,23483,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
8,30631,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
9,23533,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
10,30681,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
11,23583,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
12,30731,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
13,23633,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
14,30781,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
15,23683,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
16,30831,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
17,23733,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
18,30881,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
19,23783,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
20,30931,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
21,23833,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
22,30981,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
23,23883,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
24,31031,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
25,23933,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
26,31081,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
27,23983,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
28,31131,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
29,24033,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
30,31181,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
31,24083,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
32,31231,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
33,24133,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
34,31281,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
35,24183,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
36,31331,0,139.0,19.0,10.0,2.0,635.0,2.290792226791382,,,,,,
37,24233,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
38,31381,0,146.0,20.0,10.0,2.0,635.0,2.2712299823760986,,,,,,
39,24283,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
40,31431,0,146.0,20.0,10.0,2.0,635.0,2.2712299823760986,,,,,,
41,24333,1,,,,,,,187.0,29.0,13.0,6.0,632.0,2.271411895751953
