,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1
0,33577,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
1,26546,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
2,33627,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
3,26596,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
4,33677,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
5,26646,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
6,33727,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
7,26696,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
8,33777,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
9,26746,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
10,33827,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
11,26796,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
12,33877,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
13,26846,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
14,33927,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
15,26896,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
16,33977,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
17,26946,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
18,34027,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
19,26996,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
20,34077,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
21,27046,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
22,34127,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
23,27096,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
24,34177,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
25,27146,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
26,34227,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
27,27196,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
28,34277,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
29,27246,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
30,34327,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
31,27296,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
32,34377,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
33,27346,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
34,34427,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
35,27396,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
36,34477,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
37,27446,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
38,34527,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
39,27496,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
40,34577,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
41,27546,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
42,34627,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
43,27596,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
44,34677,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
45,27646,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
46,34727,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
47,27696,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
48,34777,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
49,27746,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
50,34827,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
51,27796,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
52,34877,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
53,27846,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
54,34927,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
55,27896,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
56,34977,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
57,27946,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
58,35027,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
59,27996,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
60,35077,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
61,28046,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
62,35127,0,140.0,9.0,6.0,0.0,-1.0,2.82698130607605,,,,,,
63,28096,1,,,,,,,0.0,0.0,0.0,0.0,-1.0,-1.0
