,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1
0,47140,0,576.0,442.0,432.0,6.0,285.0,2.835979461669922,,,,,,
1,60156,1,,,,,,,446.0,518.0,510.0,1.0,286.0,2.835979461669922
2,47190,0,577.0,443.0,433.0,6.0,282.0,2.826795816421509,,,,,,
3,60206,1,,,,,,,447.0,519.0,511.0,1.0,281.0,2.826795816421509
4,47240,0,577.0,443.0,433.0,6.0,282.0,2.826795816421509,,,,,,
5,60256,1,,,,,,,447.0,519.0,511.0,1.0,281.0,2.826795816421509
6,47290,0,578.0,444.0,434.0,6.0,281.0,2.82536244392395,,,,,,
7,60306,1,,,,,,,448.0,520.0,512.0,1.0,281.0,2.8253908157348633
8,47340,0,578.0,444.0,434.0,6.0,281.0,2.82536244392395,,,,,,
9,60356,1,,,,,,,448.0,520.0,512.0,1.0,281.0,2.8253908157348633
10,47390,0,579.0,445.0,435.0,6.0,283.0,2.8359081745147705,,,,,,
11,60406,1,,,,,,,449.0,521.0,513.0,1.0,284.0,2.8359081745147705
12,60456,1,,,,,,,449.0,521.0,513.0,1.0,284.0,2.8359081745147705
13,47440,0,580.0,446.0,436.0,6.0,281.0,2.8387975692749023,,,,,,
14,60506,1,,,,,,,450.0,522.0,514.0,1.0,281.0,2.8387975692749023
15,47490,0,580.0,446.0,436.0,6.0,281.0,2.8387975692749023,,,,,,
16,60556,1,,,,,,,450.0,522.0,514.0,1.0,281.0,2.8387975692749023
17,47540,0,581.0,447.0,437.0,6.0,281.0,2.83894419670105,,,,,,
18,47590,0,581.0,447.0,437.0,6.0,281.0,2.83894419670105,,,,,,
19,60606,1,,,,,,,451.0,523.0,515.0,1.0,280.0,2.83894419670105
20,47640,0,582.0,448.0,438.0,6.0,279.0,2.838785171508789,,,,,,
21,60656,1,,,,,,,451.0,523.0,515.0,1.0,280.0,2.83894419670105
22,47690,0,582.0,448.0,438.0,6.0,279.0,2.838785171508789,,,,,,
23,60706,1,,,,,,,452.0,524.0,516.0,1.0,279.0,2.838785171508789
24,60756,1,,,,,,,452.0,524.0,516.0,1.0,279.0,2.838785171508789
25,47740,0,583.0,449.0,439.0,6.0,284.0,2.8387694358825684,,,,,,
26,60806,1,,,,,,,453.0,525.0,517.0,1.0,285.0,2.8387694358825684
27,47790,0,583.0,449.0,439.0,6.0,284.0,2.8387694358825684,,,,,,
28,60856,1,,,,,,,453.0,525.0,517.0,1.0,285.0,2.8387694358825684
29,47840,0,584.0,450.0,440.0,6.0,285.0,2.8387694358825684,,,,,,
30,60906,1,,,,,,,454.0,526.0,518.0,1.0,285.0,2.8387694358825684
31,47890,0,584.0,450.0,440.0,6.0,285.0,2.8387694358825684,,,,,,
32,60956,1,,,,,,,454.0,526.0,518.0,1.0,285.0,2.8387694358825684
