,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,24476,0,292.0,291.0,288.0,0.0,252.0,1.5051137,1.0658875,0.012800069,-0.08391258,-0.8679965,0.6905073,2.5931059919756976,,,,,
1,17159,1,,,,,,1.5051093,1.0658969,0.012817055,-0.083838575,-0.86811286,0.69053656,2.593155020193503,438.0,290.0,288.0,0.0,253.0
2,24576,0,294.0,293.0,290.0,0.0,253.0,1.5051175,1.06589,0.012801098,-0.08381493,-0.86825126,0.69062173,2.593270011909681,,,,,
3,17259,1,,,,,,1.505115,1.0658885,0.012799517,-0.083839975,-0.86812747,0.6905215,2.593164680372764,440.0,292.0,290.0,0.0,253.0
4,24676,0,296.0,295.0,292.0,0.0,252.0,1.505108,1.0658894,0.012800161,-0.08383608,-0.86810493,0.690506,2.5931375574712914,,,,,
5,17359,1,,,,,,1.5051175,1.0658845,0.012795641,-0.08384022,-0.868105,0.6905189,2.5931469656558033,442.0,294.0,292.0,0.0,252.0
6,24776,0,298.0,297.0,294.0,0.0,256.0,1.505119,1.0658872,0.012793897,-0.08384986,-0.8681048,0.6905153,2.5931551274923046,,,,,
7,17459,1,,,,,,1.5051093,1.0658901,0.012800132,-0.08390808,-0.86799896,0.69050634,2.593104071279299,444.0,296.0,293.0,0.0,252.0
8,24876,0,300.0,299.0,296.0,0.0,254.0,1.5051191,1.0658879,0.0127948625,-0.08383472,-0.86811656,0.6905229,2.5931570037084346,,,,,
9,17559,1,,,,,,1.5051246,1.0658872,0.012808787,-0.08390413,-0.8680086,0.69049764,2.593111545527582,446.0,298.0,295.0,0.0,254.0
10,24976,0,302.0,301.0,298.0,0.0,255.0,1.5051122,1.0658919,0.012812012,-0.08384807,-0.8681117,0.6905153,2.593153756647119,,,,,
11,17659,1,,,,,,1.5051205,1.0658962,0.012803306,-0.08378103,-0.8681212,0.6903962,2.593099211756077,448.0,300.0,297.0,0.0,254.0
12,25076,0,304.0,303.0,300.0,0.0,252.0,1.5051228,1.0658801,0.012787578,-0.083853565,-0.86812544,0.6905303,2.593175352759109,,,,,
13,17759,1,,,,,,1.505122,1.0658851,0.012791338,-0.08384344,-0.8681419,0.6905223,2.593181567053203,450.0,302.0,299.0,0.0,252.0
14,25176,0,306.0,305.0,302.0,0.0,254.0,1.5051234,1.06589,0.012799268,-0.083892755,-0.8680066,0.6905075,2.5931093983353155,,,,,
15,17859,1,,,,,,1.5051297,1.0658858,0.012802547,-0.083909705,-0.86800903,0.6905087,2.5931219418240103,452.0,304.0,301.0,0.0,254.0
16,25276,0,308.0,307.0,304.0,0.0,254.0,1.5051165,1.0658951,0.012805016,-0.08382819,-0.86811817,0.6905109,2.5931520746405954,,,,,
17,17959,1,,,,,,1.5051218,1.0658842,0.012801235,-0.083842486,-0.86812794,0.69051045,2.5931641992830556,454.0,306.0,303.0,0.0,254.0
18,25376,0,310.0,309.0,306.0,0.0,254.0,1.5051192,1.0658809,0.012796478,-0.08383693,-0.868123,0.6905142,2.593155163182217,,,,,
19,18059,1,,,,,,1.5051203,1.0658846,0.012798047,-0.0838422,-0.8681302,0.6905166,2.5931674166047536,456.0,308.0,305.0,0.0,254.0
20,25476,0,312.0,311.0,308.0,0.0,254.0,1.5051253,1.0658855,0.012794891,-0.083905146,-0.8680026,0.69050527,2.593112501831736,,,,,
21,18159,1,,,,,,1.5051224,1.0658875,0.012797795,-0.0838485,-0.8681201,0.6905207,2.5931683322281818,458.0,310.0,307.0,0.0,254.0
22,25576,0,314.0,313.0,310.0,0.0,254.0,1.505122,1.065883,0.01279443,-0.083842695,-0.86811364,0.69051695,2.593156334238071,,,,,
23,18259,1,,,,,,1.5051241,1.0658846,0.012803876,-0.08382668,-0.86811966,0.6905148,2.59315045592909,460.0,312.0,309.0,0.0,255.0
24,25676,0,316.0,315.0,312.0,0.0,254.0,1.5051134,1.0658915,0.012806949,-0.08391028,-0.8680012,0.6905098,2.5931097535516954,,,,,
25,18359,1,,,,,,1.5051235,1.0658878,0.012797213,-0.08391487,-0.8679976,0.6905038,2.593114265544123,462.0,314.0,311.0,0.0,255.0
26,25776,0,318.0,317.0,314.0,0.0,252.0,1.5051309,1.0658966,0.012813557,-0.08390977,-0.86800605,0.69050294,2.593124147175578,,,,,
27,18459,1,,,,,,1.5051278,1.0658771,0.012795227,-0.08390954,-0.8680193,0.6905015,2.5931217249203073,464.0,316.0,313.0,0.0,252.0
28,25876,0,320.0,319.0,316.0,0.0,253.0,1.5051216,1.0658933,0.012808738,-0.08391241,-0.86799705,0.69051605,2.5931154991445293,,,,,
29,18559,1,,,,,,1.5051273,1.065886,0.012797843,-0.08390196,-0.8680241,0.69051135,2.5931290283309845,466.0,318.0,315.0,0.0,253.0
30,25976,0,322.0,321.0,318.0,0.0,255.0,1.5051264,1.0658813,0.012796839,-0.084045604,-0.8681734,0.69045,2.5933084584528094,,,,,
31,18659,1,,,,,,1.5051242,1.0658869,0.012816981,-0.08384877,-0.8681259,0.6905182,2.593167815766376,468.0,320.0,317.0,0.0,256.0
32,26076,0,324.0,323.0,320.0,0.0,255.0,1.505133,1.0658772,0.012793691,-0.08383902,-0.8681263,0.6905211,2.593167208167043,,,,,
33,18759,1,,,,,,1.5051318,1.0658832,0.012803993,-0.08390673,-0.868014,0.6905023,2.593121063422008,470.0,322.0,319.0,0.0,255.0
34,26176,0,326.0,325.0,322.0,0.0,255.0,1.5051216,1.0658937,0.012807996,-0.08390603,-0.8679939,0.6905164,2.593109774193729,,,,,
35,18859,1,,,,,,1.50512,1.0658981,0.012813367,-0.08383937,-0.8681237,0.69052666,2.5931693763065073,472.0,324.0,321.0,0.0,254.0
36,26276,0,328.0,327.0,324.0,0.0,254.0,1.5051287,1.0658873,0.012804184,-0.083838314,-0.868126,0.69052595,2.593170039677478,,,,,
