,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3
0,13083,1,377.0,209.0,207.0,0.0,263.0,1.4557196,1.2409849,0.013060097,-0.15846398,-0.8519874,0.69148713,2.7288064654103477,,,,,
1,21427,0,,,,,,1.4557194,1.2409885,0.01306004,-0.15846802,-0.8519741,0.69148725,2.728801451802647,210.0,305.0,273.0,27.0,263.0
2,13183,1,379.0,211.0,209.0,0.0,263.0,1.4557133,1.2409841,0.013055648,-0.15853117,-0.85181534,0.6916241,2.7287450960415502,,,,,
3,21527,0,,,,,,1.4557126,1.2409893,0.013054809,-0.15847299,-0.85195744,0.69148,2.7287876382990195,212.0,307.0,275.0,27.0,263.0
4,13283,1,381.0,213.0,211.0,0.0,265.0,1.4557229,1.2409859,0.013051992,-0.1584666,-0.85197616,0.6914848,2.728803565477711,,,,,
5,21627,0,,,,,,1.4557263,1.240987,0.013052606,-0.15845904,-0.8519762,0.6914866,2.7288023080936896,214.0,309.0,277.0,27.0,264.0
6,13383,1,383.0,215.0,213.0,0.0,266.0,1.4557223,1.2409722,0.01304634,-0.15846342,-0.8519764,0.69148767,2.728793075313166,,,,,
7,21727,0,,,,,,1.455725,1.240971,0.013040066,-0.1585142,-0.85181844,0.6916118,2.728735128483967,216.0,311.0,279.0,27.0,266.0
8,13483,1,385.0,217.0,215.0,0.0,266.0,1.4557201,1.2409941,0.013056532,-0.1584536,-0.85198843,0.6914871,2.7288093500886776,,,,,
9,21827,0,,,,,,1.455718,1.2409866,0.013053968,-0.15844882,-0.85197955,0.6914841,2.7287926092160912,218.0,313.0,281.0,27.0,266.0
10,13583,1,387.0,219.0,217.0,0.0,263.0,1.455728,1.2409885,0.013051375,-0.15845974,-0.85196066,0.6914896,2.728794037281936,,,,,
11,21927,0,,,,,,1.4557171,1.240996,0.013056881,-0.15845911,-0.8519566,0.6914766,2.728785275759364,220.0,315.0,283.0,27.0,263.0
12,13683,1,389.0,221.0,219.0,0.0,266.0,1.4557172,1.2409873,0.013057668,-0.15860893,-0.85151386,0.69183916,2.728617649384006,,,,,
13,22027,0,,,,,,1.4557171,1.2409942,0.013060548,-0.15863544,-0.8515285,0.6918428,2.728649869213244,222.0,317.0,285.0,27.0,266.0
14,13783,1,391.0,223.0,221.0,0.0,265.0,1.4557217,1.2409819,0.013052091,-0.1584534,-0.85197955,0.6914907,2.7287961046841662,,,,,
15,22127,0,,,,,,1.4557167,1.2409843,0.013061033,-0.15836164,-0.8521261,0.69141996,2.7288334001411516,224.0,319.0,287.0,27.0,265.0
16,13883,1,393.0,225.0,223.0,0.0,266.0,1.4557197,1.2409965,0.013049484,-0.15844777,-0.85197955,0.6914797,2.7288006569723833,,,,,
17,22227,0,,,,,,1.4557239,1.2409791,0.013049943,-0.15845022,-0.8519818,0.6914761,2.728791894808669,226.0,321.0,289.0,27.0,267.0
18,13983,1,395.0,227.0,225.0,0.0,265.0,1.4557191,1.2409875,0.013052843,-0.15845788,-0.85197383,0.6914855,2.7287955830041963,,,,,
19,22327,0,,,,,,1.4557184,1.2409936,0.013054411,-0.15845384,-0.851983,0.69147813,2.728802228099573,228.0,323.0,291.0,27.0,265.0
20,14083,1,397.0,229.0,227.0,0.0,262.0,1.4557213,1.2409846,0.013055416,-0.15865122,-0.851537,0.6918562,2.72866559793571,,,,,
21,22427,0,,,,,,1.4557225,1.2409904,0.01305835,-0.158651,-0.8515229,0.69184214,2.728655537100372,230.0,325.0,293.0,27.0,261.0
22,14183,1,399.0,231.0,229.0,0.0,263.0,1.4557186,1.2409798,0.013054692,-0.15852375,-0.85180926,0.69161326,2.728733574002165,,,,,
23,22527,0,,,,,,1.4557195,1.2409805,0.013051207,-0.15845363,-0.8519778,0.69148326,2.7287908985764107,232.0,327.0,295.0,27.0,263.0
24,14283,1,401.0,233.0,231.0,0.0,266.0,1.4557203,1.2409902,0.013048558,-0.15845741,-0.851981,0.6914728,2.7288014141224233,,,,,
25,22627,0,,,,,,1.45572,1.2409873,0.013047945,-0.15846226,-0.85196507,0.6914813,2.728791899886928,234.0,329.0,297.0,27.0,267.0
26,14383,1,403.0,235.0,233.0,0.0,265.0,1.4557219,1.2409942,0.013054615,-0.15845501,-0.85197186,0.69146955,2.728794753815859,,,,,
27,22727,0,,,,,,1.4557211,1.2409905,0.013053913,-0.15845975,-0.85197383,0.6915009,2.7288038438542155,236.0,331.0,299.0,27.0,264.0
28,14483,1,405.0,237.0,235.0,0.0,263.0,1.4557204,1.240982,0.013050099,-0.15846954,-0.8519738,0.69149125,2.728801167728936,,,,,
29,22827,0,,,,,,1.4557173,1.2409881,0.013062473,-0.15851961,-0.8518146,0.69161576,2.7287394336007846,238.0,333.0,301.0,27.0,264.0
30,14583,1,407.0,239.0,237.0,0.0,267.0,1.4557142,1.2409866,0.013062376,-0.15852499,-0.8518009,0.69161934,2.728729989767447,,,,,
31,22927,0,,,,,,1.4557129,1.2409832,0.013057911,-0.15845674,-0.85198003,0.69149053,2.728792659095443,240.0,335.0,303.0,27.0,267.0
32,14683,1,409.0,241.0,239.0,0.0,266.0,1.4557172,1.2409917,0.0130574955,-0.15860823,-0.85151404,0.69183004,2.72861847601006,,,,,
33,23027,0,,,,,,1.4557153,1.2409828,0.013053648,-0.15845822,-0.8519624,0.6914801,2.7287795472428247,242.0,337.0,305.0,27.0,266.0
34,14783,1,411.0,243.0,241.0,0.0,266.0,1.4557171,1.2409871,0.01305468,-0.15852636,-0.8518048,0.69162214,2.7287384285711,,,,,
35,23127,0,,,,,,1.4557217,1.2409817,0.013049211,-0.15845607,-0.85195816,0.6915018,2.728784568426848,244.0,339.0,307.0,27.0,266.0
36,14883,1,413.0,245.0,243.0,0.0,263.0,1.4557198,1.2409825,0.013059155,-0.15846144,-0.85198545,0.6914887,2.7288024564149382,,,,,
37,23227,0,,,,,,1.4557124,1.240988,0.013063084,-0.1584558,-0.8519757,0.6914893,2.7287906487128066,246.0,341.0,309.0,27.0,263.0
38,14983,1,415.0,247.0,245.0,0.0,265.0,1.4557184,1.2409843,0.013056718,-0.1585318,-0.85179394,0.6916198,2.728730873082055,,,,,
39,23327,0,,,,,,1.4557159,1.2409818,0.013041013,-0.158465,-0.8519663,0.69147813,2.728788949106125,248.0,343.0,311.0,27.0,266.0
40,15083,1,417.0,249.0,247.0,0.0,265.0,1.4557202,1.2409862,0.013047188,-0.15847147,-0.8519711,0.6914813,2.728801503510716,,,,,
41,23427,0,,,,,,1.4557226,1.2410029,0.0130476365,-0.15845703,-0.8519555,0.69146866,2.7287920355085933,250.0,345.0,313.0,27.0,265.0
42,15183,1,419.0,251.0,249.0,0.0,265.0,1.4558656,1.240632,0.013672508,-0.15846644,-0.85197484,0.6914837,2.728461133904529,,,,,
43,23527,0,,,,,,1.4558437,1.2404972,0.014119537,-0.15845414,-0.85197514,0.6914818,2.728226095246516,252.0,347.0,315.0,27.0,264.0
44,15283,1,421.0,253.0,251.0,0.0,264.0,1.4539902,1.2395461,0.026408028,-0.15852502,-0.85180396,0.69162184,2.7233178088442496,,,,,
45,23627,0,,,,,,1.4534531,1.2393436,0.028580574,-0.15852533,-0.8518025,0.69161916,2.7223128325173747,254.0,349.0,317.0,27.0,264.0
46,15383,1,423.0,255.0,253.0,0.0,263.0,1.4468061,1.2381666,0.054196224,-0.1584581,-0.8519659,0.6914728,2.7113923220806795,,,,,
47,23727,0,,,,,,1.4459146,1.2381017,0.0574587,-0.15851797,-0.8518057,0.6916148,2.7099946227124296,256.0,351.0,319.0,27.0,263.0
48,15483,1,425.0,257.0,255.0,0.0,261.0,1.4366033,1.2384598,0.086875245,-0.15847224,-0.8519506,0.69149005,2.698081017972547,,,,,
49,23827,0,,,,,,1.4354595,1.238671,0.08987318,-0.15845074,-0.85196495,0.6914736,2.6968928014296174,258.0,353.0,321.0,27.0,261.0
50,15583,1,427.0,259.0,257.0,0.0,262.0,1.4257358,1.2411431,0.1102823,-0.1584572,-0.85196596,0.6914952,2.6886021790236962,,,,,
51,23927,0,,,,,,1.4231399,1.2420727,0.11425363,-0.15846182,-0.85197157,0.69147265,2.686943801545073,260.0,355.0,323.0,27.0,263.0
52,15683,1,429.0,261.0,259.0,0.0,260.0,1.4120425,1.2469513,0.12491899,-0.15845904,-0.8519692,0.6914857,2.681965812122723,,,,,
53,24027,0,,,,,,1.4106075,1.2476714,0.1257068,-0.15845682,-0.85197407,0.69147986,2.6815242909453043,262.0,357.0,325.0,27.0,260.0
54,15783,1,431.0,263.0,261.0,0.0,259.0,1.3954526,1.2558887,0.12940721,-0.15846154,-0.85196096,0.6914778,2.678358179343335,,,,,
55,24127,0,,,,,,1.3938988,1.2567608,0.12953147,-0.15846169,-0.85196924,0.6914853,2.6781258044838965,264.0,359.0,327.0,27.0,259.0
56,15883,1,433.0,265.0,263.0,0.0,258.0,1.3799214,1.2646625,0.13114376,-0.15852818,-0.8517868,0.69159716,2.675872421747888,,,,,
57,24227,0,,,,,,1.3784189,1.2654693,0.13137323,-0.15845153,-0.85197484,0.69147694,2.675678661142391,266.0,361.0,329.0,27.0,257.0
58,15983,1,435.0,267.0,265.0,0.0,256.0,1.3652395,1.2722983,0.13526243,-0.15846263,-0.85198313,0.6914845,2.6727556421627803,,,,,
59,24327,0,,,,,,1.3638968,1.2729425,0.13597475,-0.15846924,-0.85198563,0.6914901,2.6723614448329243,268.0,363.0,331.0,27.0,257.0
60,16083,1,437.0,269.0,267.0,0.0,258.0,1.3525615,1.2776127,0.14441037,-0.15846305,-0.85196203,0.691477,2.667876606238758,,,,,
61,24427,0,,,,,,1.3514241,1.2779726,0.14544034,-0.15846011,-0.85196143,0.69147545,2.6673064894118714,270.0,365.0,333.0,27.0,258.0
62,16183,1,439.0,271.0,269.0,0.0,254.0,1.3422343,1.2802135,0.15591435,-0.15845965,-0.85195833,0.6914723,2.6617778655000803,,,,,
63,24527,0,,,,,,1.3413448,1.2803446,0.15721457,-0.15845811,-0.8519722,0.6914854,2.66113307564324,272.0,367.0,335.0,27.0,255.0
64,16283,1,441.0,273.0,271.0,0.0,255.0,1.3342788,1.2801305,0.16979954,-0.15846299,-0.8519716,0.6914795,2.654484349686811,,,,,
65,24627,0,,,,,,1.333593,1.2800019,0.17122757,-0.15845962,-0.85195893,0.69147986,2.6537032184561125,274.0,369.0,337.0,27.0,256.0
66,16383,1,443.0,275.0,273.0,0.0,256.0,1.3287094,1.2782166,0.18233384,-0.15845877,-0.8519662,0.691482,2.6473721438194415,,,,,
67,24727,0,,,,,,1.3276725,1.2776253,0.18513715,-0.1584603,-0.85197437,0.69149697,2.6457862953048057,276.0,371.0,339.0,27.0,256.0
68,16483,1,445.0,277.0,275.0,0.0,258.0,1.32401,1.2749358,0.19660345,-0.15846182,-0.85195243,0.69148844,2.639372577688302,,,,,
69,24827,0,,,,,,1.323261,1.2742016,0.19956124,-0.15851912,-0.8517893,0.6916172,2.6377317350249343,278.0,373.0,341.0,27.0,258.0
70,16583,1,447.0,279.0,277.0,0.0,256.0,1.32258,1.2734522,0.20250562,-0.15846102,-0.8519825,0.69147503,2.6362939507669294,,,,,
71,24927,0,,,,,,1.3222611,1.2730101,0.204016,-0.15846205,-0.85197794,0.6914853,2.635477502431543,280.0,375.0,343.0,27.0,257.0
72,16683,1,449.0,281.0,279.0,0.0,253.0,1.3192233,1.2682446,0.22411495,-0.15852316,-0.8517849,0.6916087,2.626177825808783,,,,,
73,25027,0,,,,,,1.3190421,1.2678454,0.22603364,-0.15846923,-0.8519685,0.69148946,2.625509433171815,282.0,377.0,345.0,27.0,255.0
74,16783,1,451.0,283.0,281.0,0.0,251.0,1.3167791,1.2629279,0.2523175,-0.15846303,-0.85198814,0.69148934,2.615737244362931,,,,,
75,25127,0,,,,,,1.3165833,1.2626024,0.2544904,-0.15846747,-0.85198545,0.6914802,2.6149983029784307,284.0,379.0,347.0,27.0,252.0
