,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
0,24071,0,221.0,235.0,230.0,0.0,257.0,1.586631,0.9838439,0.008438044,-0.08590152,-0.87341875,0.68879515,2.5903040264676247,,,,,
1,18039,1,,,,,,1.5866249,0.98385113,0.008439422,-0.085979655,-0.8733916,0.6889444,2.590375251567988,537.0,385.0,217.0,163.0,258.0
2,24101,0,222.0,236.0,231.0,0.0,258.0,1.5866258,0.983859,0.008440438,-0.085959986,-0.873393,0.6889519,2.5903714548300516,,,,,
3,18069,1,,,,,,1.5866214,0.98385465,0.008438822,-0.08597734,-0.87339675,0.6889394,2.590376475044303,538.0,386.0,218.0,163.0,259.0
4,24131,0,222.0,236.0,231.0,0.0,258.0,1.586621,0.98385704,0.008444477,-0.08597903,-0.8734056,0.68896437,2.5903904293671722,,,,,
5,18099,1,,,,,,1.5866163,0.98386174,0.008449237,-0.0859701,-0.87338686,0.68893164,2.5903616428011365,539.0,387.0,218.0,164.0,258.0
6,24161,0,223.0,237.0,232.0,0.0,258.0,1.586622,0.98385596,0.008450692,-0.085977644,-0.8734008,0.68893826,2.590377523536401,,,,,
7,18129,1,,,,,,1.5866282,0.98385304,0.008441132,-0.085958876,-0.87340254,0.6889381,2.5903709680272375,540.0,388.0,219.0,164.0,256.0
8,24191,0,223.0,237.0,232.0,0.0,258.0,1.586623,0.9838538,0.008445767,-0.08596526,-0.8733895,0.688916,2.5903559350882586,,,,,
9,18159,1,,,,,,1.5866196,0.98385644,0.008442717,-0.08597619,-0.8733918,0.68893343,2.5903698218359366,540.0,388.0,219.0,164.0,256.0
10,24221,0,224.0,238.0,233.0,0.0,257.0,1.5866246,0.9838535,0.008436503,-0.085980065,-0.8734017,0.6889555,2.590387897242633,,,,,
11,18189,1,,,,,,1.586624,0.9838605,0.008440604,-0.08585771,-0.87350416,0.6887421,2.590329875211992,541.0,389.0,219.0,165.0,257.0
12,18219,1,,,,,,1.5866266,0.9838476,0.008436388,-0.085977435,-0.8734003,0.6889417,2.590378627387626,542.0,390.0,220.0,165.0,258.0
13,24251,0,224.0,238.0,233.0,0.0,257.0,1.5866259,0.98385274,0.008444922,-0.08597368,-0.87340975,0.6889417,2.5903839761832685,,,,,
14,24281,0,224.0,238.0,233.0,0.0,257.0,1.5866183,0.9838489,0.008446672,-0.086091354,-0.87322164,0.68892604,2.590312911382509,,,,,
15,18249,1,,,,,,1.5866306,0.98385143,0.008438185,-0.08596211,-0.8733911,0.6889352,2.590365300733426,543.0,391.0,220.0,166.0,258.0
16,24311,0,225.0,239.0,234.0,0.0,258.0,1.5866284,0.9838445,0.008430552,-0.08597403,-0.8734017,0.68894994,2.590380048603244,,,,,
17,18279,1,,,,,,1.5866201,0.9838538,0.008439386,-0.08597417,-0.8734015,0.6889524,2.5903797202045835,543.0,391.0,220.0,166.0,258.0
18,24341,0,225.0,239.0,234.0,0.0,258.0,1.586627,0.9838585,0.008451059,-0.08598373,-0.8732802,0.68883204,2.590272071899268,,,,,
19,18309,1,,,,,,1.5866283,0.9838454,0.008433538,-0.08597279,-0.8733942,0.6889454,2.590372528028628,544.0,392.0,221.0,166.0,259.0
20,24371,0,226.0,240.0,235.0,0.0,259.0,1.5866275,0.9838554,0.00843941,-0.0859793,-0.8734028,0.68894535,2.5903879903043223,,,,,
21,18339,1,,,,,,1.586622,0.98385316,0.008441849,-0.085969545,-0.8733946,0.6889573,2.590373191512879,545.0,393.0,222.0,166.0,261.0
22,24401,0,226.0,240.0,235.0,0.0,259.0,1.5866276,0.9838544,0.008439265,-0.08597197,-0.87339836,0.6889479,2.5903801690506914,,,,,
23,18369,1,,,,,,1.5866288,0.98385274,0.008438666,-0.08598258,-0.8734022,0.68894196,2.590387918610712,546.0,394.0,222.0,167.0,260.0
24,24431,0,227.0,241.0,236.0,0.0,260.0,1.5866264,0.98385656,0.008438661,-0.0859621,-0.87340635,0.68894136,2.590378624303002,,,,,
25,18399,1,,,,,,1.5866243,0.9838557,0.008447103,-0.08606986,-0.8732466,0.6889309,2.5903268206156076,546.0,394.0,222.0,167.0,260.0
26,24461,0,227.0,241.0,236.0,0.0,260.0,1.5866233,0.9838527,0.00844109,-0.08597499,-0.87338823,0.688943,2.5903690828450876,,,,,
27,18429,1,,,,,,1.5866219,0.9838568,0.008434103,-0.086065695,-0.8732458,0.6889236,2.5903242452512143,547.0,395.0,223.0,167.0,259.0
28,24491,0,227.0,241.0,236.0,0.0,260.0,1.5866342,0.9838462,0.008424242,-0.085971475,-0.87338126,0.688958,2.5903724818726293,,,,,
29,18459,1,,,,,,1.5866239,0.9838561,0.008439548,-0.085977,-0.87338567,0.68894595,2.5903724719627275,548.0,396.0,223.0,168.0,258.0
30,18489,1,,,,,,1.5866232,0.98386216,0.00844731,-0.0859687,-0.87338424,0.6889369,2.590365616682626,549.0,397.0,224.0,168.0,258.0
31,24521,0,228.0,242.0,237.0,0.0,258.0,1.5866256,0.9838487,0.008439132,-0.08598114,-0.87338996,0.68894017,2.5903726121710084,,,,,
32,24551,0,228.0,242.0,237.0,0.0,258.0,1.5866275,0.98385805,0.008445001,-0.08595536,-0.87341,0.68892765,2.590373490540433,,,,,
33,18519,1,,,,,,1.5866201,0.983858,0.0084453495,-0.085977055,-0.8734047,0.6889509,2.590384823968402,549.0,397.0,224.0,168.0,258.0
34,24581,0,229.0,243.0,238.0,0.0,258.0,1.586627,0.9838466,0.008439641,-0.08596803,-0.87340134,0.6889372,2.590370811649452,,,,,
35,18549,1,,,,,,1.5866252,0.9838516,0.008442756,-0.08598205,-0.87340873,0.6889536,2.5903911206624386,550.0,398.0,224.0,169.0,258.0
36,24611,0,229.0,243.0,238.0,0.0,258.0,1.58662,0.98385835,0.008446196,-0.085968874,-0.87340164,0.68894464,2.590375676510308,,,,,
37,18579,1,,,,,,1.5866232,0.9838538,0.008443337,-0.08596259,-0.87339574,0.6889334,2.5903639459416294,551.0,399.0,225.0,169.0,261.0
38,18609,1,,,,,,1.5866271,0.9838542,0.008445165,-0.08596008,-0.87339604,0.6889402,2.5903667133916684,552.0,400.0,226.0,169.0,259.0
39,24641,0,230.0,244.0,239.0,0.0,261.0,1.5866234,0.98386556,0.008445626,-0.08596658,-0.873406,0.6889311,2.5903813391502672,,,,,
40,24671,0,230.0,244.0,239.0,0.0,261.0,1.5866232,0.98386014,0.008443067,-0.0860631,-0.8734102,0.68897355,2.5904545011690336,,,,,
41,18639,1,,,,,,1.5866139,0.98385346,0.008446353,-0.08597924,-0.8734034,0.6889498,2.5903775562386318,552.0,400.0,226.0,169.0,259.0
42,24701,0,230.0,244.0,239.0,0.0,261.0,1.5866164,0.9838569,0.008437141,-0.08598826,-0.87339693,0.6889397,2.5903825498425905,,,,,
43,18669,1,,,,,,1.5866247,0.98385084,0.008448809,-0.08597327,-0.8733733,0.68894315,2.5903548817916544,553.0,401.0,226.0,170.0,258.0
44,18699,1,,,,,,1.586626,0.9838536,0.008447419,-0.08597371,-0.87340164,0.688954,2.5903814843661546,554.0,402.0,227.0,170.0,258.0
45,24731,0,231.0,245.0,240.0,0.0,258.0,1.5866246,0.98385435,0.008446284,-0.08597007,-0.87341166,0.6889345,2.5903810441929296,,,,,
46,24761,0,231.0,245.0,240.0,0.0,258.0,1.5866222,0.98385376,0.00845199,-0.08597163,-0.8734107,0.6889556,2.5903835195435807,,,,,
47,18729,1,,,,,,1.5866228,0.98385227,0.008432368,-0.08608458,-0.8732215,0.6889215,2.590316324274777,555.0,403.0,227.0,171.0,260.0
48,24791,0,232.0,246.0,241.0,0.0,259.0,1.5866252,0.9838654,0.008452173,-0.08596535,-0.87338984,0.688939,2.590370358908457,,,,,
49,18759,1,,,,,,1.5866251,0.98385185,0.0084472895,-0.08597219,-0.87339693,0.688945,2.5903729194094725,555.0,403.0,227.0,171.0,260.0
50,24821,0,232.0,246.0,241.0,0.0,259.0,1.5866269,0.9838494,0.0084431,-0.08596429,-0.87339884,0.6889485,2.590370671833797,,,,,
51,18789,1,,,,,,1.5866212,0.9838637,0.008450723,-0.08596643,-0.87339556,0.6889459,2.5903735327514728,556.0,404.0,228.0,171.0,258.0
52,24851,0,233.0,247.0,242.0,0.0,258.0,1.5866272,0.98385966,0.008452059,-0.085966006,-0.87339866,0.68893737,2.590373883113471,,,,,
53,18819,1,,,,,,1.5866257,0.9838442,0.008445185,-0.08597114,-0.8733967,0.6889614,2.5903718245917267,557.0,405.0,228.0,172.0,257.0
54,24881,0,233.0,247.0,242.0,0.0,258.0,1.5866231,0.98385596,0.008446137,-0.08596234,-0.8733879,0.6889432,2.5903614600867297,,,,,
55,18849,1,,,,,,1.5866202,0.98385775,0.00844509,-0.08597253,-0.8733936,0.68893796,2.590370606475161,558.0,406.0,229.0,172.0,258.0
56,18879,1,,,,,,1.5866228,0.98385394,0.00844299,-0.08597141,-0.87338555,0.6889418,2.5903645332380916,558.0,406.0,229.0,172.0,258.0
57,24911,0,233.0,247.0,242.0,0.0,258.0,1.5866252,0.9838584,0.008453962,-0.08597431,-0.8734061,0.6889582,2.5903873864770457,,,,,
58,24941,0,234.0,248.0,243.0,0.0,258.0,1.5866238,0.98384833,0.008440371,-0.0859734,-0.8733985,0.68895394,2.590375640057488,,,,,
59,18909,1,,,,,,1.5866188,0.98385227,0.0084571205,-0.08596686,-0.87339777,0.68894696,2.590364163878894,559.0,407.0,230.0,172.0,259.0
60,18939,1,,,,,,1.5866245,0.98384476,0.008446835,-0.085970424,-0.87340134,0.6889588,2.5903732576213327,560.0,408.0,230.0,173.0,258.0
61,24971,0,234.0,248.0,243.0,0.0,258.0,1.5866237,0.9838544,0.00844811,-0.08596238,-0.8733914,0.68894565,2.5903635001977614,,,,,
62,25001,0,235.0,249.0,244.0,0.0,257.0,1.58662,0.98385,0.008451785,-0.085973464,-0.8733984,0.68895495,2.5903716404280424,,,,,
63,18969,1,,,,,,1.5866282,0.9838542,0.008446899,-0.08596606,-0.87338346,0.68894285,2.5903625067385785,561.0,409.0,231.0,173.0,255.0
64,25031,0,235.0,249.0,244.0,0.0,257.0,1.5866262,0.9838582,0.008454799,-0.08597362,-0.8734048,0.6889432,2.590382349690442,,,,,
65,18999,1,,,,,,1.5866287,0.98385227,0.008445388,-0.08597336,-0.873384,0.68892235,2.590361574904588,561.0,409.0,231.0,173.0,255.0
66,25061,0,236.0,250.0,245.0,0.0,257.0,1.5866303,0.9838523,0.008444584,-0.08598027,-0.873375,0.68895334,2.5903690525811958,,,,,
67,19029,1,,,,,,1.5866282,0.98385555,0.008454837,-0.08595376,-0.8734004,0.6889504,2.5903675544762197,562.0,410.0,231.0,174.0,258.0
68,25091,0,236.0,250.0,245.0,0.0,257.0,1.5866306,0.983855,0.008441427,-0.08594991,-0.873417,0.68895304,2.590382381569154,,,,,
69,19059,1,,,,,,1.5866323,0.98385173,0.008453423,-0.0859584,-0.8733943,0.6889238,2.5903594560467527,563.0,411.0,232.0,174.0,258.0
70,25121,0,236.0,250.0,245.0,0.0,257.0,1.5866345,0.9838408,0.008444625,-0.08598081,-0.8733789,0.6889527,2.590366412254202,,,,,
71,19089,1,,,,,,1.5866414,0.98384225,0.00843223,-0.08588714,-0.8734036,0.68876463,2.590283115757001,564.0,412.0,232.0,175.0,258.0
72,25151,0,237.0,251.0,246.0,0.0,258.0,1.5866385,0.9838432,0.008442266,-0.085950054,-0.87339026,0.68893254,2.5903543258487547,,,,,
