,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,28519,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3569446,0.86230457,0.0005595863,-0.7872252,0.85945743,0.060802065
1,28559,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3569784,0.8623596,0.00045830786,-0.78722,0.8594456,0.060825676
2,28599,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3569701,0.86233693,0.00048773605,-0.7873629,0.85951066,0.06083234
3,28639,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3562952,0.8635318,0.000109858855,-0.78748775,0.8590994,0.060813345
4,28679,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3563023,0.8635532,0.000107265536,-0.787797,0.8590548,0.060866483
5,28719,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3564767,0.8635615,5.4278044e-05,-0.7882387,0.8589894,0.060864393
6,28759,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.356645,0.8633855,7.333287e-05,-0.78840625,0.85903496,0.060949817
7,28799,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.357793,0.8619425,0.00072879577,-0.78900826,0.85889006,0.061031125
8,28839,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3585451,0.8618368,0.0009079311,-0.789431,0.85877514,0.06093477
9,28879,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3587251,0.8616428,0.00072221016,-0.78941697,0.85872734,0.061075743
10,28919,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3582779,0.861365,0.00065046345,-0.7889515,0.85865515,0.061361738
11,28959,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3587036,0.8610538,0.0011563608,-0.78846365,0.85909814,0.061975192
12,28999,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3595412,0.86095196,0.0032333932,-0.78710926,0.8593142,0.06361611
13,29039,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3608552,0.86147684,0.0071046404,-0.7853927,0.8599091,0.06682073
14,29079,log0,210,22,9,9,-1,255,0,0,0,0,-1,255,1.3605441,0.8615155,0.012864635,-0.7831527,0.8604301,0.072006285
