,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distSrc1,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.distSrc2,UAV1x,UAV1y,UAV1z,UAV2x,UAV2y,UAV2z
0,33746,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1177825,-0.163037,0.04205841,-0.9455142,-0.025817014,0.09271106
1,24090,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1177409,-0.16317707,0.041841168,-0.9455217,-0.025795916,0.092728704
2,33796,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.131191,-0.16375437,0.042032886,-0.94552356,-0.025779461,0.09266575
3,24140,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1177533,-0.16306938,0.041985974,-0.9456048,-0.025801321,0.09293621
4,33846,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.117717,-0.16320807,0.041853055,-0.9458664,-0.026075702,0.0929092
5,24190,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1178355,-0.16340415,0.042151734,-0.94641256,-0.026825264,0.09302873
6,33896,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1177816,-0.1633453,0.0421287,-0.9463012,-0.027161965,0.09307405
7,24240,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1176982,-0.16327284,0.042048063,-0.9463356,-0.02714724,0.09295785
8,33946,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1173015,-0.16396306,0.042205565,-0.9467318,-0.02768468,0.093139164
9,24290,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1228515,-0.1719238,0.041811023,-0.9467529,-0.02761061,0.093010314
10,33996,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1163211,-0.16511674,0.04224583,-0.94697315,-0.027641103,0.09312676
11,24340,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.115917,-0.16515216,0.04244501,-0.94691026,-0.027565347,0.09316156
12,34046,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1157186,-0.16563627,0.04229847,-0.9469988,-0.027910816,0.093023404
13,24390,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1159397,-0.16571857,0.042038206,-0.94688314,-0.027833577,0.09310848
14,34096,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1154695,-0.16680294,0.042252816,-0.9471377,-0.028191902,0.09353321
15,24440,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1151625,-0.16716191,0.04241509,-0.9470777,-0.02831139,0.0933779
16,34146,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1150559,-0.16727126,0.04290789,-0.9471288,-0.028541207,0.093542054
17,24490,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1151997,-0.16718689,0.043160055,-0.94705206,-0.028537376,0.09355101
18,34196,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.11538,-0.16656469,0.043747623,-0.94673604,-0.027770579,0.09391003
19,24540,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1161007,-0.16595596,0.04393146,-0.94677466,-0.027725536,0.09426012
20,34246,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1161325,-0.16538435,0.044402152,-0.9468441,-0.027161714,0.095025085
21,24590,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1161684,-0.16494898,0.04478507,-0.946672,-0.02699267,0.09542536
22,34296,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1165375,-0.16149907,0.04634556,-0.94652086,-0.024291065,0.09717309
23,24640,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.11637,-0.1601707,0.046764486,-0.9465949,-0.023509966,0.09712725
24,34346,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1161788,-0.15670933,0.047339816,-0.9464753,-0.021330506,0.0990441
25,24690,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1162615,-0.1558598,0.047445856,-0.94646984,-0.020652136,0.099780634
26,34396,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1164544,-0.15332244,0.048249274,-0.9463096,-0.019210707,0.1017237
27,24740,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.116272,-0.15237871,0.048743643,-0.94642204,-0.018544883,0.10235787
28,34446,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1215608,-0.15240185,0.05350131,-0.94686073,-0.016837066,0.11085894
29,24790,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1141331,-0.14479984,0.05495736,-0.94712245,-0.016771082,0.11251046
30,34496,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1193358,-0.1358541,0.063584924,-0.9476811,-0.017957415,0.11970483
31,24840,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1179209,-0.13562904,0.0662535,-0.9479741,-0.018516228,0.12176774
32,34546,log0,0,0,0,0,-1,255,1448,34,17,12,-1,255,1.1076382,-0.14367196,0.07691315,-0.94850683,-0.02499058,0.13278484
33,24890,"log[1, 1, 0, 0, 0, 2.0]",0,0,0,0,-1,255,0,0,0,0,-1,255,1.1069124,-0.14489312,0.079785,-0.94814706,-0.026548889,0.13580507
34,34596,log0,0,0,0,0,-1,255,447,35,17,12,-1,255,1.1016493,-0.15213569,0.09183608,-0.9488488,-0.035110768,0.1460333
35,24941,"log[1, 1, 0, 0, 0, 2.0]",641,1,0,0,-1,255,0,0,0,0,-1,255,1.1019543,-0.15587664,0.09610114,-0.94892865,-0.04057395,0.15169588
36,34646,log0,0,0,0,0,-1,255,448,36,17,12,-1,255,1.1005442,-0.16434604,0.10453115,-0.9494008,-0.04944015,0.16002208
37,24990,"log[1, 1, 0, 0, 0, 2.0]",642,2,0,0,-1,255,0,0,0,0,-1,255,1.0991404,-0.16664033,0.10601769,-0.94963324,-0.053137615,0.162824
38,25040,"log[1, 1, 0, 0, 0, 2.0]",643,3,1,0,195,1,0,0,0,0,-1,255,1.1047094,-0.18695854,0.11243272,-0.94920766,-0.06777584,0.17552416
39,34696,log0,0,0,0,0,-1,255,449,37,18,12,194,1,1.1043645,-0.17758834,0.11630655,-0.94961375,-0.070854194,0.17799662
40,34746,log0,0,0,0,0,-1,255,450,38,19,12,193,1,1.0994905,-0.19509274,0.12121824,-0.948741,-0.087304786,0.18961538
41,25090,"log[1, 1, 0, 0, 0, 2.0]",644,4,2,0,196,1,0,0,0,0,-1,255,1.0957838,-0.20528641,0.12151356,-0.9488285,-0.09124156,0.19230309
42,34796,log0,0,0,0,0,-1,255,450,38,19,12,193,1,1.0964506,-0.2089399,0.122372665,-0.9485676,-0.09535235,0.19479537
43,25140,"log[1, 1, 0, 0, 0, 2.0]",645,5,2,1,194,2,0,0,0,0,-1,255,1.0964348,-0.22268163,0.12430658,-0.94793653,-0.1078336,0.20290428
44,34846,log0,0,0,0,0,-1,255,450,38,19,12,193,1,1.0967621,-0.23579222,0.12579644,-0.94670653,-0.120331876,0.20990136
45,25190,"log[1, 1, 0, 0, 0, 2.0]",646,6,2,2,194,2,0,0,0,0,-1,255,1.0978619,-0.24041216,0.12616321,-0.946647,-0.124357805,0.2120646
46,34896,log0,0,0,0,0,-1,255,453,39,20,12,194,1,1.0993563,-0.26197353,0.12713481,-0.94477874,-0.14407381,0.22161533
47,25240,"log[1, 1, 0, 0, 0, 2.0]",647,7,3,2,191,1,0,0,0,0,-1,255,1.0990984,-0.26664943,0.12794067,-0.944379,-0.14792868,0.22314115
48,25290,"log[1, 1, 0, 0, 0, 2.0]",647,7,3,2,191,1,0,0,0,0,-1,255,1.100355,-0.27442488,0.1279959,-0.9433874,-0.15534331,0.22635548
49,34946,log0,0,0,0,0,-1,255,454,40,21,12,193,1,1.1014937,-0.27781478,0.1281457,-0.943,-0.15860799,0.22789606
50,34996,log0,0,0,0,0,-1,255,454,40,21,12,193,1,1.1030095,-0.2851571,0.12870374,-0.942042,-0.16550672,0.23059274
51,25340,"log[1, 1, 0, 0, 0, 2.0]",647,7,3,2,191,1,0,0,0,0,-1,255,1.103304,-0.28818196,0.12883297,-0.9415499,-0.16854832,0.2318652
52,35046,log0,0,0,0,0,-1,255,454,40,21,12,193,1,1.1054941,-0.2942876,0.12927479,-0.9404819,-0.17456152,0.23440324
53,25390,"log[1, 1, 0, 0, 0, 2.0]",647,7,3,2,191,1,0,0,0,0,-1,255,1.1065786,-0.29708868,0.12928163,-0.9396821,-0.17776085,0.23526324
54,35096,log0,0,0,0,0,-1,255,457,41,21,13,192,2,1.1130698,-0.31538096,0.13267162,-0.9346334,-0.19731519,0.24471924
55,25440,"log[1, 1, 0, 0, 0, 2.0]",651,8,3,2,191,1,0,0,0,0,-1,255,1.1135324,-0.31646395,0.1332681,-0.9340412,-0.19862811,0.24578457
56,35146,log0,0,0,0,0,-1,255,458,42,22,13,200,1,1.1145638,-0.31770536,0.1335247,-0.9335522,-0.20011985,0.24671778
57,25490,"log[1, 1, 0, 0, 0, 2.0]",652,9,4,2,194,1,0,0,0,0,-1,255,1.1269896,-0.31351462,0.13835327,-0.9289983,-0.20616168,0.25457633
58,35196,log0,0,0,0,0,-1,255,459,43,23,13,194,1,1.1197649,-0.31929225,0.14035927,-0.92838913,-0.20656441,0.25559282
59,25540,"log[1, 1, 0, 0, 0, 2.0]",653,10,5,2,195,1,0,0,0,0,-1,255,1.1204515,-0.31921208,0.14020297,-0.9278823,-0.20621271,0.25684994
60,35246,log0,0,0,0,0,-1,255,459,43,23,13,194,1,1.1224201,-0.31762686,0.14309071,-0.9256863,-0.20661105,0.2611478
61,25590,"log[1, 1, 0, 0, 0, 2.0]",654,11,5,3,194,2,0,0,0,0,-1,255,1.1245826,-0.31443,0.14655945,-0.9237597,-0.20571132,0.2660243
62,35296,log0,0,0,0,0,-1,255,461,44,24,13,194,1,1.1262381,-0.30986798,0.15160812,-0.92146623,-0.20274754,0.2719363
