,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,24884,log0,338,152,34,109,360,145,38,94
1,29256,log1,338,178,49,115,360,179,53,111
2,24954,log0,338,152,34,109,360,145,38,94
3,29326,log1,339,179,49,116,360,179,53,111
4,25024,log0,339,153,34,110,360,145,38,94
5,29396,log1,339,179,49,116,360,179,53,111
6,25094,log0,339,153,34,110,360,145,38,94
7,29466,log1,340,180,49,117,360,179,53,111
8,25164,log0,339,153,34,110,364,146,38,95
9,29536,log1,340,180,49,117,364,180,53,111
10,25234,log0,341,154,35,110,365,147,39,95
11,29606,log1,341,181,49,118,365,181,53,112
12,25304,log0,341,154,35,110,366,148,39,96
13,29676,log1,341,181,49,118,366,182,53,112
14,29746,log1,341,181,49,118,366,182,53,112
15,25374,log0,341,154,35,110,366,148,39,96
16,29816,log1,343,182,49,119,366,182,53,112
17,25445,log0,343,155,35,111,366,148,39,96
18,25514,log0,343,155,35,111,366,148,39,96
19,29886,log1,343,182,49,119,366,182,53,112
20,25584,log0,345,156,35,111,366,148,39,96
21,29956,log1,343,182,49,119,366,182,53,112
22,25654,log0,345,156,35,111,366,148,39,96
23,30026,log1,343,182,49,119,370,183,53,113
24,25724,log0,346,157,35,111,370,149,39,97
25,30096,log1,346,183,49,120,370,183,53,113
26,25794,log0,347,158,35,111,371,150,39,98
27,30166,log1,347,184,50,120,371,184,53,113
28,25864,log0,348,159,35,111,371,150,39,98
29,30236,log1,348,185,50,121,371,184,53,113
30,25934,log0,348,159,35,111,371,150,39,98
31,30306,log1,348,185,50,121,371,184,53,113
32,26004,log0,349,160,35,111,371,150,39,98
33,30376,log1,349,186,50,122,371,184,53,113
34,30446,log1,349,186,50,122,371,184,53,113
35,26074,log0,349,160,35,111,371,150,39,98
36,26144,log0,350,161,35,112,371,150,39,98
37,30516,log1,350,187,51,122,371,184,53,113
38,26214,log0,350,161,35,112,375,151,39,99
39,30586,log1,350,187,51,122,375,185,54,113
40,26284,log0,352,162,35,113,375,151,39,99
41,30656,log1,352,188,51,123,375,185,54,113
42,26354,log0,353,163,36,113,375,151,39,99
43,30726,log1,353,189,51,124,375,185,54,113
44,26424,log0,353,163,36,113,377,152,40,99
45,30796,log1,353,189,51,124,377,186,54,114
46,26494,log0,354,164,36,114,378,153,40,100
47,30866,log1,354,190,52,124,378,187,55,114
48,26564,log0,355,165,36,115,378,153,40,100
49,30936,log1,355,191,52,125,378,187,55,114
50,26634,log0,356,166,36,116,379,154,40,101
51,31006,log1,356,192,52,126,379,188,55,115
52,26704,log0,356,166,36,116,380,155,40,102
53,31076,log1,356,192,52,126,380,189,55,116
54,26774,log0,357,167,37,116,380,155,40,102
55,31146,log1,357,193,52,127,380,189,55,116
56,26844,log0,357,167,37,116,380,155,40,102
57,31216,log1,358,194,53,127,380,189,55,116
58,26914,log0,357,167,37,116,380,155,40,102
59,31286,log1,358,194,53,127,380,189,55,116
60,26984,log0,357,167,37,116,382,156,40,103
61,31356,log1,358,194,53,127,382,190,55,117
62,27054,log0,357,167,37,116,383,157,40,104
63,31426,log1,358,194,53,127,382,190,55,117
64,27124,log0,357,167,37,116,384,158,40,105
65,31496,log1,358,194,53,127,384,191,56,117
66,27194,log0,357,167,37,116,384,158,40,105
67,31566,log1,358,194,53,127,384,191,56,117
68,27264,log0,357,167,37,116,385,159,41,105
69,31636,log1,358,194,53,127,385,192,56,118
70,31706,log1,358,194,53,127,385,192,56,118
71,27334,log0,362,168,37,116,385,159,41,105
72,27404,log0,362,168,37,116,385,159,41,105
73,31776,log1,358,194,53,127,385,192,56,118
74,27474,log0,362,168,37,116,387,160,41,106
75,31846,log1,358,194,53,127,387,193,57,118
76,27544,log0,362,168,37,116,387,160,41,106
77,31916,log1,358,194,53,127,387,193,57,118
78,27614,log0,365,169,37,117,387,160,41,106
79,31986,log1,365,195,53,127,387,193,57,118
80,27684,log0,365,169,37,117,389,161,41,107
81,32056,log1,365,195,53,127,387,193,57,118
82,27754,log0,366,170,37,118,390,162,41,108
83,32126,log1,366,196,53,128,390,194,58,118
84,27824,log0,367,171,37,119,391,163,41,109
85,32196,log1,367,197,53,129,391,195,58,119
86,27894,log0,367,171,37,119,391,163,41,109
87,32266,log1,367,197,53,129,391,195,58,119
88,27964,log0,367,171,37,119,392,164,41,110
89,32336,log1,367,197,53,129,392,196,58,120
90,28034,log0,369,172,38,119,392,164,41,110
91,32406,log1,369,198,53,130,392,196,58,120
92,28104,log0,370,173,38,120,393,165,42,110
93,32476,log1,370,199,53,131,393,197,59,120
94,28174,log0,371,174,38,121,394,166,42,111
95,32546,log1,371,200,53,132,394,198,59,121
96,28244,log0,371,174,38,121,395,167,42,112
97,32616,log1,371,200,53,132,395,199,59,122
98,28314,log0,372,175,38,122,396,168,42,113
99,32686,log1,372,201,54,132,396,200,60,122
100,28384,log0,373,176,39,122,396,168,42,113
101,32756,log1,373,202,54,133,396,200,60,122
102,28454,log0,373,176,39,122,396,168,42,113
103,32826,log1,373,202,54,133,396,200,60,122
104,28524,log0,374,177,39,123,396,168,42,113
105,32896,log1,374,203,54,134,396,200,60,122
106,28594,log0,375,178,39,124,396,168,42,113
107,32966,log1,375,204,55,134,396,200,60,122
108,28664,log0,375,178,39,124,396,168,42,113
109,33036,log1,375,204,55,134,396,200,60,122
110,28734,log0,375,178,39,124,396,168,42,113
111,33106,log1,376,205,55,135,400,201,60,122
112,28804,log0,375,178,39,124,396,168,42,113
113,33176,log1,376,205,55,135,400,201,60,122
114,28874,log0,375,178,39,124,396,168,42,113
115,33246,log1,376,205,55,135,400,201,60,122
116,28944,log0,378,179,39,125,402,169,42,114
117,33316,log1,378,206,56,135,402,202,61,122
118,29014,log0,379,180,39,126,402,169,42,114
119,33386,log1,379,207,56,136,402,202,61,122
120,29084,log0,379,180,39,126,403,170,42,115
121,33456,log1,380,208,56,137,403,203,61,123
122,29154,log0,381,181,40,126,403,170,42,115
123,33526,log1,381,209,57,137,403,203,61,123
124,29224,log0,381,181,40,126,404,171,42,116
125,33596,log1,381,209,57,137,404,204,61,124
126,29294,log0,382,182,40,127,405,172,43,116
127,33666,log1,382,210,57,138,405,205,62,124
128,29364,log0,383,183,40,128,405,172,43,116
129,33736,log1,383,211,57,139,405,205,62,124
130,29434,log0,384,184,40,129,405,172,43,116
131,33806,log1,384,212,57,140,406,206,62,125
132,29504,log0,384,184,40,129,405,172,43,116
133,33876,log1,385,213,57,141,406,206,62,125
134,29574,log0,385,185,41,129,407,173,43,117
135,33946,log1,385,213,57,141,407,207,62,126
136,29644,log0,385,185,41,129,407,173,43,117
137,34016,log1,386,214,57,142,408,208,63,126
138,29714,log0,385,185,41,129,407,173,43,117
139,34086,log1,386,214,57,142,408,208,63,126
140,29784,log0,385,185,41,129,409,174,44,117
141,34156,log1,386,214,57,142,409,209,63,127
142,29854,log0,388,186,41,130,409,174,44,117
143,34226,log1,388,215,57,143,409,209,63,127
144,29924,log0,389,187,42,130,410,175,44,118
145,34296,log1,389,216,57,144,410,210,63,128
146,29994,log0,390,188,42,131,410,175,44,118
147,34366,log1,390,217,58,144,410,210,63,128
148,30064,log0,390,188,42,131,412,176,44,119
149,34436,log1,390,217,58,144,412,211,63,129
150,30134,log0,390,188,42,131,412,176,44,119
151,34506,log1,390,217,58,144,412,211,63,129
152,30204,log0,390,188,42,131,412,176,44,119
153,34576,log1,390,217,58,144,412,211,63,129
