,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,16490,log1,497,201,109,87,464,413,28,34
1,18558,log0,497,238,115,114,464,471,32,37
2,16550,log1,498,202,109,88,812,415,28,35
3,18618,log0,498,239,115,115,812,473,32,37
4,16610,log1,498,202,109,88,813,416,28,35
5,18678,log0,498,239,115,115,813,474,33,37
6,16670,log1,498,202,109,88,467,417,28,35
7,18738,log0,498,239,115,115,467,475,33,37
8,16730,log1,500,203,110,88,815,420,28,35
9,18798,log0,500,240,116,115,815,478,33,37
10,16790,log1,501,204,111,88,815,420,28,35
11,18858,log0,502,242,117,116,815,478,33,37
12,16850,log1,503,206,111,90,817,423,28,35
13,18918,log0,503,243,118,116,817,481,34,37
14,16910,log1,504,207,112,90,818,424,28,35
15,18978,log0,504,244,118,117,818,482,35,37
16,16970,log1,505,208,112,91,819,426,28,35
17,19038,log0,505,245,118,118,819,484,35,37
18,17030,log1,505,208,112,91,473,429,28,36
19,19098,log0,505,245,118,118,473,487,35,37
20,17090,log1,506,209,113,91,822,431,28,37
21,19158,log0,506,246,119,118,822,489,36,37
22,17150,log1,507,210,113,92,475,433,28,37
23,19218,log0,507,247,120,118,475,491,36,38
24,17210,log1,508,211,113,93,824,435,28,37
25,19278,log0,508,248,120,119,824,493,36,38
26,17270,log1,509,212,114,93,477,436,28,37
27,19338,log0,508,248,120,119,477,494,37,38
28,17330,log1,510,213,114,94,826,438,28,37
29,19398,log0,510,249,120,120,826,496,37,38
30,17390,log1,512,215,115,95,827,439,28,37
31,19458,log0,512,251,121,121,827,497,37,38
32,17450,log1,514,217,116,96,480,440,28,37
33,19518,log0,513,252,122,121,480,498,37,38
34,17510,log1,514,217,116,96,829,443,28,37
35,19578,log0,513,252,122,121,829,501,37,39
36,19638,log0,515,253,123,121,830,503,37,39
37,17570,log1,515,218,116,96,830,445,28,37
38,17630,log1,516,219,117,96,483,447,28,37
39,19698,log0,516,254,124,121,483,505,37,39
40,17690,log1,517,220,117,97,833,449,28,38
41,19758,log0,517,255,124,122,833,507,37,40
42,17750,log1,518,221,118,97,833,449,28,38
43,19818,log0,518,256,125,122,833,507,37,40
44,17810,log1,519,222,119,97,834,450,29,38
45,19878,log0,519,257,126,122,834,508,37,40
46,17870,log1,520,223,119,98,835,452,29,38
47,19938,log0,519,257,126,122,834,508,37,40
48,17930,log1,521,224,120,98,836,454,29,38
49,19998,log0,521,258,127,122,836,510,38,40
50,17990,log1,522,225,120,99,489,455,29,38
51,20058,log0,522,259,127,123,837,512,38,40
52,18050,log1,523,226,121,99,490,457,29,38
53,20118,log0,523,260,128,123,490,514,39,40
54,18110,log1,524,227,122,99,839,458,29,38
55,20178,log0,524,261,129,123,839,515,39,40
56,18170,log1,525,228,123,99,840,460,29,38
57,20238,log0,525,262,130,123,840,517,39,40
58,18230,log1,525,228,123,99,841,462,29,38
59,20298,log0,525,262,130,123,841,519,39,40
60,18290,log1,526,229,123,100,842,464,29,38
61,20358,log0,526,263,131,123,842,521,39,40
62,18350,log1,527,230,123,101,494,466,30,38
63,20418,log0,527,264,131,124,494,523,39,40
64,18410,log1,528,231,124,101,844,468,30,38
65,20478,log0,528,265,132,124,844,525,39,40
66,18470,log1,529,232,124,102,844,468,30,38
67,20538,log0,529,266,133,124,844,525,39,40
68,18530,log1,531,234,125,103,496,469,30,38
69,20598,log0,531,268,133,125,845,527,39,40
70,18590,log1,532,235,125,104,497,471,30,38
71,20658,log0,532,269,133,125,497,529,39,42
72,18650,log1,533,236,126,104,847,473,30,38
73,20718,log0,533,270,133,125,847,531,39,42
74,18710,log1,533,236,126,104,848,474,30,39
75,20778,log0,533,270,133,125,848,533,39,42
76,18770,log1,535,238,126,106,500,475,30,39
77,20838,log0,535,272,134,126,500,534,39,42
78,18830,log1,535,238,126,106,849,476,30,39
79,20898,log0,535,272,134,126,501,536,39,42
80,18890,log1,536,239,127,106,502,479,30,39
81,20958,log0,536,273,135,126,502,538,39,42
82,18950,log1,537,240,128,106,503,481,30,39
83,21018,log0,537,274,136,126,503,540,39,42
84,19010,log1,538,241,128,107,504,483,30,41
85,21078,log0,538,275,136,127,504,542,40,42
