,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,22172,log0,421,293,81,188,567,585,48,195
1,20122,log1,421,252,133,108,567,519,43,86
2,22232,log0,422,294,81,189,568,587,48,195
3,20182,log1,422,253,134,108,568,521,43,86
4,22292,log0,423,295,82,189,459,589,48,195
5,20242,log1,423,254,135,108,459,523,43,86
6,22352,log0,423,295,82,189,459,589,48,195
7,20302,log1,424,255,135,109,460,525,43,86
8,22412,log0,425,296,82,190,461,591,48,195
9,20362,log1,425,256,136,109,461,527,43,86
10,22472,log0,426,297,82,191,463,593,49,196
11,20422,log1,426,257,136,110,463,530,43,87
12,22532,log0,427,298,82,192,573,594,49,197
13,20482,log1,427,258,137,110,573,531,43,88
14,20542,log1,428,259,138,110,574,532,43,89
15,22592,log0,427,298,82,192,574,596,49,199
16,22652,log0,429,299,83,192,466,599,50,199
17,20602,log1,429,260,139,110,466,535,44,89
18,22712,log0,430,300,83,193,467,601,50,199
19,20662,log1,430,261,139,111,467,537,44,89
20,22772,log0,432,302,83,195,468,603,50,199
21,20722,log1,432,263,140,112,468,539,44,89
22,22832,log0,433,303,83,196,578,605,50,201
23,20782,log1,432,263,140,112,468,539,44,89
24,22892,log0,433,303,83,196,578,605,50,201
25,20842,log1,434,264,141,112,468,539,44,89
26,22952,log0,435,304,83,197,471,607,51,202
27,20902,log1,435,265,141,113,471,541,44,89
28,23012,log0,436,305,84,197,581,608,51,202
29,20962,log1,436,266,142,113,581,542,44,89
30,23072,log0,437,306,84,198,581,608,51,202
31,21022,log1,437,267,143,113,581,542,44,89
32,23132,log0,438,307,84,199,582,610,51,202
33,21082,log1,438,268,143,114,582,543,44,89
34,23192,log0,439,308,84,200,475,612,51,203
35,21142,log1,439,269,144,114,475,545,44,90
36,23252,log0,440,309,84,201,584,613,51,204
37,21202,log1,440,270,145,114,584,546,44,91
38,23312,log0,440,309,84,201,585,615,52,204
39,21262,log1,440,270,145,114,585,548,45,91
40,23372,log0,443,311,85,202,586,617,52,204
41,21322,log1,443,272,146,115,586,550,45,91
42,23432,log0,444,312,86,202,587,619,52,204
43,21382,log1,444,273,147,115,587,552,45,91
44,23492,log0,445,313,86,203,479,621,52,204
45,21442,log1,445,274,147,116,479,554,45,91
46,23552,log0,445,313,86,203,481,624,53,204
47,21502,log1,445,274,147,116,481,557,45,91
48,23612,log0,446,314,87,203,590,625,53,204
49,21562,log1,446,275,148,116,482,559,45,93
50,23672,log0,447,315,88,203,590,625,53,204
51,21622,log1,447,276,148,117,482,559,45,93
52,23732,log0,448,316,89,203,592,627,53,204
53,21682,log1,448,277,149,117,592,561,45,95
54,23792,log0,449,317,89,204,593,629,54,204
55,21742,log1,449,278,150,117,593,563,46,95
56,23852,log0,450,318,89,205,486,630,54,204
57,21802,log1,450,279,150,118,486,564,46,95
58,23912,log0,450,318,89,205,488,633,55,204
59,21862,log1,450,279,150,118,488,566,47,96
60,23972,log0,452,320,90,206,595,634,55,204
61,21922,log1,452,281,151,119,595,567,47,96
62,24032,log0,453,321,90,207,596,636,55,204
63,21982,log1,453,282,152,119,596,569,47,96
64,24092,log0,454,322,90,208,490,638,55,204
65,22042,log1,454,283,152,120,490,571,47,96
66,24152,log0,454,322,90,208,598,639,55,204
67,22102,log1,454,283,152,120,598,572,47,96
68,24212,log0,456,323,90,209,600,642,55,204
69,22162,log1,456,284,153,120,600,575,47,96
70,24272,log0,457,324,91,209,493,643,55,204
