,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,24688,log1,596,331,324,0,910,671,123,0
1,22123,log0,596,298,210,0,910,595,101,0
2,24748,log1,596,331,324,0,911,673,123,0
3,22183,log0,596,298,210,0,911,597,101,0
4,24808,log1,597,332,325,0,913,676,124,0
5,22243,log0,597,299,211,0,913,600,101,0
6,24868,log1,598,333,326,0,567,677,124,0
7,22303,log0,598,300,212,0,567,601,101,0
8,22363,log0,599,301,212,0,915,604,101,0
9,24928,log1,599,334,327,0,915,680,124,0
10,24988,log1,600,335,328,0,916,682,124,0
11,22423,log0,600,302,213,0,916,606,101,0
12,25048,log1,601,336,329,0,918,685,125,0
13,22483,log0,601,303,214,0,918,609,102,0
14,25108,log1,602,337,330,0,918,685,125,0
15,22543,log0,602,304,214,0,919,610,103,0
16,25168,log1,603,338,331,0,573,689,126,0
17,22603,log0,603,305,215,0,573,613,103,0
18,25228,log1,604,339,332,0,573,689,126,0
19,22663,log0,604,306,215,0,573,613,103,0
20,25288,log1,605,340,333,0,573,689,126,0
21,22723,log0,605,307,216,0,921,614,103,0
22,22783,log0,606,308,217,0,576,616,104,0
23,25348,log1,606,341,334,0,576,691,126,0
24,25408,log1,607,342,335,0,923,692,126,0
25,22843,log0,607,309,218,0,923,617,104,0
26,25468,log1,608,343,336,0,924,694,126,0
27,22903,log0,608,310,219,0,924,619,104,0
28,25528,log1,609,344,337,0,578,695,126,0
29,22963,log0,609,311,220,0,578,620,104,0
30,25588,log1,610,345,338,0,925,696,126,0
31,23023,log0,610,312,220,0,925,621,104,0
32,25648,log1,611,346,339,0,926,697,126,0
33,23083,log0,611,313,221,0,926,622,105,0
34,25708,log1,612,347,340,0,927,699,126,0
35,23143,log0,612,314,222,0,927,624,105,0
36,23203,log0,613,315,223,0,928,626,105,0
37,25768,log1,613,348,341,0,581,700,126,0
38,25828,log1,613,348,341,0,929,702,127,0
39,23263,log0,613,315,223,0,929,628,105,0
40,25888,log1,613,348,341,0,929,702,127,0
41,23323,log0,613,315,223,0,929,628,105,0
42,25948,log1,615,349,342,0,930,704,127,0
43,23383,log0,616,317,224,0,930,630,105,0
44,26008,log1,617,351,344,0,584,705,127,0
45,23443,log0,617,318,225,0,931,632,105,0
46,26068,log1,618,352,345,0,585,706,128,0
47,23503,log0,618,319,226,0,585,633,105,0
48,26128,log1,618,352,345,0,586,707,129,0
49,23563,log0,618,319,226,0,586,634,106,0
50,26188,log1,620,354,347,0,934,708,129,0
51,23623,log0,620,321,228,0,934,635,106,0
52,26248,log1,621,355,348,0,935,710,129,0
53,23683,log0,621,322,229,0,935,637,106,0
54,26308,log1,622,356,349,0,936,711,130,0
55,23743,log0,622,323,230,0,936,638,107,0
56,23803,log0,622,323,230,0,590,640,108,0
57,26368,log1,622,356,349,0,590,713,131,0
58,26428,log1,622,356,349,0,938,714,131,0
59,23863,log0,622,323,230,0,938,641,108,0
60,26488,log1,624,357,350,0,592,717,131,0
61,23923,log0,624,324,230,0,592,644,108,0
62,26548,log1,626,358,351,0,593,719,131,0
63,23983,log0,626,325,230,0,593,646,108,0
