,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,22526,log1,447,322,252,0,571,325,259,0
1,20695,log0,447,291,232,0,571,293,233,0
2,22586,log1,448,323,252,0,572,326,260,0
3,20755,log0,448,292,233,0,572,294,234,0
4,22646,log1,449,324,253,0,573,327,261,0
5,20815,log0,449,293,234,0,573,295,235,0
6,22706,log1,450,325,254,0,574,328,262,0
7,20875,log0,450,294,235,0,574,296,236,0
8,22766,log1,451,326,255,0,575,329,263,0
9,20935,log0,450,294,235,0,575,297,237,0
10,22826,log1,452,327,256,0,576,330,264,0
11,20995,log0,452,295,235,0,576,298,238,0
12,22886,log1,454,329,257,0,577,331,265,0
13,21055,log0,454,297,237,0,577,299,239,0
14,22946,log1,454,329,257,0,578,332,266,0
15,21115,log0,454,297,237,0,578,300,240,0
16,23006,log1,456,331,258,0,578,332,266,0
17,21175,log0,456,299,239,0,578,300,240,0
18,23066,log1,457,332,259,0,579,333,267,0
19,21235,log0,457,300,240,0,579,301,241,0
20,23126,log1,458,333,259,0,580,334,268,0
21,21295,log0,458,301,241,0,580,302,242,0
22,23186,log1,459,334,260,0,581,335,269,0
23,21355,log0,459,302,242,0,581,303,243,0
24,23246,log1,460,335,260,0,581,335,269,0
25,21415,log0,460,303,243,0,581,303,243,0
26,23306,log1,461,336,261,0,582,336,270,0
27,21475,log0,461,304,244,0,582,304,244,0
28,23366,log1,462,337,262,0,583,337,271,0
29,21535,log0,462,305,245,0,583,305,245,0
30,23426,log1,463,338,263,0,584,338,271,0
31,21595,log0,463,306,246,0,584,306,246,0
32,23486,log1,463,338,263,0,585,339,272,0
33,21655,log0,463,306,246,0,585,307,247,0
34,23546,log1,464,339,264,0,586,340,273,0
35,21715,log0,464,307,247,0,586,308,247,0
36,23606,log1,465,340,265,0,586,340,273,0
37,21775,log0,465,308,248,0,586,308,247,0
38,23666,log1,466,341,266,0,586,340,273,0
39,21835,log0,466,309,249,0,586,308,247,0
40,23726,log1,467,342,266,0,586,340,273,0
41,21895,log0,467,310,249,0,586,308,247,0
42,23786,log1,468,343,267,0,589,341,273,0
43,21955,log0,468,311,250,0,589,309,248,0
44,22015,log0,469,312,251,0,590,310,249,0
45,23846,log1,469,344,267,0,590,342,274,0
46,22075,log0,470,313,252,0,591,311,250,0
47,23906,log1,470,345,268,0,591,343,275,0
48,23966,log1,472,347,270,0,592,344,276,0
49,22135,log0,472,315,253,0,592,312,251,0
50,24026,log1,473,348,271,0,594,346,277,0
51,22195,log0,473,316,254,0,594,314,252,0
52,24086,log1,474,349,272,0,595,347,278,0
53,22255,log0,474,317,254,0,595,315,252,0
54,24146,log1,475,350,273,0,596,348,279,0
55,22315,log0,475,318,255,0,596,316,253,0
56,24206,log1,476,351,274,0,598,350,281,0
57,22375,log0,476,319,256,0,598,318,255,0
58,24266,log1,476,351,274,0,599,351,282,0
59,22435,log0,477,320,257,0,599,319,255,0
60,24326,log1,477,352,275,0,600,352,283,0
61,22495,log0,477,320,257,0,600,320,256,0
62,24386,log1,479,354,276,0,601,353,284,0
63,22555,log0,479,321,257,0,601,321,257,0
64,24446,log1,479,354,276,0,602,354,285,0
65,22615,log0,479,321,257,0,602,322,258,0
66,24506,log1,480,355,277,0,604,356,286,0
67,22675,log0,480,322,258,0,604,324,259,0
68,24566,log1,481,356,278,0,605,357,287,0
69,22735,log0,481,323,259,0,605,325,260,0
70,24626,log1,482,357,279,0,605,357,287,0
71,22795,log0,482,324,260,0,605,325,260,0
72,24686,log1,483,358,280,0,606,358,288,0
73,22855,log0,483,325,261,0,606,326,261,0
74,24746,log1,485,360,282,0,607,359,289,0
75,22915,log0,485,327,262,0,607,327,262,0
76,24806,log1,486,361,283,0,608,360,290,0
77,22975,log0,486,328,263,0,608,328,263,0
