,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21464,log1,423,284,192,0,460,290,207,0
1,23902,log0,423,324,228,0,460,330,242,0
2,21524,log1,424,285,193,0,461,291,208,0
3,23962,log0,424,325,229,0,461,331,243,0
4,21584,log1,425,286,194,0,462,292,209,0
5,24022,log0,425,326,230,0,462,332,244,0
6,21644,log1,425,286,194,0,463,293,209,0
7,24082,log0,425,326,230,0,463,333,245,0
8,21704,log1,426,287,195,0,464,294,210,0
9,24142,log0,426,327,231,0,464,334,246,0
10,21764,log1,426,287,195,0,465,295,210,0
11,24202,log0,426,327,231,0,465,335,247,0
12,21824,log1,426,287,195,0,466,296,211,0
13,24262,log0,426,327,231,0,466,336,248,0
14,21884,log1,428,288,195,0,467,297,212,0
15,24322,log0,428,328,231,0,467,337,249,0
16,21944,log1,428,288,195,0,468,298,213,0
17,24382,log0,428,328,231,0,468,338,250,0
18,22004,log1,430,289,195,0,469,299,214,0
19,24442,log0,430,329,231,0,469,339,251,0
20,22064,log1,431,290,195,0,470,300,215,0
21,24502,log0,431,330,232,0,470,340,252,0
22,22124,log1,432,291,196,0,470,300,215,0
23,24562,log0,432,331,232,0,470,340,252,0
24,22184,log1,432,291,196,0,471,301,216,0
25,24622,log0,432,331,232,0,471,341,252,0
26,22244,log1,433,292,197,0,472,302,217,0
27,24682,log0,434,333,233,0,472,342,253,0
28,22304,log1,435,293,197,0,473,303,217,0
29,24742,log0,435,334,234,0,473,343,254,0
30,22364,log1,435,293,197,0,474,304,218,0
31,24802,log0,435,334,234,0,474,344,254,0
32,22424,log1,437,294,197,0,476,306,218,0
33,24862,log0,437,335,234,0,476,346,255,0
34,22484,log1,438,295,198,0,477,307,219,0
35,24922,log0,438,336,235,0,477,347,256,0
36,22544,log1,439,296,199,0,477,307,219,0
37,24982,log0,439,337,236,0,477,347,256,0
