,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,20905,log0,602,285,267,0,560,281,265,0
1,18732,log1,602,250,236,0,560,249,236,0
2,20965,log0,603,286,268,0,561,282,266,0
3,18792,log1,603,251,237,0,561,250,237,0
4,21025,log0,604,287,269,0,562,283,267,0
5,18852,log1,604,252,238,0,562,251,238,0
6,21085,log0,605,288,270,0,563,284,268,0
7,18912,log1,605,253,239,0,563,252,239,0
8,21145,log0,606,289,271,0,564,285,269,0
9,18972,log1,606,254,240,0,564,253,240,0
10,21205,log0,607,290,272,0,565,286,270,0
11,19032,log1,607,255,241,0,565,254,241,0
12,21265,log0,608,291,273,0,566,287,271,0
13,19092,log1,608,256,242,0,566,255,242,0
14,21325,log0,609,292,274,0,567,288,272,0
15,19152,log1,609,257,243,0,567,256,243,0
16,21385,log0,610,293,275,0,568,289,273,0
17,19212,log1,610,258,244,0,568,257,244,0
18,21445,log0,611,294,276,0,569,290,274,0
19,19272,log1,611,259,245,0,569,258,245,0
20,21505,log0,612,295,277,0,570,291,275,0
21,19332,log1,612,260,246,0,570,259,246,0
22,21565,log0,613,296,278,0,571,292,276,0
23,19392,log1,613,261,247,0,571,260,247,0
24,21625,log0,614,297,279,0,572,293,277,0
25,19452,log1,614,262,248,0,572,261,248,0
26,21685,log0,615,298,280,0,573,294,278,0
27,19512,log1,615,263,249,0,573,262,249,0
28,21745,log0,616,299,281,0,574,295,279,0
29,19572,log1,616,264,250,0,574,263,250,0
30,21805,log0,617,300,282,0,575,296,280,0
31,19632,log1,617,265,251,0,575,264,251,0
32,21865,log0,618,301,283,0,576,297,281,0
33,19692,log1,618,266,252,0,576,265,252,0
34,21925,log0,619,302,284,0,577,298,282,0
35,19752,log1,619,267,253,0,577,266,253,0
36,21985,log0,620,303,285,0,578,299,283,0
37,19812,log1,620,268,254,0,578,267,254,0
38,22045,log0,621,304,286,0,579,300,284,0
39,19872,log1,621,269,255,0,579,268,255,0
40,22105,log0,622,305,287,0,580,301,285,0
41,19932,log1,622,270,256,0,580,269,256,0
42,22165,log0,623,306,288,0,581,302,286,0
43,19992,log1,623,271,257,0,581,270,257,0
44,22225,log0,624,307,289,0,582,303,287,0
45,20052,log1,624,272,258,0,582,271,258,0
46,22285,log0,625,308,290,0,583,304,288,0
47,20112,log1,625,273,259,0,583,272,259,0
48,22345,log0,626,309,291,0,584,305,289,0
49,20172,log1,626,274,260,0,584,273,260,0
50,22405,log0,627,310,292,0,585,306,290,0
51,20232,log1,627,275,261,0,585,274,261,0
52,22465,log0,628,311,293,0,586,307,291,0
53,20292,log1,628,276,262,0,586,275,262,0
54,22525,log0,629,312,294,0,587,308,292,0
55,20352,log1,629,277,263,0,587,276,263,0
56,22585,log0,630,313,295,0,588,309,293,0
57,20412,log1,630,278,264,0,588,277,264,0
58,22645,log0,631,314,296,0,589,310,294,0
59,20472,log1,631,279,265,0,589,278,265,0
60,22705,log0,632,315,297,0,590,311,295,0
61,20532,log1,632,280,265,0,590,279,265,0
62,22765,log0,633,316,298,0,591,312,296,0
63,20592,log1,633,281,265,0,591,280,265,0
64,22825,log0,634,317,299,0,592,313,297,0
65,20652,log1,634,282,265,0,592,281,265,0
66,22885,log0,635,318,300,0,593,314,298,0
67,20712,log1,635,283,265,0,593,282,265,0
68,22945,log0,635,318,300,0,594,315,299,0
69,20772,log1,635,283,265,0,594,283,265,0
70,23005,log0,635,318,300,0,595,316,300,0
71,20832,log1,635,283,265,0,595,284,265,0
72,23065,log0,635,318,300,0,596,317,301,0
73,20892,log1,635,283,265,0,596,285,265,0
74,23125,log0,635,318,300,0,597,318,302,0
75,20952,log1,635,283,265,0,597,286,265,0
76,23185,log0,635,318,300,0,598,319,303,0
77,21012,log1,635,283,265,0,598,287,266,0
78,23245,log0,635,318,300,0,599,320,304,0
79,21072,log1,635,283,265,0,599,288,267,0
80,23305,log0,642,319,300,0,600,321,305,0
81,21132,log1,642,284,266,0,600,289,268,0
82,23365,log0,643,320,301,0,601,322,306,0
83,21192,log1,643,285,267,0,601,290,269,0
84,23425,log0,644,321,302,0,602,323,307,0
85,21252,log1,644,286,268,0,602,291,270,0
86,23485,log0,645,322,303,0,603,324,308,0
87,21312,log1,645,287,269,0,603,292,271,0
88,23545,log0,646,323,304,0,604,325,309,0
89,21372,log1,646,288,270,0,604,293,272,0
90,23605,log0,647,324,305,0,605,326,310,0
91,21432,log1,647,289,271,0,605,294,273,0
92,23665,log0,648,325,306,0,606,327,311,0
93,21492,log1,648,290,272,0,606,295,274,0
94,23725,log0,649,326,307,0,607,328,312,0
95,21552,log1,649,291,273,0,607,296,275,0
96,23785,log0,650,327,308,0,608,329,313,0
97,21612,log1,650,292,274,0,608,297,276,0
98,23845,log0,651,328,309,0,609,330,314,0
99,21672,log1,651,293,275,0,609,298,277,0
100,23905,log0,652,329,310,0,610,331,315,0
101,21732,log1,652,294,276,0,610,299,278,0
102,23965,log0,653,330,311,0,611,332,316,0
103,21792,log1,653,295,277,0,611,300,279,0
104,24025,log0,654,331,312,0,612,333,317,0
105,21852,log1,654,296,278,0,612,301,280,0
106,24085,log0,655,332,313,0,612,333,317,0
107,21912,log1,655,297,279,0,612,301,280,0
108,24145,log0,656,333,314,0,614,334,317,0
109,21972,log1,656,298,280,0,614,302,280,0
110,24205,log0,657,334,315,0,614,334,317,0
111,22032,log1,657,299,281,0,614,302,280,0
112,24265,log0,658,335,316,0,614,334,317,0
113,22092,log1,658,300,282,0,614,302,280,0
114,24325,log0,659,336,317,0,614,334,317,0
115,22152,log1,659,301,283,0,614,302,280,0
116,24385,log0,660,337,318,0,614,334,317,0
117,22212,log1,660,302,284,0,614,302,280,0
118,24445,log0,661,338,318,0,614,334,317,0
119,22272,log1,661,303,284,0,614,302,280,0
120,24505,log0,661,338,318,0,620,335,317,0
121,22332,log1,661,303,284,0,620,303,280,0
122,24565,log0,661,338,318,0,621,336,318,0
123,22392,log1,661,303,284,0,621,304,281,0
124,24625,log0,661,338,318,0,622,337,319,0
125,22452,log1,661,303,284,0,622,305,282,0
126,24685,log0,661,338,318,0,623,338,320,0
127,22512,log1,661,303,284,0,623,306,283,0
128,24745,log0,661,338,318,0,624,339,321,0
129,22572,log1,661,303,284,0,624,307,284,0
130,24805,log0,667,339,318,0,625,340,322,0
