,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,18185,log0,292,246,90,147,325,246,93,144
1,19768,log1,292,246,114,117,325,286,132,149
2,18245,log0,292,246,90,147,325,246,93,144
3,19828,log1,293,247,114,117,326,287,133,149
4,18305,log0,292,246,90,147,327,247,93,145
5,19888,log1,293,247,114,117,327,288,133,150
6,18365,log0,292,246,90,147,328,248,93,146
7,19948,log1,293,247,114,117,328,289,133,151
8,18425,log0,292,246,90,147,329,249,93,147
9,20008,log1,293,247,114,117,329,290,133,152
10,18485,log0,292,246,90,147,330,250,93,148
11,20068,log1,293,247,114,117,330,291,134,152
12,18545,log0,292,246,90,147,331,251,93,149
13,20128,log1,293,247,114,117,331,292,134,153
14,20188,log1,293,247,114,117,332,293,135,153
15,18605,log0,292,246,90,147,332,252,93,150
16,20248,log1,293,247,114,117,333,294,135,154
17,18665,log0,300,247,90,148,333,253,93,151
18,18725,log0,300,247,90,148,334,254,93,152
19,20308,log1,293,247,114,117,334,295,136,154
20,18785,log0,302,248,90,149,335,255,93,153
21,20368,log1,293,247,114,117,335,296,136,155
22,18845,log0,302,248,90,149,336,256,93,154
23,20428,log1,293,247,114,117,336,297,137,155
24,18905,log0,304,249,90,150,337,257,93,155
25,20488,log1,304,248,114,117,337,298,137,156
26,20548,log1,305,249,114,118,338,299,138,156
27,18965,log0,305,250,90,151,338,258,93,156
28,19025,log0,306,251,91,151,339,259,94,156
29,20608,log1,306,250,115,118,339,300,138,157
30,19085,log0,306,251,91,151,339,259,94,156
31,20668,log1,306,250,115,118,340,301,139,157
32,19145,log0,308,252,92,151,341,260,94,156
33,20728,log1,308,251,116,118,341,302,139,158
34,19205,log0,309,253,92,152,342,261,94,157
35,20788,log1,309,252,116,119,342,303,140,158
36,19265,log0,309,253,92,152,343,262,94,157
37,20848,log1,309,252,116,119,343,304,140,159
38,19325,log0,311,254,92,153,344,263,94,157
39,20908,log1,309,252,116,119,344,305,141,159
40,20968,log1,309,252,116,119,345,306,141,160
41,19385,log0,311,254,92,153,345,264,95,157
42,19446,log0,311,254,92,153,346,265,95,158
43,21028,log1,309,252,116,119,346,307,142,160
44,19505,log0,311,254,92,153,347,266,96,158
45,21088,log1,309,252,116,119,347,308,142,161
46,19565,log0,311,254,92,153,348,267,96,159
47,21148,log1,309,252,116,119,348,309,143,161
48,19625,log0,311,254,92,153,349,268,97,159
49,21208,log1,309,252,116,119,349,310,143,162
50,19685,log0,311,254,92,153,350,269,97,160
51,21268,log1,317,253,116,120,350,311,144,162
52,19745,log0,311,254,92,153,351,270,98,160
53,21328,log1,317,253,116,120,351,312,144,163
54,19805,log0,311,254,92,153,352,271,98,161
55,21388,log1,317,253,116,120,352,313,145,163
56,19865,log0,311,254,92,153,353,272,99,161
57,21448,log1,317,253,116,120,353,314,145,164
58,19925,log0,311,254,92,153,354,273,99,162
59,21508,log1,317,253,116,120,354,315,146,164
60,19985,log0,322,255,93,153,355,274,100,162
61,21568,log1,322,254,117,120,355,316,146,165
62,20045,log0,323,256,93,154,356,275,100,163
