,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,42622,log1,1133,710,345,347,342,331,155,165
1,124251,log0,1133,1099,534,542,342,331,157,163
2,42652,log1,1133,710,345,347,343,332,155,166
3,124281,log0,1133,1099,534,542,343,332,157,164
4,42682,log1,1134,711,345,348,343,332,155,166
5,124311,log0,1134,1100,534,543,343,332,157,164
6,124341,log0,1134,1100,534,543,344,333,158,164
7,42712,log1,1134,711,345,348,344,333,156,166
8,42742,log1,1135,712,346,348,344,333,156,166
9,124371,log0,1135,1101,535,543,344,333,158,164
10,42772,log1,1136,713,346,349,345,334,157,166
11,124401,log0,1136,1102,535,544,345,334,158,165
12,124431,log0,1136,1102,535,544,345,334,158,165
13,42802,log1,1136,713,346,349,345,334,157,166
14,124461,log0,1137,1103,536,544,346,335,158,166
15,42832,log1,1137,714,347,349,346,335,157,167
16,42862,log1,1137,714,347,349,347,336,158,167
17,124491,log0,1137,1103,536,544,347,336,159,166
18,124521,log0,1138,1104,536,545,347,336,159,166
19,42892,log1,1138,715,347,350,347,336,158,167
20,124551,log0,1138,1104,536,545,348,337,159,167
21,42922,log1,1138,715,347,350,348,337,158,168
22,42952,log1,1139,716,348,350,348,337,158,168
23,124581,log0,1139,1105,537,545,348,337,159,167
24,124611,log0,1139,1105,537,545,349,338,160,167
25,42982,log1,1139,716,348,350,349,338,159,168
26,43012,log1,1140,717,348,351,349,338,159,168
27,124641,log0,1140,1106,538,545,349,338,160,167
28,43042,log1,1140,717,348,351,350,339,159,169
29,124671,log0,1140,1106,538,545,350,339,160,168
30,124701,log0,1141,1107,538,546,350,339,160,168
31,43072,log1,1141,718,348,352,350,339,159,169
32,124731,log0,1141,1107,538,546,351,340,161,168
33,43102,log1,1141,718,348,352,351,340,160,169
34,43132,log1,1142,719,349,352,352,341,160,170
35,124761,log0,1142,1108,539,546,352,341,161,169
36,43162,log1,1143,720,349,353,352,341,160,170
37,124791,log0,1143,1109,539,547,352,341,161,169
38,43192,log1,1143,720,349,353,353,342,161,170
39,124821,log0,1143,1109,539,547,353,342,162,169
40,124851,log0,1144,1110,540,547,353,342,162,169
41,43222,log1,1144,721,350,353,353,342,161,170
42,124881,log0,1144,1110,540,547,354,343,163,169
43,43252,log1,1144,721,350,353,354,343,161,171
44,43282,log1,1145,722,350,354,354,343,161,171
45,124911,log0,1145,1111,540,548,354,343,163,169
46,124941,log0,1145,1111,540,548,355,344,163,170
47,43312,log1,1145,722,350,354,355,344,161,172
48,43342,log1,1146,723,351,354,355,344,161,172
49,124971,log0,1146,1112,541,548,355,344,163,170
50,43372,log1,1146,723,351,354,356,345,162,172
51,125001,log0,1146,1112,541,548,356,345,164,170
52,125031,log0,1147,1113,541,549,356,345,164,170
53,43402,log1,1147,724,351,355,356,345,162,172
54,43432,log1,1147,724,351,355,357,346,162,173
55,125061,log0,1147,1113,541,549,357,346,164,171
56,43462,log1,1148,725,352,355,358,347,163,173
57,125091,log0,1148,1114,542,549,358,347,165,171
58,125121,log0,1149,1115,542,550,358,347,165,171
59,43492,log1,1149,726,352,356,358,347,163,173
60,125151,log0,1149,1115,542,550,359,348,165,172
61,43522,log1,1149,726,352,356,359,348,164,173
62,125181,log0,1150,1116,543,550,359,348,165,172
63,43552,log1,1150,727,353,356,359,348,164,173
64,125211,log0,1150,1116,543,550,360,349,165,173
65,43582,log1,1150,727,353,356,360,349,164,174
66,43612,log1,1151,728,353,357,360,349,164,174
67,125241,log0,1151,1117,543,551,360,349,165,173
68,43642,log1,1151,728,353,357,361,350,165,174
69,125271,log0,1151,1117,543,551,361,350,166,173
70,43672,log1,1152,729,354,357,361,350,165,174
71,125301,log0,1152,1118,544,551,361,350,166,173
72,125331,log0,1153,1119,544,552,362,351,166,174
73,43702,log1,1153,730,354,358,362,351,165,175
74,125361,log0,1153,1119,544,552,362,351,166,174
75,43732,log1,1153,730,354,358,362,351,165,175
76,43762,log1,1154,731,355,358,363,352,166,175
77,125391,log0,1153,1119,544,552,363,352,167,174
78,125421,log0,1153,1119,544,552,363,352,167,174
79,43792,log1,1154,731,355,358,363,352,166,175
80,125451,log0,1155,1120,544,553,364,353,167,175
81,43822,log1,1155,732,355,359,364,353,166,176
82,43852,log1,1155,732,355,359,364,353,166,176
83,125481,log0,1155,1120,544,553,364,353,167,175
84,43882,log1,1156,733,356,359,365,354,167,176
85,125511,log0,1156,1121,545,553,365,354,168,175
86,43912,log1,1157,734,356,360,366,355,167,177
87,125541,log0,1157,1122,545,554,366,355,168,176
88,125571,log0,1157,1122,545,554,366,355,168,176
89,43942,log1,1157,734,356,360,366,355,167,177
90,43972,log1,1158,735,357,360,367,356,168,177
91,125601,log0,1158,1123,546,554,367,356,169,176
92,125631,log0,1158,1123,546,554,367,356,169,176
93,44002,log1,1158,735,357,360,367,356,168,177
94,125661,log0,1158,1123,546,554,368,357,169,177
95,44032,log1,1158,735,357,360,368,357,168,178
96,44062,log1,1158,735,357,360,368,357,168,178
97,125691,log0,1158,1123,546,554,368,357,169,177
98,44092,log1,1158,735,357,360,369,358,169,178
99,125721,log0,1160,1124,546,554,369,358,170,177
100,125751,log0,1161,1125,546,555,369,358,170,177
101,44122,log1,1161,736,357,360,369,358,169,178
102,44152,log1,1161,736,357,360,369,358,169,178
103,125781,log0,1161,1125,546,555,369,358,170,177
104,125811,log0,1162,1126,547,555,369,358,170,177
105,44182,log1,1162,737,358,360,371,359,169,179
106,44212,log1,1162,737,358,360,371,359,169,179
107,125841,log0,1162,1126,547,555,369,358,170,177
108,125871,log0,1163,1127,548,555,372,359,170,177
109,44242,log1,1163,738,359,360,372,360,170,179
110,125901,log0,1163,1127,548,555,372,359,170,177
111,44272,log1,1163,738,359,360,372,360,170,179
112,125931,log0,1164,1128,548,556,373,360,170,178
113,44302,log1,1164,739,359,361,373,361,170,180
114,125961,log0,1164,1128,548,556,373,360,170,178
115,44332,log1,1164,739,359,361,373,361,170,180
116,44362,log1,1164,739,359,361,374,362,171,180
117,125991,log0,1165,1129,549,556,374,361,171,178
118,44392,log1,1166,740,359,362,374,362,171,180
119,126021,log0,1166,1130,549,557,374,361,171,178
120,44422,log1,1166,740,359,362,375,363,171,181
121,126051,log0,1166,1130,549,557,375,362,171,179
122,126081,log0,1167,1131,550,557,375,362,171,179
123,44452,log1,1167,741,360,362,375,363,171,181
124,44482,log1,1167,741,360,362,376,364,172,181
125,126111,log0,1167,1131,550,557,376,363,172,179
126,44512,log1,1168,742,360,363,376,364,172,181
127,126141,log0,1168,1132,550,558,376,363,172,179
128,44542,log1,1168,742,360,363,377,365,172,182
129,126171,log0,1168,1132,550,558,377,364,172,180
130,126201,log0,1169,1133,551,558,377,364,172,180
131,44572,log1,1168,742,360,363,377,365,172,182
132,44602,log1,1168,742,360,363,378,366,173,182
133,126231,log0,1169,1133,551,558,378,365,173,180
134,44632,log1,1170,743,360,364,378,366,173,182
135,126261,log0,1170,1134,551,559,378,365,173,180
136,44662,log1,1170,743,360,364,379,367,173,183
137,126291,log0,1170,1134,551,559,379,366,173,181
138,126321,log0,1171,1135,552,559,380,367,174,181
139,44692,log1,1171,744,361,364,380,368,174,183
140,44722,log1,1172,745,361,365,380,368,174,183
141,126351,log0,1172,1136,552,560,380,367,174,181
142,44752,log1,1172,745,361,365,381,369,174,184
143,126381,log0,1172,1136,552,560,381,368,174,182
144,44782,log1,1173,746,362,365,381,369,174,184
145,126411,log0,1173,1137,553,560,381,368,174,182
146,126441,log0,1173,1137,553,560,382,369,175,182
147,44812,log1,1173,746,362,365,382,370,175,184
148,44842,log1,1174,747,362,366,382,370,175,184
149,126471,log0,1174,1138,553,561,382,369,175,182
150,44872,log1,1174,747,362,366,383,371,175,185
151,126501,log0,1174,1138,553,561,383,370,175,183
152,44902,log1,1175,748,363,366,383,371,175,185
153,126531,log0,1175,1139,554,561,383,370,175,183
154,44932,log1,1176,749,363,367,384,372,176,185
155,126561,log0,1176,1140,554,562,384,371,176,183
156,44962,log1,1176,749,363,367,385,373,176,186
157,126591,log0,1176,1140,554,562,385,372,176,184
158,126621,log0,1177,1141,555,562,385,372,176,184
159,44992,log1,1177,750,364,367,385,373,176,186
160,45022,log1,1177,750,364,367,385,373,176,186
161,126651,log0,1177,1141,555,562,386,373,177,184
