,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,24575,log1,3722,322,157,158,3709,328,172,148
1,27756,log0,3722,375,169,198,3709,385,169,202
2,27786,log0,3722,375,169,198,3709,385,169,202
3,24605,log1,3724,323,157,159,3710,329,172,149
4,27816,log0,3722,375,169,198,3711,386,169,203
5,24635,log1,3724,323,157,159,3711,330,172,149
6,27846,log0,3725,376,169,199,3712,387,170,203
7,24665,log1,3725,324,158,159,3712,331,172,150
8,27876,log0,3725,376,169,199,3712,387,170,203
9,24695,log1,3725,324,158,159,3712,331,172,150
10,27906,log0,3726,377,170,199,3712,387,170,203
11,24725,log1,3726,325,158,160,3712,331,172,150
12,27936,log0,3727,378,170,200,3713,388,170,204
13,24755,log1,3727,326,159,160,3713,332,173,150
14,27966,log0,3727,378,170,200,3714,389,171,204
15,24785,log1,3727,326,159,160,3714,333,173,151
16,24815,log1,3727,326,159,160,3714,333,173,151
17,27996,log0,3727,378,170,200,3714,389,171,204
18,24845,log1,3727,326,159,160,3715,334,174,151
19,28026,log0,3727,378,170,200,3715,390,171,205
20,24875,log1,3727,326,159,160,3716,335,174,152
21,28056,log0,3727,378,170,200,3715,390,171,205
22,24905,log1,3729,327,159,161,3716,335,174,152
23,28086,log0,3727,378,170,200,3715,390,171,205
24,28116,log0,3730,379,171,200,3715,390,171,205
25,24935,log1,3730,328,160,161,3716,335,174,152
26,24965,log1,3730,328,160,161,3717,336,175,152
27,28146,log0,3730,379,171,200,3717,391,171,206
28,24995,log1,3731,329,160,162,3717,336,175,152
29,28176,log0,3731,380,171,201,3717,391,171,206
30,28206,log0,3732,381,172,201,3717,391,171,206
31,25025,log1,3732,330,161,162,3717,336,175,152
32,25055,log1,3732,330,161,162,3717,336,175,152
33,28236,log0,3732,381,172,201,3718,392,172,206
34,28266,log0,3732,381,172,201,3719,393,172,207
35,25085,log1,3732,330,161,162,3719,337,175,153
36,28296,log0,3733,382,172,202,3719,393,172,207
37,25115,log1,3733,331,162,162,3719,337,175,153
38,28326,log0,3733,382,172,202,3719,393,172,207
39,25145,log1,3733,331,162,162,3719,337,175,153
40,28356,log0,3734,383,173,202,3720,394,173,207
41,25175,log1,3734,332,162,163,3720,338,176,153
42,28386,log0,3735,384,173,203,3720,394,173,207
43,25205,log1,3735,333,163,163,3720,338,176,153
44,25235,log1,3736,334,163,164,3721,339,176,154
45,28416,log0,3736,385,173,204,3721,395,173,208
46,25265,log1,3736,334,163,164,3721,339,176,154
47,28446,log0,3736,385,173,204,3721,395,173,208
48,25295,log1,3737,335,163,165,3721,339,176,154
49,28476,log0,3737,386,173,205,3721,395,173,208
50,28506,log0,3737,386,173,205,3723,396,173,209
51,25325,log1,3737,335,163,165,3723,340,176,155
52,28536,log0,3738,387,174,205,3724,397,174,209
53,25356,log1,3738,336,163,166,3724,341,177,155
54,28566,log0,3738,387,174,205,3724,397,174,209
55,25385,log1,3738,336,163,166,3724,341,177,155
56,25415,log1,3738,336,163,166,3724,341,177,155
57,28596,log0,3738,387,174,205,3724,397,174,209
58,28626,log0,3739,388,174,206,3725,398,174,210
59,25445,log1,3739,337,164,166,3725,342,177,156
60,25475,log1,3739,337,164,166,3725,342,177,156
61,28656,log0,3739,388,174,206,3725,398,174,210
62,28686,log0,3740,389,175,206,3726,399,175,210
63,25505,log1,3740,338,164,167,3726,343,177,157
64,28716,log0,3740,389,175,206,3727,400,175,211
65,25535,log1,3740,338,164,167,3726,343,177,157
66,25565,log1,3740,338,164,167,3728,344,177,158
67,28746,log0,3740,389,175,206,3728,401,176,211
68,25595,log1,3740,338,164,167,3728,344,177,158
69,28776,log0,3740,389,175,206,3728,401,176,211
70,28806,log0,3740,389,175,206,3728,401,176,211
71,25625,log1,3740,338,164,167,3728,344,177,158
72,28836,log0,3742,390,176,206,3729,402,176,212
73,25655,log1,3742,339,165,167,3729,345,178,158
74,25685,log1,3742,339,165,167,3730,346,178,159
75,28866,log0,3742,390,176,206,3730,403,177,212
76,28896,log0,3742,390,176,206,3730,403,177,212
77,25715,log1,3742,339,165,167,3730,346,178,159
78,25745,log1,3743,340,166,167,3731,347,179,159
79,28926,log0,3743,391,176,207,3731,404,177,213
80,28956,log0,3744,392,177,207,3731,404,177,213
81,25775,log1,3744,341,166,168,3731,347,179,159
82,28986,log0,3744,392,177,207,3731,404,177,213
83,25805,log1,3744,341,166,168,3731,347,179,159
84,29016,log0,3744,392,177,207,3732,405,178,213
85,25835,log1,3744,341,166,168,3732,348,180,159
86,25865,log1,3745,342,167,168,3733,349,180,160
87,29046,log0,3744,392,177,207,3732,405,178,213
88,25895,log1,3746,343,167,169,3734,350,180,161
89,29076,log0,3744,392,177,207,3732,405,178,213
90,29106,log0,3744,392,177,207,3732,405,178,213
91,25925,log1,3746,343,167,169,3734,350,180,161
92,25955,log1,3747,344,168,169,3735,351,181,161
93,29136,log0,3747,393,177,208,3735,406,178,214
94,25985,log1,3747,344,168,169,3735,351,181,161
95,29166,log0,3747,393,177,208,3735,406,178,214
96,29196,log0,3748,394,178,208,3736,407,179,214
97,26015,log1,3748,345,168,170,3736,352,181,162
98,26045,log1,3748,345,168,170,3736,352,181,162
99,29226,log0,3748,394,178,208,3736,407,179,214
100,26075,log1,3749,346,169,170,3737,353,182,162
101,29256,log0,3749,395,178,209,3737,408,179,215
102,26105,log1,3749,346,169,170,3737,353,182,162
103,29286,log0,3749,395,178,209,3737,408,179,215
104,26135,log1,3750,347,169,171,3738,354,182,163
105,29316,log0,3750,396,179,209,3738,409,180,215
106,26165,log1,3751,348,169,172,3738,354,182,163
107,29346,log0,3751,397,179,210,3738,409,180,215
108,29376,log0,3751,397,179,210,3739,410,180,216
109,26195,log1,3751,348,169,172,3739,355,182,164
110,29406,log0,3752,398,179,211,3740,411,181,216
111,26225,log1,3752,349,170,172,3740,356,183,164
112,26255,log1,3752,349,170,172,3740,356,183,164
113,29436,log0,3752,398,179,211,3740,411,181,216
114,26285,log1,3753,350,170,173,3740,356,183,164
115,29466,log0,3753,399,179,212,3740,411,181,216
116,29496,log0,3754,400,180,212,3741,412,181,217
117,26315,log1,3754,351,170,174,3741,357,183,165
118,26345,log1,3754,351,170,174,3742,358,183,166
119,29526,log0,3754,400,180,212,3742,413,182,217
120,29556,log0,3754,400,180,212,3742,413,182,217
121,26375,log1,3754,351,170,174,3742,358,183,166
122,29586,log0,3755,401,180,213,3742,413,182,217
123,26405,log1,3755,352,171,174,3742,358,183,166
124,26435,log1,3756,353,171,175,3743,359,184,166
125,29616,log0,3756,402,181,213,3743,414,182,218
126,26465,log1,3756,353,171,175,3743,359,184,166
127,29646,log0,3756,402,181,213,3743,414,182,218
128,26495,log1,3757,354,171,176,3743,359,184,166
129,29676,log0,3757,403,181,214,3743,414,182,218
130,26525,log1,3757,354,171,176,3744,360,184,167
131,29706,log0,3757,403,181,214,3744,415,183,218
132,29736,log0,3757,403,181,214,3745,416,183,219
133,26555,log1,3757,354,171,176,3745,361,184,168
134,26585,log1,3758,355,172,176,3745,361,184,168
