,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21740,log1,529,233,73,148,506,240,66,157
1,20822,log0,529,215,54,149,506,214,53,149
2,21770,log1,529,233,73,148,506,240,66,157
3,20852,log0,529,215,54,149,506,214,53,149
4,21800,log1,529,233,73,148,508,241,66,158
5,20882,log0,529,215,54,149,508,215,54,149
6,21830,log1,529,233,73,148,508,241,66,158
7,20912,log0,529,215,54,149,508,215,54,149
8,21860,log1,529,233,73,148,508,241,66,158
9,20942,log0,529,215,54,149,508,215,54,149
10,21890,log1,529,233,73,148,509,242,66,159
11,20972,log0,529,215,54,149,509,216,54,150
12,21920,log1,533,234,73,148,509,242,66,159
13,21002,log0,533,216,54,150,509,216,54,150
14,21950,log1,533,234,73,148,510,243,67,159
15,21032,log0,533,216,54,150,510,217,54,151
16,21980,log1,534,235,73,148,510,243,67,159
17,21062,log0,534,217,54,151,510,217,54,151
18,22010,log1,534,235,73,148,510,243,67,159
19,21092,log0,534,217,54,151,510,217,54,151
20,22040,log1,534,235,73,148,511,244,67,160
21,21122,log0,534,217,54,151,511,218,54,152
22,22070,log1,535,236,73,149,511,244,67,160
23,21152,log0,535,218,55,151,511,218,54,152
24,22100,log1,535,236,73,149,512,245,67,161
25,21182,log0,535,218,55,151,512,219,55,152
26,22130,log1,536,237,73,150,512,245,67,161
27,21213,log0,536,219,55,152,512,219,55,152
28,22160,log1,536,237,73,150,512,245,67,161
29,21242,log0,536,219,55,152,512,219,55,152
30,22190,log1,536,237,73,150,513,246,68,161
31,21272,log0,536,219,55,152,513,220,55,153
32,22220,log1,536,237,73,150,513,246,68,161
33,21302,log0,536,219,55,152,513,220,55,153
34,22250,log1,536,237,73,150,513,246,68,161
35,21332,log0,536,219,55,152,513,220,55,153
36,22280,log1,536,237,73,150,514,247,68,162
37,21362,log0,536,219,55,152,514,221,55,154
38,22310,log1,538,238,73,150,514,247,68,162
