,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,19788,log0,481,190,43,128,430,256,60,169
1,21934,log1,481,215,52,134,431,291,67,196
2,19848,log0,482,191,44,128,431,257,60,170
3,21994,log1,482,216,52,135,431,291,67,196
4,19908,log0,483,192,44,129,432,258,61,170
5,22054,log1,483,217,52,136,432,292,67,197
6,19969,log0,484,193,44,130,432,258,61,170
7,22114,log1,484,218,52,137,432,292,67,197
8,22174,log1,485,219,52,138,434,293,67,198
9,20028,log0,485,194,44,131,432,258,61,170
10,20088,log0,486,195,44,132,435,259,61,170
11,22234,log1,486,220,52,139,435,294,67,199
12,20148,log0,487,196,44,133,435,259,61,170
13,22294,log1,487,221,53,139,435,294,67,199
14,20208,log0,487,196,44,133,435,259,61,170
15,22354,log1,488,222,53,140,435,294,67,199
16,22414,log1,489,223,53,141,435,294,67,199
17,20268,log0,488,197,45,133,435,259,61,170
18,20328,log0,489,198,45,134,435,259,61,170
19,22474,log1,490,224,53,142,435,294,67,199
20,20388,log0,490,199,45,135,435,259,61,170
21,22534,log1,490,224,53,142,435,294,67,199
22,20448,log0,491,200,46,135,435,259,61,170
23,22594,log1,491,225,54,142,435,294,67,199
24,20508,log0,492,201,46,136,435,259,61,170
25,22655,log1,492,226,54,143,435,294,67,199
26,20569,log0,493,202,46,137,435,259,61,170
27,22716,log1,493,227,54,144,435,294,67,199
28,22774,log1,494,228,54,144,435,294,67,199
29,20629,log0,494,203,46,138,435,259,61,170
30,20688,log0,495,204,47,138,435,259,61,170
31,22834,log1,495,229,54,145,435,294,67,199
32,20748,log0,496,205,47,139,435,259,61,170
33,22894,log1,496,230,54,146,435,294,67,199
34,20808,log0,496,205,47,139,435,259,61,170
35,22954,log1,496,230,54,146,435,294,67,199
36,20868,log0,498,206,48,139,435,259,61,170
37,23014,log1,498,231,55,146,435,294,67,199
38,20928,log0,499,207,48,140,449,260,61,170
39,23074,log1,499,232,55,147,449,295,67,200
40,20988,log0,500,208,48,141,450,261,62,170
41,23134,log1,500,233,55,148,450,296,67,201
42,21048,log0,500,208,48,141,451,262,62,171
43,23194,log1,500,233,55,148,450,296,67,201
44,21108,log0,502,209,49,141,451,262,62,171
45,23254,log1,502,234,55,149,450,296,67,201
46,21168,log0,503,210,49,142,451,262,62,171
47,23314,log1,503,235,55,150,450,296,67,201
48,21228,log0,504,211,49,143,454,263,63,171
49,23374,log1,504,236,56,150,454,297,68,201
50,21288,log0,505,212,49,144,454,263,63,171
51,23434,log1,505,237,56,151,454,297,68,201
52,21348,log0,506,213,50,144,456,264,63,171
53,23494,log1,506,238,56,152,456,298,68,201
54,21408,log0,507,214,50,145,457,265,63,172
55,23554,log1,507,239,56,153,457,299,68,201
56,21468,log0,508,215,50,146,458,266,64,172
57,23614,log1,508,240,56,154,458,300,68,202
58,21528,log0,509,216,51,146,458,266,64,172
59,23674,log1,509,241,56,155,458,300,68,202
60,21588,log0,510,217,51,147,458,266,64,172
61,23734,log1,510,242,56,156,458,300,68,202
62,21648,log0,511,218,51,148,461,267,64,172
63,23794,log1,511,243,57,156,461,301,69,202
64,21708,log0,512,219,52,148,461,267,64,172
65,23854,log1,512,244,57,157,461,301,69,202
66,21768,log0,513,220,52,149,461,267,64,172
67,23914,log1,513,245,57,158,461,301,69,202
68,21828,log0,514,221,52,150,461,267,64,172
69,23974,log1,514,246,58,158,461,301,69,202
70,21888,log0,515,222,52,151,461,267,64,172
71,24034,log1,515,247,58,159,461,301,69,202
72,21948,log0,516,223,53,151,466,268,64,172
73,24094,log1,516,248,58,160,466,302,69,202
74,22008,log0,517,224,53,152,466,268,64,172
75,24154,log1,517,249,59,160,466,302,69,202
76,24214,log1,518,250,59,161,466,302,69,202
77,22068,log0,518,225,53,153,466,268,64,172
78,22128,log0,518,225,53,153,466,268,64,172
79,24274,log1,518,250,59,161,466,302,69,202
80,22188,log0,518,225,53,153,466,268,64,172
81,24334,log1,518,250,59,161,466,302,69,202
82,22248,log0,521,226,53,154,471,269,65,172
83,24394,log1,521,251,59,162,471,303,69,202
84,22308,log0,522,227,53,155,471,269,65,172
85,24454,log1,522,252,59,163,471,303,69,202
86,22368,log0,522,227,53,155,471,269,65,172
87,24514,log1,522,252,59,163,471,303,69,202
88,22428,log0,522,227,53,155,471,269,65,172
89,24574,log1,522,252,59,163,471,303,69,202
90,22488,log0,522,227,53,155,471,269,65,172
91,24634,log1,522,252,59,163,471,303,69,202
92,22548,log0,522,227,53,155,471,269,65,172
93,24694,log1,522,252,59,163,471,303,69,202
94,22608,log0,522,227,53,155,471,269,65,172
95,24754,log1,522,252,59,163,471,303,69,202
96,22668,log0,522,227,53,155,471,269,65,172
97,24814,log1,522,252,59,163,471,303,69,202
98,22728,log0,522,227,53,155,471,269,65,172
99,24874,log1,522,252,59,163,471,303,69,202
100,22788,log0,530,228,53,156,471,269,65,172
101,24934,log1,530,253,60,163,471,303,69,202
102,22848,log0,531,229,54,156,481,270,65,172
103,24994,log1,531,254,60,164,471,303,69,202
104,22908,log0,532,230,54,157,481,270,65,172
105,25054,log1,532,255,60,165,471,303,69,202
106,22968,log0,533,231,54,158,483,271,65,172
107,25114,log1,533,256,60,166,483,304,69,202
108,23028,log0,534,232,54,159,483,271,65,172
109,25174,log1,534,257,61,166,483,304,69,202
110,23088,log0,535,233,55,159,483,271,65,172
111,25234,log1,535,258,61,167,483,304,69,202
112,23148,log0,536,234,55,160,483,271,65,172
113,25294,log1,536,259,61,168,483,304,69,202
114,23208,log0,537,235,55,161,483,271,65,172
115,25354,log1,537,260,62,168,483,304,69,202
116,23268,log0,538,236,55,162,483,271,65,172
117,25414,log1,538,261,62,169,483,304,69,202
118,23328,log0,539,237,56,162,483,271,65,172
119,25474,log1,539,262,62,170,483,304,69,202
120,23388,log0,540,238,56,163,483,271,65,172
121,25534,log1,540,263,63,170,483,304,69,202
122,23448,log0,541,239,56,164,483,271,65,172
123,25594,log1,541,264,63,171,491,305,69,202
124,23508,log0,542,240,56,165,491,272,65,172
125,25655,log1,542,265,63,172,491,305,69,202
126,23568,log0,543,241,57,165,491,272,65,172
127,25715,log1,543,266,63,173,493,306,69,202
128,23628,log0,543,241,57,165,493,273,65,172
129,25774,log1,544,267,64,173,493,306,69,202
130,23688,log0,544,242,57,166,493,273,65,172
131,25835,log1,545,268,64,174,493,306,69,202
132,23748,log0,545,243,57,167,493,273,65,172
133,25894,log1,545,268,64,174,493,306,69,202
134,23808,log0,546,244,58,167,496,274,65,172
135,25954,log1,546,269,64,175,496,307,69,202
136,23868,log0,547,245,58,168,496,274,65,172
137,26014,log1,547,270,65,175,496,307,69,202
138,23928,log0,548,246,58,169,498,275,65,172
139,26074,log1,548,271,65,176,498,308,69,202
140,23988,log0,549,247,59,169,499,276,65,172
141,26134,log1,549,272,65,177,499,309,69,203
142,24048,log0,550,248,59,170,500,277,65,172
143,26194,log1,550,273,66,177,500,310,69,204
144,24108,log0,551,249,59,171,500,277,65,172
145,26254,log1,551,274,66,178,500,310,69,204
146,24168,log0,552,250,59,172,502,278,66,172
147,26316,log1,552,275,66,179,502,311,70,204
148,24228,log0,553,251,60,172,503,279,66,173
149,26376,log1,553,276,66,180,503,312,70,205
150,26434,log1,554,277,66,181,503,312,70,205
151,24290,log0,554,252,60,173,504,280,66,174
152,24348,log0,555,253,60,174,505,281,67,174
153,26494,log1,555,278,66,182,505,313,71,205
154,24408,log0,556,254,60,175,506,282,67,175
155,26554,log1,556,279,67,182,506,314,71,206
156,24468,log0,557,255,60,176,506,282,67,175
157,26614,log1,557,280,67,183,506,314,71,206
158,24528,log0,558,256,60,177,506,282,67,175
159,26674,log1,558,281,67,184,506,314,71,206
160,24588,log0,559,257,61,177,509,283,68,175
161,26734,log1,559,282,68,184,509,315,71,207
162,24648,log0,560,258,61,178,510,284,68,176
163,26794,log1,560,283,68,185,510,316,71,208
164,24708,log0,561,259,61,179,510,284,68,176
165,26854,log1,561,284,68,186,510,316,71,208
166,24768,log0,562,260,61,180,512,285,69,176
167,26914,log1,562,285,69,186,512,317,71,209
168,24828,log0,563,261,62,180,513,286,69,177
169,26974,log1,563,286,69,187,513,318,71,210
170,24888,log0,564,262,62,181,513,286,69,177
171,27034,log1,564,287,69,188,513,318,71,210
