,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,19158,log0,12926,223,80,137,12908,227,74,145
1,20102,log1,12926,251,89,157,12908,238,91,136
2,19188,log0,12927,224,80,138,12908,227,74,145
3,20132,log1,12926,251,89,157,12908,238,91,136
4,19218,log0,12928,225,80,139,12910,228,74,146
5,20162,log1,12926,251,89,157,12908,238,91,136
6,19248,log0,12928,225,80,139,12910,228,74,146
7,20192,log1,12926,251,89,157,12908,238,91,136
8,19278,log0,12929,226,80,140,12910,228,74,146
9,20222,log1,12929,252,89,158,12908,238,91,136
10,19308,log0,12929,226,80,140,12911,229,74,147
11,20252,log1,12929,252,89,158,12911,239,92,136
12,20282,log1,12930,253,89,159,12911,239,92,136
13,19338,log0,12930,227,81,140,12911,229,74,147
14,19368,log0,12931,228,81,141,12911,229,74,147
15,20312,log1,12931,254,89,160,12911,239,92,136
16,19398,log0,12931,228,81,141,12912,230,74,148
17,20342,log1,12931,254,89,160,12912,240,92,137
18,19428,log0,12932,229,81,142,12913,231,75,148
19,20372,log1,12931,254,89,160,12912,240,92,137
20,19458,log0,12932,229,81,142,12913,231,75,148
21,20402,log1,12931,254,89,160,12912,240,92,137
22,19488,log0,12932,229,81,142,12913,231,75,148
23,20432,log1,12931,254,89,160,12912,240,92,137
24,19518,log0,12933,230,81,143,12914,232,75,149
25,20462,log1,12931,254,89,160,12912,240,92,137
26,20492,log1,12931,254,89,160,12912,240,92,137
27,19549,log0,12933,230,81,143,12914,232,75,149
28,20522,log1,12934,255,90,160,12915,241,92,138
29,19578,log0,12934,231,82,143,12915,233,76,149
30,19608,log0,12934,231,82,143,12916,234,76,150
31,20552,log1,12934,255,90,160,12916,242,93,138
32,19638,log0,12935,232,82,144,12916,234,76,150
33,20582,log1,12935,256,90,161,12916,242,93,138
34,19668,log0,12935,232,82,144,12916,234,76,150
35,20612,log1,12935,256,90,161,12916,242,93,138
36,19698,log0,12936,233,83,144,12917,235,76,151
37,20642,log1,12936,257,90,162,12917,243,93,139
38,19728,log0,12936,233,83,144,12917,235,76,151
39,20672,log1,12936,257,90,162,12917,243,93,139
40,19758,log0,12937,234,83,145,12917,235,76,151
41,20702,log1,12937,258,90,163,12917,243,93,139
42,19788,log0,12937,234,83,145,12917,235,76,151
43,20732,log1,12937,258,90,163,12917,243,93,139
44,19818,log0,12937,234,83,145,12919,236,76,152
45,20762,log1,12937,258,90,163,12919,244,93,140
46,19848,log0,12937,234,83,145,12919,236,76,152
47,20792,log1,12937,258,90,163,12919,244,93,140
48,19878,log0,12939,235,83,146,12919,236,76,152
49,20822,log1,12939,259,90,164,12919,244,93,140
50,19908,log0,12939,235,83,146,12919,236,76,152
51,20852,log1,12939,259,90,164,12919,244,93,140
52,19938,log0,12940,236,84,146,12919,236,76,152
53,20882,log1,12940,260,91,164,12919,244,93,140
54,19968,log0,12940,236,84,146,12921,237,77,152
55,20912,log1,12940,260,91,164,12921,245,93,141
56,19998,log0,12941,237,84,147,12921,237,77,152
57,20942,log1,12941,261,91,165,12921,245,93,141
58,20028,log0,12941,237,84,147,12921,237,77,152
59,20972,log1,12941,261,91,165,12921,245,93,141
60,20058,log0,12942,238,84,148,12921,237,77,152
61,21002,log1,12942,262,91,166,12922,246,93,142
62,20088,log0,12942,238,84,148,12921,237,77,152
63,21032,log1,12942,262,91,166,12922,246,93,142
64,20118,log0,12943,239,84,149,12923,238,77,153
65,21062,log1,12943,263,91,167,12923,247,94,142
66,20148,log0,12943,239,84,149,12924,239,78,153
67,21092,log1,12943,263,91,167,12924,248,94,143
