,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,116554,log1,207,249,116,82,711,699,389,295
1,50460,log0,207,220,117,80,711,461,216,170
2,116624,log1,208,250,117,82,712,700,390,295
3,50530,log0,208,221,118,80,712,462,217,170
4,116694,log1,209,251,117,83,713,701,390,296
5,50600,log0,209,222,118,81,713,463,217,171
6,116764,log1,209,251,117,83,714,702,390,297
7,50670,log0,209,222,118,81,714,464,218,171
8,116834,log1,210,252,118,83,714,702,390,297
9,50740,log0,210,223,119,81,714,464,218,171
10,116904,log1,211,253,118,84,715,703,391,297
11,50810,log0,211,224,119,82,715,465,218,172
12,116974,log1,212,254,119,84,715,703,391,297
13,50880,log0,212,225,120,82,715,465,218,172
14,117044,log1,213,255,119,85,716,704,391,298
15,50950,log0,213,226,120,83,716,466,218,173
16,51020,log0,213,226,120,83,717,467,219,173
17,117114,log1,213,255,119,85,717,705,391,299
18,117184,log1,214,256,120,85,718,706,392,299
19,51090,log0,214,227,121,83,718,468,220,173
20,117254,log1,215,257,120,86,718,706,392,299
21,51160,log0,215,228,121,84,718,468,220,173
22,117324,log1,215,257,120,86,719,707,392,300
23,51230,log0,215,228,121,84,719,469,220,174
24,117394,log1,215,257,120,86,720,708,393,300
25,51300,log0,215,228,121,84,720,470,221,174
26,117464,log1,215,257,120,86,720,708,393,300
27,51370,log0,215,228,121,84,720,470,221,174
28,117534,log1,217,258,121,86,721,709,394,300
29,51440,log0,217,229,122,84,721,471,222,174
30,117604,log1,218,259,121,87,722,710,394,301
31,51510,log0,218,230,122,85,722,472,222,175
32,117674,log1,219,260,122,87,722,710,394,301
33,51580,log0,219,231,122,86,722,472,222,175
34,117744,log1,220,261,122,88,723,711,395,301
35,51650,log0,220,232,123,86,723,473,223,175
36,117814,log1,220,261,122,88,724,712,395,302
37,51720,log0,220,232,123,86,724,474,223,176
38,117884,log1,221,262,123,88,724,712,395,302
39,51790,log0,221,233,124,86,724,474,223,176
40,117954,log1,222,263,123,89,724,712,395,302
41,51860,log0,222,234,124,87,724,474,223,176
42,118024,log1,223,264,124,89,726,713,396,302
43,51930,log0,223,235,124,87,726,475,223,176
44,52000,log0,223,235,124,87,727,476,223,177
45,118094,log1,223,264,124,89,727,714,396,303
46,118164,log1,224,265,124,90,728,715,397,303
47,52070,log0,224,236,124,88,728,477,224,177
48,118234,log1,224,265,124,90,728,715,397,303
49,52140,log0,224,236,124,88,728,477,224,177
50,118304,log1,225,266,125,90,729,716,398,303
51,52210,log0,225,237,125,88,729,478,225,177
52,118374,log1,226,267,125,91,729,716,398,303
53,52280,log0,226,238,125,89,729,478,225,177
54,118444,log1,227,268,125,92,730,717,399,303
55,52350,log0,227,239,125,90,730,479,225,178
56,118514,log1,228,269,126,92,731,718,399,304
57,52420,log0,228,240,126,90,731,480,225,179
58,118584,log1,228,269,126,92,732,719,399,305
59,52490,log0,228,240,126,90,732,481,226,179
60,118654,log1,229,270,127,92,732,719,399,305
61,52560,log0,229,241,127,90,732,481,226,179
62,118724,log1,229,270,127,92,732,719,399,305
63,52630,log0,229,241,127,90,732,481,226,179
64,118794,log1,230,271,127,93,732,719,399,305
65,52700,log0,230,242,127,91,732,481,226,179
66,52770,log0,231,243,128,91,734,482,227,179
67,118864,log1,231,272,128,93,734,720,400,305
68,118934,log1,231,272,128,93,735,721,401,305
69,52840,log0,231,243,128,91,735,483,228,179
70,119004,log1,232,273,129,93,735,721,401,305
71,52910,log0,232,244,129,91,735,483,228,179
72,119074,log1,233,274,130,93,736,722,401,306
73,52980,log0,233,245,129,92,736,484,229,179
74,119144,log1,233,274,130,93,736,722,401,306
75,53050,log0,233,245,129,92,736,484,229,179
76,119214,log1,234,275,130,94,737,723,402,306
77,53120,log0,234,246,129,93,737,485,230,179
78,119284,log1,235,276,131,94,738,724,402,307
79,53190,log0,235,247,130,93,738,486,230,180
80,119354,log1,236,277,131,95,738,724,402,307
81,53260,log0,236,248,130,94,738,486,230,180
82,119424,log1,236,277,131,95,739,725,402,308
83,53330,log0,236,248,130,94,739,487,230,181
84,119494,log1,237,278,132,95,740,726,403,308
85,53400,log0,237,249,131,94,740,488,231,181
86,119564,log1,238,279,132,96,740,726,403,308
87,53470,log0,238,250,131,95,740,488,231,181
88,53540,log0,238,250,131,95,741,489,232,181
89,119634,log1,238,279,132,96,741,727,404,308
90,119704,log1,239,280,133,96,741,727,404,308
91,53610,log0,239,251,132,95,741,489,232,181
92,53680,log0,240,252,133,95,742,490,233,181
93,119774,log1,240,281,133,97,742,728,405,308
94,119844,log1,240,281,133,97,743,729,405,309
95,53750,log0,240,252,133,95,743,491,233,182
96,53820,log0,241,253,133,96,744,492,234,182
97,119914,log1,241,282,133,98,744,730,406,309
98,53890,log0,242,254,134,96,745,493,234,183
99,119984,log1,242,283,134,98,745,731,406,310
100,120054,log1,243,284,134,99,746,732,407,310
101,53960,log0,243,255,134,97,746,494,235,183
102,120124,log1,243,284,134,99,746,732,407,310
103,54030,log0,243,255,134,97,747,495,235,184
104,54100,log0,244,256,135,97,747,495,235,184
105,120194,log1,244,285,135,99,747,733,407,311
106,120264,log1,245,286,135,100,748,734,408,311
107,54170,log0,245,257,135,98,748,496,236,184
108,120334,log1,246,287,136,100,749,735,408,312
109,54240,log0,246,258,136,98,749,497,236,185
110,120404,log1,246,287,136,100,749,735,408,312
111,54310,log0,246,258,136,98,749,497,236,185
112,120474,log1,247,288,137,100,750,736,409,312
113,54380,log0,247,259,137,98,750,498,237,185
114,54450,log0,248,260,137,99,751,499,237,186
115,120544,log1,248,289,138,100,751,737,409,313
116,120614,log1,248,289,138,100,752,738,410,313
117,54520,log0,248,260,137,99,752,500,238,186
118,120684,log1,249,290,138,101,753,739,410,314
119,54590,log0,249,261,137,100,753,501,238,187
120,120754,log1,250,291,139,101,754,740,411,314
121,54660,log0,250,262,138,100,754,502,238,188
122,120824,log1,250,291,139,101,754,740,411,314
123,54730,log0,250,262,138,100,754,502,238,188
124,120894,log1,251,292,139,102,755,741,411,315
125,54800,log0,251,263,139,100,755,503,239,188
126,120964,log1,252,293,139,103,755,741,411,315
127,54870,log0,252,264,139,101,755,503,239,188
128,121034,log1,252,293,139,103,756,742,411,315
129,54940,log0,252,264,139,101,755,503,239,188
130,121104,log1,253,294,139,103,756,742,411,315
131,55010,log0,253,265,140,101,755,503,239,188
132,55080,log0,254,266,140,102,757,504,240,188
133,121174,log1,254,295,139,104,757,743,411,316
134,121244,log1,254,295,139,104,758,744,411,317
135,55150,log0,254,266,140,102,758,505,240,189
136,121314,log1,255,296,140,104,759,745,412,317
137,55220,log0,255,267,141,102,759,506,241,189
138,121384,log1,256,297,140,105,759,745,412,317
139,55290,log0,256,268,141,103,759,506,241,189
140,121454,log1,256,297,140,105,760,746,413,317
141,55360,log0,256,268,141,103,760,507,242,189
142,121524,log1,257,298,141,105,761,747,413,318
143,55430,log0,257,269,142,103,761,508,242,190
144,55500,log0,258,270,143,103,762,509,243,190
145,121594,log1,258,299,141,106,762,748,414,318
146,121664,log1,258,299,141,106,763,749,414,319
147,55570,log0,258,270,143,103,763,510,243,191
148,121734,log1,259,300,141,107,763,749,414,319
149,55640,log0,259,271,143,104,763,510,243,191
150,121804,log1,260,301,142,107,764,750,415,319
151,55710,log0,260,272,144,104,764,511,244,191
152,55780,log0,260,272,144,104,764,511,244,191
153,121874,log1,260,301,142,107,764,750,415,319
154,121944,log1,261,302,143,107,765,751,416,319
155,55850,log0,261,273,145,104,765,512,245,191
156,122014,log1,261,302,143,107,766,752,416,320
157,55920,log0,261,273,145,104,766,513,245,192
158,55990,log0,262,274,146,104,767,514,246,192
159,122084,log1,262,303,144,107,767,753,417,320
160,56060,log0,263,275,147,104,767,514,246,192
161,122154,log1,263,304,145,107,767,753,417,320
162,56130,log0,263,275,147,104,768,515,247,192
163,122224,log1,263,304,145,107,768,754,418,320
164,56200,log0,264,276,147,105,769,516,247,193
165,122294,log1,264,305,145,108,769,755,418,321
166,122364,log1,265,306,146,108,770,756,419,321
167,56270,log0,265,277,148,105,770,517,248,193
168,56340,log0,266,278,148,106,770,517,248,193
169,122434,log1,265,306,146,108,770,756,419,321
170,56410,log0,267,279,149,106,771,518,249,193
171,122504,log1,267,307,147,108,771,757,419,322
172,122574,log1,267,307,147,108,772,758,419,323
173,56480,log0,267,279,149,106,772,519,249,194
174,56550,log0,268,280,149,107,772,519,249,194
175,122644,log1,268,308,147,109,772,758,419,323
176,56620,log0,268,280,149,107,773,520,250,194
177,122714,log1,269,309,148,109,773,759,420,323
178,122784,log1,270,310,148,110,773,759,420,323
179,56690,log0,270,281,149,108,773,520,250,194
180,122854,log1,270,310,148,110,774,760,421,323
181,56760,log0,270,281,149,108,774,521,251,194
182,56830,log0,271,282,150,108,775,522,252,194
183,122924,log1,271,311,149,110,775,761,422,323
184,122994,log1,272,312,149,111,775,761,422,323
185,56900,log0,272,283,150,109,775,522,252,194
186,123064,log1,272,312,149,111,776,762,422,324
187,56970,log0,272,283,150,109,776,523,252,195
188,123134,log1,273,313,150,111,777,763,423,324
189,57040,log0,273,284,151,109,777,524,253,195
190,57110,log0,274,285,151,110,778,525,253,196
191,123204,log1,274,314,150,112,778,764,423,325
192,123274,log1,274,314,150,112,778,764,423,325
193,57180,log0,274,285,151,110,778,525,253,196
194,123344,log1,275,315,151,112,779,765,424,325
195,57250,log0,275,286,152,110,779,526,254,196
196,57320,log0,276,287,153,110,780,527,254,197
197,123414,log1,276,316,152,112,780,766,424,326
198,57390,log0,276,287,153,110,781,528,255,197
199,123484,log1,276,316,152,112,781,767,425,326
200,123554,log1,277,317,153,112,781,767,425,326
201,57460,log0,277,288,154,110,781,528,255,197
202,57530,log0,277,288,154,110,782,529,255,198
203,123624,log1,277,317,153,112,782,768,426,326
204,57600,log0,278,289,155,110,783,530,255,199
205,123694,log1,278,318,154,112,783,769,426,327
206,57670,log0,279,290,155,111,783,530,255,199
207,123764,log1,279,319,154,113,783,769,426,327
208,57740,log0,280,291,155,112,784,531,256,199
209,123834,log1,280,320,155,113,784,770,427,327
210,57810,log0,280,291,155,112,785,532,256,200
211,123904,log1,280,320,155,113,785,771,427,328
212,57880,log0,281,292,156,112,785,532,256,200
213,123974,log1,281,321,156,113,785,771,427,328
214,57950,log0,282,293,156,113,786,533,257,200
215,124044,log1,282,322,156,114,786,772,428,328
216,58020,log0,282,293,156,113,787,534,257,201
217,124114,log1,282,322,156,114,787,773,428,329
218,58090,log0,283,294,157,113,788,535,258,201
219,124184,log1,283,323,157,114,788,774,429,329
220,58160,log0,284,295,158,113,788,535,258,201
221,124254,log1,284,324,157,115,788,774,429,329
222,58230,log0,284,295,158,113,788,535,258,201
223,124324,log1,284,324,157,115,788,774,429,329
224,58300,log0,285,296,158,114,790,536,259,201
225,124394,log1,285,325,157,116,790,775,430,329
226,58370,log0,286,297,159,114,791,537,259,202
227,124464,log1,286,326,158,116,791,776,430,330
228,58440,log0,286,297,159,114,791,537,259,202
229,124534,log1,286,326,158,116,791,776,430,330
230,58510,log0,287,298,159,115,792,538,260,202
231,124604,log1,287,327,159,116,792,777,431,330
232,124674,log1,287,327,159,116,793,778,432,330
233,58580,log0,287,298,159,115,793,539,261,202
234,58650,log0,288,299,160,115,794,540,261,203
235,124744,log1,288,328,160,116,794,779,432,331
236,124814,log1,289,329,160,117,795,780,432,332
237,58720,log0,289,300,160,116,795,541,262,203
238,58790,log0,290,301,161,116,795,541,262,203
239,124884,log1,290,330,161,117,795,780,432,332
240,58860,log0,291,302,161,117,796,542,263,203
241,124954,log1,291,331,161,118,796,781,433,332
242,58930,log0,292,303,162,117,796,542,263,203
243,125024,log1,292,332,162,118,796,781,433,332
244,59000,log0,293,304,162,118,797,543,263,204
245,125094,log1,293,333,162,119,797,782,433,333
246,59070,log0,293,304,162,118,797,543,263,204
247,125164,log1,293,333,162,119,797,782,433,333
248,59140,log0,294,305,163,118,798,544,264,204
249,125234,log1,294,334,163,119,798,783,434,333
250,59210,log0,295,306,163,119,799,545,265,204
251,125304,log1,295,335,163,120,799,784,435,333
252,59280,log0,295,306,163,119,800,546,265,205
253,125374,log1,295,335,163,120,800,785,435,334
254,59350,log0,296,307,164,119,800,546,265,205
255,125444,log1,296,336,164,120,800,785,435,334
256,59420,log0,296,307,164,119,801,547,266,205
257,125514,log1,296,336,164,120,801,786,436,334
258,59490,log0,297,308,164,120,802,548,267,205
259,125584,log1,297,337,164,121,802,787,437,334
260,59560,log0,297,308,164,120,802,548,267,205
261,125654,log1,297,337,164,121,802,787,437,334
262,59630,log0,298,309,165,120,802,548,267,205
263,125724,log1,297,337,164,121,802,787,437,334
264,59700,log0,299,310,166,120,804,549,267,206
265,125794,log1,299,338,165,121,804,788,438,334
266,59770,log0,299,310,166,120,805,550,267,207
267,125864,log1,299,338,165,121,805,789,438,335
268,59840,log0,300,311,167,120,806,551,268,207
269,125934,log1,300,339,166,121,806,790,439,335
