,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,31142,log0,616,436,233,191,551,438,251,181
1,28336,log1,616,390,222,156,551,391,226,157
2,31202,log0,617,437,234,191,552,439,252,181
3,28396,log1,617,391,222,157,552,392,226,158
4,31262,log0,618,438,234,192,553,440,252,182
5,28456,log1,618,392,222,158,553,393,226,159
6,31322,log0,618,438,234,192,554,441,253,182
7,28516,log1,618,392,222,158,554,394,227,159
8,31382,log0,619,439,235,192,555,442,253,183
9,28576,log1,619,393,223,158,555,395,227,160
10,31442,log0,620,440,236,192,556,443,254,183
11,28636,log1,620,394,223,159,556,396,228,160
12,31502,log0,621,441,237,192,557,444,255,183
13,28696,log1,621,395,224,159,557,397,229,160
14,31562,log0,621,441,237,192,558,445,255,184
15,28756,log1,621,395,224,159,558,398,229,161
16,31622,log0,623,442,238,192,559,446,256,184
17,28816,log1,623,396,225,159,559,399,230,161
18,31682,log0,624,443,238,193,561,448,256,186
19,28876,log1,624,397,225,160,561,401,231,162
20,31742,log0,625,444,239,193,562,449,257,186
21,28936,log1,625,398,226,160,562,402,231,163
22,31802,log0,626,445,240,193,562,449,257,186
23,28996,log1,626,399,227,160,562,402,231,163
24,31862,log0,626,445,240,193,563,450,258,186
25,29056,log1,626,399,227,160,563,403,232,163
26,31922,log0,627,446,241,193,564,451,259,186
27,29116,log1,627,400,228,160,564,404,233,163
28,31982,log0,628,447,242,193,565,452,259,187
29,29176,log1,628,401,229,160,565,405,233,164
30,32042,log0,629,448,242,194,566,453,260,187
31,29236,log1,628,401,229,160,565,405,233,164
32,32102,log0,631,450,242,196,568,455,261,188
33,29296,log1,631,403,230,161,568,407,234,165
34,32162,log0,631,450,242,196,569,456,261,189
35,29356,log1,631,403,230,161,568,407,234,165
36,32222,log0,633,451,243,196,570,457,262,189
37,29416,log1,633,404,231,161,570,408,235,165
38,29476,log1,633,404,231,161,571,409,235,166
39,32282,log0,633,451,243,196,571,458,262,190
40,32342,log0,635,453,244,197,571,458,262,190
41,29536,log1,635,406,232,162,571,409,235,166
42,32402,log0,635,453,244,197,573,459,263,190
43,29596,log1,635,406,232,162,573,410,236,166
44,32462,log0,637,455,245,198,573,459,263,190
45,29656,log1,637,408,233,163,573,410,236,166
46,32522,log0,638,456,245,198,574,460,264,190
47,29716,log1,638,409,233,163,574,411,237,166
48,32582,log0,639,457,245,199,576,461,265,190
49,29776,log1,639,410,233,164,576,412,238,166
50,32642,log0,640,458,246,199,577,462,265,191
51,29836,log1,640,411,234,164,577,413,239,166
52,32702,log0,641,459,247,199,578,463,265,192
53,29896,log1,641,412,235,164,578,414,239,167
54,32762,log0,641,459,247,199,578,463,265,192
55,29956,log1,641,412,235,164,578,414,239,167
56,32822,log0,643,460,248,199,581,465,266,193
57,30016,log1,643,413,236,164,581,416,240,168
58,32882,log0,644,461,249,199,582,466,266,194
59,30076,log1,644,414,237,164,582,417,240,169
60,32942,log0,645,462,249,200,583,467,267,194
61,30136,log1,645,415,238,164,583,418,241,169
62,33002,log0,646,463,250,200,585,469,268,195
63,30196,log1,646,416,239,164,585,420,242,170
64,33062,log0,647,464,250,201,586,470,268,196
65,30256,log1,647,417,239,165,586,421,242,171
66,33122,log0,648,465,251,201,587,471,268,197
67,30316,log1,648,418,240,165,587,422,242,172
68,33182,log0,649,466,251,202,588,472,269,197
69,30376,log1,649,419,240,166,588,423,243,172
70,33242,log0,649,466,251,202,588,472,269,197
71,30436,log1,649,419,240,166,588,423,243,172
72,33302,log0,650,467,252,202,590,473,270,197
73,30496,log1,650,420,241,166,590,424,244,172
74,33362,log0,651,468,252,203,592,475,271,198
75,30556,log1,651,421,241,167,592,426,245,173
76,33422,log0,652,469,253,203,593,476,271,199
77,30616,log1,652,422,242,167,593,427,245,174
78,33482,log0,652,469,253,203,593,476,271,199
79,30676,log1,653,423,243,167,593,427,245,174
80,33542,log0,652,469,253,203,593,476,271,199
81,30736,log1,653,423,243,167,594,428,246,174
82,33602,log0,654,470,254,203,595,477,272,199
83,30796,log1,654,424,244,167,595,429,247,174
84,33662,log0,655,471,254,204,596,478,272,200
85,30856,log1,655,425,245,167,596,430,248,174
86,33722,log0,657,472,255,204,596,478,272,200
87,30916,log1,657,426,245,168,596,430,248,174
88,33782,log0,658,473,255,205,597,479,273,200
89,30976,log1,658,427,245,169,597,431,249,174
90,33842,log0,659,474,256,205,598,480,274,200
91,31036,log1,659,428,246,169,598,432,249,175
92,33902,log0,660,475,256,206,599,481,274,201
93,31096,log1,660,429,246,169,599,433,249,176
94,33962,log0,662,477,257,207,600,482,275,201
95,31156,log1,662,431,246,169,600,434,250,176
96,34022,log0,663,478,257,208,601,483,276,201
97,31216,log1,663,432,246,170,601,435,250,177
