,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,21092,log1,1727,257,133,111,1831,243,136,103
1,17683,log0,1728,202,98,92,1832,197,108,83
2,21152,log1,1727,257,133,111,1833,244,137,103
3,17743,log0,1729,203,98,93,1833,198,109,83
4,21212,log1,1730,258,134,111,1834,245,137,104
5,17803,log0,1730,204,99,93,1834,199,109,84
6,21272,log1,1731,259,135,111,1834,245,137,104
7,17863,log0,1731,205,99,94,1834,199,109,84
8,21332,log1,1731,259,135,111,1835,246,138,104
9,17923,log0,1731,205,99,94,1835,200,110,84
10,21392,log1,1732,260,136,111,1836,247,139,104
11,17983,log0,1732,206,99,95,1836,201,110,85
12,21452,log1,1734,262,136,113,1838,249,139,106
13,18043,log0,1734,208,100,96,1838,203,111,86
14,21512,log1,1735,263,137,113,1838,249,139,106
15,18103,log0,1735,209,101,96,1838,203,111,86
16,21572,log1,1736,264,137,114,1839,250,140,106
17,18163,log0,1736,210,101,97,1839,204,112,86
18,21632,log1,1737,265,138,114,1841,251,141,106
19,18223,log0,1737,211,102,97,1841,205,112,87
20,21692,log1,1738,266,139,114,1842,252,141,107
21,18283,log0,1737,211,102,97,1841,205,112,87
22,21752,log1,1739,267,140,114,1843,253,142,107
23,18343,log0,1739,212,103,97,1843,206,113,87
24,21812,log1,1740,268,141,114,1845,255,143,108
25,18403,log0,1740,213,104,97,1845,208,114,88
26,21872,log1,1741,269,141,115,1846,256,143,109
27,18463,log0,1741,214,104,98,1846,209,115,88
28,21932,log1,1742,270,142,115,1846,256,143,109
29,18523,log0,1742,215,105,98,1846,209,115,88
30,21992,log1,1743,271,142,116,1847,257,144,109
31,18583,log0,1743,216,105,99,1847,210,116,88
32,22052,log1,1744,272,143,116,1849,259,145,110
33,18643,log0,1744,217,106,99,1849,212,117,89
34,22112,log1,1745,273,144,116,1850,260,145,111
35,18703,log0,1745,218,107,99,1850,213,118,89
36,22172,log1,1746,274,145,116,1850,260,145,111
37,18763,log0,1746,219,108,99,1850,213,118,89
38,22232,log1,1747,275,145,117,1851,261,146,111
39,18823,log0,1747,220,108,100,1851,214,119,89
40,22292,log1,1747,275,145,117,1852,262,146,112
41,18883,log0,1747,220,108,100,1852,215,119,90
42,22352,log1,1747,275,145,117,1853,263,147,112
43,18943,log0,1747,220,108,100,1853,216,120,90
44,22412,log1,1749,276,146,117,1854,264,147,113
45,19003,log0,1749,221,109,100,1854,217,120,91
46,22472,log1,1750,277,147,117,1854,264,147,113
47,19063,log0,1750,222,110,100,1855,218,121,91
48,22532,log1,1751,278,148,117,1856,265,147,114
49,19123,log0,1751,223,111,100,1856,219,121,92
50,22592,log1,1752,279,149,117,1857,266,148,114
51,19183,log0,1752,224,111,101,1857,220,122,92
52,22652,log1,1752,279,149,117,1858,267,148,115
53,19243,log0,1752,224,111,101,1858,221,122,93
54,22712,log1,1755,281,150,118,1859,268,149,115
55,19303,log0,1755,226,112,102,1859,222,123,93
56,22772,log1,1756,282,150,119,1859,268,149,115
57,19363,log0,1756,227,112,103,1859,222,123,93
58,22832,log1,1757,283,151,119,1860,269,150,115
59,19423,log0,1757,228,113,103,1860,223,124,93
60,22892,log1,1757,283,151,119,1861,270,151,115
61,19483,log0,1757,228,113,103,1861,224,125,93
62,22952,log1,1758,284,152,119,1862,271,151,116
63,19543,log0,1758,229,114,103,1862,225,125,94
64,23012,log1,1759,285,153,119,1864,273,152,117
65,19603,log0,1759,230,114,104,1864,227,126,95
66,23072,log1,1759,285,153,119,1865,274,153,117
67,19663,log0,1760,231,114,105,1865,228,126,96
68,23132,log1,1761,286,154,119,1866,275,154,117
69,19723,log0,1761,232,114,106,1866,229,127,96
70,23192,log1,1762,287,154,120,1867,276,154,118
71,19783,log0,1762,233,114,107,1867,230,127,97
72,23252,log1,1762,287,154,120,1868,277,155,118
73,19843,log0,1762,233,114,107,1868,231,128,97
74,23312,log1,1764,288,154,121,1869,278,156,118
75,19903,log0,1764,234,114,108,1869,232,129,97
76,23372,log1,1764,288,154,121,1870,279,156,119
77,19963,log0,1764,234,114,108,1870,233,129,98
78,23432,log1,1767,290,155,122,1871,280,157,119
79,20023,log0,1767,236,115,109,1871,234,130,98
80,23492,log1,1767,290,155,122,1872,281,157,120
81,20083,log0,1767,236,115,109,1871,234,130,98
82,23552,log1,1769,291,155,123,1872,281,157,120
83,20143,log0,1767,236,115,109,1871,234,130,98
84,23612,log1,1770,292,156,123,1874,282,158,120
85,20203,log0,1770,237,116,109,1874,235,131,98
86,23672,log1,1771,293,156,124,1875,283,159,120
87,20263,log0,1771,238,116,110,1875,236,132,98
88,23732,log1,1772,294,157,124,1875,283,159,120
89,20323,log0,1772,239,117,110,1875,236,132,98
90,23792,log1,1772,294,157,124,1875,283,159,120
91,20383,log0,1772,239,117,110,1876,237,133,98
92,23852,log1,1772,294,157,124,1875,283,159,120
93,20443,log0,1773,240,117,111,1876,237,133,98
94,23912,log1,1775,296,158,125,1878,284,160,120
95,20503,log0,1775,242,118,112,1878,238,134,98
96,23972,log1,1775,296,158,125,1879,285,160,121
97,20563,log0,1775,242,118,112,1879,239,135,98
98,24032,log1,1777,298,159,126,1880,286,161,121
99,20623,log0,1777,244,119,113,1880,240,136,98
100,24092,log1,1778,299,160,126,1880,286,161,121
101,20683,log0,1778,245,120,113,1880,240,136,98
102,24152,log1,1779,300,160,127,1882,288,162,122
103,20743,log0,1780,247,121,114,1881,241,137,98
104,24212,log1,1781,301,161,127,1883,289,163,122
105,20803,log0,1781,248,122,114,1883,242,138,98
106,24272,log1,1781,301,161,127,1884,290,163,123
107,20863,log0,1781,248,122,114,1884,243,138,99
108,24332,log1,1781,301,161,127,1885,291,164,123
109,20923,log0,1781,248,122,114,1885,244,139,99
110,24392,log1,1783,302,162,127,1886,292,164,124
111,20983,log0,1783,249,123,114,1886,245,139,100
112,24452,log1,1783,302,162,127,1888,294,165,125
113,21043,log0,1783,249,123,114,1888,247,140,101
114,24512,log1,1785,303,162,128,1888,294,165,125
115,21103,log0,1785,250,123,115,1888,247,140,101
116,24572,log1,1786,304,163,128,1890,296,166,126
117,21163,log0,1786,251,124,115,1890,249,141,102
118,24632,log1,1786,304,163,128,1891,297,167,126
119,21223,log0,1786,251,124,115,1891,250,141,103
120,24692,log1,1786,304,163,128,1892,298,167,127
121,21283,log0,1786,251,124,115,1891,250,141,103
122,24752,log1,1788,305,164,128,1893,299,167,128
123,21343,log0,1788,252,124,116,1893,251,141,104
124,24812,log1,1789,306,165,128,1894,300,168,128
125,21403,log0,1789,253,125,116,1894,252,142,104
126,24872,log1,1789,306,165,128,1895,301,168,129
127,21463,log0,1789,253,125,116,1895,253,142,105
128,24932,log1,1791,308,165,130,1895,301,168,129
129,21523,log0,1790,254,126,116,1895,253,142,105
130,24992,log1,1791,308,165,130,1898,303,169,130
131,21583,log0,1792,255,127,116,1898,254,143,105
132,25052,log1,1792,309,165,131,1899,304,169,131
133,21643,log0,1792,255,127,116,1899,255,143,106
134,21703,log0,1793,256,128,116,1899,255,143,106
135,25112,log1,1793,310,166,131,1900,305,170,131
136,25172,log1,1794,311,167,131,1901,306,170,132
137,21763,log0,1794,257,128,117,1901,256,143,107
138,25232,log1,1794,311,167,131,1902,307,171,132
139,21823,log0,1794,257,128,117,1902,257,144,107
140,25292,log1,1795,312,168,131,1903,308,172,132
141,21883,log0,1795,258,129,117,1903,258,144,108
142,25352,log1,1797,314,169,132,1903,308,172,132
143,21943,log0,1797,260,130,118,1903,258,144,108
144,25412,log1,1798,315,169,133,1904,309,173,132
145,22003,log0,1798,261,130,119,1904,259,145,108
146,25472,log1,1799,316,170,133,1905,310,174,132
147,22063,log0,1799,262,131,119,1905,260,146,108
148,25532,log1,1799,316,170,133,1907,312,175,133
149,22123,log0,1800,263,131,120,1907,262,147,109
150,25592,log1,1800,317,170,134,1908,313,175,134
151,22183,log0,1800,263,131,120,1908,263,147,110
152,25652,log1,1800,317,170,134,1908,313,175,134
153,22243,log0,1801,264,132,120,1908,263,147,110
154,25712,log1,1802,318,171,134,1910,314,176,134
155,22303,log0,1802,265,133,120,1910,264,148,110
156,25772,log1,1802,318,171,134,1911,315,177,134
157,22363,log0,1802,265,133,120,1911,265,148,111
158,25832,log1,1803,319,172,134,1911,315,177,134
159,22423,log0,1803,266,133,120,1912,266,149,111
160,25892,log1,1804,320,173,134,1911,315,177,134
161,22483,log0,1804,267,133,121,1912,266,149,111
162,25952,log1,1805,321,173,135,1913,316,178,134
163,22543,log0,1805,268,133,122,1913,267,150,111
