,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,35132,log1,152,141,65,67,177,165,74,84
1,42161,log0,152,142,60,73,177,166,77,85
2,35202,log1,153,142,65,68,178,166,75,84
3,42231,log0,153,143,61,73,178,167,77,86
4,42301,log0,154,144,61,74,178,167,77,86
5,35272,log1,154,143,66,68,178,166,75,84
6,35342,log1,154,143,66,68,179,167,75,85
7,42371,log0,154,144,61,74,179,168,78,86
8,35412,log1,155,144,66,69,180,168,76,85
9,42441,log0,155,145,62,74,180,169,78,87
10,35482,log1,156,145,67,69,181,169,76,86
11,42511,log0,156,146,62,75,181,170,79,87
12,42581,log0,156,146,62,75,181,170,79,87
13,35552,log1,156,145,67,69,181,169,76,86
14,42651,log0,157,147,63,75,182,171,79,88
15,35622,log1,157,146,67,70,182,170,77,86
16,42721,log0,158,148,63,76,183,172,80,88
17,35692,log1,158,147,68,70,183,171,77,87
18,35762,log1,159,148,68,71,183,171,77,87
19,42791,log0,159,149,64,76,183,172,80,88
20,35832,log1,160,149,69,71,184,172,78,87
21,42861,log0,160,150,64,77,184,173,80,89
22,35902,log1,160,149,69,71,185,173,78,88
23,42931,log0,160,150,64,77,185,174,81,89
24,35972,log1,161,150,69,72,186,174,79,88
25,43001,log0,161,151,65,77,186,175,81,90
26,36042,log1,161,150,69,72,186,174,79,88
27,43071,log0,161,151,65,77,186,175,81,90
28,36112,log1,161,150,69,72,187,175,79,89
29,43141,log0,161,151,65,77,186,175,81,90
30,36182,log1,163,151,69,73,188,176,80,89
31,43211,log0,161,151,65,77,188,176,81,91
32,36252,log1,164,152,70,73,188,176,80,89
33,43281,log0,164,152,65,78,188,176,81,91
34,36322,log1,164,152,70,73,189,177,80,90
35,43351,log0,164,152,65,78,189,177,82,91
36,43421,log0,165,153,66,78,190,178,82,92
37,36392,log1,165,153,70,74,190,178,81,90
38,36462,log1,166,154,71,74,190,178,81,90
39,43491,log0,166,154,66,79,190,178,82,92
40,36532,log1,166,154,71,74,191,179,81,91
41,43561,log0,166,154,66,79,191,179,83,92
42,43631,log0,167,155,67,79,192,180,83,93
43,36602,log1,167,155,71,75,192,180,82,91
44,36672,log1,167,155,71,75,192,180,82,91
45,43701,log0,167,155,67,79,192,180,83,93
46,36742,log1,168,156,72,75,193,181,82,92
47,43771,log0,168,156,67,80,193,181,84,93
48,36812,log1,169,157,72,76,194,182,83,92
49,43841,log0,169,157,68,80,194,182,84,94
50,36882,log1,169,157,72,76,195,183,83,93
51,43911,log0,170,158,68,81,195,183,85,94
52,43981,log0,170,158,68,81,195,183,85,94
53,36952,log1,169,157,72,76,195,183,83,93
54,37022,log1,171,158,72,77,196,184,83,94
55,44051,log0,171,159,69,81,196,184,85,95
56,37092,log1,172,159,73,77,197,185,83,95
57,44121,log0,172,160,69,82,197,185,86,95
58,37162,log1,173,160,73,78,197,185,83,95
59,44191,log0,173,161,70,82,197,185,86,95
60,44261,log0,173,161,70,82,198,186,86,96
61,37232,log1,173,160,73,78,198,186,84,95
62,37302,log1,174,161,74,78,199,187,84,96
63,44331,log0,174,162,70,83,199,187,87,96
64,37372,log1,175,162,74,79,200,188,85,96
65,44401,log0,175,163,71,83,200,188,87,97
66,37442,log1,175,162,74,79,200,188,85,96
67,44471,log0,175,163,71,83,200,188,87,97
68,44541,log0,176,164,71,84,201,189,88,97
69,37512,log1,176,163,75,79,201,189,85,97
70,37582,log1,177,164,75,80,202,190,86,97
71,44611,log0,177,165,72,84,202,190,88,98
72,37652,log1,178,165,76,80,202,190,86,97
73,44681,log0,178,166,72,85,202,190,88,98
74,37722,log1,178,165,76,80,203,191,86,98
75,44751,log0,178,166,72,85,203,191,89,98
76,37792,log1,179,166,76,81,204,192,87,98
77,44821,log0,179,167,73,85,204,192,89,99
78,37862,log1,180,167,77,81,205,193,87,99
79,44891,log0,180,168,73,86,205,193,90,99
80,37932,log1,181,168,77,82,205,193,87,99
81,44961,log0,181,169,74,86,205,193,90,99
82,38002,log1,181,168,77,82,206,194,88,99
83,45031,log0,181,169,74,86,206,194,90,100
84,45101,log0,182,170,74,87,207,195,90,101
85,38072,log1,182,169,78,82,207,195,88,100
86,38142,log1,183,170,78,83,207,195,88,100
87,45171,log0,183,171,74,88,207,195,90,101
88,38212,log1,183,170,78,83,208,196,89,100
89,45241,log0,183,171,74,88,208,196,90,102
90,38282,log1,184,171,79,83,209,197,89,101
91,45311,log0,184,172,74,89,209,197,91,102
92,38352,log1,185,172,79,84,209,197,89,101
93,45381,log0,184,172,74,89,209,197,91,102
94,45451,log0,184,172,74,89,210,198,91,103
95,38422,log1,185,172,79,84,210,198,90,101
96,45521,log0,186,173,74,90,210,198,91,103
97,38492,log1,186,173,80,84,210,198,90,101
98,45591,log0,187,174,75,90,211,199,92,103
99,38562,log1,187,174,80,85,211,199,90,102
100,38632,log1,187,174,80,85,211,199,90,102
101,45661,log0,187,174,75,90,211,199,92,103
102,45731,log0,188,175,75,91,212,200,92,104
103,38702,log1,188,175,81,85,212,200,91,102
104,45801,log0,189,176,76,91,213,201,93,104
105,38772,log1,189,176,81,86,213,201,91,103
106,45871,log0,190,177,76,92,213,201,93,104
107,38842,log1,190,177,81,87,213,201,91,103
108,38912,log1,191,178,81,88,214,202,92,103
109,45941,log0,191,178,77,92,214,202,93,105
110,46011,log0,191,178,77,92,215,203,94,105
111,38982,log1,191,178,81,88,215,203,92,104
112,46081,log0,192,179,77,93,215,203,94,105
113,39052,log1,192,179,82,88,215,203,92,104
114,46151,log0,193,180,78,93,216,204,94,106
115,39122,log1,193,180,82,89,216,204,93,104
116,39192,log1,193,180,82,89,217,205,93,105
117,46221,log0,193,180,78,93,217,205,95,106
118,46291,log0,193,180,78,93,218,206,95,107
119,39262,log1,193,180,82,89,218,206,94,105
120,46361,log0,195,181,79,93,218,206,95,107
121,39332,log1,195,181,82,90,218,206,94,105
122,46431,log0,195,181,79,93,219,207,96,107
123,39402,log1,195,181,82,90,219,207,94,106
124,46501,log0,196,182,79,94,219,207,96,107
125,39472,log1,196,182,83,90,219,207,94,106
126,46571,log0,196,182,79,94,220,208,96,108
127,39542,log1,196,182,83,90,220,208,95,106
128,46641,log0,198,183,79,95,221,209,97,108
129,39612,log1,198,183,84,90,221,209,95,107
130,46711,log0,199,184,80,95,222,210,97,109
131,39682,log1,199,184,84,91,222,210,96,107
132,46781,log0,199,184,80,95,222,210,97,109
133,39752,log1,199,184,84,91,222,210,96,107
134,39822,log1,200,185,85,91,223,211,96,108
135,46851,log0,200,185,80,96,223,211,98,109
136,46921,log0,201,186,81,96,223,211,98,109
137,39892,log1,201,186,85,92,223,211,96,108
138,39962,log1,201,186,85,92,224,212,96,108
139,46991,log0,201,186,81,96,224,212,98,110
140,47061,log0,202,187,81,97,225,213,99,110
141,40032,log1,202,187,86,92,225,213,96,108
142,40102,log1,203,188,86,93,226,214,96,108
143,47131,log0,203,188,82,97,226,214,99,111
144,47201,log0,203,188,82,97,226,214,99,111
145,40172,log1,203,188,86,93,226,214,96,108
146,47271,log0,204,189,82,98,227,215,100,111
147,40242,log1,204,189,87,93,227,215,96,109
148,47341,log0,205,190,83,98,228,216,100,112
149,40312,log1,205,190,87,94,228,216,97,109
150,47411,log0,205,190,83,98,229,217,101,112
151,40382,log1,205,190,87,94,229,217,97,110
152,47481,log0,206,191,83,99,229,217,101,112
153,40452,log1,206,191,88,94,229,217,97,110
154,47551,log0,207,192,84,99,230,218,101,113
155,40522,log1,207,192,88,95,230,218,97,110
156,47621,log0,207,192,84,99,231,219,102,113
157,40592,log1,207,192,88,95,231,219,97,110
158,40662,log1,208,193,89,95,231,219,97,110
159,47691,log0,208,193,84,100,231,219,102,113
160,47761,log0,208,193,84,100,232,220,102,114
161,40732,log1,208,193,89,95,232,220,97,110
162,47831,log0,209,194,85,100,233,221,103,114
163,40802,log1,209,194,89,96,233,221,97,111
164,40872,log1,210,195,90,96,233,221,97,111
165,47901,log0,210,195,85,101,233,221,103,114
166,47971,log0,211,196,86,101,234,222,103,115
167,40942,log1,211,196,90,97,234,222,98,111
168,41012,log1,211,196,90,97,235,223,98,112
169,48041,log0,211,196,86,101,235,223,104,115
170,48111,log0,212,197,86,102,235,223,104,115
171,41082,log1,212,197,91,97,235,223,98,112
172,48181,log0,212,197,86,102,236,224,104,116
173,41152,log1,212,197,91,97,236,224,99,112
174,48251,log0,213,198,87,102,237,225,105,116
175,41222,log1,213,198,91,98,237,225,99,113
176,48321,log0,214,199,87,103,237,225,105,116
177,41292,log1,214,199,92,98,237,225,99,113
178,48391,log0,214,199,87,103,238,226,105,117
179,41362,log1,214,199,92,98,238,226,99,114
180,48461,log0,214,199,87,103,238,226,105,117
181,41432,log1,214,199,92,98,238,226,99,114
182,48531,log0,216,200,87,104,238,226,105,117
183,41502,log1,216,200,93,98,238,226,99,114
184,48601,log0,216,200,87,104,240,227,105,118
185,41572,log1,216,200,93,98,240,227,100,114
186,48671,log0,217,201,88,104,240,227,105,118
187,41642,log1,217,201,93,99,240,227,100,114
188,48741,log0,218,202,88,105,241,228,106,118
189,41712,log1,218,202,94,99,241,228,100,115
190,48811,log0,219,203,89,105,242,229,106,119
191,41782,log1,219,203,94,100,242,229,101,115
192,48881,log0,219,203,89,105,242,229,106,119
193,41852,log1,219,203,94,100,242,229,101,115
194,41922,log1,220,204,95,100,243,230,101,116
195,48951,log0,220,204,89,106,243,230,107,119
196,49021,log0,221,205,90,106,244,231,107,120
197,41992,log1,221,205,95,101,244,231,102,116
198,42062,log1,222,206,96,101,245,232,102,117
199,49091,log0,222,206,90,107,245,232,108,120
200,49161,log0,222,206,90,107,245,232,108,120
201,42132,log1,222,206,96,101,245,232,102,117
202,49231,log0,223,207,91,107,246,233,108,121
203,42202,log1,223,207,96,102,246,233,103,117
204,49301,log0,223,207,91,107,246,233,108,121
205,42272,log1,223,207,96,102,246,233,103,117
206,49371,log0,224,208,91,108,247,234,109,121
207,42342,log1,224,208,97,102,247,234,103,118
208,49441,log0,225,209,92,108,248,235,109,122
209,42412,log1,225,209,97,103,248,235,104,118
210,49511,log0,225,209,92,108,249,236,110,122
211,42482,log1,225,209,97,103,249,236,104,119
212,49581,log0,226,210,92,109,250,237,110,123
213,42552,log1,226,210,98,103,250,237,105,119
214,49651,log0,227,211,93,109,250,237,110,123
215,42622,log1,227,211,98,104,250,237,105,119
216,49721,log0,228,212,93,110,251,238,111,123
217,42692,log1,228,212,99,104,251,238,105,120
218,42762,log1,228,212,99,104,251,238,105,120
219,49791,log0,228,212,93,110,251,238,111,123
220,49861,log0,228,212,93,110,252,239,111,124
221,42832,log1,228,212,99,104,252,239,106,120
222,49931,log0,228,212,93,110,253,240,112,124
223,42902,log1,228,212,99,104,253,240,106,121
224,50001,log0,230,213,93,111,253,240,112,124
225,42972,log1,230,213,100,104,253,240,106,121
226,50071,log0,231,214,94,111,254,241,112,125
227,43042,log1,231,214,100,105,254,241,107,121
228,50141,log0,232,215,94,112,255,242,113,125
229,43112,log1,232,215,101,105,255,242,107,122
230,50211,log0,232,215,94,112,256,243,113,126
231,43182,log1,232,215,101,105,256,243,108,122
232,50281,log0,233,216,95,112,257,244,113,127
233,43252,log1,233,216,101,106,257,244,108,123
234,50351,log0,234,217,95,113,257,244,113,127
235,43322,log1,234,217,102,106,257,244,108,123
236,50421,log0,234,217,95,113,258,245,113,128
237,43392,log1,234,217,102,106,258,245,109,123
238,50491,log0,235,218,96,113,259,246,114,128
239,43462,log1,235,218,102,107,259,246,109,124
240,50561,log0,235,218,96,113,259,246,114,128
241,43532,log1,235,218,102,107,259,246,109,124
242,50631,log0,237,219,97,113,260,247,114,129
243,43602,log1,237,219,102,108,260,247,110,124
244,50701,log0,238,220,97,114,261,248,115,129
245,43672,log1,238,220,103,108,261,248,110,125
246,50771,log0,238,220,97,114,262,249,115,130
247,43742,log1,238,220,103,108,262,249,111,125
248,50841,log0,239,221,98,114,262,249,115,130
249,43812,log1,239,221,103,109,262,249,111,125
250,50911,log0,240,222,98,115,263,250,116,130
251,43882,log1,240,222,104,109,263,250,111,126
252,50981,log0,240,222,98,115,264,251,116,131
253,43952,log1,240,222,104,109,264,251,112,126
254,51051,log0,241,223,98,116,264,251,116,131
255,44022,log1,241,223,104,110,264,251,112,126
256,51121,log0,242,224,98,117,265,252,117,131
257,44092,log1,242,224,105,110,265,252,112,127
258,51191,log0,242,224,98,117,266,253,117,132
259,44162,log1,242,224,105,110,266,253,113,127
260,51261,log0,243,225,99,117,267,254,118,132
261,44232,log1,243,225,105,111,267,254,113,128
262,51331,log0,244,226,99,118,267,254,118,132
263,44302,log1,244,226,106,111,267,254,113,128
264,51401,log0,245,227,100,118,268,255,118,133
265,44372,log1,245,227,106,112,268,255,114,128
266,51471,log0,245,227,100,118,269,256,119,133
267,44442,log1,245,227,106,112,269,256,114,129
