,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,16370,log0,188,106,19,81,170,113,21,87
1,18548,log1,188,128,18,101,170,137,28,98
2,16440,log0,188,106,19,81,172,114,21,88
3,18618,log1,190,129,18,101,172,138,28,99
4,16510,log0,191,107,19,82,172,114,21,88
5,18688,log1,191,130,18,102,173,139,28,100
6,16580,log0,191,107,19,82,174,115,22,88
7,18758,log1,191,130,18,102,174,140,28,101
8,16650,log0,192,108,19,83,174,115,22,88
9,18828,log1,192,131,18,103,174,140,28,101
10,16720,log0,192,108,19,83,174,115,22,88
11,18898,log1,193,132,18,104,174,140,28,101
12,16790,log0,192,108,19,83,176,116,22,89
13,18968,log1,194,133,19,104,176,141,28,102
14,16860,log0,192,108,19,83,176,116,22,89
15,19038,log1,194,133,19,104,176,141,28,102
16,16930,log0,195,109,19,84,177,117,22,90
17,19108,log1,195,134,19,105,177,142,28,103
18,17000,log0,196,110,19,85,178,118,22,91
19,19178,log1,196,135,19,106,178,143,28,104
20,17070,log0,197,111,19,86,179,119,23,91
21,19248,log1,197,136,19,107,179,144,29,104
22,17140,log0,197,111,19,86,179,119,23,91
23,19318,log1,197,136,19,107,179,144,29,104
24,17210,log0,198,112,20,86,180,120,23,92
25,19388,log1,198,137,19,108,180,145,29,105
26,17280,log0,198,112,20,86,181,121,23,93
27,19458,log1,198,137,19,108,181,146,29,106
28,17350,log0,199,113,20,87,182,122,23,94
29,19528,log1,199,138,19,109,182,147,29,107
30,17420,log0,200,114,20,88,183,123,23,95
31,19598,log1,200,139,19,110,183,148,29,108
32,17490,log0,200,114,20,88,183,123,23,95
33,19668,log1,201,140,19,111,184,149,29,109
34,17560,log0,200,114,20,88,185,124,23,96
35,19738,log1,201,140,19,111,185,150,29,110
36,17630,log0,202,115,20,89,185,124,23,96
37,19808,log1,202,141,19,112,185,150,29,110
38,17700,log0,203,116,20,89,186,125,23,97
39,19878,log1,203,142,20,112,186,151,29,111
40,17770,log0,203,116,20,89,187,126,23,98
41,19948,log1,203,142,20,112,187,152,29,112
42,17840,log0,204,117,20,90,187,126,23,98
43,20018,log1,204,143,20,113,187,152,29,112
44,17910,log0,205,118,20,91,188,127,23,99
45,20088,log1,205,144,20,114,188,153,30,112
46,17980,log0,205,118,20,91,189,128,23,99
47,20158,log1,205,144,20,114,189,154,30,113
48,18050,log0,205,118,20,91,189,128,23,99
49,20228,log1,205,144,20,114,189,154,30,113
50,18120,log0,207,119,20,92,190,129,23,100
51,20298,log1,207,145,20,115,190,155,30,114
52,18190,log0,208,120,21,92,191,130,23,101
53,20368,log1,208,146,21,115,191,156,30,115
54,18260,log0,208,120,21,92,191,130,23,101
55,20438,log1,208,146,21,115,191,156,30,115
56,18330,log0,209,121,21,93,192,131,23,102
57,20508,log1,209,147,21,116,192,157,31,115
58,18400,log0,210,122,21,94,192,131,23,102
59,20578,log1,210,148,21,117,192,157,31,115
60,20648,log1,210,148,21,117,192,157,31,115
61,18471,log0,210,122,21,94,192,131,23,102
62,18540,log0,211,123,21,95,194,132,24,102
63,20718,log1,211,149,21,118,194,158,31,116
64,18610,log0,212,124,21,96,195,133,24,103
65,20788,log1,212,150,22,118,195,159,31,117
66,18680,log0,212,124,21,96,195,133,24,103
67,20858,log1,212,150,22,118,195,159,31,117
68,18750,log0,213,125,22,96,196,134,24,104
69,20928,log1,213,151,22,119,196,160,32,117
70,18820,log0,213,125,22,96,197,135,24,105
71,20998,log1,213,151,22,119,197,161,32,118
72,18890,log0,214,126,22,97,198,136,24,106
73,21068,log1,214,152,22,120,198,162,32,119
74,18960,log0,215,127,22,98,199,137,25,106
75,21138,log1,215,153,22,121,199,163,32,120
76,19030,log0,215,127,22,98,199,137,25,106
77,21208,log1,215,153,22,121,199,163,32,120
78,19100,log0,216,128,22,99,200,138,25,107
79,21278,log1,216,154,22,122,200,164,32,121
80,19170,log0,217,129,22,100,201,139,25,108
81,21348,log1,217,155,23,122,201,165,33,121
82,19240,log0,218,130,23,100,201,139,25,108
83,21418,log1,218,156,23,123,202,166,33,122
84,19310,log0,218,130,23,100,202,140,25,109
85,21488,log1,218,156,23,123,202,166,33,122
86,19380,log0,218,130,23,100,203,141,25,110
87,21558,log1,218,156,23,123,202,166,33,122
88,19450,log0,220,131,23,101,203,141,25,110
89,21628,log1,220,157,23,124,202,166,33,122
90,19520,log0,220,131,23,101,204,142,26,110
91,21698,log1,220,157,23,124,204,167,33,123
92,19590,log0,221,132,23,102,204,142,26,110
93,21768,log1,221,158,23,125,204,167,33,123
94,19660,log0,221,132,23,102,205,143,26,111
95,21838,log1,221,158,23,125,205,168,33,124
96,19730,log0,221,132,23,102,206,144,26,112
97,21908,log1,221,158,23,125,206,169,34,124
98,19800,log0,223,133,24,102,206,144,26,112
99,21978,log1,223,159,23,126,206,169,34,124
100,19870,log0,224,134,24,103,206,144,26,112
101,22048,log1,223,159,23,126,206,169,34,124
102,19940,log0,224,134,24,103,208,145,26,113
