,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,13241,log0,238,100,35,62,516,112,45,61
1,15005,log1,238,114,49,56,516,128,60,60
2,13301,log0,239,101,36,62,516,112,45,61
3,15065,log1,239,115,49,57,516,128,60,60
4,13361,log0,240,102,36,63,517,113,46,61
5,15125,log1,240,116,50,57,517,129,60,61
6,13421,log0,241,103,36,64,518,114,46,62
7,15185,log1,241,117,50,58,518,130,61,61
8,13481,log0,242,104,37,64,518,114,46,62
9,15245,log1,242,118,51,58,518,130,61,61
10,13541,log0,242,104,37,64,519,115,47,62
11,15305,log1,242,118,51,58,519,131,61,62
12,13601,log0,243,105,37,65,520,116,47,63
13,15365,log1,243,119,51,59,520,132,62,62
14,13661,log0,244,106,37,66,520,116,47,63
15,15425,log1,244,120,52,59,520,132,62,62
16,13721,log0,244,106,37,66,521,117,48,63
17,15485,log1,244,120,52,59,521,133,62,63
18,13781,log0,245,107,38,66,522,118,48,64
19,15545,log1,245,121,52,60,522,134,63,63
20,13841,log0,246,108,38,67,522,118,48,64
21,15605,log1,246,122,53,60,522,134,63,63
22,13901,log0,247,109,38,68,522,118,48,64
23,15665,log1,247,123,53,61,522,134,63,63
24,13961,log0,248,110,39,68,522,118,48,64
25,15725,log1,248,124,54,61,522,134,63,63
26,14021,log0,248,110,39,68,525,119,49,64
27,15785,log1,248,124,54,61,525,135,63,64
28,14081,log0,249,111,39,69,525,119,49,64
29,15845,log1,249,125,54,62,525,135,63,64
30,14141,log0,250,112,39,70,526,120,49,64
31,15905,log1,250,126,55,62,526,136,64,64
32,14201,log0,251,113,40,70,526,120,49,64
33,15965,log1,251,127,55,63,526,136,64,64
34,14261,log0,252,114,40,71,526,120,49,64
35,16025,log1,252,128,55,64,526,136,64,64
36,14321,log0,253,115,40,72,529,121,49,64
37,16085,log1,253,129,55,65,529,137,64,65
38,14381,log0,253,115,40,72,530,122,49,64
39,16145,log1,253,129,55,65,530,138,65,65
40,14441,log0,254,116,41,72,530,122,49,64
41,16205,log1,254,130,56,65,530,138,65,65
42,14501,log0,255,117,41,73,531,123,50,64
43,16265,log1,255,131,56,66,530,138,65,65
44,14561,log0,256,118,41,74,532,124,50,65
45,16325,log1,256,132,57,66,532,139,66,65
46,14621,log0,257,119,42,74,533,125,51,65
47,16385,log1,257,133,57,67,533,140,66,66
48,14681,log0,258,120,42,75,533,125,51,65
49,16445,log1,258,134,58,67,533,140,66,66
50,14741,log0,258,120,42,75,534,126,51,66
51,16505,log1,258,134,58,67,534,141,66,66
52,14801,log0,259,121,42,76,535,127,52,66
53,16565,log1,259,135,58,68,535,142,66,67
54,14861,log0,260,122,42,76,536,128,52,67
55,16625,log1,260,136,59,68,536,143,67,67
56,14921,log0,260,122,42,76,536,128,52,67
57,16685,log1,261,137,59,69,536,143,67,67
58,14981,log0,261,123,42,77,537,129,53,67
59,16745,log1,261,137,59,69,537,144,67,68
60,15041,log0,262,124,42,78,538,130,53,68
61,16805,log1,262,138,60,69,538,145,68,68
62,15101,log0,262,124,42,78,539,131,54,68
63,16865,log1,262,138,60,69,539,146,68,69
64,15161,log0,264,125,42,79,540,132,54,69
65,16925,log1,264,139,61,69,540,147,69,69
66,15221,log0,265,126,42,80,540,132,54,69
67,16985,log1,265,140,61,70,540,147,69,69
68,15281,log0,265,126,42,80,541,133,55,69
69,17045,log1,265,140,61,70,541,148,69,70
70,15341,log0,265,126,42,80,542,134,55,70
71,17105,log1,265,140,61,70,542,149,70,70
72,15401,log0,265,126,42,80,543,135,55,71
73,17165,log1,267,141,61,71,543,150,70,71
74,15461,log0,267,127,42,81,544,136,55,72
75,17225,log1,267,141,61,71,544,151,71,71
76,15521,log0,268,128,42,82,544,136,55,72
77,17285,log1,268,142,62,71,544,151,71,71
78,15581,log0,269,129,43,82,545,137,55,73
79,17345,log1,269,143,62,72,545,152,71,72
80,15641,log0,269,129,43,82,546,138,55,74
81,17405,log1,269,143,62,72,546,153,72,72
82,15701,log0,270,130,43,83,546,138,55,74
83,17465,log1,270,144,63,72,546,153,72,72
84,15761,log0,271,131,43,84,546,138,55,74
85,17525,log1,271,145,63,73,546,153,72,72
86,15821,log0,272,132,43,85,548,139,55,75
87,17585,log1,272,146,63,74,548,154,73,72
88,15881,log0,273,133,43,86,548,139,55,75
89,17645,log1,273,147,63,75,548,154,73,72
90,15941,log0,273,133,43,86,548,139,55,75
91,17705,log1,273,147,63,75,548,154,73,72
92,16001,log0,274,134,43,87,550,140,55,76
93,17765,log1,274,148,63,75,550,155,73,72
94,16061,log0,275,135,44,87,551,141,56,76
95,17825,log1,275,149,63,76,551,156,73,73
96,16121,log0,275,135,44,87,551,141,56,76
97,17885,log1,275,149,63,76,551,156,73,73
98,16181,log0,275,135,44,87,552,142,56,76
99,17945,log1,275,149,63,76,552,157,74,73
100,16241,log0,275,135,44,87,553,143,56,77
101,18005,log1,277,150,63,77,553,158,74,74
102,16301,log0,277,136,44,88,553,143,56,77
103,18065,log1,277,150,63,77,553,158,74,74
104,16361,log0,278,137,45,88,554,144,56,78
105,18125,log1,278,151,64,77,554,159,74,75
