,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,26654,log1,677,233,80,132,616,233,101,122
1,21148,log0,677,172,52,105,616,184,59,118
2,26714,log1,678,234,81,132,617,234,102,122
3,21208,log0,677,172,52,105,617,185,59,119
4,26774,log1,678,234,81,132,617,234,102,122
5,21268,log0,677,172,52,105,617,185,59,119
6,26835,log1,679,235,81,133,618,235,102,123
7,21328,log0,679,173,53,105,618,186,59,120
8,26894,log1,680,236,81,134,619,236,102,124
9,21388,log0,680,174,53,106,619,187,60,120
10,26954,log1,681,237,81,135,619,236,102,124
11,21448,log0,681,175,53,107,619,187,60,120
12,27014,log1,682,238,82,135,620,237,102,125
13,21508,log0,681,175,53,107,620,188,60,121
14,27074,log1,682,238,82,135,620,237,102,125
15,21568,log0,681,175,53,107,620,188,60,121
16,27134,log1,682,238,82,135,621,238,103,125
17,21628,log0,681,175,53,107,621,189,60,122
18,27194,log1,684,239,83,135,622,239,103,126
19,21688,log0,684,176,53,108,622,190,61,122
20,27254,log1,684,239,83,135,623,240,104,126
21,21748,log0,684,176,53,108,623,191,61,123
22,27314,log1,685,240,83,136,623,240,104,126
23,21808,log0,685,177,54,108,623,191,61,123
24,27374,log1,685,240,83,136,624,241,104,127
25,21868,log0,686,178,54,109,624,192,61,124
26,27434,log1,687,241,83,137,625,242,105,127
27,21928,log0,687,179,54,110,625,193,62,124
28,27494,log1,687,241,83,137,625,242,105,127
29,21988,log0,687,179,54,110,625,193,62,124
30,27554,log1,688,242,84,137,625,242,105,127
31,22048,log0,688,180,55,110,625,193,62,124
32,27614,log1,689,243,84,138,627,243,105,128
33,22108,log0,689,181,55,111,627,194,62,125
34,27674,log1,689,243,84,138,628,244,105,129
35,22168,log0,689,181,55,111,628,195,63,125
36,27734,log1,689,243,84,138,628,244,105,129
37,22228,log0,689,181,55,111,629,196,63,126
38,27794,log1,689,243,84,138,630,245,105,130
39,22288,log0,689,181,55,111,630,197,63,127
40,27854,log1,689,243,84,138,631,246,106,130
41,22348,log0,689,181,55,111,631,198,64,127
42,27914,log1,693,244,84,139,631,246,106,130
43,22408,log0,693,182,55,112,631,198,64,127
44,27974,log1,693,244,84,139,631,246,106,130
45,22468,log0,693,182,55,112,631,198,64,127
46,22528,log0,694,183,56,112,633,199,64,128
47,28034,log1,693,244,84,139,631,246,106,130
48,28094,log1,695,245,84,140,631,246,106,130
49,22588,log0,695,184,56,113,633,199,64,128
50,28154,log1,696,246,85,140,635,247,106,130
51,22648,log0,696,185,56,114,635,200,64,129
52,28214,log1,696,246,85,140,636,248,106,131
53,22708,log0,696,185,56,114,636,201,64,130
54,28274,log1,696,246,85,140,636,248,106,131
55,22768,log0,696,185,56,114,636,201,64,130
56,28334,log1,696,246,85,140,637,249,106,132
57,22828,log0,696,185,56,114,637,202,65,130
58,28394,log1,699,247,85,141,638,250,106,133
59,22888,log0,699,186,56,115,638,203,65,131
60,28454,log1,699,247,85,141,638,250,106,133
61,22948,log0,700,187,57,115,639,204,65,132
62,28514,log1,700,248,86,141,638,250,106,133
63,23008,log0,700,187,57,115,639,204,65,132
64,28574,log1,700,248,86,141,638,250,106,133
65,23068,log0,700,187,57,115,639,204,65,132
66,28634,log1,700,248,86,141,641,251,107,133
67,23128,log0,700,187,57,115,641,205,65,133
68,28694,log1,703,249,86,142,642,252,107,134
69,23188,log0,700,187,57,115,642,206,65,134
70,28754,log1,703,249,86,142,642,252,107,134
71,23248,log0,704,188,57,115,642,206,65,134
72,28814,log1,704,250,87,142,642,252,107,134
73,23308,log0,704,188,57,115,642,206,65,134
74,28874,log1,705,251,87,143,644,253,107,135
75,23368,log0,705,189,57,116,644,207,65,135
76,28934,log1,705,251,87,143,645,254,108,135
77,23428,log0,705,189,57,116,645,208,65,136
78,28994,log1,705,251,87,143,646,255,108,136
79,23488,log0,706,190,58,116,646,209,66,136
80,29054,log1,707,252,87,144,646,255,108,136
81,23548,log0,706,190,58,116,646,209,66,136
82,29114,log1,708,253,88,144,647,256,108,137
83,23608,log0,708,191,58,117,647,210,66,137
84,29174,log1,709,254,88,145,648,257,108,138
85,23668,log0,709,192,59,117,648,211,66,138
86,29234,log1,709,254,88,145,648,257,108,138
87,23728,log0,709,192,59,117,648,211,66,138
88,29294,log1,710,255,89,145,649,258,109,138
89,23788,log0,710,193,59,118,649,212,67,138
90,29354,log1,711,256,89,146,650,259,109,139
91,23848,log0,711,194,59,119,650,213,67,139
92,29414,log1,712,257,89,147,651,260,110,139
93,23908,log0,712,195,60,119,651,214,67,140
94,29474,log1,712,257,89,147,651,260,110,139
95,23968,log0,712,195,60,119,651,214,67,140
96,29534,log1,713,258,89,148,651,260,110,139
97,24028,log0,713,196,60,120,651,214,67,140
98,29594,log1,714,259,90,148,651,260,110,139
99,24088,log0,714,197,60,121,651,214,67,140
100,29654,log1,715,260,90,149,653,261,111,139
101,24148,log0,715,198,61,121,653,215,67,141
102,29714,log1,715,260,90,149,654,262,111,140
103,24208,log0,715,198,61,121,654,216,67,142
104,29774,log1,716,261,91,149,654,262,111,140
