,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,23891,log0,440,229,96,119,470,233,104,118
1,27448,log1,440,266,126,129,470,278,147,125
2,23951,log0,441,230,97,119,470,233,104,118
3,27508,log1,441,267,127,129,470,278,147,125
4,24011,log0,441,230,97,119,472,234,104,119
5,27568,log1,441,267,127,129,472,279,147,126
6,24071,log0,442,231,97,120,472,234,104,119
7,27628,log1,442,268,128,129,472,279,147,126
8,24131,log0,443,232,98,120,473,235,105,119
9,27688,log1,443,269,128,130,473,280,148,126
10,24191,log0,443,232,98,120,474,236,105,120
11,27748,log1,443,269,128,130,474,281,148,127
12,24251,log0,444,233,98,121,474,236,105,120
13,27808,log1,443,269,128,130,474,281,148,127
14,24311,log0,445,234,99,121,475,237,106,120
15,27868,log1,445,270,128,131,475,282,149,127
16,24371,log0,446,235,99,122,476,238,106,121
17,27928,log1,446,271,129,131,476,283,149,128
18,24431,log0,446,235,99,122,477,239,107,121
19,27988,log1,446,271,129,131,477,284,150,128
20,24491,log0,447,236,100,122,478,240,107,122
21,28048,log1,447,272,129,132,478,285,150,129
22,24552,log0,448,237,100,123,479,241,108,122
23,28108,log1,448,273,129,133,479,286,151,129
24,24611,log0,449,238,101,123,479,241,108,122
25,28168,log1,448,273,129,133,479,286,151,129
26,24671,log0,450,239,101,124,480,242,108,123
27,28228,log1,450,274,129,134,480,287,151,130
28,24731,log0,451,240,102,124,481,243,109,123
29,28288,log1,451,275,130,134,481,288,152,130
30,24791,log0,451,240,102,124,482,244,109,124
31,28348,log1,451,275,130,134,482,289,152,131
32,24851,log0,452,241,102,125,483,245,109,124
33,28408,log1,452,276,130,135,483,290,153,131
34,24911,log0,453,242,102,125,483,245,109,124
35,28468,log1,453,277,131,135,483,290,153,131
36,24971,log0,453,242,102,125,484,246,109,124
37,28528,log1,453,277,131,135,484,291,153,132
38,25031,log0,454,243,102,125,485,247,109,124
39,28588,log1,454,278,131,136,485,292,154,132
40,25091,log0,455,244,102,125,486,248,109,125
41,28648,log1,455,279,132,136,486,293,154,133
42,25151,log0,456,245,102,126,487,249,110,125
43,28708,log1,456,280,132,137,487,294,154,134
44,25211,log0,457,246,103,126,487,249,110,125
45,28768,log1,457,281,133,137,487,294,154,134
46,25271,log0,458,247,103,127,487,249,110,125
47,28828,log1,458,282,133,138,487,294,154,134
48,25331,log0,458,247,103,127,489,250,111,125
49,28888,log1,458,282,133,138,489,295,155,134
50,25391,log0,459,248,104,127,490,251,111,126
51,28948,log1,459,283,134,138,490,296,155,135
52,25451,log0,460,249,104,128,490,251,111,126
53,29008,log1,460,284,134,139,490,296,155,135
54,25511,log0,461,250,104,129,491,252,112,126
55,29068,log1,461,285,135,139,491,297,156,135
56,25571,log0,461,250,104,129,492,253,112,127
57,29128,log1,462,286,135,140,492,298,157,135
58,25631,log0,462,251,104,130,492,253,112,127
59,29188,log1,462,286,135,140,492,298,157,135
60,25691,log0,463,252,105,130,493,254,113,127
61,29248,log1,463,287,135,141,493,299,157,136
62,25751,log0,463,252,105,130,494,255,113,128
63,29308,log1,463,287,135,141,494,300,158,136
64,25811,log0,463,252,105,130,494,255,113,128
65,29368,log1,463,287,135,141,495,301,158,137
66,25871,log0,465,253,106,130,495,256,114,128
67,29428,log1,465,288,136,141,496,302,159,137
68,25931,log0,466,254,106,131,496,257,114,129
69,29488,log1,466,289,136,142,496,302,159,137
70,25991,log0,467,255,107,131,497,258,115,129
71,29548,log1,467,290,137,142,497,303,160,137
72,26051,log0,467,255,107,131,498,259,115,130
73,29608,log1,467,290,137,142,498,304,160,138
74,26111,log0,467,255,107,131,498,259,115,130
75,29668,log1,467,290,137,142,498,304,160,138
76,26171,log0,469,256,108,131,499,260,116,130
77,29728,log1,469,291,138,142,499,305,161,138
78,26231,log0,470,257,108,132,499,260,116,130
79,29788,log1,470,292,138,143,499,305,161,138
80,26291,log0,470,257,108,132,499,260,116,130
81,29848,log1,470,292,138,143,499,305,161,138
82,26351,log0,470,257,108,132,501,261,117,130
83,29908,log1,470,292,138,143,501,306,162,138
84,26411,log0,472,258,108,133,501,261,117,130
85,29968,log1,472,293,138,144,501,306,162,138
86,26471,log0,472,258,108,133,501,261,117,130
87,30028,log1,472,293,138,144,501,306,162,138
88,26531,log0,473,259,109,133,503,262,118,130
89,30088,log1,473,294,139,144,503,307,163,138
90,26591,log0,474,260,109,134,504,263,118,131
91,30148,log1,474,295,139,145,504,308,164,138
92,26651,log0,475,261,110,134,504,263,118,131
93,30208,log1,475,296,140,145,505,309,164,139
94,26711,log0,475,261,110,134,505,264,119,131
95,30268,log1,475,296,140,145,505,309,164,139
96,26771,log0,475,261,110,134,506,265,119,132
97,30328,log1,476,297,140,146,506,310,164,140
98,26831,log0,477,262,111,134,507,266,119,133
99,30388,log1,477,298,140,147,507,311,164,141
100,26891,log0,477,262,111,134,507,266,119,133
101,30448,log1,477,298,140,147,507,311,164,141
102,26951,log0,478,263,111,135,509,267,120,133
103,30508,log1,478,299,141,147,509,312,164,142
104,27011,log0,479,264,111,136,509,267,120,133
105,30568,log1,479,300,141,148,509,312,164,142
106,27071,log0,479,264,111,136,510,268,120,134
107,30628,log1,479,300,141,148,510,313,165,142
