,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,26020,log1,0,0,0,0,345,279,149,124
1,18318,log0,301,189,100,85,345,192,103,84
2,26080,log1,0,0,0,0,345,279,149,124
3,18378,log0,301,189,100,85,345,192,103,84
4,26140,log1,0,0,0,0,346,280,149,125
5,18438,log0,302,190,101,85,346,193,103,85
6,26200,log1,0,0,0,0,347,281,150,125
7,18498,log0,303,191,102,85,347,194,104,85
8,26260,log1,0,0,0,0,348,282,150,126
9,18558,log0,303,191,102,85,348,195,104,86
10,26320,log1,0,0,0,0,349,283,151,126
11,18618,log0,304,192,103,85,349,196,105,86
12,26380,log1,0,0,0,0,350,284,151,127
13,18678,log0,305,193,103,86,350,197,106,86
14,26440,log1,0,0,0,0,350,284,151,127
15,18738,log0,306,194,104,86,350,197,106,86
16,26500,log1,0,0,0,0,351,285,152,127
17,18798,log0,306,194,104,86,351,198,107,86
18,26560,log1,0,0,0,0,351,285,152,127
19,18858,log0,307,195,104,87,351,198,107,86
20,26620,log1,0,0,0,0,352,286,152,128
21,18918,log0,308,196,105,87,352,199,107,87
22,18978,log0,308,196,105,87,352,199,107,87
23,26680,log1,0,0,0,0,352,286,152,128
24,26740,log1,0,0,0,0,354,287,152,129
25,19038,log0,309,197,106,87,354,200,107,88
26,26800,log1,0,0,0,0,354,287,152,129
27,19098,log0,310,198,106,88,354,200,107,88
28,26860,log1,0,0,0,0,355,288,153,129
29,19158,log0,310,198,106,88,355,201,108,88
30,26920,log1,0,0,0,0,356,289,153,130
31,19218,log0,311,199,107,88,356,202,108,89
32,26980,log1,0,0,0,0,357,290,154,130
33,19278,log0,312,200,108,88,357,203,109,89
34,19338,log0,313,201,108,89,358,204,109,90
35,27040,log1,0,0,0,0,358,291,154,131
36,27100,log1,0,0,0,0,359,292,155,131
37,19398,log0,313,201,108,89,359,205,110,90
38,27160,log1,0,0,0,0,360,293,155,132
39,19458,log0,313,201,108,89,360,206,110,91
40,27220,log1,0,0,0,0,360,293,155,132
41,19518,log0,315,202,109,89,360,206,110,91
42,27280,log1,0,0,0,0,361,294,156,132
43,19578,log0,315,202,109,89,361,207,111,91
44,27340,log1,0,0,0,0,362,295,156,133
45,19638,log0,316,203,109,90,362,208,111,92
46,27400,log1,0,0,0,0,362,295,156,133
47,19698,log0,317,204,110,90,362,208,111,92
48,27460,log1,0,0,0,0,363,296,157,133
49,19758,log0,318,205,110,91,363,209,112,92
50,27520,log1,0,0,0,0,363,296,157,133
51,19818,log0,318,205,110,91,363,209,112,92
52,27580,log1,0,0,0,0,363,296,157,133
53,19878,log0,319,206,111,91,364,210,113,92
54,27640,log1,0,0,0,0,365,297,157,134
55,19938,log0,319,206,111,91,365,211,113,93
56,27700,log1,0,0,0,0,366,298,158,134
57,19998,log0,319,206,111,91,366,212,113,94
58,27760,log1,0,0,0,0,367,299,158,135
59,20058,log0,321,207,112,91,367,213,113,95
60,27820,log1,0,0,0,0,368,300,159,135
61,20118,log0,322,208,112,92,368,214,114,95
62,27880,log1,0,0,0,0,369,301,159,136
63,20178,log0,322,208,112,92,369,215,114,96
64,20238,log0,323,209,113,92,369,215,114,96
65,27940,log1,0,0,0,0,369,301,159,136
66,28000,log1,0,0,0,0,370,302,160,136
67,20298,log0,324,210,114,92,370,216,115,96
68,28060,log1,0,0,0,0,371,303,161,136
69,20358,log0,324,210,114,92,371,217,115,97
70,28120,log1,0,0,0,0,371,303,161,136
71,20418,log0,325,211,114,93,371,217,115,97
72,20478,log0,326,212,114,94,372,218,115,98
73,28180,log1,0,0,0,0,372,304,161,137
74,28240,log1,0,0,0,0,373,305,162,137
75,20538,log0,327,213,115,94,373,219,116,98
76,28300,log1,0,0,0,0,374,306,163,137
77,20598,log0,327,213,115,94,374,220,117,98
78,28360,log1,0,0,0,0,374,306,163,137
79,20658,log0,328,214,116,94,374,220,117,98
80,28420,log1,0,0,0,0,375,307,164,137
81,20718,log0,329,215,116,95,375,221,118,98
82,28480,log1,0,0,0,0,376,308,164,138
83,20778,log0,330,216,117,95,376,222,118,99
84,28540,log1,0,0,0,0,377,309,165,138
85,20838,log0,330,216,117,95,377,223,119,99
86,28600,log1,0,0,0,0,378,310,165,139
87,20898,log0,331,217,118,95,378,224,119,100
88,28660,log1,0,0,0,0,378,310,165,139
89,20958,log0,332,218,118,96,379,225,120,100
90,28720,log1,0,0,0,0,379,311,166,139
91,21018,log0,333,219,119,96,379,225,120,100
92,21078,log0,333,219,119,96,380,226,120,101
93,28780,log1,0,0,0,0,380,312,166,140
94,21138,log0,334,220,120,96,381,227,121,101
95,28840,log1,0,0,0,0,381,313,167,140
96,28900,log1,0,0,0,0,382,314,167,141
97,21198,log0,335,221,120,97,382,228,121,102
98,28960,log1,0,0,0,0,382,314,167,141
99,21258,log0,336,222,120,98,382,228,121,102
100,29020,log1,0,0,0,0,383,315,168,141
101,21318,log0,336,222,120,98,383,229,122,102
102,21378,log0,337,223,121,98,384,230,123,102
103,29080,log1,0,0,0,0,384,316,169,141
104,29140,log1,0,0,0,0,385,317,169,142
105,21438,log0,337,223,121,98,385,231,123,103
106,21498,log0,339,224,121,99,385,231,123,103
107,29200,log1,0,0,0,0,385,317,169,142
108,29260,log1,0,0,0,0,386,318,170,142
109,21558,log0,340,225,122,99,386,232,123,104
110,21618,log0,340,225,122,99,387,233,123,105
111,29320,log1,0,0,0,0,387,319,170,143
112,21678,log0,341,226,122,100,388,234,124,105
113,29380,log1,0,0,0,0,388,320,171,143
114,29440,log1,0,0,0,0,389,321,171,144
115,21738,log0,342,227,123,100,389,235,124,106
116,21798,log0,343,228,123,101,389,235,124,106
117,29500,log1,0,0,0,0,389,321,171,144
118,29560,log1,0,0,0,0,390,322,172,144
119,21858,log0,344,229,124,101,390,236,125,106
120,29620,log1,0,0,0,0,391,323,172,145
121,21918,log0,344,229,124,101,391,237,125,107
122,29680,log1,0,0,0,0,392,324,173,145
123,21978,log0,344,229,124,101,392,238,126,107
124,29740,log1,0,0,0,0,393,325,173,146
125,22038,log0,346,230,125,101,393,239,126,108
126,22098,log0,347,231,125,102,393,239,126,108
127,29800,log1,0,0,0,0,393,325,173,146
128,22158,log0,348,232,125,103,394,240,127,108
129,29860,log1,0,0,0,0,394,326,174,146
130,29920,log1,0,0,0,0,394,326,174,146
131,22218,log0,348,232,125,103,395,241,128,108
132,29980,log1,0,0,0,0,394,326,174,146
133,22278,log0,350,233,126,103,395,241,128,108
134,22338,log0,350,233,126,103,396,242,129,108
135,30040,log1,0,0,0,0,396,327,175,146
136,30100,log1,0,0,0,0,397,328,175,147
137,22398,log0,351,234,127,103,397,243,129,109
138,30160,log1,0,0,0,0,398,329,176,147
139,22458,log0,352,235,127,104,398,244,130,109
140,30220,log1,0,0,0,0,398,329,176,147
141,22518,log0,352,235,127,104,398,244,130,109
142,30280,log1,0,0,0,0,399,330,177,147
143,22578,log0,352,235,127,104,398,244,130,109
144,22638,log0,354,236,128,104,400,245,131,109
145,30340,log1,0,0,0,0,400,331,177,148
146,22698,log0,354,236,128,104,401,246,132,109
147,30400,log1,0,0,0,0,401,332,178,148
148,30460,log1,0,0,0,0,401,332,178,148
149,22758,log0,355,237,129,104,401,246,132,109
150,30520,log1,0,0,0,0,402,333,178,149
151,22818,log0,356,238,129,105,402,247,132,110
152,30580,log1,0,0,0,0,403,334,179,149
153,22878,log0,357,239,129,106,403,248,133,110
154,30640,log1,0,0,0,0,404,335,179,150
155,22938,log0,358,240,130,106,404,249,133,111
156,22998,log0,358,240,130,106,405,250,134,111
