,timestamp,logNumber,Statistic.recvSeq4,Statistic.recvNum4,Statistic.compute1num4,Statistic.compute2num4,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3
0,22826,log0,362,195,55,124,334,188,63,118
1,18393,log1,362,154,43,95,334,146,57,78
2,22886,log0,362,195,55,124,334,188,63,118
3,18453,log1,362,154,43,95,334,146,57,78
4,22946,log0,363,196,55,125,336,189,63,119
5,18513,log1,363,155,44,95,336,147,57,79
6,23006,log0,363,196,55,125,337,190,63,120
7,18573,log1,363,155,44,95,337,148,58,79
8,23066,log0,365,197,56,125,337,190,63,120
9,18633,log1,363,155,44,95,337,148,58,79
10,23126,log0,365,197,56,125,338,191,64,120
11,18693,log1,363,155,44,95,338,149,58,80
12,23186,log0,366,198,56,126,339,192,64,121
13,18753,log1,366,156,45,95,339,150,58,81
14,23246,log0,367,199,56,127,340,193,64,122
15,18813,log1,367,157,45,96,340,151,58,82
16,23306,log0,367,199,56,127,340,193,64,122
17,18873,log1,367,157,45,96,340,151,58,82
18,23366,log0,367,199,56,127,341,194,65,122
19,18933,log1,367,157,45,96,341,152,59,82
20,23426,log0,367,199,56,127,342,195,65,123
21,18993,log1,367,157,45,96,342,153,59,83
22,23486,log0,367,199,56,127,343,196,65,124
23,19053,log1,367,157,45,96,342,153,59,83
24,23546,log0,370,200,56,128,344,197,66,124
25,19113,log1,370,158,45,97,344,154,59,84
26,23606,log0,371,201,57,128,344,197,66,124
27,19173,log1,371,159,45,98,344,154,59,84
28,23666,log0,372,202,57,129,344,197,66,124
29,19233,log1,372,160,46,98,344,154,59,84
30,23726,log0,372,202,57,129,344,197,66,124
31,19293,log1,372,160,46,98,344,154,59,84
32,23786,log0,373,203,57,130,344,197,66,124
33,19353,log1,373,161,46,99,347,155,60,84
34,19413,log1,374,162,46,100,347,155,60,84
35,23846,log0,373,203,57,130,344,197,66,124
36,23906,log0,373,203,57,130,344,197,66,124
37,19473,log1,374,162,46,100,347,155,60,84
38,23966,log0,375,204,57,131,349,198,66,124
39,19533,log1,375,163,47,100,349,156,60,85
40,24026,log0,376,205,57,132,349,198,66,124
41,19593,log1,376,164,47,101,349,156,60,85
42,24086,log0,377,206,58,132,350,199,67,124
43,19653,log1,377,165,47,102,350,157,60,86
44,24146,log0,378,207,58,133,351,200,67,125
45,19713,log1,378,166,48,102,351,158,61,86
46,24206,log0,378,207,58,133,352,201,67,126
47,19773,log1,378,166,48,102,352,159,61,87
48,24266,log0,379,208,58,134,352,201,67,126
49,19833,log1,379,167,48,103,352,159,61,87
50,24326,log0,380,209,59,134,353,202,68,126
51,19893,log1,380,168,48,104,353,160,61,88
52,24386,log0,380,209,59,134,354,203,68,127
53,19953,log1,380,168,48,104,353,160,61,88
54,24446,log0,380,209,59,134,355,204,68,128
55,20013,log1,380,168,48,104,353,160,61,88
56,24506,log0,380,209,59,134,355,204,68,128
57,20073,log1,380,168,48,104,353,160,61,88
58,24566,log0,380,209,59,134,356,205,69,128
59,20133,log1,380,168,48,104,356,161,61,89
60,24626,log0,383,210,60,134,357,206,69,129
61,20193,log1,383,169,48,105,357,162,62,89
62,24686,log0,384,211,60,135,358,207,69,130
63,20253,log1,384,170,49,105,358,163,62,90
64,24746,log0,385,212,60,136,358,207,69,130
65,20313,log1,385,171,49,106,358,163,62,90
66,24806,log0,386,213,61,136,359,208,70,130
67,20373,log1,386,172,49,107,359,164,63,90
68,24866,log0,386,213,61,136,360,209,70,131
69,20433,log1,386,172,49,107,360,165,63,91
70,24926,log0,386,213,61,136,360,209,70,131
71,20493,log1,386,172,49,107,360,165,63,91
72,24986,log0,386,213,61,136,361,210,70,132
73,20553,log1,386,172,49,107,360,165,63,91
74,25046,log0,386,213,61,136,361,210,70,132
75,20613,log1,386,172,49,107,360,165,63,91
76,25106,log0,386,213,61,136,361,210,70,132
77,20673,log1,386,172,49,107,360,165,63,91
78,25166,log0,390,214,61,136,363,211,70,133
79,20733,log1,390,173,50,107,363,166,64,91
80,25226,log0,391,215,61,137,364,212,70,134
81,20793,log1,391,174,50,108,364,167,64,92
82,25286,log0,392,216,62,137,364,212,70,134
83,20853,log1,392,175,50,109,364,167,64,92
84,25346,log0,393,217,62,138,365,213,71,134
85,20913,log1,393,176,51,109,365,168,65,92
86,25406,log0,393,217,62,138,366,214,71,135
87,20973,log1,393,176,51,109,365,168,65,92
88,25466,log0,393,217,62,138,366,214,71,135
