,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq0,Statistic.recvNum0,Statistic.compute1num0,Statistic.compute2num0
0,13874,log1,0,0,0,0,119,117,113,2
1,10884,log0,283,206,113,88,0,0,0,0
2,13904,log1,0,0,0,0,119,117,113,2
3,10914,log0,283,206,113,88,0,0,0,0
4,13934,log1,0,0,0,0,120,118,114,2
5,10944,log0,284,207,114,88,0,0,0,0
6,13964,log1,0,0,0,0,120,118,114,2
7,10974,log0,285,208,114,89,0,0,0,0
8,13994,log1,0,0,0,0,121,119,115,2
9,11004,log0,286,209,115,89,0,0,0,0
10,14024,log1,0,0,0,0,121,119,115,2
11,11034,log0,286,209,115,89,0,0,0,0
12,11064,log0,287,210,115,90,0,0,0,0
13,14055,log1,0,0,0,0,122,120,116,2
14,14085,log1,0,0,0,0,122,120,116,2
15,11094,log0,288,211,116,90,0,0,0,0
16,14114,log1,0,0,0,0,122,120,116,2
17,11124,log0,289,212,116,91,0,0,0,0
18,14144,log1,0,0,0,0,123,121,117,2
19,11154,log0,289,212,116,91,0,0,0,0
20,14174,log1,0,0,0,0,123,121,117,2
21,11184,log0,290,213,117,91,0,0,0,0
22,14204,log1,0,0,0,0,124,122,118,2
23,11214,log0,291,214,118,91,0,0,0,0
24,14234,log1,0,0,0,0,124,122,118,2
25,11244,log0,292,215,118,92,0,0,0,0
26,11274,log0,292,215,118,92,0,0,0,0
27,14265,log1,0,0,0,0,125,123,119,2
28,14294,log1,0,0,0,0,125,123,119,2
29,11304,log0,293,216,119,92,0,0,0,0
30,14324,log1,0,0,0,0,125,123,119,2
31,11334,log0,294,217,119,93,0,0,0,0
32,14354,log1,0,0,0,0,126,124,120,2
33,11364,log0,295,218,120,93,0,0,0,0
34,14384,log1,0,0,0,0,126,124,120,2
35,11394,log0,295,218,120,93,0,0,0,0
36,14414,log1,0,0,0,0,127,125,121,2
37,11424,log0,296,219,120,94,0,0,0,0
38,14444,log1,0,0,0,0,127,125,121,2
39,11454,log0,297,220,121,94,0,0,0,0
40,14475,log1,0,0,0,0,128,126,122,2
41,11484,log0,298,221,122,94,0,0,0,0
42,14504,log1,0,0,0,0,128,126,122,2
43,11514,log0,298,221,122,94,0,0,0,0
44,14534,log1,0,0,0,0,128,126,122,2
45,11544,log0,299,222,122,95,0,0,0,0
46,14564,log1,0,0,0,0,129,127,123,2
47,11574,log0,300,223,123,95,0,0,0,0
48,14594,log1,0,0,0,0,129,127,123,2
49,11604,log0,301,224,123,96,0,0,0,0
50,14624,log1,0,0,0,0,130,128,124,2
51,11634,log0,301,224,123,96,0,0,0,0
52,14654,log1,0,0,0,0,130,128,124,2
53,11664,log0,302,225,124,96,0,0,0,0
54,14684,log1,0,0,0,0,131,129,125,2
55,11694,log0,303,226,124,97,0,0,0,0
56,14715,log1,0,0,0,0,131,129,125,2
57,11724,log0,304,227,125,97,0,0,0,0
58,14744,log1,0,0,0,0,131,129,125,2
59,11754,log0,304,227,125,97,0,0,0,0
60,14774,log1,0,0,0,0,132,130,126,2
61,11784,log0,305,228,126,97,0,0,0,0
62,14804,log1,0,0,0,0,132,130,126,2
63,11814,log0,306,229,126,98,0,0,0,0
64,14834,log1,0,0,0,0,133,131,127,2
65,11844,log0,307,230,127,98,0,0,0,0
66,14864,log1,0,0,0,0,133,131,127,2
67,11874,log0,307,230,127,98,0,0,0,0
68,14895,log1,0,0,0,0,134,132,128,2
69,11904,log0,308,231,127,99,0,0,0,0
70,14924,log1,0,0,0,0,134,132,128,2
71,11934,log0,309,232,128,99,0,0,0,0
72,14954,log1,0,0,0,0,134,132,128,2
73,11964,log0,310,233,128,100,0,0,0,0
74,14984,log1,0,0,0,0,135,133,129,2
75,11994,log0,310,233,128,100,0,0,0,0
76,15014,log1,0,0,0,0,135,133,129,2
77,12024,log0,311,234,129,100,0,0,0,0
78,15044,log1,0,0,0,0,136,134,130,2
79,12054,log0,312,235,130,100,0,0,0,0
80,15074,log1,0,0,0,0,136,134,130,2
81,12084,log0,313,236,130,101,0,0,0,0
82,12114,log0,313,236,130,101,0,0,0,0
83,15104,log1,0,0,0,0,137,135,131,2
84,15134,log1,0,0,0,0,137,135,131,2
85,12144,log0,314,237,131,101,0,0,0,0
86,15164,log1,0,0,0,0,137,135,131,2
87,12174,log0,315,238,131,102,0,0,0,0
88,15194,log1,0,0,0,0,138,136,132,2
89,12204,log0,316,239,132,102,0,0,0,0
90,15224,log1,0,0,0,0,138,136,132,2
91,12234,log0,316,239,132,102,0,0,0,0
92,15255,log1,0,0,0,0,139,137,133,2
93,12264,log0,317,240,132,103,0,0,0,0
94,15284,log1,0,0,0,0,139,137,133,2
95,12294,log0,318,241,133,103,0,0,0,0
96,15314,log1,0,0,0,0,140,138,134,2
97,12324,log0,319,242,134,103,0,0,0,0
98,15344,log1,0,0,0,0,140,138,134,2
99,12354,log0,319,242,134,103,0,0,0,0
100,15374,log1,0,0,0,0,140,138,134,2
101,12384,log0,320,243,134,104,0,0,0,0
102,15404,log1,0,0,0,0,141,139,135,2
103,12414,log0,321,244,135,104,0,0,0,0
104,15434,log1,0,0,0,0,141,139,135,2
105,12444,log0,322,245,135,105,0,0,0,0
106,15464,log1,0,0,0,0,142,140,136,2
107,12474,log0,322,245,135,105,0,0,0,0
108,15494,log1,0,0,0,0,142,140,136,2
109,12504,log0,323,246,136,105,0,0,0,0
110,12534,log0,324,247,136,106,0,0,0,0
111,15524,log1,0,0,0,0,143,141,137,2
112,15554,log1,0,0,0,0,143,141,137,2
113,12564,log0,325,248,137,106,0,0,0,0
114,15584,log1,0,0,0,0,143,141,137,2
115,12594,log0,325,248,137,106,0,0,0,0
116,15614,log1,0,0,0,0,144,142,138,2
117,12624,log0,326,249,138,106,0,0,0,0
118,15644,log1,0,0,0,0,144,142,138,2
119,12654,log0,327,250,138,107,0,0,0,0
120,15674,log1,0,0,0,0,145,143,139,2
121,12684,log0,328,251,139,107,0,0,0,0
122,15704,log1,0,0,0,0,145,143,139,2
123,12714,log0,328,251,139,107,0,0,0,0
124,12744,log0,329,252,139,108,0,0,0,0
125,15734,log1,0,0,0,0,146,144,140,2
126,15764,log1,0,0,0,0,146,144,140,2
127,12774,log0,330,253,140,108,0,0,0,0
128,15794,log1,0,0,0,0,146,144,140,2
129,12804,log0,331,254,140,109,0,0,0,0
130,15824,log1,0,0,0,0,147,145,141,2
131,12834,log0,331,254,140,109,0,0,0,0
132,15854,log1,0,0,0,0,147,145,141,2
133,12864,log0,332,255,141,109,0,0,0,0
134,15884,log1,0,0,0,0,148,146,142,2
135,12894,log0,333,256,142,109,0,0,0,0
136,15914,log1,0,0,0,0,148,146,142,2
137,12924,log0,334,257,142,110,0,0,0,0
138,15944,log1,0,0,0,0,149,147,143,2
139,12954,log0,334,257,142,110,0,0,0,0
140,15974,log1,0,0,0,0,149,147,143,2
141,12984,log0,335,258,143,110,0,0,0,0
142,16004,log1,0,0,0,0,149,147,143,2
143,13014,log0,336,259,143,111,0,0,0,0
144,16034,log1,0,0,0,0,150,148,144,2
145,13044,log0,337,260,144,111,0,0,0,0
146,16064,log1,0,0,0,0,150,148,144,2
147,13074,log0,337,260,144,111,0,0,0,0
148,16094,log1,0,0,0,0,151,149,145,2
149,13104,log0,338,261,144,112,0,0,0,0
150,16124,log1,0,0,0,0,151,149,145,2
151,13134,log0,339,262,145,112,0,0,0,0
152,16154,log1,0,0,0,0,152,150,146,2
153,13164,log0,340,263,146,112,0,0,0,0
154,16184,log1,0,0,0,0,152,150,146,2
