,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,37728,log0,0,0,0,0,244,239,137,98
1,17280,log1,582,236,136,97,0,0,0,0
2,37758,log0,0,0,0,0,244,239,137,98
3,17310,log1,583,237,137,97,0,0,0,0
4,37788,log0,0,0,0,0,245,240,138,98
5,17340,log1,583,237,137,97,0,0,0,0
6,17370,log1,584,238,138,97,0,0,0,0
7,37818,log0,0,0,0,0,245,240,138,98
8,37848,log0,0,0,0,0,246,241,139,98
9,17400,log1,585,239,138,98,0,0,0,0
10,37878,log0,0,0,0,0,247,242,139,99
11,17430,log1,585,239,138,98,0,0,0,0
12,17460,log1,586,240,139,98,0,0,0,0
13,37908,log0,0,0,0,0,247,242,139,99
14,37938,log0,0,0,0,0,247,242,139,99
15,17490,log1,586,240,139,98,0,0,0,0
16,37968,log0,0,0,0,0,248,243,140,99
17,17520,log1,587,241,139,99,0,0,0,0
18,37998,log0,0,0,0,0,248,243,140,99
19,17550,log1,587,241,139,99,0,0,0,0
20,38028,log0,0,0,0,0,248,243,140,99
21,17580,log1,588,242,139,99,0,0,0,0
22,38058,log0,0,0,0,0,249,244,141,99
23,17610,log1,588,242,139,99,0,0,0,0
24,17640,log1,589,243,139,100,0,0,0,0
25,38088,log0,0,0,0,0,249,244,141,99
26,38118,log0,0,0,0,0,250,245,141,100
27,17670,log1,589,243,139,100,0,0,0,0
28,38148,log0,0,0,0,0,251,246,141,101
29,17700,log1,590,244,140,100,0,0,0,0
30,38178,log0,0,0,0,0,251,246,141,101
31,17730,log1,590,244,140,100,0,0,0,0
32,17760,log1,591,245,140,101,0,0,0,0
33,38208,log0,0,0,0,0,252,247,142,101
34,38238,log0,0,0,0,0,252,247,142,101
35,17790,log1,591,245,140,101,0,0,0,0
36,38268,log0,0,0,0,0,253,248,143,101
37,17820,log1,592,246,141,101,0,0,0,0
38,17850,log1,592,246,141,101,0,0,0,0
39,38298,log0,0,0,0,0,253,248,143,101
40,17880,log1,593,247,141,102,0,0,0,0
41,38328,log0,0,0,0,0,253,248,143,101
42,38358,log0,0,0,0,0,254,249,143,102
43,17910,log1,593,247,141,102,0,0,0,0
44,38388,log0,0,0,0,0,254,249,143,102
45,17940,log1,594,248,142,102,0,0,0,0
46,38418,log0,0,0,0,0,255,250,143,103
47,17970,log1,594,248,142,102,0,0,0,0
48,18000,log1,595,249,142,103,0,0,0,0
49,38448,log0,0,0,0,0,255,250,143,103
50,18030,log1,595,249,142,103,0,0,0,0
51,38478,log0,0,0,0,0,256,251,144,103
52,18060,log1,596,250,143,103,0,0,0,0
53,38508,log0,0,0,0,0,256,251,144,103
54,38538,log0,0,0,0,0,256,251,144,103
55,18090,log1,597,251,143,104,0,0,0,0
56,38568,log0,0,0,0,0,257,252,145,103
57,18120,log1,597,251,143,104,0,0,0,0
58,38598,log0,0,0,0,0,258,253,145,104
59,18150,log1,597,251,143,104,0,0,0,0
