,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,27409,log1,455,412,411,0,0,0,0,0
1,29882,log0,0,0,0,0,414,413,411,0
2,27439,log1,456,413,412,0,0,0,0,0
3,29912,log0,0,0,0,0,415,414,412,0
4,27469,log1,456,413,412,0,0,0,0,0
5,29942,log0,0,0,0,0,415,414,412,0
6,27499,log1,457,414,413,0,0,0,0,0
7,29972,log0,0,0,0,0,416,415,413,0
8,27529,log1,457,414,413,0,0,0,0,0
9,30002,log0,0,0,0,0,416,415,413,0
10,27559,log1,458,415,414,0,0,0,0,0
11,30032,log0,0,0,0,0,417,416,414,0
12,27589,log1,458,415,414,0,0,0,0,0
13,30062,log0,0,0,0,0,417,416,414,0
14,30092,log0,0,0,0,0,418,417,415,0
15,27619,log1,459,416,415,0,0,0,0,0
16,27649,log1,459,416,415,0,0,0,0,0
17,30122,log0,0,0,0,0,418,417,415,0
18,27679,log1,460,417,416,0,0,0,0,0
19,30152,log0,0,0,0,0,419,418,416,0
20,27709,log1,460,417,416,0,0,0,0,0
21,30182,log0,0,0,0,0,419,418,416,0
22,27739,log1,461,418,417,0,0,0,0,0
23,30212,log0,0,0,0,0,420,419,417,0
24,27769,log1,461,418,417,0,0,0,0,0
25,30242,log0,0,0,0,0,420,419,417,0
26,27799,log1,462,419,418,0,0,0,0,0
27,30272,log0,0,0,0,0,421,420,418,0
28,30302,log0,0,0,0,0,421,420,418,0
29,27829,log1,462,419,418,0,0,0,0,0
30,30332,log0,0,0,0,0,422,421,419,0
31,27859,log1,463,420,419,0,0,0,0,0
32,30362,log0,0,0,0,0,422,421,419,0
33,27889,log1,463,420,419,0,0,0,0,0
34,30392,log0,0,0,0,0,423,422,420,0
35,27919,log1,464,421,420,0,0,0,0,0
36,27949,log1,464,421,420,0,0,0,0,0
