,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq0,Statistic.recvNum0,Statistic.compute1num0,Statistic.compute2num0
0,16017,log0,280,267,132,131,0,0,0,0
1,16584,log1,0,0,0,0,193,192,133,57
2,16047,log0,281,268,132,132,0,0,0,0
3,16614,log1,0,0,0,0,193,192,133,57
4,16077,log0,281,268,132,132,0,0,0,0
5,16644,log1,0,0,0,0,193,192,133,57
6,16107,log0,282,269,133,132,0,0,0,0
7,16674,log1,0,0,0,0,194,193,134,57
8,16137,log0,283,270,133,133,0,0,0,0
9,16704,log1,0,0,0,0,194,193,134,57
10,16167,log0,283,270,133,133,0,0,0,0
11,16734,log1,0,0,0,0,195,194,134,58
12,16197,log0,284,271,134,133,0,0,0,0
13,16764,log1,0,0,0,0,195,194,134,58
14,16227,log0,284,271,134,133,0,0,0,0
15,16794,log1,0,0,0,0,196,195,135,58
16,16824,log1,0,0,0,0,196,195,135,58
17,16257,log0,285,272,134,134,0,0,0,0
18,16287,log0,286,273,135,134,0,0,0,0
19,16854,log1,0,0,0,0,196,195,135,58
20,16317,log0,286,273,135,134,0,0,0,0
21,16884,log1,0,0,0,0,197,196,136,58
22,16347,log0,287,274,135,135,0,0,0,0
23,16914,log1,0,0,0,0,197,196,136,58
24,16377,log0,287,274,135,135,0,0,0,0
25,16944,log1,0,0,0,0,198,197,136,59
26,16407,log0,288,275,136,135,0,0,0,0
27,16974,log1,0,0,0,0,198,197,136,59
28,16437,log0,289,276,136,136,0,0,0,0
29,17004,log1,0,0,0,0,199,198,137,59
30,16467,log0,289,276,136,136,0,0,0,0
31,17034,log1,0,0,0,0,199,198,137,59
32,16497,log0,290,277,137,136,0,0,0,0
33,17064,log1,0,0,0,0,199,198,137,59
34,16527,log0,290,277,137,136,0,0,0,0
35,17094,log1,0,0,0,0,200,199,138,59
36,16557,log0,291,278,137,137,0,0,0,0
37,17124,log1,0,0,0,0,200,199,138,59
38,17154,log1,0,0,0,0,201,200,138,60
39,16587,log0,292,279,138,137,0,0,0,0
40,16617,log0,292,279,138,137,0,0,0,0
41,17184,log1,0,0,0,0,201,200,138,60
42,16647,log0,293,280,138,138,0,0,0,0
43,17214,log1,0,0,0,0,202,201,139,60
44,16677,log0,293,280,138,138,0,0,0,0
45,17244,log1,0,0,0,0,202,201,139,60
46,16707,log0,294,281,139,138,0,0,0,0
47,17274,log1,0,0,0,0,202,201,139,60
48,16737,log0,295,282,139,139,0,0,0,0
49,17304,log1,0,0,0,0,203,202,140,60
50,16767,log0,295,282,139,139,0,0,0,0
51,17334,log1,0,0,0,0,203,202,140,60
52,16797,log0,296,283,140,139,0,0,0,0
53,17364,log1,0,0,0,0,204,203,141,60
54,16827,log0,296,283,140,139,0,0,0,0
55,17394,log1,0,0,0,0,204,203,141,60
56,16857,log0,297,284,140,140,0,0,0,0
57,17424,log1,0,0,0,0,205,204,141,61
58,16887,log0,298,285,141,140,0,0,0,0
59,17454,log1,0,0,0,0,205,204,141,61
60,16917,log0,298,285,141,140,0,0,0,0
61,17484,log1,0,0,0,0,205,204,141,61
62,16947,log0,299,286,141,141,0,0,0,0
63,17514,log1,0,0,0,0,206,205,142,61
64,16977,log0,299,286,141,141,0,0,0,0
65,17544,log1,0,0,0,0,206,205,142,61
66,17007,log0,300,287,142,141,0,0,0,0
67,17574,log1,0,0,0,0,207,206,142,61
68,17037,log0,301,288,142,142,0,0,0,0
69,17604,log1,0,0,0,0,207,206,142,61
70,17067,log0,301,288,142,142,0,0,0,0
71,17634,log1,0,0,0,0,208,207,142,62
72,17097,log0,302,289,143,142,0,0,0,0
73,17664,log1,0,0,0,0,208,207,142,62
74,17127,log0,302,289,143,142,0,0,0,0
75,17694,log1,0,0,0,0,208,207,142,62
76,17157,log0,303,290,143,143,0,0,0,0
77,17724,log1,0,0,0,0,209,208,143,62
78,17187,log0,304,291,144,143,0,0,0,0
79,17754,log1,0,0,0,0,209,208,143,62
80,17217,log0,304,291,144,143,0,0,0,0
81,17784,log1,0,0,0,0,210,209,144,62
82,17247,log0,305,292,144,144,0,0,0,0
83,17814,log1,0,0,0,0,210,209,144,62
84,17277,log0,305,292,144,144,0,0,0,0
85,17844,log1,0,0,0,0,211,210,144,63
86,17307,log0,306,293,145,144,0,0,0,0
87,17874,log1,0,0,0,0,211,210,144,63
88,17337,log0,307,294,145,145,0,0,0,0
89,17904,log1,0,0,0,0,211,210,144,63
90,17367,log0,307,294,145,145,0,0,0,0
91,17934,log1,0,0,0,0,212,211,145,63
92,17397,log0,308,295,146,145,0,0,0,0
93,17964,log1,0,0,0,0,212,211,145,63
94,17427,log0,308,295,146,145,0,0,0,0
95,17994,log1,0,0,0,0,213,212,146,63
96,17457,log0,309,296,146,146,0,0,0,0
97,18024,log1,0,0,0,0,213,212,146,63
98,17487,log0,310,297,146,146,0,0,0,0
99,18054,log1,0,0,0,0,214,213,147,63
100,17517,log0,310,297,146,146,0,0,0,0
101,18084,log1,0,0,0,0,214,213,147,63
102,17547,log0,311,298,146,147,0,0,0,0
103,18114,log1,0,0,0,0,214,213,147,63
104,17577,log0,311,298,146,147,0,0,0,0
105,18144,log1,0,0,0,0,215,214,147,64
106,17607,log0,312,299,147,147,0,0,0,0
107,18174,log1,0,0,0,0,215,214,147,64
108,17637,log0,313,300,147,148,0,0,0,0
109,18204,log1,0,0,0,0,216,215,148,64
110,17667,log0,313,300,147,148,0,0,0,0
111,18234,log1,0,0,0,0,216,215,148,64
112,17697,log0,314,301,148,148,0,0,0,0
113,18264,log1,0,0,0,0,217,216,149,64
114,17727,log0,314,301,148,148,0,0,0,0
115,18294,log1,0,0,0,0,217,216,149,64
116,17757,log0,315,302,148,149,0,0,0,0
117,18324,log1,0,0,0,0,217,216,149,64
118,17787,log0,316,303,149,149,0,0,0,0
119,18354,log1,0,0,0,0,218,217,149,65
120,17817,log0,316,303,149,149,0,0,0,0
121,18384,log1,0,0,0,0,218,217,149,65
122,17847,log0,317,304,149,150,0,0,0,0
123,18414,log1,0,0,0,0,219,218,150,65
124,17877,log0,317,304,149,150,0,0,0,0
125,18444,log1,0,0,0,0,219,218,150,65
126,17907,log0,318,305,150,150,0,0,0,0
127,18474,log1,0,0,0,0,220,219,151,65
128,17937,log0,319,306,150,151,0,0,0,0
129,18504,log1,0,0,0,0,220,219,151,65
130,17967,log0,319,306,150,151,0,0,0,0
131,18534,log1,0,0,0,0,220,219,151,65
132,17997,log0,320,307,151,151,0,0,0,0
133,18564,log1,0,0,0,0,221,220,151,66
134,18027,log0,320,307,151,151,0,0,0,0
135,18594,log1,0,0,0,0,221,220,151,66
136,18057,log0,321,308,151,152,0,0,0,0
137,18624,log1,0,0,0,0,222,221,152,66
138,18087,log0,322,309,152,152,0,0,0,0
139,18654,log1,0,0,0,0,222,221,152,66
140,18117,log0,322,309,152,152,0,0,0,0
141,18684,log1,0,0,0,0,223,222,153,66
142,18147,log0,323,310,152,153,0,0,0,0
143,18714,log1,0,0,0,0,223,222,153,66
144,18177,log0,323,310,152,153,0,0,0,0
145,18744,log1,0,0,0,0,223,222,153,66
146,18207,log0,324,311,153,153,0,0,0,0
147,18774,log1,0,0,0,0,224,223,154,66
148,18237,log0,325,312,153,154,0,0,0,0
149,18804,log1,0,0,0,0,224,223,154,66
150,18267,log0,325,312,153,154,0,0,0,0
151,18834,log1,0,0,0,0,225,224,154,67
152,18864,log1,0,0,0,0,225,224,154,67
153,18297,log0,326,313,154,154,0,0,0,0
154,18327,log0,326,313,154,154,0,0,0,0
155,18894,log1,0,0,0,0,226,225,155,67
156,18357,log0,327,314,154,155,0,0,0,0
157,18924,log1,0,0,0,0,226,225,155,67
158,18387,log0,328,315,155,155,0,0,0,0
159,18954,log1,0,0,0,0,226,225,155,67
160,18417,log0,328,315,155,155,0,0,0,0
161,18984,log1,0,0,0,0,227,226,156,67
162,18447,log0,329,316,155,156,0,0,0,0
163,19014,log1,0,0,0,0,227,226,156,67
164,18477,log0,329,316,155,156,0,0,0,0
165,19044,log1,0,0,0,0,228,227,156,68
166,18507,log0,330,317,156,156,0,0,0,0
167,19074,log1,0,0,0,0,228,227,156,68
168,18537,log0,331,318,156,157,0,0,0,0
169,19104,log1,0,0,0,0,229,228,157,68
170,18567,log0,331,318,156,157,0,0,0,0
171,19134,log1,0,0,0,0,229,228,157,68
172,18597,log0,332,319,157,157,0,0,0,0
173,19164,log1,0,0,0,0,229,228,157,68
174,18627,log0,332,319,157,157,0,0,0,0
