,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,59948,log1,561,560,557,0,0,0,0,0
1,36214,log0,0,0,0,0,957,560,556,0
2,59978,log1,561,560,557,0,0,0,0,0
3,36244,log0,0,0,0,0,957,560,556,0
4,60008,log1,562,561,558,0,0,0,0,0
5,36274,log0,0,0,0,0,958,561,557,0
6,60038,log1,562,561,558,0,0,0,0,0
7,36304,log0,0,0,0,0,958,561,557,0
8,60068,log1,563,562,559,0,0,0,0,0
9,36334,log0,0,0,0,0,959,562,558,0
10,60098,log1,563,562,559,0,0,0,0,0
11,36364,log0,0,0,0,0,959,562,558,0
12,60128,log1,564,563,560,0,0,0,0,0
13,36394,log0,0,0,0,0,960,563,559,0
14,60158,log1,564,563,560,0,0,0,0,0
15,36424,log0,0,0,0,0,960,563,559,0
16,36454,log0,0,0,0,0,961,564,560,0
17,60188,log1,565,564,561,0,0,0,0,0
18,60218,log1,565,564,561,0,0,0,0,0
19,36484,log0,0,0,0,0,961,564,560,0
20,60248,log1,566,565,562,0,0,0,0,0
21,36514,log0,0,0,0,0,962,565,561,0
22,60278,log1,566,565,562,0,0,0,0,0
23,36544,log0,0,0,0,0,962,565,561,0
24,60308,log1,567,566,563,0,0,0,0,0
25,36574,log0,0,0,0,0,963,566,562,0
26,60338,log1,567,566,563,0,0,0,0,0
27,36604,log0,0,0,0,0,963,566,562,0
28,60368,log1,568,567,564,0,0,0,0,0
29,36634,log0,0,0,0,0,964,567,563,0
30,60398,log1,568,567,564,0,0,0,0,0
31,36664,log0,0,0,0,0,964,567,563,0
32,60428,log1,569,568,565,0,0,0,0,0
33,36694,log0,0,0,0,0,965,568,564,0
34,60458,log1,569,568,565,0,0,0,0,0
35,36724,log0,0,0,0,0,965,568,564,0
36,60488,log1,570,569,566,0,0,0,0,0
37,36754,log0,0,0,0,0,966,569,565,0
38,60518,log1,570,569,566,0,0,0,0,0
39,36784,log0,0,0,0,0,966,569,565,0
40,60548,log1,571,570,567,0,0,0,0,0
41,36814,log0,0,0,0,0,967,570,566,0
42,60578,log1,571,570,567,0,0,0,0,0
43,36844,log0,0,0,0,0,967,570,566,0
44,60608,log1,572,571,568,0,0,0,0,0
45,36874,log0,0,0,0,0,968,571,567,0
46,60638,log1,572,571,568,0,0,0,0,0
47,36904,log0,0,0,0,0,968,571,567,0
48,60668,log1,573,572,569,0,0,0,0,0
49,36934,log0,0,0,0,0,969,572,568,0
50,60698,log1,573,572,569,0,0,0,0,0
51,36964,log0,0,0,0,0,969,572,568,0
52,60728,log1,574,573,570,0,0,0,0,0
53,36994,log0,0,0,0,0,970,573,569,0
54,60758,log1,574,573,570,0,0,0,0,0
55,37024,log0,0,0,0,0,970,573,569,0
56,60788,log1,575,574,571,0,0,0,0,0
57,37054,log0,0,0,0,0,971,574,570,0
58,60818,log1,575,574,571,0,0,0,0,0
59,37084,log0,0,0,0,0,971,574,570,0
60,60848,log1,576,575,572,0,0,0,0,0
61,37114,log0,0,0,0,0,972,575,571,0
62,60878,log1,576,575,572,0,0,0,0,0
63,37144,log0,0,0,0,0,972,575,571,0
64,60908,log1,577,576,573,0,0,0,0,0
65,37174,log0,0,0,0,0,973,576,572,0
66,60938,log1,577,576,573,0,0,0,0,0
67,37204,log0,0,0,0,0,973,576,572,0
68,60968,log1,578,577,574,0,0,0,0,0
69,37234,log0,0,0,0,0,974,577,573,0
70,60998,log1,578,577,574,0,0,0,0,0
71,37264,log0,0,0,0,0,974,577,573,0
72,61028,log1,579,578,575,0,0,0,0,0
73,37294,log0,0,0,0,0,975,578,574,0
74,61058,log1,579,578,575,0,0,0,0,0
75,37324,log0,0,0,0,0,975,578,574,0
76,61088,log1,580,579,576,0,0,0,0,0
77,37354,log0,0,0,0,0,976,579,575,0
78,61118,log1,580,579,576,0,0,0,0,0
79,37384,log0,0,0,0,0,976,579,575,0
80,61148,log1,581,580,577,0,0,0,0,0
81,37414,log0,0,0,0,0,977,580,576,0
82,61178,log1,581,580,577,0,0,0,0,0
83,37444,log0,0,0,0,0,977,580,576,0
84,61208,log1,582,581,578,0,0,0,0,0
85,37474,log0,0,0,0,0,978,581,577,0
86,61238,log1,582,581,578,0,0,0,0,0
87,37504,log0,0,0,0,0,978,581,577,0
88,61268,log1,583,582,579,0,0,0,0,0
89,37534,log0,0,0,0,0,979,582,578,0
90,61298,log1,583,582,579,0,0,0,0,0
91,37564,log0,0,0,0,0,979,582,578,0
92,61328,log1,584,583,580,0,0,0,0,0
93,37594,log0,0,0,0,0,980,583,579,0
94,61358,log1,584,583,580,0,0,0,0,0
95,37624,log0,0,0,0,0,980,583,579,0
96,61389,log1,585,584,581,0,0,0,0,0
97,37654,log0,0,0,0,0,981,584,580,0
98,61418,log1,585,584,581,0,0,0,0,0
99,37684,log0,0,0,0,0,981,584,580,0
100,61448,log1,586,585,582,0,0,0,0,0
101,37714,log0,0,0,0,0,982,585,581,0
102,61478,log1,586,585,582,0,0,0,0,0
103,37744,log0,0,0,0,0,982,585,581,0
104,61508,log1,587,586,583,0,0,0,0,0
105,37774,log0,0,0,0,0,983,586,582,0
106,61538,log1,587,586,583,0,0,0,0,0
107,37804,log0,0,0,0,0,983,586,582,0
108,61568,log1,588,587,584,0,0,0,0,0
109,37834,log0,0,0,0,0,984,587,583,0
110,61598,log1,588,587,584,0,0,0,0,0
111,37864,log0,0,0,0,0,984,587,583,0
112,61628,log1,589,588,585,0,0,0,0,0
113,37894,log0,0,0,0,0,985,588,584,0
114,61658,log1,589,588,585,0,0,0,0,0
115,37924,log0,0,0,0,0,985,588,584,0
116,61688,log1,590,589,586,0,0,0,0,0
117,37954,log0,0,0,0,0,986,589,585,0
118,61718,log1,590,589,586,0,0,0,0,0
119,37984,log0,0,0,0,0,986,589,585,0
120,61748,log1,591,590,587,0,0,0,0,0
121,38014,log0,0,0,0,0,987,590,586,0
122,61778,log1,591,590,587,0,0,0,0,0
123,38044,log0,0,0,0,0,987,590,586,0
124,61808,log1,592,591,588,0,0,0,0,0
125,38074,log0,0,0,0,0,988,591,587,0
126,61838,log1,592,591,588,0,0,0,0,0
127,38104,log0,0,0,0,0,988,591,587,0
128,61868,log1,593,592,589,0,0,0,0,0
129,38134,log0,0,0,0,0,989,592,588,0
130,61898,log1,593,592,589,0,0,0,0,0
131,38164,log0,0,0,0,0,989,592,588,0
132,61928,log1,594,593,590,0,0,0,0,0
133,38194,log0,0,0,0,0,990,593,589,0
134,61958,log1,594,593,590,0,0,0,0,0
135,38224,log0,0,0,0,0,990,593,589,0
136,61988,log1,595,594,591,0,0,0,0,0
137,38254,log0,0,0,0,0,991,594,590,0
138,62018,log1,595,594,591,0,0,0,0,0
139,38284,log0,0,0,0,0,991,594,590,0
140,62048,log1,596,595,592,0,0,0,0,0
141,38314,log0,0,0,0,0,992,595,591,0
142,62078,log1,596,595,592,0,0,0,0,0
143,38344,log0,0,0,0,0,992,595,591,0
144,62108,log1,597,596,593,0,0,0,0,0
145,38374,log0,0,0,0,0,993,596,592,0
146,62138,log1,597,596,593,0,0,0,0,0
147,38404,log0,0,0,0,0,993,596,592,0
148,38434,log0,0,0,0,0,994,597,593,0
149,62168,log1,598,597,594,0,0,0,0,0
150,62198,log1,598,597,594,0,0,0,0,0
151,38464,log0,0,0,0,0,994,597,593,0
152,62228,log1,599,598,595,0,0,0,0,0
153,38494,log0,0,0,0,0,995,598,594,0
154,62258,log1,599,598,595,0,0,0,0,0
155,38524,log0,0,0,0,0,995,598,594,0
156,62288,log1,600,599,596,0,0,0,0,0
157,38554,log0,0,0,0,0,996,599,595,0
158,62318,log1,600,599,596,0,0,0,0,0
159,38584,log0,0,0,0,0,996,599,595,0
160,62348,log1,601,600,597,0,0,0,0,0
161,38614,log0,0,0,0,0,997,600,596,0
162,62378,log1,601,600,597,0,0,0,0,0
163,38644,log0,0,0,0,0,997,600,596,0
164,62408,log1,602,601,598,0,0,0,0,0
165,38674,log0,0,0,0,0,998,601,597,0
166,62438,log1,602,601,598,0,0,0,0,0
167,38704,log0,0,0,0,0,998,601,597,0
168,62468,log1,603,602,599,0,0,0,0,0
169,38734,log0,0,0,0,0,999,602,598,0
170,62498,log1,603,602,599,0,0,0,0,0
171,38764,log0,0,0,0,0,999,602,598,0
172,62528,log1,604,603,600,0,0,0,0,0
173,38794,log0,0,0,0,0,1000,603,599,0
174,62558,log1,604,603,600,0,0,0,0,0
175,38824,log0,0,0,0,0,1000,603,599,0
176,62588,log1,605,604,601,0,0,0,0,0
177,38854,log0,0,0,0,0,1001,604,600,0
178,62618,log1,605,604,601,0,0,0,0,0
179,38884,log0,0,0,0,0,1001,604,600,0
180,62648,log1,606,605,602,0,0,0,0,0
181,38914,log0,0,0,0,0,1002,605,601,0
182,62678,log1,606,605,602,0,0,0,0,0
183,38944,log0,0,0,0,0,1002,605,601,0
184,62708,log1,607,606,603,0,0,0,0,0
185,38974,log0,0,0,0,0,1003,606,602,0
186,62738,log1,607,606,603,0,0,0,0,0
187,39004,log0,0,0,0,0,1003,606,602,0
188,62768,log1,608,607,604,0,0,0,0,0
189,39034,log0,0,0,0,0,1004,607,603,0
190,62798,log1,608,607,604,0,0,0,0,0
191,39064,log0,0,0,0,0,1004,607,603,0
192,62828,log1,609,608,605,0,0,0,0,0
193,39094,log0,0,0,0,0,1005,608,604,0
194,62858,log1,609,608,605,0,0,0,0,0
195,39124,log0,0,0,0,0,1005,608,604,0
196,62888,log1,610,609,606,0,0,0,0,0
197,39154,log0,0,0,0,0,1006,609,605,0
198,62918,log1,610,609,606,0,0,0,0,0
199,39184,log0,0,0,0,0,1006,609,605,0
200,62948,log1,611,610,607,0,0,0,0,0
201,39214,log0,0,0,0,0,1007,610,606,0
202,62978,log1,611,610,607,0,0,0,0,0
203,39244,log0,0,0,0,0,1007,610,606,0
204,63008,log1,612,611,608,0,0,0,0,0
205,39274,log0,0,0,0,0,1008,611,607,0
206,63038,log1,612,611,608,0,0,0,0,0
207,39304,log0,0,0,0,0,1008,611,607,0
208,63068,log1,613,612,609,0,0,0,0,0
209,39334,log0,0,0,0,0,1009,612,608,0
210,63098,log1,613,612,609,0,0,0,0,0
211,39364,log0,0,0,0,0,1009,612,608,0
212,63128,log1,614,613,610,0,0,0,0,0
213,39394,log0,0,0,0,0,1010,613,609,0
214,63158,log1,614,613,610,0,0,0,0,0
215,39424,log0,0,0,0,0,1010,613,609,0
216,63188,log1,615,614,611,0,0,0,0,0
217,39454,log0,0,0,0,0,1011,614,610,0
218,63218,log1,615,614,611,0,0,0,0,0
219,39484,log0,0,0,0,0,1011,614,610,0
220,39514,log0,0,0,0,0,1012,615,611,0
221,63248,log1,616,615,612,0,0,0,0,0
222,63278,log1,616,615,612,0,0,0,0,0
223,39544,log0,0,0,0,0,1012,615,611,0
224,63308,log1,617,616,613,0,0,0,0,0
225,39574,log0,0,0,0,0,1013,616,612,0
226,63338,log1,617,616,613,0,0,0,0,0
