,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,41362,log1,262,261,224,0,0,0,0,0
1,18199,log0,0,0,0,0,643,258,225,0
2,18229,log0,0,0,0,0,644,259,226,0
3,41392,log1,262,261,224,0,0,0,0,0
4,18259,log0,0,0,0,0,644,259,226,0
5,41422,log1,262,261,224,0,0,0,0,0
6,18289,log0,0,0,0,0,645,260,227,0
7,41452,log1,263,262,225,0,0,0,0,0
8,18319,log0,0,0,0,0,645,260,227,0
9,41482,log1,263,262,225,0,0,0,0,0
10,18349,log0,0,0,0,0,646,261,227,0
11,41512,log1,264,263,226,0,0,0,0,0
12,18379,log0,0,0,0,0,646,261,227,0
13,41542,log1,264,263,226,0,0,0,0,0
14,41572,log1,264,263,226,0,0,0,0,0
15,18409,log0,0,0,0,0,647,262,228,0
16,18439,log0,0,0,0,0,648,263,229,0
17,41602,log1,265,264,227,0,0,0,0,0
18,18469,log0,0,0,0,0,648,263,229,0
19,41632,log1,265,264,227,0,0,0,0,0
20,41662,log1,266,265,228,0,0,0,0,0
21,18499,log0,0,0,0,0,649,264,230,0
22,41692,log1,266,265,228,0,0,0,0,0
23,18529,log0,0,0,0,0,649,264,230,0
24,41722,log1,267,266,229,0,0,0,0,0
25,18559,log0,0,0,0,0,650,265,231,0
26,18589,log0,0,0,0,0,650,265,231,0
27,41752,log1,267,266,229,0,0,0,0,0
28,18619,log0,0,0,0,0,651,266,232,0
29,41782,log1,268,267,230,0,0,0,0,0
30,18649,log0,0,0,0,0,651,266,232,0
31,41812,log1,269,268,231,0,0,0,0,0
32,18679,log0,0,0,0,0,651,266,232,0
33,41842,log1,269,268,231,0,0,0,0,0
34,41872,log1,269,268,231,0,0,0,0,0
35,18709,log0,0,0,0,0,652,267,233,0
36,18739,log0,0,0,0,0,653,268,234,0
37,41902,log1,270,269,232,0,0,0,0,0
38,41932,log1,270,269,232,0,0,0,0,0
