,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,15332,log0,0,0,0,0,615,211,210,0
1,39474,log1,213,212,210,0,0,0,0,0
2,15362,log0,0,0,0,0,616,212,211,0
3,39504,log1,213,212,210,0,0,0,0,0
4,15392,log0,0,0,0,0,616,212,211,0
5,39534,log1,214,213,211,0,0,0,0,0
6,15422,log0,0,0,0,0,617,213,212,0
7,39564,log1,214,213,211,0,0,0,0,0
8,15452,log0,0,0,0,0,617,213,212,0
9,39594,log1,215,214,212,0,0,0,0,0
10,15482,log0,0,0,0,0,618,214,213,0
11,39624,log1,215,214,212,0,0,0,0,0
12,15512,log0,0,0,0,0,618,214,213,0
13,39654,log1,216,215,213,0,0,0,0,0
14,15542,log0,0,0,0,0,619,215,214,0
15,39684,log1,216,215,213,0,0,0,0,0
16,15572,log0,0,0,0,0,619,215,214,0
17,39714,log1,217,216,214,0,0,0,0,0
18,15602,log0,0,0,0,0,620,216,215,0
19,39744,log1,217,216,214,0,0,0,0,0
20,15632,log0,0,0,0,0,620,216,215,0
21,39774,log1,218,217,215,0,0,0,0,0
22,15662,log0,0,0,0,0,621,217,216,0
23,39804,log1,218,217,215,0,0,0,0,0
24,15692,log0,0,0,0,0,621,217,216,0
25,39834,log1,219,218,216,0,0,0,0,0
26,15722,log0,0,0,0,0,622,218,217,0
27,39864,log1,219,218,216,0,0,0,0,0
28,39894,log1,220,219,217,0,0,0,0,0
29,15752,log0,0,0,0,0,622,218,217,0
30,15782,log0,0,0,0,0,623,219,218,0
31,39924,log1,220,219,217,0,0,0,0,0
32,15812,log0,0,0,0,0,623,219,218,0
33,39954,log1,221,220,218,0,0,0,0,0
34,15842,log0,0,0,0,0,624,220,219,0
35,39984,log1,221,220,218,0,0,0,0,0
36,15872,log0,0,0,0,0,624,220,219,0
37,40014,log1,222,221,219,0,0,0,0,0
38,15902,log0,0,0,0,0,625,221,220,0
39,40044,log1,222,221,219,0,0,0,0,0
40,15932,log0,0,0,0,0,625,221,220,0
41,40074,log1,223,222,220,0,0,0,0,0
42,15962,log0,0,0,0,0,626,222,221,0
43,40104,log1,223,222,220,0,0,0,0,0
44,15992,log0,0,0,0,0,626,222,221,0
45,40134,log1,224,223,221,0,0,0,0,0
46,16022,log0,0,0,0,0,627,223,222,0
47,40164,log1,224,223,221,0,0,0,0,0
48,16052,log0,0,0,0,0,627,223,222,0
49,40194,log1,225,224,222,0,0,0,0,0
50,16082,log0,0,0,0,0,628,224,223,0
51,40224,log1,225,224,222,0,0,0,0,0
52,16112,log0,0,0,0,0,628,224,223,0
53,40254,log1,226,225,223,0,0,0,0,0
54,16142,log0,0,0,0,0,629,225,224,0
55,40284,log1,226,225,223,0,0,0,0,0
56,16172,log0,0,0,0,0,629,225,224,0
57,40314,log1,227,226,224,0,0,0,0,0
58,16202,log0,0,0,0,0,630,226,225,0
59,40344,log1,227,226,224,0,0,0,0,0
60,16232,log0,0,0,0,0,630,226,225,0
61,40374,log1,228,227,225,0,0,0,0,0
62,16262,log0,0,0,0,0,631,227,226,0
63,40404,log1,228,227,225,0,0,0,0,0
64,16292,log0,0,0,0,0,631,227,226,0
65,40434,log1,229,228,226,0,0,0,0,0
66,16322,log0,0,0,0,0,632,228,227,0
67,40464,log1,229,228,226,0,0,0,0,0
68,16352,log0,0,0,0,0,632,228,227,0
69,40494,log1,230,229,227,0,0,0,0,0
70,16382,log0,0,0,0,0,633,229,228,0
71,40524,log1,230,229,227,0,0,0,0,0
72,16412,log0,0,0,0,0,633,229,228,0
73,40554,log1,231,230,228,0,0,0,0,0
74,16442,log0,0,0,0,0,634,230,229,0
75,40584,log1,231,230,228,0,0,0,0,0
76,16472,log0,0,0,0,0,634,230,229,0
77,40614,log1,232,231,229,0,0,0,0,0
78,16502,log0,0,0,0,0,635,231,230,0
79,40644,log1,232,231,229,0,0,0,0,0
80,16532,log0,0,0,0,0,635,231,230,0
81,40674,log1,233,232,230,0,0,0,0,0
82,16562,log0,0,0,0,0,636,232,231,0
83,40704,log1,233,232,230,0,0,0,0,0
84,16592,log0,0,0,0,0,636,232,231,0
85,40734,log1,234,233,231,0,0,0,0,0
86,16622,log0,0,0,0,0,637,233,232,0
87,40764,log1,234,233,231,0,0,0,0,0
88,16652,log0,0,0,0,0,637,233,232,0
89,40794,log1,235,234,232,0,0,0,0,0
90,16682,log0,0,0,0,0,638,234,233,0
91,40824,log1,235,234,232,0,0,0,0,0
92,16712,log0,0,0,0,0,638,234,233,0
93,40854,log1,236,235,233,0,0,0,0,0
94,16742,log0,0,0,0,0,639,235,234,0
95,40884,log1,236,235,233,0,0,0,0,0
96,16772,log0,0,0,0,0,639,235,234,0
97,40914,log1,237,236,234,0,0,0,0,0
98,16802,log0,0,0,0,0,640,236,235,0
99,40944,log1,237,236,234,0,0,0,0,0
100,16832,log0,0,0,0,0,640,236,235,0
101,40974,log1,238,237,235,0,0,0,0,0
102,16862,log0,0,0,0,0,641,237,236,0
103,41004,log1,238,237,235,0,0,0,0,0
104,16892,log0,0,0,0,0,641,237,236,0
105,41034,log1,239,238,236,0,0,0,0,0
106,16922,log0,0,0,0,0,642,238,237,0
107,41064,log1,239,238,236,0,0,0,0,0
108,16952,log0,0,0,0,0,642,238,237,0
109,41094,log1,240,239,237,0,0,0,0,0
110,16982,log0,0,0,0,0,643,239,238,0
111,41124,log1,240,239,237,0,0,0,0,0
112,17012,log0,0,0,0,0,643,239,238,0
113,41154,log1,241,240,238,0,0,0,0,0
114,17042,log0,0,0,0,0,644,240,239,0
115,41184,log1,241,240,238,0,0,0,0,0
116,17072,log0,0,0,0,0,644,240,239,0
117,41214,log1,242,241,239,0,0,0,0,0
118,17102,log0,0,0,0,0,645,241,240,0
119,41244,log1,242,241,239,0,0,0,0,0
120,41274,log1,243,242,240,0,0,0,0,0
121,17132,log0,0,0,0,0,645,241,240,0
122,17162,log0,0,0,0,0,646,242,241,0
123,41304,log1,243,242,240,0,0,0,0,0
124,17192,log0,0,0,0,0,646,242,241,0
125,41334,log1,244,243,241,0,0,0,0,0
126,17222,log0,0,0,0,0,647,243,242,0
127,41364,log1,244,243,241,0,0,0,0,0
128,41394,log1,245,244,242,0,0,0,0,0
129,17252,log0,0,0,0,0,647,243,242,0
130,17282,log0,0,0,0,0,648,244,243,0
131,41424,log1,245,244,242,0,0,0,0,0
132,17312,log0,0,0,0,0,648,244,243,0
133,41454,log1,246,245,243,0,0,0,0,0
134,17342,log0,0,0,0,0,649,245,244,0
135,41484,log1,246,245,243,0,0,0,0,0
136,17372,log0,0,0,0,0,649,245,244,0
137,41514,log1,247,246,244,0,0,0,0,0
138,17402,log0,0,0,0,0,650,246,245,0
139,41544,log1,247,246,244,0,0,0,0,0
140,17432,log0,0,0,0,0,650,246,245,0
141,41574,log1,248,247,245,0,0,0,0,0
142,17462,log0,0,0,0,0,651,247,246,0
143,41604,log1,248,247,245,0,0,0,0,0
144,17492,log0,0,0,0,0,651,247,246,0
145,41634,log1,249,248,246,0,0,0,0,0
146,17522,log0,0,0,0,0,652,248,247,0
147,41664,log1,249,248,246,0,0,0,0,0
148,17552,log0,0,0,0,0,652,248,247,0
149,41694,log1,250,249,247,0,0,0,0,0
150,17582,log0,0,0,0,0,653,249,248,0
151,41724,log1,250,249,247,0,0,0,0,0
152,17612,log0,0,0,0,0,653,249,248,0
153,41754,log1,251,250,248,0,0,0,0,0
154,17642,log0,0,0,0,0,654,250,249,0
155,41784,log1,251,250,248,0,0,0,0,0
156,17672,log0,0,0,0,0,654,250,249,0
157,41814,log1,252,251,249,0,0,0,0,0
158,17702,log0,0,0,0,0,655,251,250,0
159,41844,log1,252,251,249,0,0,0,0,0
160,17732,log0,0,0,0,0,655,251,250,0
161,41874,log1,253,252,250,0,0,0,0,0
162,17762,log0,0,0,0,0,656,252,251,0
163,41904,log1,253,252,250,0,0,0,0,0
164,17792,log0,0,0,0,0,656,252,251,0
165,41934,log1,254,253,251,0,0,0,0,0
166,17822,log0,0,0,0,0,657,253,252,0
167,41964,log1,254,253,251,0,0,0,0,0
168,17852,log0,0,0,0,0,657,253,252,0
169,41994,log1,255,254,252,0,0,0,0,0
170,17882,log0,0,0,0,0,658,254,253,0
171,42024,log1,255,254,252,0,0,0,0,0
172,17912,log0,0,0,0,0,658,254,253,0
173,42054,log1,256,255,253,0,0,0,0,0
174,17942,log0,0,0,0,0,659,255,254,0
175,42084,log1,256,255,253,0,0,0,0,0
176,17972,log0,0,0,0,0,659,255,254,0
177,42114,log1,257,256,254,0,0,0,0,0
178,18002,log0,0,0,0,0,660,256,255,0
179,42144,log1,257,256,254,0,0,0,0,0
180,18032,log0,0,0,0,0,660,256,255,0
181,42174,log1,258,257,255,0,0,0,0,0
182,18062,log0,0,0,0,0,661,257,256,0
183,42204,log1,258,257,255,0,0,0,0,0
184,18092,log0,0,0,0,0,661,257,256,0
185,42234,log1,259,258,256,0,0,0,0,0
186,18122,log0,0,0,0,0,662,258,257,0
187,42264,log1,259,258,256,0,0,0,0,0
188,18152,log0,0,0,0,0,662,258,257,0
189,42294,log1,260,259,257,0,0,0,0,0
190,18182,log0,0,0,0,0,663,259,258,0
191,42324,log1,260,259,257,0,0,0,0,0
192,18212,log0,0,0,0,0,663,259,258,0
193,42354,log1,261,260,258,0,0,0,0,0
194,18242,log0,0,0,0,0,664,260,259,0
195,42384,log1,261,260,258,0,0,0,0,0
196,18272,log0,0,0,0,0,664,260,259,0
197,42414,log1,262,261,259,0,0,0,0,0
198,18302,log0,0,0,0,0,665,261,260,0
199,42444,log1,262,261,259,0,0,0,0,0
200,18332,log0,0,0,0,0,665,261,260,0
201,42474,log1,263,262,260,0,0,0,0,0
202,18362,log0,0,0,0,0,666,262,261,0
203,42504,log1,263,262,260,0,0,0,0,0
204,18392,log0,0,0,0,0,666,262,261,0
205,42534,log1,264,263,261,0,0,0,0,0
206,18422,log0,0,0,0,0,667,263,262,0
207,42564,log1,264,263,261,0,0,0,0,0
208,18452,log0,0,0,0,0,667,263,262,0
209,42594,log1,265,264,262,0,0,0,0,0
210,18482,log0,0,0,0,0,668,264,263,0
211,42624,log1,265,264,262,0,0,0,0,0
212,18512,log0,0,0,0,0,668,264,263,0
213,42654,log1,266,265,263,0,0,0,0,0
214,18542,log0,0,0,0,0,669,265,264,0
215,42684,log1,266,265,263,0,0,0,0,0
216,18572,log0,0,0,0,0,669,265,264,0
217,42714,log1,267,266,264,0,0,0,0,0
218,18602,log0,0,0,0,0,670,266,265,0
219,42744,log1,267,266,264,0,0,0,0,0
220,18632,log0,0,0,0,0,670,266,265,0
221,42774,log1,268,267,265,0,0,0,0,0
222,18662,log0,0,0,0,0,671,267,266,0
223,42804,log1,268,267,265,0,0,0,0,0
224,18692,log0,0,0,0,0,671,267,266,0
225,42834,log1,269,268,266,0,0,0,0,0
226,18722,log0,0,0,0,0,672,268,267,0
227,42864,log1,269,268,266,0,0,0,0,0
228,42894,log1,270,269,267,0,0,0,0,0
229,18752,log0,0,0,0,0,672,268,267,0
230,18782,log0,0,0,0,0,673,269,268,0
231,42924,log1,270,269,267,0,0,0,0,0
232,18812,log0,0,0,0,0,673,269,268,0
233,42954,log1,271,270,268,0,0,0,0,0
234,18842,log0,0,0,0,0,674,270,269,0
235,42984,log1,271,270,268,0,0,0,0,0
236,18872,log0,0,0,0,0,674,270,269,0
237,43014,log1,272,271,269,0,0,0,0,0
238,18902,log0,0,0,0,0,675,271,270,0
239,43044,log1,272,271,269,0,0,0,0,0
240,18932,log0,0,0,0,0,675,271,270,0
241,43074,log1,273,272,270,0,0,0,0,0
242,18962,log0,0,0,0,0,676,272,271,0
243,43104,log1,273,272,270,0,0,0,0,0
244,18992,log0,0,0,0,0,676,272,271,0
245,43134,log1,274,273,271,0,0,0,0,0
246,43164,log1,274,273,271,0,0,0,0,0
247,19022,log0,0,0,0,0,677,273,272,0
248,43194,log1,275,274,272,0,0,0,0,0
249,19052,log0,0,0,0,0,677,273,272,0
250,19082,log0,0,0,0,0,678,274,273,0
251,43224,log1,275,274,272,0,0,0,0,0
252,19112,log0,0,0,0,0,678,274,273,0
253,43254,log1,276,275,273,0,0,0,0,0
254,19142,log0,0,0,0,0,679,275,274,0
255,43284,log1,276,275,273,0,0,0,0,0
256,19172,log0,0,0,0,0,679,275,274,0
257,43314,log1,277,276,274,0,0,0,0,0
258,19202,log0,0,0,0,0,680,276,275,0
