recvSeq,recvNum,compute1num,compute2num,timestamp
573,400,267,128,57845.0
574,401,268,128,57895.0
574,401,268,128,57945.0
576,402,268,129,57995.0
577,403,269,129,58045.0
578,404,269,130,58095.0
578,404,269,130,58145.0
580,405,270,130,58195.0
581,406,271,130,58245.0
582,407,272,130,58295.0
583,408,272,131,58345.0
584,409,273,131,58395.0
584,409,273,131,58445.0
586,410,274,131,58495.0
587,411,275,131,58545.0
587,411,275,131,58595.0
589,412,276,131,58645.0
589,412,276,131,58695.0
591,413,277,131,58745.0
591,413,277,131,58795.0
591,413,277,131,58845.0
591,413,277,131,58895.0
595,414,277,131,58945.0
595,414,277,131,58995.0
597,415,277,132,59045.0
597,415,277,132,59095.0
599,416,278,132,59145.0
600,417,279,132,59195.0
600,417,279,132,59245.0
600,417,279,132,59295.0
600,417,279,132,59345.0
604,418,279,132,59395.0
605,419,280,132,59445.0
606,420,280,133,59495.0
606,420,280,133,59545.0
608,421,281,133,59595.0
609,422,281,134,59645.0
610,423,281,135,59695.0
611,424,282,135,59745.0
612,425,283,135,59795.0
612,425,283,135,59845.0
614,426,283,136,59895.0
614,426,283,136,59945.0
616,427,283,137,59995.0
616,427,283,137,60045.0
618,428,283,138,60095.0
618,428,283,138,60145.0
618,428,283,138,60195.0
618,428,283,138,60245.0
618,428,283,138,60295.0
623,429,283,139,60345.0
624,430,284,139,60395.0
625,431,285,139,60445.0
625,431,285,139,60495.0
625,431,285,139,60545.0
628,432,286,139,60595.0
629,433,287,139,60645.0
630,434,287,140,60695.0
631,435,288,140,60745.0
632,436,289,140,60795.0
632,436,289,140,60845.0
634,437,290,140,60895.0
635,438,290,141,60945.0
635,438,290,141,60995.0
637,439,290,142,61045.0
638,440,290,143,61095.0
639,441,291,143,61145.0
639,441,291,143,61195.0
641,442,292,143,61245.0
642,443,292,144,61295.0
643,444,293,144,61345.0
644,445,294,144,61395.0
645,446,295,144,61445.0
645,446,295,144,61495.0
647,447,296,144,61545.0
648,448,296,145,61595.0
649,449,296,146,61645.0
650,450,297,146,61695.0
650,450,297,146,61745.0
652,451,298,146,61795.0
653,452,299,146,61845.0
653,452,299,146,61895.0
655,453,300,146,61945.0
656,454,301,146,61995.0
656,454,301,146,62045.0
658,455,301,147,62095.0
659,456,301,148,62145.0
659,456,301,148,62195.0
661,457,302,148,62245.0
661,457,302,148,62295.0
663,458,302,149,62345.0
664,459,302,150,62395.0
665,460,302,151,62445.0
666,461,303,151,62495.0
667,462,304,151,62545.0
668,463,305,151,62595.0
669,464,306,151,62645.0
669,464,306,151,62695.0
671,465,307,151,62745.0
672,466,308,151,62795.0
672,466,308,151,62845.0
672,466,308,151,62895.0
675,467,308,152,62945.0
676,468,309,152,62995.0
676,468,309,152,63045.0
678,469,309,153,63095.0
679,470,310,153,63145.0
679,470,310,153,63195.0
681,471,311,153,63245.0
682,472,312,153,63295.0
683,473,312,154,63345.0
684,474,312,155,63395.0
685,475,312,156,63445.0
686,476,313,156,63495.0
687,477,314,156,63545.0
688,478,315,156,63595.0
688,478,315,156,63645.0
688,478,315,156,63695.0
691,479,316,156,63745.0
692,480,317,156,63795.0
692,480,317,156,63845.0
692,480,317,156,63895.0
692,480,317,156,63945.0
692,480,317,156,63995.0
697,481,317,156,64045.0
697,481,317,156,64095.0
697,481,317,156,64145.0
