recvSeq,recvNum,compute1num,compute2num,timestamp
642,443,331,106,62515.0
643,444,332,106,62565.0
644,445,333,106,62615.0
645,446,334,106,62665.0
645,446,334,106,62715.0
647,447,335,106,62765.0
648,448,336,106,62815.0
649,449,337,106,62865.0
650,450,338,106,62915.0
650,450,338,106,62965.0
652,451,339,106,63015.0
653,452,340,106,63065.0
653,452,340,106,63115.0
655,453,341,106,63165.0
656,454,342,106,63215.0
656,454,342,106,63265.0
658,455,343,106,63315.0
659,456,343,107,63365.0
659,456,343,107,63415.0
661,457,343,108,63465.0
661,457,343,108,63515.0
663,458,344,108,63565.0
664,459,345,108,63615.0
665,460,345,109,63665.0
666,461,346,109,63715.0
667,462,347,109,63765.0
668,463,348,109,63815.0
669,464,348,110,63865.0
669,464,348,110,63915.0
671,465,349,110,63965.0
672,466,350,110,64015.0
672,466,350,110,64065.0
672,466,350,110,64115.0
675,467,351,110,64165.0
676,468,352,110,64215.0
676,468,352,110,64265.0
678,469,353,110,64315.0
679,470,353,111,64365.0
679,470,353,111,64415.0
681,471,353,112,64465.0
682,472,353,113,64515.0
683,473,353,114,64565.0
684,474,354,114,64615.0
685,475,355,114,64665.0
686,476,356,114,64715.0
687,477,357,114,64765.0
688,478,358,114,64815.0
688,478,358,114,64865.0
688,478,358,114,64915.0
691,479,359,114,64965.0
692,480,360,114,65015.0
692,480,360,114,65065.0
692,480,360,114,65115.0
692,480,360,114,65165.0
692,480,360,114,65215.0
697,481,361,114,65265.0
697,481,361,114,65315.0
697,481,361,114,65365.0
700,482,362,114,65415.0
701,483,363,114,65465.0
701,483,363,114,65515.0
703,484,364,114,65565.0
704,485,365,114,65615.0
705,486,365,115,65665.0
705,486,365,115,65715.0
705,486,365,115,65765.0
708,487,366,115,65815.0
709,488,367,115,65865.0
709,488,367,115,65915.0
709,488,367,115,65965.0
712,489,368,115,66015.0
712,489,368,115,66065.0
712,489,368,115,66115.0
712,489,368,115,66165.0
716,490,369,115,66215.0
717,491,369,116,66265.0
718,492,369,117,66315.0
719,493,369,118,66365.0
720,494,370,118,66415.0
721,495,371,118,66465.0
722,496,372,118,66515.0
723,497,373,118,66565.0
723,497,373,118,66615.0
725,498,374,118,66665.0
725,498,374,118,66715.0
727,499,374,119,66765.0
728,500,374,120,66815.0
728,500,374,120,66865.0
730,501,375,120,66915.0
731,502,376,120,66965.0
731,502,376,120,67015.0
733,503,376,121,67065.0
733,503,376,121,67115.0
735,504,377,121,67165.0
736,505,377,122,67215.0
736,505,377,122,67265.0
738,506,378,122,67315.0
739,507,379,122,67365.0
740,508,379,123,67415.0
741,509,380,123,67465.0
741,509,380,123,67515.0
743,510,381,123,67565.0
744,511,382,123,67615.0
745,512,382,124,67665.0
746,513,383,124,67715.0
747,514,384,124,67765.0
747,514,384,124,67815.0
747,514,384,124,67865.0
747,514,384,124,67915.0
751,515,385,124,67965.0
752,516,386,124,68015.0
753,517,387,124,68065.0
754,518,388,124,68115.0
755,519,388,125,68165.0
756,520,389,125,68215.0
757,521,390,125,68265.0
758,522,391,125,68315.0
759,523,392,125,68365.0
760,524,393,125,68415.0
761,525,394,125,68465.0
761,525,394,125,68515.0
761,525,394,125,68565.0
764,526,395,125,68615.0
764,526,395,125,68665.0
766,527,396,125,68715.0
766,527,396,125,68765.0
766,527,396,125,68815.0
769,528,397,125,68865.0
770,529,398,125,68915.0
770,529,398,125,68965.0
772,530,398,126,69015.0
772,530,398,126,69065.0
774,531,398,126,69115.0
774,531,398,126,69165.0
774,531,398,126,69215.0
777,532,399,126,69265.0
778,533,400,126,69315.0
779,534,401,126,69365.0
780,535,402,126,69415.0
781,536,402,127,69465.0
782,537,403,127,69515.0
783,538,404,127,69565.0
783,538,404,127,69615.0
785,539,405,127,69665.0
786,540,405,128,69715.0
787,541,406,128,69765.0
788,542,407,128,69815.0
789,543,407,129,69865.0
790,544,408,129,69915.0
791,545,409,129,69965.0
792,546,410,129,70015.0
793,547,411,129,70065.0
794,548,412,129,70115.0
794,548,412,129,70165.0
796,549,413,129,70215.0
796,549,413,129,70265.0
798,550,414,129,70315.0
799,551,415,129,70365.0
800,552,416,129,70415.0
801,553,417,129,70465.0
802,554,418,129,70515.0
802,554,418,129,70565.0
804,555,419,129,70615.0
805,556,419,130,70665.0
806,557,420,130,70715.0
807,558,421,130,70765.0
808,559,422,130,70815.0
809,560,423,130,70865.0
810,561,424,130,70915.0
811,562,425,130,70965.0
811,562,425,130,71015.0
813,563,426,130,71065.0
813,563,426,130,71115.0
815,564,427,130,71165.0
815,564,427,130,71215.0
817,565,428,130,71265.0
817,565,428,130,71315.0
817,565,428,130,71365.0
820,566,429,130,71415.0
821,567,429,131,71465.0
822,568,430,131,71515.0
822,568,430,131,71565.0
822,568,430,131,71615.0
825,569,431,131,71665.0
825,569,431,131,71715.0
827,570,431,132,71765.0
828,571,432,132,71815.0
828,571,432,132,71865.0
828,571,432,132,71915.0
828,571,432,132,71965.0
832,572,433,132,72015.0
833,573,434,132,72065.0
834,574,435,132,72115.0
835,575,436,132,72165.0
836,576,436,133,72215.0
837,577,436,134,72265.0
838,578,437,134,72315.0
839,579,438,134,72365.0
840,580,439,134,72415.0
840,580,439,134,72465.0
840,580,439,134,72515.0
843,581,440,134,72565.0
844,582,441,134,72615.0
845,583,442,134,72665.0
846,584,443,134,72715.0
847,585,444,134,72765.0
847,585,444,134,72815.0
847,585,444,134,72865.0
850,586,445,134,72915.0
851,587,446,134,72965.0
852,588,447,134,73015.0
853,589,448,134,73065.0
853,589,448,134,73115.0
855,590,449,134,73165.0
856,591,450,134,73215.0
857,592,450,135,73265.0
857,592,450,135,73315.0
859,593,451,135,73365.0
859,593,451,135,73415.0
861,594,452,135,73465.0
862,595,453,135,73515.0
862,595,453,135,73565.0
864,596,453,136,73615.0
865,597,454,136,73665.0
866,598,455,136,73715.0
867,599,456,136,73765.0
868,600,457,136,73815.0
868,600,457,136,73865.0
868,600,457,136,73915.0
868,600,457,136,73965.0
872,601,458,136,74015.0
873,602,459,136,74065.0
874,603,459,137,74115.0
875,604,460,137,74165.0
875,604,460,137,74215.0
875,604,460,137,74265.0
878,605,461,137,74315.0
879,606,462,137,74365.0
880,607,462,138,74415.0
880,607,462,138,74465.0
882,608,462,139,74515.0
883,609,463,139,74565.0
884,610,463,140,74615.0
884,610,463,140,74665.0
886,611,464,140,74715.0
887,612,465,140,74765.0
888,613,466,140,74815.0
888,613,466,140,74865.0
888,613,466,140,74915.0
888,613,466,140,74965.0
892,614,467,140,75015.0
892,614,467,140,75065.0
892,614,467,140,75115.0
895,615,468,140,75165.0
896,616,469,140,75215.0
897,617,470,140,75265.0
897,617,470,140,75315.0
897,617,470,140,75365.0
900,618,471,140,75415.0
901,619,472,140,75465.0
902,620,473,140,75515.0
903,621,474,140,75565.0
903,621,474,140,75615.0
905,622,475,140,75665.0
906,623,476,140,75715.0
906,623,476,140,75765.0
908,624,477,140,75815.0
908,624,477,140,75865.0
908,624,477,140,75915.0
911,625,478,140,75965.0
911,625,478,140,76015.0
911,625,478,140,76065.0
914,626,479,140,76115.0
915,627,479,141,76165.0
915,627,479,141,76215.0
917,628,480,141,76265.0
918,629,481,141,76315.0
919,630,482,141,76365.0
919,630,482,141,76415.0
921,631,483,141,76465.0
921,631,483,141,76515.0
921,631,483,141,76565.0
924,632,484,141,76615.0
924,632,484,141,76665.0
926,633,485,141,76715.0
927,634,485,142,76765.0
928,635,486,142,76815.0
928,635,486,142,76865.0
928,635,486,142,76915.0
931,636,487,142,76965.0
932,637,487,143,77015.0
933,638,487,144,77065.0
934,639,487,145,77115.0
935,640,488,145,77165.0
936,641,489,145,77215.0
937,642,489,146,77265.0
938,643,490,146,77315.0
939,644,490,147,77365.0
940,645,490,148,77415.0
940,645,490,148,77465.0
942,646,491,148,77515.0
942,646,491,148,77565.0
944,647,492,148,77615.0
945,648,493,148,77665.0
945,648,493,148,77715.0
947,649,494,148,77765.0
948,650,494,149,77815.0
948,650,494,149,77865.0
948,650,494,149,77915.0
951,651,495,149,77965.0
952,652,496,149,78015.0
953,653,497,149,78065.0
954,654,498,149,78115.0
955,655,499,149,78165.0
955,655,499,149,78215.0
957,656,500,149,78265.0
958,657,501,149,78315.0
959,658,502,149,78365.0
960,659,502,150,78415.0
961,660,503,150,78465.0
962,661,504,150,78515.0
962,661,504,150,78565.0
964,662,505,150,78615.0
964,662,505,150,78665.0
964,662,505,150,78715.0
967,663,506,150,78765.0
968,664,507,150,78815.0
969,665,508,150,78865.0
969,665,508,150,78915.0
971,666,509,150,78965.0
972,667,509,151,79015.0
972,667,509,151,79065.0
974,668,510,151,79115.0
974,668,510,151,79165.0
974,668,510,151,79215.0
977,669,511,151,79265.0
978,670,512,151,79315.0
978,670,512,151,79365.0
978,670,512,151,79415.0
981,671,513,151,79465.0
982,672,514,151,79515.0
983,673,515,151,79565.0
983,673,515,151,79615.0
985,674,516,151,79665.0
986,675,517,151,79715.0
987,676,518,151,79765.0
987,676,518,151,79815.0
987,676,518,151,79865.0
990,677,519,151,79915.0
990,677,519,151,79965.0
992,678,520,151,80015.0
993,679,521,151,80065.0
994,680,522,151,80115.0
995,681,523,151,80165.0
996,682,523,152,80215.0
996,682,523,152,80265.0
996,682,523,152,80315.0
999,683,524,152,80365.0
1000,684,525,152,80415.0
1000,684,525,152,80465.0
1002,685,526,152,80515.0
1003,686,526,153,80565.0
1004,687,527,153,80615.0
1004,687,527,153,80665.0
1006,688,528,153,80715.0
1007,689,528,154,80765.0
1008,690,528,155,80815.0
1008,690,528,155,80865.0
1010,691,529,155,80915.0
1010,691,529,155,80965.0
1010,691,529,155,81015.0
1013,692,530,155,81065.0
1014,693,531,155,81115.0
1015,694,531,156,81165.0
1015,694,531,156,81215.0
1017,695,532,156,81265.0
1018,696,533,156,81315.0
1019,697,534,156,81365.0
1020,698,535,156,81415.0
1021,699,536,156,81465.0
1022,700,536,157,81515.0
1022,700,536,157,81565.0
1022,700,536,157,81615.0
1025,701,537,157,81665.0
1026,702,538,157,81715.0
1026,702,538,157,81765.0
1028,703,539,157,81815.0
1029,704,539,158,81865.0
1030,705,540,158,81915.0
1031,706,540,159,81965.0
1032,707,541,159,82015.0
1033,708,542,159,82065.0
1034,709,543,159,82115.0
1035,710,544,159,82165.0
1036,711,544,160,82215.0
1037,712,545,160,82265.0
1038,713,546,160,82315.0
1039,714,547,160,82365.0
1040,715,548,160,82415.0
1040,715,548,160,82465.0
1042,716,549,160,82515.0
1043,717,549,161,82565.0
1044,718,549,162,82615.0
1044,718,549,162,82665.0
1046,719,550,162,82715.0
1047,720,551,162,82765.0
1048,721,552,162,82815.0
1049,722,553,162,82865.0
1049,722,553,162,82915.0
1051,723,554,162,82965.0
1052,724,555,162,83015.0
1053,725,556,162,83065.0
1054,726,557,162,83115.0
1055,727,558,162,83165.0
1056,728,559,162,83215.0
1057,729,560,162,83265.0
1058,730,561,162,83315.0
1059,731,562,162,83365.0
1060,732,562,163,83415.0
1061,733,563,163,83465.0
1061,733,563,163,83515.0
1063,734,564,163,83565.0
