recvSeq,recvNum,compute1num,compute2num,timestamp
270,196,143,46,19390.0
273,197,144,46,19410.0
274,198,145,46,19430.0
274,198,145,46,19450.0
276,199,146,46,19470.0
277,200,146,47,19490.0
277,200,146,47,19510.0
277,200,146,47,19530.0
280,201,147,47,19550.0
280,201,147,47,19570.0
282,202,148,47,19590.0
283,203,148,48,19610.0
284,204,149,48,19630.0
284,204,149,48,19650.0
286,205,150,48,19670.0
287,206,150,49,19690.0
287,206,150,49,19710.0
287,206,150,49,19730.0
290,207,151,49,19750.0
291,208,152,49,19770.0
292,209,152,50,19790.0
293,210,153,50,19810.0
293,210,153,50,19830.0
295,211,154,50,19850.0
295,211,154,50,19870.0
297,212,155,50,19890.0
298,213,155,51,19910.0
298,213,155,51,19930.0
300,214,155,52,19950.0
301,215,156,52,19970.0
301,215,156,52,19990.0
303,216,157,52,20010.0
304,217,158,52,20030.0
305,218,158,53,20050.0
306,219,158,54,20070.0
307,220,159,54,20090.0
308,221,160,54,20110.0
308,221,160,54,20130.0
310,222,161,54,20150.0
311,223,162,54,20170.0
311,223,162,54,20190.0
311,223,162,54,20210.0
314,224,163,54,20230.0
314,224,163,54,20250.0
316,225,164,54,20270.0
317,226,165,54,20290.0
318,227,165,55,20310.0
318,227,165,55,20330.0
318,227,165,55,20350.0
321,228,166,55,20370.0
322,229,166,56,20390.0
322,229,166,56,20410.0
324,230,167,56,20430.0
325,231,168,56,20450.0
326,232,169,56,20470.0
326,232,169,56,20490.0
328,233,169,57,20510.0
329,234,170,57,20530.0
329,234,170,57,20550.0
329,234,170,57,20570.0
329,234,170,57,20590.0
329,234,170,57,20610.0
334,235,170,57,20630.0
334,235,170,57,20650.0
336,236,171,57,20670.0
337,237,172,57,20690.0
338,238,172,58,20710.0
339,239,172,59,20730.0
340,240,173,59,20750.0
340,240,173,59,20770.0
342,241,173,60,20790.0
342,241,173,60,20810.0
344,242,174,60,20830.0
345,243,174,61,20850.0
346,244,175,61,20870.0
346,244,175,61,20890.0
346,244,175,61,20910.0
349,245,176,61,20930.0
350,246,177,61,20950.0
351,247,177,62,20970.0
352,248,177,63,20990.0
353,249,178,63,21010.0
354,250,178,64,21030.0
355,251,179,64,21050.0
355,251,179,64,21070.0
357,252,180,64,21090.0
357,252,180,64,21110.0
357,252,180,64,21130.0
360,253,181,64,21150.0
360,253,181,64,21170.0
362,254,182,64,21190.0
362,254,182,64,21210.0
364,255,183,64,21230.0
364,255,183,64,21250.0
364,255,183,64,21270.0
364,255,183,64,21290.0
368,256,183,64,21310.0
369,257,184,64,21330.0
370,258,184,65,21350.0
371,259,185,65,21370.0
372,260,185,66,21390.0
373,261,186,66,21410.0
373,261,186,66,21430.0
375,262,187,66,21450.0
376,263,188,66,21470.0
377,264,189,66,21490.0
378,265,189,67,21510.0
379,266,189,68,21530.0
380,267,190,68,21550.0
381,268,191,68,21570.0
382,269,192,68,21590.0
383,270,193,68,21610.0
384,271,194,68,21630.0
384,271,194,68,21650.0
386,272,195,68,21670.0
387,273,196,68,21690.0
388,274,197,68,21710.0
389,275,198,68,21730.0
390,276,199,68,21750.0
391,277,200,68,21770.0
392,278,200,69,21790.0
392,278,200,69,21810.0
394,279,201,69,21830.0
395,280,201,70,21850.0
395,280,201,70,21870.0
397,281,202,70,21890.0
397,281,202,70,21910.0
397,281,202,70,21930.0
400,282,203,70,21950.0
400,282,203,70,21970.0
402,283,204,70,21990.0
402,283,204,70,22010.0
404,284,205,70,22030.0
405,285,205,71,22050.0
406,286,206,71,22070.0
406,286,206,71,22090.0
