recvSeq,recvNum,compute1num,compute2num,timestamp
1035,747,744,1,17499.0
1036,748,745,1,17519.0
1037,749,746,1,17539.0
1038,750,747,1,17559.0
1039,751,748,1,17579.0
1040,752,749,1,17599.0
1040,752,749,1,17619.0
1040,752,749,1,17639.0
1040,752,749,1,17659.0
1040,752,749,1,17679.0
1040,752,749,1,17699.0
1040,752,749,1,17719.0
1040,752,749,1,17739.0
1040,752,749,1,17759.0
1040,752,749,1,17779.0
1040,752,749,1,17799.0
1040,752,749,1,17819.0
1040,752,749,1,17839.0
1040,752,749,1,17859.0
1040,752,749,1,17879.0
1040,752,749,1,17899.0
1040,752,749,1,17919.0
1040,752,749,1,17939.0
1040,752,749,1,17959.0
1040,752,749,1,17979.0
1040,752,749,1,17999.0
1040,752,749,1,18019.0
1040,752,749,1,18039.0
1040,752,749,1,18059.0
1040,752,749,1,18079.0
1040,752,749,1,18099.0
1040,752,749,1,18119.0
1040,752,749,1,18139.0
1040,752,749,1,18159.0
1040,752,749,1,18179.0
1040,752,749,1,18199.0
1040,752,749,1,18219.0
1040,752,749,1,18239.0
1040,752,749,1,18259.0
1040,752,749,1,18279.0
1040,752,749,1,18299.0
1040,752,749,1,18319.0
1040,752,749,1,18339.0
1040,752,749,1,18359.0
1040,752,749,1,18379.0
1040,752,749,1,18399.0
1040,752,749,1,18419.0
1040,752,749,1,18439.0
1040,752,749,1,18459.0
1040,752,749,1,18479.0
1040,752,749,1,18499.0
1040,752,749,1,18519.0
1040,752,749,1,18539.0
1040,752,749,1,18559.0
1040,752,749,1,18579.0
1040,752,749,1,18599.0
1040,752,749,1,18619.0
1040,752,749,1,18639.0
1040,752,749,1,18659.0
1040,752,749,1,18679.0
1040,752,749,1,18699.0
1040,752,749,1,18719.0
1040,752,749,1,18739.0
1040,752,749,1,18759.0
1040,752,749,1,18779.0
1100,753,749,1,18799.0
1100,753,749,1,18819.0
1100,753,749,1,18839.0
1100,753,749,1,18859.0
1104,754,749,1,18879.0
1105,755,749,2,18899.0
1106,756,749,3,18919.0
1107,757,749,4,18939.0
1108,758,749,5,18959.0
1109,759,749,6,18979.0
1110,760,749,7,18999.0
1111,761,749,8,19019.0
1112,762,749,9,19039.0
1113,763,749,10,19059.0
1114,764,749,11,19079.0
1115,765,749,12,19099.0
1116,766,749,13,19119.0
1117,767,749,14,19139.0
1118,768,749,15,19159.0
1119,769,749,16,19179.0
1120,770,749,17,19199.0
1121,771,749,18,19219.0
1122,772,749,19,19239.0
1123,773,749,20,19259.0
1124,774,749,21,19279.0
1125,775,749,22,19299.0
1126,776,749,23,19319.0
1127,777,749,24,19339.0
1128,778,749,25,19359.0
1129,779,749,26,19379.0
1130,780,749,27,19399.0
1131,781,749,28,19419.0
1132,782,749,29,19439.0
1133,783,749,30,19459.0
1134,784,749,31,19479.0
1135,785,749,32,19499.0
1136,786,749,33,19519.0
1137,787,749,34,19539.0
1138,788,749,35,19559.0
1139,789,749,36,19579.0
1140,790,749,37,19599.0
1141,791,749,38,19619.0
1142,792,749,39,19639.0
1143,793,749,40,19659.0
1144,794,749,41,19679.0
1145,795,749,42,19699.0
1146,796,749,43,19719.0
1147,797,749,44,19739.0
1148,798,750,44,19759.0
1149,799,751,44,19779.0
1150,800,752,44,19799.0
1151,801,753,44,19819.0
1152,802,753,45,19839.0
1153,803,754,45,19859.0
1154,804,755,45,19879.0
1155,805,756,45,19899.0
1156,806,757,45,19919.0
1157,807,758,45,19939.0
1158,808,759,45,19959.0
1159,809,760,45,19979.0
1160,810,761,45,19999.0
1161,811,762,45,20019.0
1162,812,763,45,20039.0
1163,813,764,45,20059.0
1164,814,765,45,20079.0
1165,815,766,45,20099.0
1166,816,767,45,20119.0
1167,817,768,45,20139.0
1168,818,769,45,20159.0
1169,819,770,45,20179.0
1170,820,771,45,20199.0
1171,821,772,45,20219.0
1172,822,773,45,20239.0
1173,823,774,45,20259.0
1174,824,775,45,20279.0
1175,825,776,45,20299.0
1176,826,777,45,20319.0
1177,827,778,45,20339.0
1178,828,779,45,20359.0
1179,829,780,45,20379.0
1180,830,781,45,20399.0
1181,831,782,45,20419.0
1182,832,783,45,20439.0
1183,833,784,45,20459.0
1184,834,785,45,20479.0
1185,835,786,45,20499.0
1186,836,787,45,20519.0
1187,837,788,45,20539.0
1188,838,789,45,20559.0
1189,839,790,45,20579.0
1190,840,791,45,20599.0
1191,841,792,45,20619.0
1192,842,793,45,20639.0
1193,843,794,45,20659.0
1194,844,795,45,20679.0
1195,845,796,45,20699.0
1196,846,797,45,20719.0
1197,847,798,45,20739.0
1198,848,799,45,20759.0
1199,849,800,45,20779.0
1200,850,801,45,20799.0
1201,851,802,45,20819.0
1202,852,803,45,20839.0
1203,853,804,45,20859.0
1204,854,805,45,20879.0
1205,855,806,45,20899.0
1206,856,807,45,20919.0
1207,857,808,45,20939.0
1208,858,809,45,20959.0
1209,859,810,45,20979.0
1210,860,811,45,20999.0
1211,861,812,45,21019.0
1212,862,813,45,21039.0
1213,863,814,45,21059.0
1214,864,815,45,21079.0
1215,865,816,45,21099.0
1216,866,817,45,21119.0
1217,867,818,45,21139.0
1218,868,819,45,21159.0
1219,869,820,45,21179.0
1220,870,821,45,21199.0
1221,871,822,45,21219.0
1222,872,823,45,21239.0
1223,873,824,45,21259.0
1224,874,825,45,21279.0
1225,875,826,45,21299.0
1226,876,827,45,21319.0
1227,877,828,45,21339.0
1228,878,829,45,21359.0
1229,879,830,45,21379.0
1230,880,831,45,21399.0
1231,881,832,45,21419.0
1232,882,833,45,21439.0
1233,883,834,45,21459.0
1234,884,835,45,21479.0
1235,885,836,45,21499.0
1236,886,837,45,21519.0
1237,887,838,45,21539.0
1238,888,839,45,21559.0
1239,889,840,45,21579.0
1240,890,841,45,21599.0
1241,891,842,45,21619.0
1242,892,843,45,21639.0
1243,893,844,45,21659.0
1244,894,845,45,21679.0
1245,895,846,45,21699.0
1246,896,847,45,21719.0
1247,897,848,45,21739.0
1248,898,849,45,21759.0
1249,899,850,45,21779.0
1250,900,851,45,21799.0
1251,901,852,45,21819.0
1252,902,853,45,21839.0
1253,903,854,45,21859.0
1254,904,855,45,21879.0
1255,905,856,45,21899.0
1256,906,857,45,21919.0
1257,907,858,45,21939.0
1258,908,859,45,21959.0
1259,909,860,45,21979.0
1260,910,861,45,21999.0
1261,911,862,45,22019.0
1262,912,863,45,22039.0
1263,913,864,45,22059.0
1264,914,865,45,22079.0
1265,915,866,45,22099.0
1266,916,867,45,22119.0
1267,917,868,45,22139.0
1268,918,869,45,22159.0
1269,919,870,45,22179.0
1270,920,871,45,22199.0
1271,921,872,45,22219.0
1272,922,873,45,22239.0
1273,923,874,45,22259.0
1274,924,875,45,22279.0
1275,925,876,45,22299.0
1276,926,877,45,22319.0
1277,927,878,45,22339.0
1278,928,879,45,22359.0
1279,929,880,45,22379.0
1280,930,881,45,22399.0
1281,931,882,45,22419.0
