recvSeq,recvNum,compute1num,compute2num,timestamp
231,196,192,0,42923.0
232,197,193,0,42973.0
233,198,194,0,43023.0
234,199,195,0,43073.0
235,200,196,0,43123.0
236,201,197,0,43173.0
237,202,198,0,43223.0
238,203,199,0,43273.0
239,204,200,0,43323.0
239,204,200,0,43373.0
241,205,201,0,43423.0
241,205,201,0,43473.0
241,205,201,0,43523.0
241,205,201,0,43573.0
241,205,201,0,43623.0
241,205,201,0,43673.0
247,206,201,0,43723.0
248,207,202,0,43773.0
249,208,203,0,43823.0
250,209,204,0,43873.0
251,210,205,0,43923.0
252,211,206,0,43973.0
252,211,206,0,44023.0
254,212,207,0,44073.0
255,213,208,0,44123.0
256,214,209,0,44173.0
257,215,210,0,44223.0
258,216,211,0,44273.0
259,217,212,0,44323.0
259,217,212,0,44373.0
261,218,213,0,44423.0
262,219,214,0,44473.0
262,219,214,0,44523.0
264,220,215,0,44573.0
265,221,216,0,44623.0
266,222,217,0,44673.0
267,223,218,0,44723.0
267,223,218,0,44773.0
269,224,219,0,44823.0
270,225,220,0,44873.0
270,225,220,0,44923.0
272,226,221,0,44973.0
273,227,222,0,45023.0
274,228,223,0,45073.0
275,229,224,0,45123.0
275,229,224,0,45173.0
277,230,225,0,45223.0
277,230,225,0,45273.0
279,231,226,0,45323.0
280,232,227,0,45373.0
281,233,228,0,45423.0
281,233,228,0,45473.0
283,234,229,0,45523.0
284,235,230,0,45573.0
285,236,231,0,45623.0
286,237,232,0,45673.0
287,238,233,0,45723.0
287,238,233,0,45773.0
289,239,234,0,45823.0
290,240,235,0,45873.0
291,241,236,0,45923.0
292,242,237,0,45973.0
293,243,238,0,46023.0
293,243,238,0,46073.0
295,244,239,0,46123.0
295,244,239,0,46173.0
297,245,240,0,46223.0
298,246,241,0,46273.0
299,247,242,0,46323.0
300,248,243,0,46373.0
301,249,244,0,46423.0
301,249,244,0,46473.0
303,250,245,0,46523.0
304,251,246,0,46573.0
305,252,247,0,46623.0
306,253,248,0,46673.0
307,254,249,0,46723.0
308,255,250,0,46773.0
308,255,250,0,46823.0
308,255,250,0,46873.0
311,256,251,0,46923.0
