recvSeq,recvNum,compute1num,compute2num,timestamp
1174,472,469,0,29846.0
1175,473,470,0,29896.0
1175,473,470,0,29946.0
1177,474,471,0,29996.0
1178,475,472,0,30046.0
1179,476,473,0,30096.0
1179,476,473,0,30147.0
1181,477,474,0,30196.0
1182,478,475,0,30246.0
1183,479,476,0,30296.0
1184,480,477,0,30346.0
1184,480,477,0,30396.0
1184,480,477,0,30446.0
1187,481,478,0,30496.0
1187,481,478,0,30546.0
1187,481,478,0,30596.0
1190,482,479,0,30646.0
1191,483,480,0,30696.0
1191,483,480,0,30746.0
1193,484,481,0,30796.0
1193,484,481,0,30846.0
1195,485,482,0,30896.0
1195,485,482,0,30946.0
1197,486,483,0,30996.0
1198,487,484,0,31046.0
1199,488,485,0,31096.0
1200,489,486,0,31146.0
1201,490,487,0,31196.0
1201,490,487,0,31246.0
1203,491,488,0,31296.0
1204,492,489,0,31346.0
1205,493,490,0,31396.0
1206,494,491,0,31446.0
1207,495,492,0,31496.0
1208,496,493,0,31546.0
1209,497,494,0,31596.0
1210,498,495,0,31647.0
1211,499,496,0,31696.0
1211,499,496,0,31746.0
1213,500,497,0,31796.0
1214,501,498,0,31846.0
1214,501,498,0,31896.0
1216,502,499,0,31946.0
1216,502,499,0,31996.0
1218,503,500,0,32046.0
1218,503,500,0,32096.0
1218,503,500,0,32146.0
1221,504,501,0,32196.0
1222,505,502,0,32246.0
1223,506,503,0,32296.0
1224,507,504,0,32346.0
1225,508,505,0,32396.0
1226,509,506,0,32446.0
1227,510,507,0,32496.0
1227,510,507,0,32546.0
1229,511,508,0,32596.0
1229,511,508,0,32646.0
1231,512,509,0,32696.0
1232,513,510,0,32746.0
1233,514,511,0,32796.0
1233,514,511,0,32846.0
1235,515,512,0,32896.0
1236,516,513,0,32946.0
1237,517,514,0,32996.0
1238,518,515,0,33046.0
1239,519,516,0,33096.0
1240,520,517,0,33147.0
1241,521,518,0,33196.0
1242,522,519,0,33246.0
1243,523,520,0,33296.0
1244,524,521,0,33346.0
