,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.computenum2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.computenum13
0,8717,log0,0,0,0,286,203,27
1,11171,log1,123,122,28,0,0,0
2,8747,log0,0,0,0,287,204,28
3,11201,log1,124,123,28,0,0,0
4,8777,log0,0,0,0,288,205,28
5,11231,log1,124,123,28,0,0,0
6,8807,log0,0,0,0,289,206,28
7,11261,log1,125,124,28,0,0,0
8,8837,log0,0,0,0,290,207,28
9,11291,log1,125,124,28,0,0,0
10,8867,log0,0,0,0,291,208,28
11,11321,log1,126,125,28,0,0,0
12,11351,log1,127,126,29,0,0,0
13,8897,log0,0,0,0,292,209,28
14,8927,log0,0,0,0,293,210,28
15,11381,log1,127,126,29,0,0,0
16,8957,log0,0,0,0,294,211,29
17,11411,log1,128,127,29,0,0,0
18,8987,log0,0,0,0,295,212,29
19,11441,log1,128,127,29,0,0,0
20,9017,log0,0,0,0,296,213,29
21,11471,log1,129,128,29,0,0,0
22,9047,log0,0,0,0,297,214,29
23,11501,log1,130,129,29,0,0,0
24,11531,log1,130,129,29,0,0,0
25,9077,log0,0,0,0,298,215,29
26,9107,log0,0,0,0,299,216,29
27,11561,log1,131,130,30,0,0,0
28,9137,log0,0,0,0,300,217,29
29,11591,log1,131,130,30,0,0,0
30,11621,log1,132,131,30,0,0,0
31,9167,log0,0,0,0,301,218,30
32,11651,log1,133,132,30,0,0,0
33,9197,log0,0,0,0,302,219,30
34,11681,log1,133,132,30,0,0,0
35,9227,log0,0,0,0,303,220,30
36,9257,log0,0,0,0,304,221,30
37,11711,log1,134,133,30,0,0,0
38,9287,log0,0,0,0,305,222,30
39,11741,log1,134,133,30,0,0,0
40,9317,log0,0,0,0,306,223,30
41,11771,log1,135,134,31,0,0,0
42,9347,log0,0,0,0,307,224,30
43,11801,log1,136,135,31,0,0,0
44,9377,log0,0,0,0,308,225,31
45,11831,log1,136,135,31,0,0,0
46,11861,log1,137,136,31,0,0,0
47,9407,log0,0,0,0,309,226,31
48,9437,log0,0,0,0,310,227,31
49,11891,log1,137,136,31,0,0,0
50,11921,log1,138,137,31,0,0,0
51,9467,log0,0,0,0,311,228,31
52,9497,log0,0,0,0,312,229,31
53,11951,log1,139,138,32,0,0,0
54,9527,log0,0,0,0,313,230,31
55,11981,log1,139,138,32,0,0,0
56,9557,log0,0,0,0,314,231,31
57,12011,log1,140,139,32,0,0,0
58,9587,log0,0,0,0,315,232,32
59,12041,log1,140,139,32,0,0,0
60,9617,log0,0,0,0,316,233,32
61,12071,log1,141,140,32,0,0,0
62,9647,log0,0,0,0,317,234,32
63,12101,log1,142,141,32,0,0,0
64,9677,log0,0,0,0,318,235,32
65,12131,log1,142,141,32,0,0,0
66,9707,log0,0,0,0,319,236,32
67,12161,log1,143,142,33,0,0,0
68,9737,log0,0,0,0,320,237,32
69,12191,log1,143,142,33,0,0,0
70,9767,log0,0,0,0,321,238,32
71,12221,log1,144,143,33,0,0,0
72,9797,log0,0,0,0,322,239,33
73,12251,log1,145,144,33,0,0,0
74,9827,log0,0,0,0,323,240,33
75,12281,log1,145,144,33,0,0,0
76,12311,log1,146,145,33,0,0,0
77,9857,log0,0,0,0,324,241,33
78,12341,log1,146,145,33,0,0,0
79,9887,log0,0,0,0,325,242,33
80,12371,log1,147,146,34,0,0,0
81,9917,log0,0,0,0,326,243,33
82,12401,log1,148,147,34,0,0,0
83,9947,log0,0,0,0,327,244,33
84,9977,log0,0,0,0,328,245,33
85,12431,log1,148,147,34,0,0,0
86,10007,log0,0,0,0,329,246,34
87,12461,log1,149,148,34,0,0,0
88,10037,log0,0,0,0,330,247,34
89,12491,log1,149,148,34,0,0,0
90,10067,log0,0,0,0,331,248,34
91,12521,log1,150,149,34,0,0,0
92,12551,log1,151,150,35,0,0,0
93,10097,log0,0,0,0,332,249,34
94,10127,log0,0,0,0,333,250,34
95,12581,log1,151,150,35,0,0,0
96,10157,log0,0,0,0,334,251,34
97,12611,log1,152,151,35,0,0,0
98,10187,log0,0,0,0,335,252,34
99,12641,log1,152,151,35,0,0,0
100,10217,log0,0,0,0,336,253,35
101,12671,log1,153,152,35,0,0,0
102,10247,log0,0,0,0,337,254,35
103,12701,log1,154,153,35,0,0,0
104,12731,log1,154,153,35,0,0,0
105,10277,log0,0,0,0,338,255,35
106,10307,log0,0,0,0,339,256,35
107,12761,log1,155,154,36,0,0,0
108,10337,log0,0,0,0,340,257,35
109,12791,log1,155,154,36,0,0,0
