,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
0,14786,log0,289,202,195,3
1,14846,log0,290,203,196,3
2,14906,log0,291,204,197,3
3,14966,log0,292,205,198,3
4,15026,log0,293,206,199,3
5,15085,log0,294,207,200,3
6,15145,log0,295,208,201,3
7,15205,log0,296,209,202,3
8,15265,log0,297,210,203,3
9,15325,log0,298,211,204,3
10,15385,log0,299,212,205,3
11,15445,log0,300,213,206,3
12,15505,log0,301,214,207,3
13,15565,log0,302,215,208,3
14,15625,log0,303,216,209,3
15,15685,log0,304,217,210,3
16,15745,log0,305,218,211,3
17,15805,log0,306,219,212,3
18,15865,log0,307,220,213,3
19,15925,log0,308,221,214,3
20,15985,log0,309,222,215,3
21,16045,log0,310,223,216,3
22,16105,log0,311,224,217,3
23,16165,log0,312,225,218,3
24,16225,log0,313,226,219,3
25,16285,log0,314,227,220,3
26,16345,log0,315,228,221,3
27,16405,log0,316,229,222,3
28,16465,log0,317,230,223,3
29,16525,log0,318,231,224,3
30,16585,log0,319,232,225,3
31,16645,log0,320,233,226,3
32,16705,log0,321,234,227,3
33,16765,log0,322,235,228,3
34,16825,log0,323,236,229,3
35,16885,log0,324,237,230,3
36,16945,log0,325,238,231,3
37,17005,log0,326,239,232,3
38,17065,log0,327,240,233,3
39,17125,log0,328,241,234,3
40,17185,log0,329,242,235,3
41,17245,log0,330,243,236,3
42,17305,log0,331,244,237,3
43,17366,log0,332,245,238,3
44,17426,log0,333,246,239,3
45,17485,log0,334,247,239,3
46,17545,log0,335,248,240,3
47,17605,log0,336,249,241,3
48,17665,log0,337,250,242,3
49,17725,log0,338,251,243,3
50,17785,log0,339,252,244,3
51,17845,log0,340,253,245,3
52,17905,log0,341,254,246,3
53,17965,log0,342,255,247,3
54,18025,log0,343,256,248,3
55,18085,log0,344,257,249,3
56,18145,log0,345,258,250,3
57,18205,log0,346,259,251,3
58,18265,log0,347,260,252,3
59,18325,log0,348,261,253,3
60,18385,log0,349,262,254,3
61,18445,log0,350,263,255,3
62,18505,log0,351,264,256,3
63,18565,log0,352,265,257,3
64,18625,log0,353,266,258,3
65,18685,log0,354,267,259,3
66,18745,log0,355,268,260,3
67,18805,log0,356,269,261,3
68,18865,log0,357,270,262,3
69,18925,log0,358,271,263,3
70,18985,log0,359,272,264,3
71,19045,log0,360,273,265,3
72,19105,log0,361,274,266,3
73,19165,log0,362,275,267,3
74,19225,log0,363,276,268,3
75,19285,log0,363,276,268,3
76,19345,log0,365,277,269,3
77,19405,log0,366,278,270,3
78,19465,log0,367,279,271,3
79,19525,log0,368,280,272,3
80,19585,log0,369,281,273,3
81,19645,log0,370,282,274,3
82,19705,log0,371,283,275,3
83,19765,log0,372,284,276,3
84,19825,log0,373,285,277,3
85,19885,log0,374,286,278,3
86,19945,log0,375,287,279,3
87,20005,log0,376,288,280,3
88,20065,log0,377,289,281,3
89,20125,log0,378,290,282,3
90,20185,log0,379,291,283,3
91,20245,log0,380,292,284,3
92,20305,log0,381,293,285,3
93,20365,log0,382,294,286,3
94,20425,log0,383,295,287,3
95,20485,log0,384,296,288,3
96,20545,log0,385,297,289,3
97,20605,log0,386,298,290,3
98,20665,log0,387,299,291,3
99,20725,log0,388,300,292,3
100,20785,log0,389,301,293,3
101,20845,log0,390,302,294,3
102,20905,log0,390,302,294,3
103,20965,log0,392,303,295,3
104,21025,log0,393,304,296,3
105,21085,log0,394,305,297,3
106,21145,log0,395,306,298,3
107,21205,log0,396,307,299,3
108,21265,log0,397,308,300,3
109,21325,log0,398,309,301,3
110,21385,log0,399,310,302,3
111,21445,log0,400,311,303,3
112,21505,log0,401,312,304,3
113,21565,log0,402,313,305,3
114,21625,log0,403,314,306,3
115,21685,log0,404,315,307,3
116,21745,log0,405,316,308,3
117,21805,log0,406,317,309,3
118,21865,log0,407,318,310,3
119,21925,log0,408,319,311,3
120,21985,log0,409,320,312,3
121,22045,log0,410,321,313,3
122,22105,log0,411,322,314,3
123,22165,log0,412,323,315,3
124,22225,log0,413,324,316,3
125,22285,log0,414,325,317,3
126,22345,log0,415,326,318,3
127,22405,log0,416,327,319,3
128,22465,log0,417,328,320,3
129,22525,log0,418,329,321,3
130,22585,log0,419,330,322,3
131,22645,log0,420,331,323,3
132,22705,log0,421,332,324,3
133,22765,log0,422,333,325,3
134,22825,log0,423,334,326,3
135,22885,log0,424,335,327,3
136,22945,log0,425,336,328,3
137,23005,log0,426,337,329,3
138,23065,log0,427,338,330,3
139,23125,log0,428,339,331,3
140,23185,log0,429,340,332,3
141,23245,log0,430,341,333,3
142,23305,log0,431,342,334,3
143,23365,log0,432,343,335,3
144,23425,log0,433,344,336,3
145,23485,log0,434,345,337,3
