Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
-1,-1,162,151,113,118
-1,-1,162,152,113,118
-1,-1,162,152,111,116
-1,-1,164,152,108,118
-1,-1,165,151,107,117
-1,-1,166,151,113,117
-1,-1,163,151,112,116
-1,-1,163,151,112,116
-1,-1,163,151,110,116
-1,-1,170,151,107,116
-1,-1,167,154,104,113
-1,-1,158,151,105,113
-1,-1,158,152,106,110
-1,-1,159,152,106,110
-1,-1,159,152,106,111
-1,-1,161,150,105,109
-1,-1,159,147,103,110
-1,-1,162,146,104,109
-1,-1,165,146,101,109
-1,-1,157,146,101,109
-1,-1,157,146,104,109
-1,-1,152,146,104,109
-1,-1,144,139,112,109
-1,-1,144,139,109,109
-1,-1,148,137,111,109
-1,-1,151,135,111,109
-1,-1,151,135,112,118
-1,-1,152,133,115,120
-1,-1,146,131,119,122
-1,-1,146,130,121,128
-1,-1,143,133,123,130
-1,-1,139,128,123,130
-1,-1,139,128,127,137
-1,-1,135,128,128,137
-1,-1,140,128,131,134
-1,-1,137,126,133,139
-1,-1,137,125,131,139
-1,-1,134,125,131,139
-1,-1,134,125,129,140
-1,-1,136,124,123,138
-1,-1,136,125,122,135
-1,-1,139,124,125,137
-1,-1,140,125,122,129
-1,-1,141,126,122,129
-1,-1,141,126,124,129
-1,-1,143,129,116,129
-1,-1,142,129,111,129
-1,-1,142,132,107,118
-1,-1,142,132,106,116
-1,-1,142,132,106,116
-1,-1,142,132,107,115
-1,-1,141,131,108,112
-1,-1,144,136,111,113
-1,-1,146,136,111,111
-1,-1,144,136,108,110
-1,-1,142,136,108,110
-1,-1,142,136,105,109
-1,-1,145,138,110,110
-1,-1,142,138,109,110
-1,-1,143,136,112,110
-1,-1,143,136,112,111
-1,-1,140,135,112,111
-1,-1,140,135,108,111
-1,-1,141,134,108,110
-1,-1,142,134,112,110
-1,-1,142,133,106,110
-1,-1,142,126,105,114
-1,-1,139,126,105,114
-1,-1,134,126,106,112
-1,-1,134,126,104,110
-1,-1,130,126,110,110
-1,-1,121,117,110,116
-1,-1,118,117,107,114
-1,-1,118,117,107,114
-1,-1,118,117,107,115
-1,-1,123,117,108,112
-1,-1,124,122,104,111
-1,-1,128,123,108,111
-1,-1,126,125,106,111
-1,-1,121,126,106,111
-1,-1,123,119,101,117
-1,-1,123,119,105,116
-1,-1,119,119,105,116
-1,-1,121,119,107,116
-1,-1,140,125,107,117
-1,-1,139,126,107,117
-1,-1,138,128,105,117
-1,-1,138,128,107,117
-1,-1,137,128,108,117
-1,-1,136,131,106,117
-1,-1,144,140,105,113
-1,-1,151,140,105,113
-1,-1,157,142,105,113
-1,-1,157,142,107,112
-1,-1,159,145,108,111
-1,-1,158,142,105,111
-1,-1,162,142,106,114
-1,-1,159,147,106,114
-1,-1,162,150,101,114
-1,-1,162,150,99,115
-1,-1,158,150,97,115
-1,-1,155,145,98,110
-1,-1,155,142,104,112
-1,-1,150,141,104,112
-1,-1,142,137,97,110
-1,-1,142,137,101,110
-1,-1,135,136,103,110
-1,-1,130,136,103,109
-1,-1,136,136,100,109
-1,-1,134,133,100,109
-1,-1,130,132,99,110
-1,-1,130,132,102,110
-1,-1,119,120,105,112
-1,-1,115,120,101,112
-1,-1,113,120,102,112
-1,-1,114,121,102,112
-1,-1,117,121,105,114
-1,-1,117,121,106,113
-1,-1,119,121,107,113
-1,-1,115,121,106,113
-1,-1,113,121,109,113
-1,-1,114,121,109,113
-1,-1,116,121,110,113
-1,-1,116,121,113,113
-1,-1,119,121,113,113
-1,-1,125,139,113,113
-1,-1,125,139,115,113
-1,-1,129,139,115,113
-1,-1,138,142,117,112
-1,-1,138,142,118,113
-1,-1,140,142,116,113
-1,-1,137,147,123,113
-1,-1,139,150,119,112
-1,-1,139,150,119,112
-1,-1,137,150,115,110
-1,-1,137,150,115,110
-1,-1,136,150,114,109
-1,-1,135,129,114,123
-1,-1,132,129,114,122
-1,-1,130,129,114,122
-1,-1,129,129,116,122
-1,-1,129,129,117,123
-1,-1,130,130,114,119
-1,-1,133,130,110,119
-1,-1,146,130,108,118
-1,-1,150,130,108,118
-1,-1,150,130,99,117
-1,-1,154,130,98,116
