Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
82,106,101,125,193,233,157,183
83,104,103,125,193,228,157,183
83,103,105,125,195,226,154,183
83,103,105,125,191,225,154,180
86,101,102,125,191,225,157,180
88,100,104,125,189,224,155,180
90,100,104,125,187,222,155,173
92,99,105,118,195,222,155,173
89,99,105,119,194,220,154,171
89,99,105,119,196,219,154,169
86,100,106,119,196,219,152,165
95,102,107,119,193,218,147,163
103,102,107,119,195,218,148,162
104,106,106,119,195,217,148,162
104,107,106,124,195,217,146,160
104,107,108,124,191,218,142,160
105,107,112,124,191,218,144,160
107,110,114,124,190,218,145,158
109,110,114,124,196,218,144,158
113,114,115,124,197,219,144,158
114,114,113,124,201,221,152,158
114,114,120,124,196,222,153,161
115,115,123,127,196,222,153,161
117,115,116,127,195,223,158,166
114,115,116,127,195,224,159,167
113,115,114,127,197,225,159,167
112,120,112,127,195,226,159,169
112,120,110,127,194,226,157,170
109,120,107,127,194,226,157,173
110,119,107,127,197,226,157,173
103,117,107,127,197,226,157,177
106,116,103,117,197,226,157,177
108,113,105,117,197,226,158,179
108,113,103,117,197,226,158,182
104,113,102,117,197,226,159,182
99,110,99,112,197,226,158,184
92,107,99,112,195,225,160,185
86,106,101,112,195,225,160,185
83,106,98,112,195,225,162,185
83,106,98,112,195,225,159,185
82,102,100,112,195,225,159,184
83,102,91,112,195,224,159,184
83,99,91,112,186,224,162,184
82,98,93,112,190,224,162,184
80,98,94,112,192,224,163,179
80,98,92,112,194,223,160,175
80,96,90,112,194,223,160,173
80,96,87,112,195,223,160,169
82,96,87,112,195,223,162,167
90,96,88,112,199,223,162,167
98,97,88,112,200,224,160,167
98,97,88,112,199,223,160,167
103,97,96,112,199,223,157,159
101,97,94,112,205,224,155,159
99,100,94,112,207,224,155,153
105,100,94,112,207,224,155,153
109,100,92,112,207,223,153,153
109,100,95,112,209,224,150,153
113,100,93,112,208,224,151,153
115,100,99,112,208,224,152,154
117,100,99,112,207,224,155,156
120,111,103,112,208,224,155,156
117,112,105,112,209,224,157,158
117,112,107,112,205,224,159,159
116,114,104,112,203,223,159,162
119,114,103,112,203,223,158,165
116,115,103,112,205,223,158,165
115,115,106,112,203,222,158,165
112,115,104,112,202,222,158,165
112,115,106,112,198,222,158,165
109,115,100,107,200,222,160,165
104,115,100,107,200,222,158,178
101,115,101,107,202,223,158,180
100,114,101,107,196,224,158,180
105,113,98,107,194,225,159,182
105,113,94,107,192,225,159,183
104,113,92,107,192,225,159,184
104,112,92,107,193,225,158,186
101,112,91,107,192,228,157,187
102,112,89,107,195,230,157,187
102,112,89,107,194,230,157,187
102,112,91,107,197,230,160,187
99,111,91,107,197,230,159,187
102,111,91,107,199,233,159,187
101,112,90,107,201,235,158,185
101,112,89,107,202,235,158,185
104,112,88,96,203,235,156,185
104,112,88,96,205,234,157,184
102,112,88,96,205,234,157,184
98,112,88,96,204,234,154,181
99,118,90,103,202,238,155,180
100,118,90,103,199,238,155,180
103,118,91,103,199,236,155,179
103,118,90,103,196,234,153,179
104,118,90,103,196,234,153,178
101,118,89,103,197,233,151,178
100,118,89,103,193,231,150,178
100,118,91,103,190,230,150,178
96,117,90,103,189,228,149,178
96,117,90,103,179,224,148,178
95,118,89,103,179,224,148,178
94,118,89,103,180,223,146,179
94,118,89,103,180,223,148,179
96,117,84,103,175,216,148,179
98,117,84,103,168,213,147,179
98,117,82,103,169,211,149,179
96,117,83,94,169,211,149,180
96,117,80,94,170,209,150,180
98,117,80,94,165,205,149,180
93,117,82,94,164,203,149,180
92,117,81,94,162,200,153,180
92,117,83,94,162,200,150,180
91,117,83,94,162,200,150,180
87,117,83,94,162,200,151,180
