Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
98,98.43679809570312,-1,-1.0,-1,-1.0
98,98.43679809570312,-1,-1.0,-1,-1.0
98,98.88227844238281,-1,-1.0,-1,-1.0
93,98.53673553466797,-1,-1.0,-1,-1.0
93,98.54927825927734,-1,-1.0,-1,-1.0
93,98.67373657226562,-1,-1.0,-1,-1.0
92,98.62442016601562,-1,-1.0,-1,-1.0
92,98.62442016601562,-1,-1.0,-1,-1.0
96,98.5771484375,-1,-1.0,-1,-1.0
96,98.37579345703125,-1,-1.0,-1,-1.0
94,98.35918426513672,-1,-1.0,-1,-1.0
94,98.35918426513672,-1,-1.0,-1,-1.0
96,98.84526824951172,-1,-1.0,-1,-1.0
96,98.84526824951172,-1,-1.0,-1,-1.0
96,98.79251098632812,-1,-1.0,-1,-1.0
94,98.62156677246094,-1,-1.0,-1,-1.0
94,98.55150604248047,-1,-1.0,-1,-1.0
94,98.3671646118164,-1,-1.0,-1,-1.0
94,98.71749114990234,-1,-1.0,-1,-1.0
94,98.71749114990234,-1,-1.0,-1,-1.0
95,99.0258560180664,-1,-1.0,-1,-1.0
95,98.09233856201172,-1,-1.0,-1,-1.0
94,98.36499786376953,-1,-1.0,-1,-1.0
94,98.3883056640625,-1,-1.0,-1,-1.0
93,98.51685333251953,-1,-1.0,-1,-1.0
93,98.51685333251953,-1,-1.0,-1,-1.0
93,98.52625274658203,-1,-1.0,-1,-1.0
91,98.54084014892578,-1,-1.0,-1,-1.0
91,98.3695297241211,-1,-1.0,-1,-1.0
92,98.85826110839844,-1,-1.0,-1,-1.0
93,98.56224060058594,-1,-1.0,-1,-1.0
93,98.56224060058594,-1,-1.0,-1,-1.0
98,98.09973907470703,-1,-1.0,-1,-1.0
99,98.09515380859375,-1,-1.0,-1,-1.0
96,98.55606079101562,-1,-1.0,-1,-1.0
96,98.84674072265625,-1,-1.0,-1,-1.0
98,98.41046905517578,-1,-1.0,-1,-1.0
98,98.41046905517578,-1,-1.0,-1,-1.0
98,98.52459716796875,-1,-1.0,-1,-1.0
98,98.51258850097656,-1,-1.0,-1,-1.0
98,98.90318298339844,-1,-1.0,-1,-1.0
95,98.89740753173828,-1,-1.0,-1,-1.0
95,98.68006134033203,-1,-1.0,-1,-1.0
95,98.68006134033203,-1,-1.0,-1,-1.0
94,98.99901580810547,-1,-1.0,-1,-1.0
94,98.83200073242188,-1,-1.0,-1,-1.0
94,98.83200073242188,-1,-1.0,-1,-1.0
93,98.83200073242188,-1,-1.0,-1,-1.0
99,98.86981201171875,-1,-1.0,-1,-1.0
99,98.86981201171875,-1,-1.0,-1,-1.0
99,98.6156005859375,-1,-1.0,-1,-1.0
92,98.2022705078125,-1,-1.0,-1,-1.0
92,98.58279418945312,-1,-1.0,-1,-1.0
92,98.25241088867188,-1,-1.0,-1,-1.0
92,98.36135864257812,-1,-1.0,-1,-1.0
92,98.36135864257812,-1,-1.0,-1,-1.0
95,98.34280395507812,-1,-1.0,-1,-1.0
95,98.35074615478516,-1,-1.0,-1,-1.0
90,98.51343536376953,-1,-1.0,-1,-1.0
90,98.51343536376953,-1,-1.0,-1,-1.0
93,98.10791015625,-1,-1.0,-1,-1.0
93,98.10791015625,-1,-1.0,-1,-1.0
94,98.11991882324219,-1,-1.0,-1,-1.0
94,98.71602630615234,-1,-1.0,-1,-1.0
93,98.53258514404297,-1,-1.0,-1,-1.0
94,98.10374450683594,-1,-1.0,-1,-1.0
93,98.10627746582031,-1,-1.0,-1,-1.0
93,98.10627746582031,-1,-1.0,-1,-1.0
96,98.35335540771484,-1,-1.0,-1,-1.0
96,98.51640319824219,-1,-1.0,-1,-1.0
97,98.88285827636719,-1,-1.0,-1,-1.0
97,98.87035369873047,-1,-1.0,-1,-1.0
97,98.42852020263672,-1,-1.0,-1,-1.0
97,98.42852020263672,-1,-1.0,-1,-1.0
97,98.88292694091797,-1,-1.0,-1,-1.0
96,98.43229675292969,-1,-1.0,-1,-1.0
97,98.71024322509766,-1,-1.0,-1,-1.0
97,98.98988342285156,-1,-1.0,-1,-1.0
97,98.87271881103516,-1,-1.0,-1,-1.0
97,98.87271881103516,-1,-1.0,-1,-1.0
95,98.88483428955078,-1,-1.0,-1,-1.0
95,98.35730743408203,-1,-1.0,-1,-1.0
93,98.61046600341797,-1,-1.0,-1,-1.0
93,99.02095031738281,-1,-1.0,-1,-1.0
93,98.88019561767578,-1,-1.0,-1,-1.0
93,98.88019561767578,-1,-1.0,-1,-1.0
93,98.27347564697266,-1,-1.0,-1,-1.0
93,98.12443542480469,-1,-1.0,-1,-1.0
92,98.38151550292969,-1,-1.0,-1,-1.0
94,98.09646606445312,-1,-1.0,-1,-1.0
95,98.88616943359375,-1,-1.0,-1,-1.0
95,98.88616943359375,-1,-1.0,-1,-1.0
95,98.78752899169922,-1,-1.0,-1,-1.0
96,98.79396057128906,-1,-1.0,-1,-1.0
95,98.55007934570312,-1,-1.0,-1,-1.0
95,98.3767318725586,-1,-1.0,-1,-1.0
96,98.36852264404297,-1,-1.0,-1,-1.0
96,98.36852264404297,-1,-1.0,-1,-1.0
96,98.36810302734375,-1,-1.0,-1,-1.0
95,98.12855529785156,-1,-1.0,-1,-1.0
95,98.43832397460938,-1,-1.0,-1,-1.0
96,98.35979461669922,-1,-1.0,-1,-1.0
96,98.10237121582031,-1,-1.0,-1,-1.0
96,98.10237121582031,-1,-1.0,-1,-1.0
