Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo7,Ranging.truthDistTo7
93,112.66648864746094,-1,-1.0,-1,-1.0,-1,-1.0
93,112.66648864746094,-1,-1.0,-1,-1.0,-1,-1.0
94,112.29995727539062,-1,-1.0,-1,-1.0,-1,-1.0
92,112.25054931640625,-1,-1.0,-1,-1.0,-1,-1.0
90,112.21743774414062,-1,-1.0,-1,-1.0,-1,-1.0
90,112.40532684326172,-1,-1.0,-1,-1.0,-1,-1.0
89,112.55963897705078,-1,-1.0,-1,-1.0,-1,-1.0
89,112.55963897705078,-1,-1.0,-1,-1.0,-1,-1.0
89,112.55963897705078,-1,-1.0,-1,-1.0,-1,-1.0
89,112.63093566894531,-1,-1.0,-1,-1.0,-1,-1.0
91,112.6476058959961,-1,-1.0,-1,-1.0,-1,-1.0
91,112.64977264404297,-1,-1.0,-1,-1.0,-1,-1.0
91,112.38264465332031,-1,-1.0,-1,-1.0,-1,-1.0
91,112.38264465332031,-1,-1.0,-1,-1.0,-1,-1.0
90,112.24292755126953,-1,-1.0,-1,-1.0,-1,-1.0
89,112.57196044921875,-1,-1.0,-1,-1.0,-1,-1.0
92,112.24311828613281,-1,-1.0,-1,-1.0,-1,-1.0
91,112.24311828613281,-1,-1.0,-1,-1.0,-1,-1.0
92,112.24311828613281,-1,-1.0,-1,-1.0,-1,-1.0
92,112.24311828613281,-1,-1.0,-1,-1.0,-1,-1.0
92,112.27568054199219,-1,-1.0,-1,-1.0,-1,-1.0
91,112.50859832763672,-1,-1.0,-1,-1.0,-1,-1.0
90,112.50321960449219,-1,-1.0,-1,-1.0,-1,-1.0
89,112.51002502441406,-1,-1.0,-1,-1.0,-1,-1.0
90,112.2696304321289,-1,-1.0,-1,-1.0,-1,-1.0
90,112.2696304321289,-1,-1.0,-1,-1.0,-1,-1.0
93,112.25541687011719,-1,-1.0,-1,-1.0,-1,-1.0
93,112.25791931152344,-1,-1.0,-1,-1.0,-1,-1.0
91,112.23101043701172,-1,-1.0,-1,-1.0,-1,-1.0
91,112.15929412841797,-1,-1.0,-1,-1.0,-1,-1.0
93,112.49311065673828,-1,-1.0,-1,-1.0,-1,-1.0
93,112.49311065673828,-1,-1.0,-1,-1.0,-1,-1.0
93,112.49626922607422,-1,-1.0,-1,-1.0,-1,-1.0
92,112.51051330566406,-1,-1.0,-1,-1.0,-1,-1.0
91,112.4934310913086,-1,-1.0,-1,-1.0,-1,-1.0
91,112.4934310913086,-1,-1.0,-1,-1.0,-1,-1.0
90,112.6368179321289,-1,-1.0,-1,-1.0,-1,-1.0
90,112.6368179321289,-1,-1.0,-1,-1.0,-1,-1.0
92,112.48280334472656,-1,-1.0,-1,-1.0,-1,-1.0
92,112.37975311279297,-1,-1.0,-1,-1.0,-1,-1.0
91,112.37975311279297,-1,-1.0,-1,-1.0,-1,-1.0
91,112.39640808105469,-1,-1.0,-1,-1.0,-1,-1.0
93,112.50240325927734,-1,-1.0,-1,-1.0,-1,-1.0
93,112.50240325927734,-1,-1.0,-1,-1.0,-1,-1.0
93,112.26382446289062,-1,-1.0,-1,-1.0,-1,-1.0
92,112.2757568359375,-1,-1.0,-1,-1.0,-1,-1.0
92,112.27657318115234,-1,-1.0,-1,-1.0,-1,-1.0
93,112.27657318115234,-1,-1.0,-1,-1.0,-1,-1.0
92,112.28426361083984,-1,-1.0,-1,-1.0,-1,-1.0
92,112.28426361083984,-1,-1.0,-1,-1.0,-1,-1.0
91,112.39382934570312,-1,-1.0,-1,-1.0,-1,-1.0
92,112.11766052246094,-1,-1.0,-1,-1.0,-1,-1.0
91,112.11766052246094,-1,-1.0,-1,-1.0,-1,-1.0
91,112.10497283935547,-1,-1.0,-1,-1.0,-1,-1.0
93,112.11127471923828,-1,-1.0,-1,-1.0,-1,-1.0
93,112.11127471923828,-1,-1.0,-1,-1.0,-1,-1.0
94,112.3998031616211,-1,-1.0,-1,-1.0,-1,-1.0
94,112.0251235961914,-1,-1.0,-1,-1.0,-1,-1.0
94,112.16344451904297,-1,-1.0,-1,-1.0,-1,-1.0
94,112.57404327392578,-1,-1.0,-1,-1.0,-1,-1.0
95,112.5067367553711,-1,-1.0,-1,-1.0,-1,-1.0
95,112.5067367553711,-1,-1.0,-1,-1.0,-1,-1.0
93,112.22854614257812,-1,-1.0,-1,-1.0,-1,-1.0
