Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2
112,108.01569366455078,147,146.4822998046875,230,232.28602600097656
110,107.72560119628906,143,145.89736938476562,235,231.65892028808594
109,107.95741271972656,143,146.4185028076172,235,232.08352661132812
107,107.93851470947266,148,146.2445831298828,234,232.0879364013672
107,107.9473876953125,149,146.3896026611328,233,233.3868408203125
106,107.95682525634766,146,146.23394775390625,237,233.37582397460938
108,107.97085571289062,145,146.8717498779297,236,233.3908233642578
108,107.95974731445312,145,146.4303436279297,237,232.73129272460938
110,108.01693725585938,145,146.43173217773438,237,232.1008758544922
109,107.9896469116211,144,146.317626953125,237,232.1008758544922
111,108.12635040283203,144,146.33241271972656,237,232.2743377685547
110,108.11273193359375,142,146.37171936035156,236,232.331787109375
107,108.11273193359375,144,146.21278381347656,236,232.331787109375
107,108.11444091796875,148,146.8632049560547,234,233.4518585205078
109,108.10005950927734,145,146.8621826171875,232,232.12570190429688
110,108.11664581298828,146,146.8727264404297,232,232.12570190429688
110,107.68706512451172,146,145.7628173828125,232,232.12570190429688
110,107.69833374023438,146,146.3141326904297,231,231.79098510742188
106,107.95935821533203,146,146.88731384277344,231,232.2643585205078
106,108.28977966308594,149,146.96102905273438,234,232.2591552734375
106,108.04154205322266,149,146.3544158935547,234,233.48776245117188
110,108.03528594970703,144,146.8060302734375,234,233.48776245117188
109,108.02796173095703,144,146.8060302734375,232,232.1649932861328
108,108.34920501708984,145,146.52825927734375,235,232.3428497314453
107,108.13166809082031,146,146.35069274902344,234,232.27284240722656
108,108.13459777832031,148,146.2013702392578,235,232.7283172607422
107,107.9400863647461,147,146.2375946044922,235,232.68011474609375
107,108.00791931152344,146,146.4107208251953,234,232.3038330078125
108,108.23025512695312,147,146.33604431152344,235,232.2236785888672
111,108.30655670166016,144,146.65611267089844,235,233.4689178466797
109,108.3446273803711,143,147.0264892578125,234,232.51492309570312
109,107.94033813476562,147,146.2660675048828,240,232.25685119628906
111,107.95799255371094,145,146.44720458984375,240,232.25685119628906
108,108.12454223632812,146,146.84861755371094,240,232.25685119628906
109,107.87193298339844,148,146.40505981445312,239,232.29852294921875
110,108.349609375,146,146.82284545898438,236,232.33602905273438
111,108.01179504394531,146,146.34259033203125,235,233.48876953125
112,108.03669738769531,144,146.35177612304688,233,232.3257598876953
108,108.00102996826172,147,146.33474731445312,233,232.3263397216797
109,108.00406646728516,145,146.31492614746094,235,232.34707641601562
109,108.01139068603516,145,146.947021484375,235,232.28167724609375
110,107.68797302246094,144,146.32029724121094,238,231.6210479736328
109,108.03834533691406,143,146.5170135498047,237,232.31536865234375
108,108.34174346923828,145,146.5334014892578,237,232.31536865234375
112,108.14404296875,144,146.38926696777344,237,232.1422119140625
113,108.03555297851562,146,146.96397399902344,234,232.39915466308594
109,107.85440826416016,147,146.30807495117188,235,232.2413787841797
108,107.87315368652344,145,146.41139221191406,235,232.2413787841797
108,107.71068572998047,144,146.03176879882812,234,232.94549560546875
108,107.71068572998047,147,146.01890563964844,239,231.8444366455078
108,107.88131713867188,147,146.25704956054688,239,232.2659149169922
108,107.93707275390625,144,146.41424560546875,235,232.23800659179688
108,107.940673828125,144,146.40097045898438,235,232.23800659179688
107,108.3364486694336,145,146.52197265625,235,232.91409301757812
108,108.02991485595703,144,146.4119110107422,229,232.169921875
108,108.13007354736328,146,146.30052185058594,231,232.14002990722656
107,108.31871795654297,146,146.41595458984375,231,232.14002990722656
107,107.93988037109375,144,146.328369140625,232,233.3826904296875
108,108.12937927246094,145,146.22674560546875,232,232.2552490234375
109,108.01461029052734,144,146.78610229492188,237,232.30010986328125
108,108.01461029052734,144,146.78582763671875,236,232.3379669189453
107,108.0362548828125,147,146.9669952392578,237,232.7863311767578
109,108.0362548828125,148,146.3931427001953,237,232.7863311767578
109,108.0362548828125,148,146.46356201171875,236,232.39402770996094
109,108.0362548828125,146,146.46356201171875,234,232.76730346679688
109,108.13762664794922,146,146.3982391357422,234,232.25909423828125
114,108.35379791259766,146,146.55621337890625,236,232.56448364257812
111,108.35379791259766,144,146.46531677246094,235,232.4551239013672
113,108.35277557373047,144,146.46531677246094,236,232.4551239013672
112,108.3420639038086,144,146.46531677246094,233,232.4551239013672
111,108.3550796508789,146,147.00587463378906,231,232.5142364501953
109,107.94662475585938,146,146.87242126464844,234,233.37985229492188
111,107.94951629638672,145,146.2429656982422,234,233.39137268066406
109,107.6883773803711,144,146.16566467285156,234,232.9443817138672
110,107.6883773803711,144,145.7056884765625,235,232.20135498046875
110,107.6883773803711,144,145.84823608398438,237,231.74404907226562
110,108.0463638305664,145,146.63681030273438,237,232.24598693847656
109,108.16514587402344,144,146.53260803222656,237,232.24598693847656
107,108.316162109375,144,146.60801696777344,237,232.1620635986328
107,108.0311279296875,144,146.61769104003906,237,232.1620635986328
108,108.02812194824219,144,146.62753295898438,237,232.18289184570312
106,108.14576721191406,145,146.85739135742188,238,232.13479614257812
110,108.05171203613281,146,146.97337341308594,238,232.06265258789062
110,108.1181640625,144,146.85806274414062,238,232.06265258789062
108,108.12052917480469,144,146.2815704345703,237,233.45130920410156
107,108.12736511230469,145,146.281494140625,233,232.31886291503906
108,108.127685546875,146,146.281494140625,233,232.36135864257812
109,108.04769134521484,146,146.6520233154297,233,233.49301147460938
110,108.05595397949219,145,146.49847412109375,232,233.49301147460938
109,108.04268646240234,144,146.30738830566406,232,233.48876953125
106,108.03153991699219,144,146.50619506835938,231,232.50074768066406
107,108.3382568359375,143,147.0372314453125,236,232.52610778808594
110,108.01847839355469,141,146.9607696533203,236,232.30960083007812
109,108.1202163696289,143,146.38113403320312,236,232.30960083007812
109,108.1202163696289,144,146.29913330078125,236,232.2891845703125
109,107.68802642822266,144,146.03848266601562,236,231.76397705078125
109,107.69349670410156,145,146.02203369140625,235,231.62831115722656
109,107.94396209716797,145,146.70809936523438,233,232.2034149169922
111,108.0283203125,145,146.7925262451172,234,232.30648803710938
109,108.00364685058594,144,146.49473571777344,238,232.28932189941406
112,108.15228271484375,146,146.2040252685547,237,232.26341247558594
112,108.34735870361328,145,146.37176513671875,238,232.45718383789062
108,107.8551254272461,145,146.22503662109375,238,232.45718383789062
107,107.8491439819336,146,146.3697509765625,238,232.15464782714844
106,107.83853149414062,145,146.37838745117188,238,232.2579803466797
109,108.09818267822266,143,146.3006134033203,233,232.2457275390625
106,107.99714660644531,143,146.2993621826172,234,232.32232666015625
107,107.91996002197266,144,146.31639099121094,234,232.32232666015625
109,108.03739166259766,145,146.49777221679688,234,232.32232666015625
109,108.03206634521484,144,146.49777221679688,236,233.4956512451172
107,108.04483032226562,143,146.43617248535156,237,232.19332885742188
107,108.11382293701172,144,146.6547393798828,235,233.44203186035156
105,108.1318588256836,145,146.18212890625,235,232.13284301757812
106,108.32772827148438,144,146.82118225097656,235,232.32708740234375
106,108.32841491699219,144,146.8329620361328,234,232.3236541748047
106,108.32841491699219,144,146.36740112304688,235,232.3236541748047
108,108.32841491699219,144,146.51129150390625,235,232.3236541748047
110,108.10379028320312,143,146.37109375,235,232.3236541748047
110,107.69050598144531,144,145.85501098632812,234,232.93792724609375
108,107.9588851928711,145,146.55682373046875,234,232.93792724609375
109,107.94595336914062,146,146.34678649902344,234,232.28260803222656
110,107.9399642944336,146,146.3257598876953,237,233.39353942871094
107,107.85533142089844,145,146.5595245361328,235,233.48678588867188
106,108.03260803222656,144,146.31251525878906,237,233.36375427246094
108,108.00836181640625,143,146.98919677734375,237,233.4881134033203
108,107.8783187866211,146,146.8868865966797,237,233.4881134033203
109,108.37083435058594,146,146.8371124267578,237,232.4790496826172
110,108.37083435058594,144,146.8404541015625,236,232.94854736328125
110,108.37083435058594,144,146.53781127929688,235,232.52545166015625
112,108.14366149902344,145,146.3685302734375,236,233.44134521484375
109,108.30885314941406,145,146.80450439453125,236,232.3874053955078
110,108.0218734741211,141,146.79783630371094,236,232.3874053955078
108,108.01532745361328,142,146.6501007080078,236,232.38604736328125
109,108.03189849853516,142,146.4188995361328,235,232.30780029296875
108,108.01692962646484,144,146.41307067871094,235,232.29759216308594
109,108.011474609375,145,146.412353515625,235,232.2983856201172
110,107.98345947265625,145,146.62782287597656,235,233.46466064453125
110,108.00704956054688,146,146.64268493652344,237,233.4693603515625
110,108.12284851074219,145,146.34400939941406,237,232.74380493164062
107,107.94481658935547,148,146.39549255371094,237,232.31341552734375
108,107.93701934814453,146,146.3531951904297,237,232.42471313476562
110,108.0366439819336,148,146.6532745361328,237,232.42471313476562
108,108.07038116455078,149,146.81021118164062,237,232.42471313476562
109,108.13800048828125,143,146.52381896972656,235,232.32003784179688
107,108.04087829589844,144,146.64122009277344,235,232.3007354736328
106,107.90330505371094,146,146.5833282470703,236,232.2733917236328
107,108.13941192626953,145,146.51673889160156,235,232.04244995117188
108,108.02654266357422,149,146.65135192871094,235,232.04244995117188
109,107.86158752441406,150,146.5373992919922,235,232.228271484375
108,107.87710571289062,144,146.23683166503906,238,233.36293029785156
107,108.02694702148438,144,146.65098571777344,238,232.29873657226562
107,108.0295181274414,144,146.9593505859375,238,232.3584442138672
109,108.34994506835938,144,146.57229614257812,238,232.34515380859375
111,108.3348617553711,144,146.81619262695312,233,232.36033630371094
110,108.3348617553711,145,146.8927001953125,234,232.11160278320312
108,107.69187927246094,147,146.133544921875,234,232.11160278320312
108,108.02799987792969,147,146.7700653076172,232,232.3954315185547
107,108.05239868164062,143,146.78408813476562,234,232.3487548828125
107,108.14540100097656,144,146.6514129638672,234,232.313232421875
107,108.12783813476562,145,146.16696166992188,232,231.64300537109375
107,107.94674682617188,144,146.24673461914062,232,231.64300537109375
107,108.14251708984375,150,146.2073211669922,236,232.15306091308594
109,107.96085357666016,150,146.2437286376953,235,232.6900634765625
109,107.95768737792969,146,146.70565795898438,235,232.6900634765625
110,107.70386505126953,144,146.1756591796875,236,232.31809997558594
110,108.34310150146484,144,146.3701934814453,236,232.31809997558594
108,108.65528106689453,144,146.8260955810547,236,232.31809997558594
108,107.9858627319336,147,145.69483947753906,234,231.62245178222656
108,107.98728942871094,148,146.4037322998047,233,232.2753448486328
108,107.8447494506836,148,146.5399932861328,233,232.2753448486328
108,107.97152709960938,146,146.3839874267578,233,232.49822998046875
108,108.40338897705078,145,146.9703826904297,243,232.10470581054688
109,108.16504669189453,148,146.13133239746094,230,231.84219360351562
107,108.15986633300781,143,146.30503845214844,235,231.7957763671875
106,108.30470275878906,143,146.87490844726562,233,231.7957763671875
109,108.00894165039062,143,146.76560974121094,231,231.7957763671875
103,104.5936508178711,141,145.2906951904297,232,230.3170623779297
100,103.93218994140625,142,145.20205688476562,231,229.9570770263672
101,103.72000122070312,140,143.75814819335938,232,229.5686492919922
100,101.10978698730469,136,142.4505615234375,236,228.33609008789062
101,102.27764129638672,136,140.32449340820312,237,231.21572875976562
101,101.98725891113281,132,139.0770721435547,234,231.7609405517578
96,101.50293731689453,132,138.83323669433594,235,232.5203857421875
95,97.24166107177734,129,140.55703735351562,235,233.45034790039062
96,97.3451156616211,131,140.88462829589844,235,233.76318359375
99,96.2838363647461,128,142.14251708984375,238,234.18588256835938
100,92.5157470703125,130,138.8657989501953,238,234.18588256835938
97,92.30265045166016,113,138.9547882080078,236,236.11380004882812
