Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo7,Ranging.truthDistTo7
100,99.36579895019531,-1,-1.0,-1,-1.0,148,151.2071990966797
98,99.82388305664062,-1,-1.0,-1,-1.0,146,151.48666381835938
97,99.83250427246094,-1,-1.0,-1,-1.0,147,151.04920959472656
98,99.51931762695312,-1,-1.0,-1,-1.0,148,151.50439453125
101,99.88154602050781,-1,-1.0,-1,-1.0,149,151.34849548339844
100,100.18172454833984,-1,-1.0,-1,-1.0,148,151.47108459472656
99,99.68132781982422,-1,-1.0,-1,-1.0,149,151.466796875
99,100.15525817871094,-1,-1.0,-1,-1.0,148,151.5070037841797
96,99.85079193115234,-1,-1.0,-1,-1.0,148,151.51412963867188
96,100.16329193115234,-1,-1.0,-1,-1.0,149,151.51129150390625
99,100.16329193115234,-1,-1.0,-1,-1.0,144,151.36387634277344
99,100.40626525878906,-1,-1.0,-1,-1.0,152,151.98223876953125
94,100.16255950927734,-1,-1.0,-1,-1.0,149,151.3366241455078
94,99.85166931152344,-1,-1.0,-1,-1.0,152,151.68336486816406
98,99.84297943115234,-1,-1.0,-1,-1.0,151,151.36831665039062
97,100.08794403076172,-1,-1.0,-1,-1.0,147,151.79481506347656
104,99.72798156738281,-1,-1.0,-1,-1.0,152,152.0342254638672
103,99.36163330078125,-1,-1.0,-1,-1.0,152,151.49014282226562
95,100.3927001953125,-1,-1.0,-1,-1.0,150,151.3561248779297
95,100.1599349975586,-1,-1.0,-1,-1.0,150,151.83656311035156
95,100.1599349975586,-1,-1.0,-1,-1.0,150,151.64784240722656
96,100.16923522949219,-1,-1.0,-1,-1.0,152,151.49334716796875
91,99.92390441894531,-1,-1.0,-1,-1.0,149,151.8175048828125
92,99.70249938964844,-1,-1.0,-1,-1.0,152,151.44906616210938
102,99.71776580810547,-1,-1.0,-1,-1.0,154,151.44454956054688
104,100.16522979736328,-1,-1.0,-1,-1.0,151,151.44454956054688
100,100.16522979736328,-1,-1.0,-1,-1.0,151,151.44454956054688
101,99.841796875,-1,-1.0,-1,-1.0,149,151.35267639160156
97,99.6004409790039,-1,-1.0,-1,-1.0,152,151.3582763671875
96,99.37332153320312,-1,-1.0,-1,-1.0,152,151.3582763671875
99,99.5110855102539,-1,-1.0,-1,-1.0,151,151.17596435546875
100,99.56245422363281,-1,-1.0,-1,-1.0,147,151.0470428466797
98,99.83553314208984,-1,-1.0,-1,-1.0,150,151.4870147705078
98,99.60459899902344,-1,-1.0,-1,-1.0,151,151.2105255126953
100,99.93881225585938,-1,-1.0,-1,-1.0,149,151.05340576171875
100,99.93370056152344,-1,-1.0,-1,-1.0,150,151.7183074951172
99,99.93470001220703,-1,-1.0,-1,-1.0,151,151.4677276611328
97,99.60540008544922,-1,-1.0,-1,-1.0,146,152.29859924316406
95,100.17220306396484,-1,-1.0,-1,-1.0,148,151.16949462890625
96,99.60333251953125,-1,-1.0,-1,-1.0,151,151.48367309570312
98,99.88990783691406,-1,-1.0,-1,-1.0,152,151.48934936523438
96,99.8788070678711,-1,-1.0,-1,-1.0,152,151.4856719970703
100,99.9281234741211,-1,-1.0,-1,-1.0,146,151.4856719970703
100,99.94161987304688,-1,-1.0,-1,-1.0,150,151.48941040039062
96,99.69062805175781,-1,-1.0,-1,-1.0,149,151.48941040039062
97,100.1551742553711,-1,-1.0,-1,-1.0,149,151.11114501953125
99,100.17411804199219,-1,-1.0,-1,-1.0,148,152.11814880371094
98,99.91211700439453,-1,-1.0,-1,-1.0,151,152.1254425048828
103,99.91211700439453,-1,-1.0,-1,-1.0,148,151.7800750732422
102,99.86678314208984,-1,-1.0,-1,-1.0,147,152.02767944335938
94,100.18417358398438,-1,-1.0,-1,-1.0,151,151.57789611816406
94,100.18417358398438,-1,-1.0,-1,-1.0,152,151.7509002685547
98,99.95185852050781,-1,-1.0,-1,-1.0,147,151.50099182128906
98,99.96398162841797,-1,-1.0,-1,-1.0,148,151.50534057617188
97,99.68805694580078,-1,-1.0,-1,-1.0,146,151.73509216308594
95,99.70906066894531,-1,-1.0,-1,-1.0,144,151.73634338378906
95,99.7201156616211,-1,-1.0,-1,-1.0,148,151.76197814941406
96,99.8613510131836,-1,-1.0,-1,-1.0,145,151.76197814941406
100,99.87208557128906,-1,-1.0,-1,-1.0,149,151.88406372070312
100,99.95452880859375,-1,-1.0,-1,-1.0,152,151.88406372070312
97,99.83097076416016,-1,-1.0,-1,-1.0,149,151.88844299316406
97,99.84590148925781,-1,-1.0,-1,-1.0,151,151.64320373535156
100,100.07772064208984,-1,-1.0,-1,-1.0,151,151.49143981933594
99,100.38955688476562,-1,-1.0,-1,-1.0,154,151.6730194091797
100,100.38729095458984,-1,-1.0,-1,-1.0,153,151.66749572753906
100,99.86740112304688,-1,-1.0,-1,-1.0,146,151.8011474609375
100,99.63251495361328,-1,-1.0,-1,-1.0,144,151.37594604492188
99,100.17755126953125,-1,-1.0,-1,-1.0,148,151.77854919433594
102,99.70591735839844,-1,-1.0,-1,-1.0,152,151.47535705566406
99,100.17679595947266,-1,-1.0,-1,-1.0,147,151.0780792236328
99,99.89067077636719,-1,-1.0,-1,-1.0,151,151.4967041015625
99,100.18264770507812,-1,-1.0,-1,-1.0,149,151.4967041015625
99,100.19229125976562,-1,-1.0,-1,-1.0,152,151.4656219482422
98,100.18632507324219,-1,-1.0,-1,-1.0,147,151.5126953125
96,99.83121490478516,-1,-1.0,-1,-1.0,152,151.5054168701172
97,99.83121490478516,-1,-1.0,-1,-1.0,152,151.19932556152344
100,99.83821105957031,-1,-1.0,-1,-1.0,153,151.1576690673828
