Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
110,109.5668716430664,101,102.89143371582031,-1,199.6372528076172,145,150.64695739746094
110,109.60309600830078,100,102.87890625,-1,199.6372528076172,145,150.68475341796875
111,109.38872528076172,100,102.27179718017578,-1,199.6372528076172,144,150.68475341796875
111,109.60418701171875,98,102.2850570678711,-1,199.6372528076172,143,150.16986083984375
68,109.54656219482422,99,102.43310546875,-1,199.6372528076172,145,150.65675354003906
67,109.57283782958984,98,103.58121490478516,-1,199.6372528076172,146,150.68966674804688
68,109.59419250488281,101,101.92609405517578,-1,199.6372528076172,143,150.67959594726562
68,108.52864074707031,99,101.10242462158203,-1,199.6372528076172,143,150.57162475585938
68,108.50312042236328,99,102.05973052978516,-1,199.6372528076172,144,150.57162475585938
68,108.31368255615234,99,102.04991912841797,-1,199.6372528076172,144,150.5822296142578
69,108.53182983398438,98,102.04991912841797,-1,199.6372528076172,144,150.574951171875
73,108.53030395507812,96,101.1129150390625,-1,199.6372528076172,144,150.5841064453125
64,108.3031997680664,98,102.75123596191406,-1,199.6372528076172,144,150.5841064453125
65,108.3031997680664,98,102.76332092285156,-1,199.6372528076172,144,150.56036376953125
72,108.70006561279297,98,101.45527648925781,-1,199.6372528076172,144,150.56036376953125
72,108.5163345336914,100,101.62104797363281,-1,199.6372528076172,143,150.49107360839844
74,109.56560516357422,99,102.06916046142578,-1,199.6372528076172,145,150.67755126953125
74,109.56560516357422,96,101.88887023925781,-1,199.6372528076172,145,150.5059356689453
70,108.92896270751953,96,101.60453796386719,-1,199.6372528076172,145,150.50039672851562
70,108.92896270751953,97,101.54658508300781,-1,199.6372528076172,146,150.50039672851562
109,108.9439926147461,98,102.53162384033203,-1,199.6372528076172,144,150.50039672851562
105,108.9522933959961,100,102.06697845458984,-1,199.6372528076172,144,150.56060791015625
68,108.6702880859375,97,102.05168914794922,-1,199.6372528076172,144,150.04434204101562
68,109.36861419677734,98,102.86065673828125,-1,199.6372528076172,143,150.70054626464844
62,109.4031753540039,95,101.8472671508789,-1,199.6372528076172,145,150.13345336914062
63,109.40116119384766,100,102.28988647460938,-1,199.6372528076172,144,150.69207763671875
67,109.36750793457031,100,102.28569030761719,-1,199.6372528076172,144,150.51133728027344
67,108.99801635742188,96,103.21794891357422,-1,199.6372528076172,144,150.5482635498047
72,109.63774871826172,100,102.44457244873047,-1,199.6372528076172,145,150.1028289794922
72,108.92082977294922,98,101.58031463623047,-1,199.6372528076172,144,150.630126953125
67,108.69525146484375,101,101.58031463623047,-1,199.6372528076172,145,150.630126953125
67,108.67333221435547,98,103.58387756347656,-1,199.6372528076172,144,150.6856689453125
108,109.61186981201172,98,103.59285736083984,-1,199.6372528076172,145,150.49642944335938
111,108.94607543945312,99,102.53427124023438,-1,199.6372528076172,145,149.9354705810547
69,108.94607543945312,98,101.57275390625,-1,199.6372528076172,144,150.500244140625
68,108.93965148925781,97,101.55586242675781,-1,199.6372528076172,143,149.95277404785156
152,108.72987365722656,97,102.09968566894531,-1,199.6372528076172,144,150.48953247070312
65,108.92924499511719,94,103.23384857177734,-1,199.6372528076172,144,150.5128936767578
65,108.92924499511719,95,101.53890228271484,-1,199.6372528076172,144,150.47959899902344
62,108.94190216064453,100,103.23223876953125,-1,199.6372528076172,143,150.45816040039062
65,108.92118072509766,97,102.10563659667969,-1,199.6372528076172,146,150.4761962890625
66,108.93019104003906,97,101.5392074584961,-1,199.6372528076172,145,150.6696014404297
63,109.36647033691406,96,101.8798828125,-1,199.6372528076172,144,150.672119140625
64,109.36768341064453,99,101.89794921875,-1,199.6372528076172,144,150.7794189453125
76,109.38742065429688,98,102.88545227050781,-1,199.6372528076172,144,150.7794189453125
72,109.75624084472656,96,101.8758773803711,-1,199.6372528076172,144,150.7761688232422
72,109.75624084472656,98,101.8941421508789,-1,199.6372528076172,143,150.65969848632812
76,109.61016082763672,95,102.88327026367188,-1,199.6372528076172,144,150.68820190429688
152,109.65660858154297,98,102.89266967773438,-1,199.6372528076172,144,150.67449951171875
152,109.65660858154297,98,103.59825134277344,-1,199.6372528076172,144,150.6761932373047
73,108.9852523803711,101,101.90734100341797,-1,199.6372528076172,145,150.48651123046875
73,108.9852523803711,98,101.55057525634766,-1,199.6372528076172,144,150.51034545898438
69,109.60964965820312,97,101.56886291503906,-1,199.6372528076172,144,150.4794921875
111,108.92845916748047,98,103.60730743408203,-1,199.6372528076172,144,150.67807006835938
107,108.92845916748047,97,101.55229949951172,-1,199.6372528076172,144,150.4684295654297
72,109.59245300292969,99,101.56686401367188,-1,199.6372528076172,144,150.67251586914062
72,109.58222961425781,97,102.45440673828125,-1,199.6372528076172,144,150.6561737060547
72,109.58222961425781,99,101.9373550415039,-1,199.6372528076172,145,150.66531372070312
66,109.09671020507812,99,103.60315704345703,-1,199.6372528076172,144,150.4851531982422
71,109.59124755859375,95,103.23821258544922,-1,199.6372528076172,144,150.46884155273438
72,109.76373291015625,98,101.92327117919922,-1,199.6372528076172,144,150.6730194091797
69,109.76104736328125,103,101.92327117919922,-1,199.6372528076172,144,150.6705780029297
69,109.76104736328125,99,101.8808364868164,-1,199.6372528076172,143,150.66085815429688
70,109.61045837402344,99,101.8808364868164,-1,199.6372528076172,144,150.65647888183594
71,109.60365295410156,100,103.60459899902344,-1,199.6372528076172,144,150.68173217773438
76,108.70123291015625,99,103.23731231689453,-1,199.6372528076172,143,150.49778747558594
75,109.58362579345703,99,103.23973846435547,-1,199.6372528076172,144,150.49778747558594
75,109.58362579345703,97,102.1300048828125,-1,199.6372528076172,144,150.94744873046875
73,109.8123779296875,99,102.13423919677734,-1,199.6372528076172,144,150.94744873046875
67,109.625244140625,100,103.45172882080078,-1,199.6372528076172,144,150.94744873046875
67,109.625244140625,99,102.73848724365234,-1,199.6372528076172,144,150.94744873046875
67,109.625244140625,98,102.08477783203125,-1,199.6372528076172,144,150.4715576171875
109,108.91243743896484,99,101.89205169677734,-1,199.6372528076172,144,150.49282836914062
111,108.5052719116211,96,101.0744400024414,-1,199.6372528076172,144,150.56590270996094
74,108.51490020751953,98,101.12881469726562,-1,199.6372528076172,144,150.55284118652344
72,108.51852416992188,98,101.58185577392578,-1,199.6372528076172,144,150.46005249023438
76,109.61283111572266,99,103.2348861694336,-1,199.6372528076172,144,150.46707153320312
75,108.91545104980469,98,102.06620025634766,-1,199.6372528076172,145,149.91139221191406
109,109.56217956542969,96,102.46085357666016,-1,199.6372528076172,146,150.14305114746094
111,109.57279968261719,98,101.88346862792969,-1,199.6372528076172,146,150.69644165039062
111,109.59976959228516,98,101.93003845214844,-1,199.6372528076172,146,150.686767578125
99,109.57405090332031,99,101.59318542480469,-1,199.6372528076172,145,150.63760375976562
75,108.92514038085938,99,101.54205322265625,-1,199.6372528076172,144,150.50674438476562
76,108.91242980957031,99,103.20350646972656,-1,199.6372528076172,143,150.52255249023438
68,109.12140655517578,101,101.54573059082031,-1,199.6372528076172,142,150.52027893066406
65,108.67438507080078,98,101.90132904052734,-1,199.6372528076172,142,150.47824096679688
65,108.67438507080078,98,101.94388580322266,-1,199.6372528076172,144,150.4927978515625
69,108.7435302734375,96,102.08771514892578,-1,199.6372528076172,144,149.91433715820312
111,108.7286148071289,95,101.53009033203125,-1,199.6372528076172,144,150.49037170410156
117,109.5826416015625,96,102.2968978881836,-1,199.6372528076172,145,150.68087768554688
76,108.920654296875,94,102.08393859863281,-1,199.6372528076172,145,150.47767639160156
74,108.90353393554688,99,101.5519027709961,-1,199.6372528076172,144,150.48558044433594
75,108.92884063720703,98,102.06555938720703,-1,199.6372528076172,144,150.50445556640625
74,108.73146057128906,99,102.08854675292969,-1,199.6372528076172,144,149.9251251220703
152,108.71321105957031,98,102.09712219238281,-1,199.6372528076172,144,150.4981231689453
150,108.90779113769531,98,102.11157989501953,-1,199.6372528076172,144,150.69007873535156
76,108.96430969238281,98,101.56832122802734,-1,199.6372528076172,145,150.47592163085938
75,109.6483383178711,98,102.89012908935547,-1,199.6372528076172,145,150.66946411132812
108,109.642333984375,100,102.43954467773438,-1,199.6372528076172,146,150.67393493652344
108,109.642333984375,98,102.44259643554688,-1,199.6372528076172,144,150.76129150390625
71,108.51069641113281,97,101.61846923828125,-1,199.6372528076172,146,150.59017944335938
69,108.51069641113281,98,101.06698608398438,-1,199.6372528076172,146,150.5918426513672
114,109.6504135131836,96,101.89608764648438,-1,199.6372528076172,143,150.67605590820312
72,109.6504135131836,97,101.89608764648438,-1,199.6372528076172,142,150.69509887695312
69,108.9918441772461,95,101.89608764648438,-1,199.6372528076172,145,150.50965881347656
69,108.9918441772461,97,101.53878021240234,-1,199.6372528076172,144,150.46072387695312
69,108.92851257324219,100,102.09073638916016,-1,199.6372528076172,144,150.49813842773438
70,108.93031311035156,98,103.2322769165039,-1,199.6372528076172,144,150.51901245117188
65,108.69418334960938,99,102.26240539550781,-1,199.6372528076172,144,150.69964599609375
65,108.69418334960938,98,102.07212829589844,-1,199.6372528076172,144,150.50367736816406
77,108.9051513671875,98,102.52648162841797,-1,199.6372528076172,143,150.4715576171875
74,108.69110107421875,95,102.52648162841797,-1,199.6372528076172,143,150.48876953125
75,108.69110107421875,98,101.56499481201172,-1,199.6372528076172,143,150.45785522460938
71,108.91968536376953,99,101.6129379272461,-1,199.6372528076172,144,150.45785522460938
70,108.7383041381836,100,102.54077911376953,-1,199.6372528076172,144,150.5807647705078
75,108.32675170898438,102,102.05323791503906,-1,199.6372528076172,144,150.54959106445312
75,108.69871520996094,98,102.05524444580078,-1,199.6372528076172,145,150.5791778564453
68,108.29598236083984,97,102.04364776611328,-1,199.6372528076172,144,150.0514678955078
73,108.90670776367188,99,101.10256958007812,-1,199.6372528076172,145,150.0514678955078
77,108.93284606933594,97,101.59686279296875,-1,199.6372528076172,144,149.94735717773438
81,109.00251770019531,98,103.22425079345703,-1,199.6372528076172,144,149.9857940673828
72,109.33028411865234,97,103.23005676269531,-1,199.6372528076172,144,150.66595458984375
76,109.5853271484375,94,103.4496841430664,-1,199.6372528076172,145,150.95294189453125
64,109.78784942626953,98,102.74126434326172,-1,199.6372528076172,144,150.95294189453125
63,109.9967269897461,99,102.73724365234375,-1,199.6372528076172,144,151.04449462890625
68,109.57343292236328,101,102.11373901367188,-1,199.6372528076172,144,151.03628540039062
68,109.80915832519531,98,102.11373901367188,-1,199.6372528076172,144,150.41616821289062
65,108.7187728881836,98,101.91112518310547,-1,199.6372528076172,144,150.4803009033203
65,109.00483703613281,97,103.21979522705078,-1,199.6372528076172,144,150.4905242919922
114,108.29243469238281,93,102.09967803955078,-1,199.6372528076172,144,150.4668426513672
110,108.9296875,98,101.4677505493164,-1,199.6372528076172,146,149.91802978515625
112,109.76531219482422,100,101.937255859375,-1,199.6372528076172,145,150.67962646484375
108,108.92987060546875,98,101.91661834716797,-1,199.6372528076172,145,150.6910400390625
66,109.59432983398438,99,101.95398712158203,-1,199.6372528076172,144,150.6818389892578
67,108.65557098388672,99,102.30609893798828,-1,199.6372528076172,143,150.47984313964844
74,108.51307678222656,99,102.07554626464844,-1,199.6372528076172,143,150.51983642578125
74,108.61286926269531,99,102.05647277832031,-1,199.6372528076172,146,150.57907104492188
74,109.77953338623047,99,102.78498077392578,-1,199.6372528076172,144,150.6917266845703
74,108.72557830810547,97,102.46963500976562,-1,199.6372528076172,143,150.65695190429688
94,109.07868194580078,98,103.23953247070312,-1,199.6372528076172,144,150.4778594970703
94,108.95075988769531,97,102.10563659667969,-1,199.6372528076172,143,150.3138885498047
97,109.89285278320312,98,101.99834442138672,-1,199.6372528076172,144,150.5247802734375
97,110.1919937133789,104,101.56842041015625,-1,199.6372528076172,141,149.85403442382812
112,111.20147705078125,105,102.0931396484375,-1,199.6372528076172,141,149.09796142578125
112,110.25946044921875,105,101.87102508544922,-1,199.6372528076172,137,148.77560424804688
95,109.87783813476562,109,102.47175598144531,-1,199.6372528076172,138,148.9416961669922
95,110.18282318115234,106,103.60838317871094,-1,199.6372528076172,135,149.64390563964844
96,110.02983856201172,105,103.84830474853516,-1,198.53363037109375,133,148.6832733154297
96,110.27970886230469,101,106.68034362792969,-1,200.16098022460938,136,148.6832733154297
89,110.48695373535156,105,108.46753692626953,-1,200.16098022460938,133,148.6832733154297
90,110.48218536376953,115,109.48495483398438,-1,201.95693969726562,139,149.03407287597656
106,109.58708953857422,119,111.4591064453125,-1,202.3721160888672,139,151.5740203857422
107,108.08426666259766,127,111.4591064453125,204,202.3721160888672,140,151.5740203857422
105,110.67564392089844,131,111.99235534667969,204,202.3721160888672,141,153.8303985595703
105,111.2070083618164,135,120.64109802246094,209,210.5919189453125,140,151.9947052001953
101,110.03905487060547,141,120.64109802246094,219,211.2628936767578,140,153.143798828125
102,109.94036102294922,138,128.9643096923828,221,216.07444763183594,141,150.46131896972656
88,109.94036102294922,138,131.0562286376953,220,216.07444763183594,139,151.4093780517578
88,115.00990295410156,137,131.0562286376953,222,216.07444763183594,140,151.4093780517578
104,114.43445587158203,141,142.41204833984375,220,222.5954132080078,140,147.03570556640625
104,118.26961517333984,145,148.63853454589844,227,225.60150146484375,134,145.90533447265625
97,116.47148132324219,148,152.73532104492188,231,227.0757598876953,135,144.836181640625
96,118.87319946289062,152,153.013427734375,232,227.09552001953125,126,140.4958953857422
100,118.87319946289062,154,159.412841796875,229,228.32313537597656,125,139.3994140625
100,122.94934844970703,157,158.57386779785156,232,227.5830078125,125,135.52694702148438
106,122.94934844970703,162,162.87362670898438,231,229.98333740234375,122,135.22984313964844
106,122.6343994140625,162,166.44776916503906,229,227.54847717285156,112,135.22984313964844
110,122.6796646118164,164,169.03271484375,232,227.2596893310547,110,136.3212127685547
110,122.94252014160156,166,171.9483184814453,234,228.73397827148438,117,137.72494506835938
108,122.3567886352539,168,171.9483184814453,235,225.74610900878906,116,126.55508422851562
107,121.98191833496094,171,174.77723693847656,231,224.48574829101562,113,123.43905639648438
106,122.35812377929688,172,174.77723693847656,228,222.15509033203125,106,123.43905639648438
105,122.2702865600586,175,182.05963134765625,227,220.1749725341797,103,123.43905639648438
101,122.44327545166016,178,186.13748168945312,223,219.4227752685547,107,118.78750610351562
101,122.44327545166016,184,188.78578186035156,234,219.4227752685547,115,118.78750610351562
101,122.44327545166016,187,189.856201171875,245,216.34230041503906,121,118.78750610351562
101,122.44327545166016,190,191.28582763671875,245,216.34230041503906,126,118.78750610351562
92,123.08869934082031,190,191.68394470214844,245,216.34230041503906,128,118.78750610351562
92,123.4464111328125,189,191.68394470214844,234,213.0917510986328,130,122.10691833496094
89,118.57273864746094,183,189.72640991210938,215,211.0175323486328,129,128.0288848876953
88,119.18539428710938,183,176.18194580078125,215,211.0175323486328,129,131.24359130859375
90,119.539794921875,180,176.18194580078125,216,209.30780029296875,129,133.69659423828125
90,119.7710189819336,181,176.18194580078125,216,209.30780029296875,131,135.2688446044922
89,120.17977142333984,181,176.18194580078125,230,210.35232543945312,129,136.37413024902344
89,121.0723876953125,178,176.18194580078125,267,210.35232543945312,132,138.5230712890625
90,121.64663696289062,174,176.18194580078125,249,210.35232543945312,132,141.48431396484375
90,122.13118743896484,168,161.4095916748047,229,213.11007690429688,131,144.6143035888672
96,123.9819107055664,163,167.9020538330078,214,214.25051879882812,129,142.3567352294922
97,123.9819107055664,164,163.1278076171875,226,215.9008331298828,131,142.3567352294922
110,126.93766784667969,165,163.1278076171875,223,216.0542755126953,131,142.3567352294922
110,127.34247589111328,166,163.1278076171875,232,216.0542755126953,133,146.0323028564453
112,128.93357849121094,165,158.14332580566406,230,216.7886199951172,133,147.5405731201172
112,137.37799072265625,165,155.49679565429688,228,216.7886199951172,131,147.81826782226562
113,138.58584594726562,166,160.33926391601562,224,224.63473510742188,134,150.93234252929688
113,139.60479736328125,163,160.58065795898438,228,224.85067749023438,132,150.6925811767578
116,141.05776977539062,159,160.58065795898438,227,224.6750030517578,129,150.7234344482422
116,142.0413360595703,152,160.58065795898438,222,224.6750030517578,125,151.61312866210938
110,143.317626953125,149,160.58065795898438,221,225.64894104003906,124,151.29605102539062
110,143.82650756835938,146,152.1418914794922,223,225.31031799316406,121,151.68740844726562
103,144.23812866210938,147,154.2761688232422,220,225.31031799316406,119,153.33273315429688
103,143.76901245117188,148,151.75196838378906,228,226.01011657714844,114,153.33273315429688
100,143.76901245117188,148,151.75196838378906,230,224.54920959472656,114,152.90235900878906
100,142.8348846435547,143,148.666259765625,227,224.49459838867188,114,154.45211791992188
110,140.04542541503906,142,147.3844757080078,227,224.23753356933594,113,155.1221160888672
110,140.04542541503906,135,147.3844757080078,224,224.23753356933594,118,155.1221160888672
99,137.93331909179688,132,147.63316345214844,223,224.23753356933594,124,155.1221160888672
98,135.2797088623047,134,147.63316345214844,220,225.30712890625,131,155.1221160888672
91,135.2797088623047,134,147.63316345214844,217,224.82386779785156,129,155.96932983398438
91,115.06983184814453,130,147.63316345214844,212,225.75291442871094,127,148.86196899414062
100,113.09429168701172,131,136.95233154296875,210,211.70982360839844,126,148.15977478027344
99,112.8308334350586,135,136.68438720703125,208,212.08853149414062,119,147.36236572265625
90,111.67864990234375,135,137.38156127929688,207,212.9059295654297,121,146.45262145996094
89,111.49502563476562,138,137.64120483398438,216,213.72804260253906,122,144.73291015625
82,113.38226318359375,137,137.9827880859375,210,214.26248168945312,125,145.2804412841797
82,111.79780578613281,139,139.8266143798828,212,213.98326110839844,135,143.5448760986328
91,111.06964111328125,139,140.5958709716797,211,215.03665161132812,129,143.90420532226562
91,113.4473876953125,141,140.5958709716797,216,215.03665161132812,101,145.207275390625
106,113.4473876953125,140,138.14785766601562,215,216.6620330810547,95,139.86618041992188
107,116.68876647949219,142,138.169677734375,218,219.43289184570312,138,140.72119140625
100,118.57012939453125,141,140.3319091796875,220,220.7874755859375,113,137.8243408203125
99,121.27838897705078,137,137.67759704589844,222,221.83438110351562,100,137.2350311279297
87,122.15784454345703,138,139.86688232421875,222,223.00010681152344,102,138.2486114501953
86,122.17904663085938,134,136.69485473632812,228,221.6724853515625,106,137.94358825683594
97,122.40998840332031,132,131.88906860351562,229,221.47972106933594,111,138.4101104736328
97,126.779541015625,136,131.88906860351562,222,221.47972106933594,118,138.94276428222656
138,126.75662994384766,139,131.6899871826172,222,221.79734802246094,136,139.7979736328125
140,127.73172760009766,137,128.75526428222656,222,222.3468475341797,133,140.99655151367188
111,128.2662353515625,137,129.806884765625,224,220.3830108642578,134,140.9525604248047
110,128.60646057128906,136,129.806884765625,225,220.2956085205078,128,140.9525604248047
108,128.60646057128906,132,129.806884765625,226,219.17935180664062,121,147.80734252929688
108,128.60646057128906,132,129.806884765625,221,218.47219848632812,122,149.74420166015625
104,129.43067932128906,128,126.35758972167969,222,218.4148406982422,123,149.90914916992188
103,129.4135284423828,131,126.35758972167969,220,218.0856475830078,122,152.1109619140625
103,128.5938262939453,134,129.15138244628906,219,217.2352752685547,121,151.32192993164062
103,127.2938232421875,136,129.8926544189453,216,216.78236389160156,124,152.380126953125
106,127.25558471679688,132,130.20242309570312,217,215.6414794921875,123,150.6844940185547
106,127.3876724243164,136,130.20242309570312,217,217.0133514404297,125,152.61944580078125
