Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
109,101,101,110,190,194
109,99,113,112,193,194
105,99,110,112,183,192
112,110,113,111,183,192
108,109,114,112,183,192
105,109,114,112,176,192
105,109,115,113,198,193
107,110,113,113,196,193
113,109,111,113,190,194
115,110,113,114,195,196
114,112,114,110,195,196
115,113,114,110,196,200
115,113,114,111,194,203
122,113,108,115,193,204
123,117,114,112,202,207
127,120,123,107,204,210
128,120,123,109,204,210
127,120,123,109,200,212
127,120,121,108,200,212
127,119,112,107,200,212
121,124,103,105,200,213
121,123,113,104,205,213
119,122,111,105,205,213
122,120,111,105,212,213
122,120,103,102,206,212
127,119,96,98,208,212
123,115,97,97,204,209
115,113,102,97,205,210
106,112,101,97,205,210
112,107,101,97,205,210
112,107,94,94,205,210
100,102,93,93,200,207
97,97,96,92,227,206
99,95,92,88,206,205
86,90,88,87,206,205
93,89,87,87,203,205
93,89,87,87,197,205
80,87,91,86,201,205
81,85,93,90,195,203
85,85,97,90,193,203
83,87,95,87,193,203
78,80,95,87,195,204
78,80,95,88,195,203
76,79,91,88,190,205
76,81,85,90,190,205
78,79,89,88,190,205
81,82,87,89,190,205
85,83,87,89,184,207
85,83,88,89,181,202
87,82,90,88,181,202
89,87,87,91,181,202
86,89,90,95,181,202
82,90,89,95,181,202
84,92,89,95,181,202
84,92,89,91,181,202
86,92,92,92,181,209
90,94,91,94,192,210
92,96,93,96,192,210
93,94,93,97,192,210
95,96,93,94,200,210
95,96,93,94,200,210
100,96,96,97,209,210
99,96,95,93,209,210
99,98,95,100,209,210
102,97,95,102,209,210
103,99,95,102,209,210
103,99,98,96,209,210
106,100,99,96,209,216
101,101,104,96,209,216
99,103,104,99,200,215
99,104,103,96,200,215
96,104,103,96,200,215
96,104,106,98,201,216
102,109,107,100,201,216
103,109,106,99,201,216
107,109,108,99,201,216
107,109,105,100,201,216
110,113,105,100,201,217
110,113,104,99,215,217
111,113,103,101,210,217
111,113,101,102,216,216
110,115,100,103,212,215
114,116,101,103,212,215
113,116,101,103,213,215
113,116,103,104,213,214
110,115,106,103,209,219
113,115,107,105,212,219
112,115,109,107,209,219
115,116,110,107,209,219
114,115,110,107,207,219
114,115,114,104,216,219
117,114,114,105,215,221
112,115,111,103,215,221
112,116,108,103,217,222
110,117,107,105,217,222
113,116,107,105,216,223
113,116,107,104,213,222
116,118,105,104,212,223
114,119,103,101,215,223
115,120,105,106,209,222
114,120,107,102,209,222
116,120,109,104,205,222
116,120,109,104,208,220
119,120,111,107,205,223
117,120,110,102,205,223
120,119,109,104,200,222
120,118,108,106,200,222
122,117,108,106,204,221
122,117,107,103,204,221
117,115,108,103,208,221
117,114,106,101,204,221
103,112,106,100,212,222
98,110,110,99,212,222
99,106,110,99,208,222
99,106,111,110,212,217
102,105,111,111,218,218
102,104,113,110,215,217
89,96,116,111,207,216
91,96,116,110,207,216
90,92,116,110,202,216
90,92,114,109,207,216
85,89,117,111,208,216
88,93,115,112,203,217
84,92,112,110,197,217
87,92,116,110,197,217
85,94,116,110,202,216
85,94,114,113,205,217
89,93,115,110,208,217
92,93,114,110,205,217
92,91,114,113,205,217
92,90,114,116,205,217
92,91,114,116,205,217
92,91,108,117,205,217
96,91,106,119,205,217
98,97,108,110,205,217
98,96,108,110,204,216
98,95,111,109,204,216
94,95,111,109,204,216
94,95,111,105,204,216
96,96,114,106,204,216
94,96,117,106,204,216
98,97,116,103,204,213
94,98,116,105,204,213
97,99,116,105,196,217
97,99,117,105,201,218
86,95,115,103,201,215
87,96,113,101,203,215
93,100,113,106,207,219
95,102,114,101,207,219
99,103,114,101,203,217
99,103,114,100,203,216
105,106,109,101,206,219
110,109,111,102,203,218
111,109,111,102,206,218
108,113,114,107,206,218
108,111,114,105,211,219
108,111,114,105,211,216
112,118,114,105,213,218
111,120,114,104,215,217
115,121,114,103,213,217
116,122,111,104,213,217
119,122,111,104,211,216
119,122,113,104,209,216
121,124,111,107,208,216
120,126,112,107,210,219
121,127,111,102,209,219
119,127,111,104,209,219
117,129,111,104,210,222
117,129,113,101,207,224
116,128,114,101,206,225
113,130,115,101,212,225
110,130,115,102,215,217
107,116,116,101,215,217
109,115,114,101,210,215
109,115,114,101,207,218
109,114,114,102,212,216
112,111,117,103,208,216
114,110,114,104,206,215
106,109,116,104,206,215
110,108,110,104,204,215
110,108,110,104,208,215
107,107,111,101,208,215
109,107,109,100,210,215
103,106,110,103,204,214
105,107,105,99,204,214
108,106,101,101,206,211
108,106,101,101,203,209
106,106,104,101,204,209
106,106,103,98,202,209
109,106,106,98,198,209
108,106,103,98,198,209
108,105,106,93,200,208
108,105,106,93,204,208
108,104,105,91,203,207
102,104,104,95,205,208
106,103,103,91,205,207
103,103,102,92,205,207
105,103,103,90,203,209
105,103,103,90,205,210
106,104,99,88,205,209
104,104,97,89,206,210
108,104,96,88,206,209
108,104,92,90,206,209
109,104,92,88,208,211
109,104,92,88,210,212
108,104,94,86,206,212
107,104,91,86,206,211
109,104,96,86,206,211
107,105,98,87,206,211
105,104,99,92,204,210
105,104,99,92,204,210
105,103,98,93,201,208
105,103,104,92,201,207
102,103,105,95,201,207
99,101,103,94,201,207
102,101,99,92,197,203
102,101,99,92,197,202
97,101,101,92,195,203
94,101,100,92,191,203
93,99,96,96,188,202
94,99,96,96,188,202
93,99,95,98,192,202
93,99,95,98,192,202
92,97,97,98,191,202
90,97,96,98,194,202
93,98,90,98,195,202
90,98,91,100,195,202
93,97,92,97,193,203
93,97,92,97,199,203
93,99,91,96,205,204
97,98,91,94,198,204
99,98,95,94,202,204
97,100,92,92,202,204
96,101,90,89,206,206
96,101,90,89,206,206
94,101,86,86,204,206
96,103,85,85,205,207
102,103,90,81,202,208
104,103,88,80,202,208
106,104,81,80,199,208
106,104,81,80,198,208
108,105,78,71,200,208
105,106,75,70,202,208
110,107,76,68,199,209
118,107,68,67,199,209
115,108,64,64,205,209
115,108,64,64,201,213
117,111,64,62,203,214
121,112,63,66,208,216
124,113,61,64,198,218
127,114,65,65,198,218
122,114,60,69,197,220
122,114,60,69,202,220
127,116,68,70,202,220
117,116,67,70,202,231
106,123,68,71,219,236
107,125,62,71,219,236
111,126,70,71,225,238
111,126,70,71,233,240
118,128,80,71,238,245
133,129,89,86,243,246
146,129,89,90,248,247
146,132,74,90,248,247
147,136,107,91,252,251
147,136,107,91,253,255
147,136,105,100,259,255
139,139,95,101,266,259
130,141,84,102,268,260
128,144,129,107,268,260
151,147,127,110,270,261
151,147,127,110,271,263
152,145,117,113,277,263
157,146,117,113,279,263
163,146,111,116,281,276
165,148,99,117,281,276
165,148,114,123,288,279
165,148,114,123,279,285
170,149,131,123,281,287
172,149,142,125,281,287
171,150,143,125,272,290
168,150,147,124,272,290
167,149,143,124,268,291
167,149,143,124,268,291
167,147,140,124,268,291
163,146,137,123,273,289
159,144,132,126,272,289
159,143,138,126,272,289
158,143,133,125,268,288
158,143,133,125,267,289
165,143,133,124,267,289
146,141,129,125,267,289
145,140,132,126,267,289
145,141,130,126,267,289
138,141,134,127,267,283
138,141,134,127,274,283
134,140,135,130,274,281
128,141,137,130,271,281
127,141,138,135,278,279
127,139,140,136,278,279
129,139,146,135,285,279
129,139,146,135,274,280
136,139,147,137,272,280
136,140,149,137,276,280
139,140,146,138,271,280
142,140,143,138,271,280
153,141,132,140,266,282
153,141,132,140,266,282
153,142,132,140,263,283
158,144,130,142,262,284
163,143,134,141,268,285
159,145,132,142,268,285
153,145,134,142,265,285
153,145,134,142,265,285
153,146,138,142,265,285
158,146,138,141,265,285
155,146,141,141,265,285
161,146,140,141,265,285
169,146,145,141,265,285
169,146,145,141,265,285
160,146,143,141,265,285
155,146,138,140,265,285
158,144,142,139,265,285
158,142,142,138,265,285
154,141,143,138,265,285
154,141,143,138,265,285
145,141,144,137,265,285
182,139,142,137,265,285
159,138,145,136,265,279
128,138,144,136,265,279
119,134,143,134,266,279
119,134,143,134,267,274
119,132,142,134,264,272
128,132,138,134,270,261
139,127,143,134,269,259
142,127,131,134,269,259
144,121,131,134,266,255
144,121,131,134,260,253
137,121,131,134,252,248
129,118,121,133,243,244
124,116,130,138,245,242
117,113,130,138,245,242
114,112,128,141,244,239
114,112,128,141,242,233
114,111,132,144,237,232
121,106,132,141,237,229
121,104,138,141,231,227
124,103,152,140,231,227
115,102,144,144,225,223
115,102,144,144,222,221
113,101,150,143,220,218
108,98,145,142,219,217
102,98,146,145,210,215
98,98,138,143,210,215
106,93,143,146,209,211
104,93,143,146,209,209
104,93,139,147,203,204
106,90,139,144,200,201
105,89,138,145,192,199
102,87,136,143,192,199
97,86,133,141,191,197
97,86,133,141,186,191
98,86,142,147,181,190
93,86,151,147,177,190
91,85,148,148,177,185
88,84,157,146,177,185
86,84,163,146,175,185
86,84,163,146,175,184
83,83,172,145,172,181
83,84,175,145,173,181
83,84,174,148,173,182
83,86,172,143,173,182
84,86,181,143,171,183
84,86,181,143,176,183
83,87,136,142,175,185
83,87,133,141,177,184
84,88,131,141,177,186
86,88,136,140,177,186
84,89,137,138,179,187
84,89,137,138,181,188
84,89,139,133,182,190
90,90,142,134,183,191
86,91,139,134,184,191
89,92,140,136,184,191
89,93,137,127,186,191
92,95,137,127,187,193
92,95,135,123,192,194
94,96,134,124,192,194
97,99,131,117,197,197
98,99,117,119,197,197
101,102,117,119,194,197
100,104,117,119,196,198
100,104,91,110,195,198
100,105,99,108,197,199
102,104,106,107,197,200
98,106,115,105,197,200
99,106,113,104,198,201
99,106,113,104,199,202
100,108,112,102,199,202
100,109,114,100,202,202
101,109,113,99,202,204
100,110,104,102,202,204
101,110,110,102,202,204
101,110,110,102,204,204
100,111,106,101,202,205
100,112,107,100,204,208
102,111,106,103,200,206
100,111,107,102,200,206
101,114,103,102,203,206
102,112,103,102,203,209
102,112,104,103,205,208
100,112,99,101,204,208
101,113,97,100,205,209
104,113,96,100,205,209
102,113,93,100,207,209
105,114,93,100,206,209
105,114,93,100,207,211
111,115,88,98,210,211
114,117,89,99,207,213
112,117,80,96,207,213
114,115,84,98,209,213
113,115,84,98,210,212
113,115,80,98,209,212
112,115,80,98,213,212
115,115,79,99,209,212
114,115,88,99,209,212
112,115,93,101,209,212
110,115,93,101,208,213
110,115,91,99,208,212
109,116,94,98,208,212
110,114,97,100,210,212
110,114,91,96,212,212
108,113,84,94,212,212
105,114,84,94,209,211
105,114,79,96,209,211
105,117,75,92,210,212
125,115,69,88,207,213
117,117,75,86,211,213
111,117,80,84,211,213
119,116,80,84,217,218
119,116,84,85,220,218
137,119,82,83,219,220
139,118,81,80,218,223
143,118,82,80,226,225
125,118,78,83,226,225
121,118,78,83,226,225
121,118,75,83,229,229
127,123,76,77,232,230
115,124,72,77,234,236
116,124,72,83,237,236
113,128,80,82,237,236
112,129,80,82,238,240
112,129,82,81,238,241
112,129,77,88,240,241
106,129,76,84,237,251
105,133,76,91,237,251
109,133,77,94,239,251
110,134,77,94,242,251
110,134,83,94,239,251
120,137,89,88,245,255
127,139,91,87,247,256
136,139,94,87,247,256
135,144,97,86,251,256
141,144,97,86,254,271
141,144,100,86,253,271
142,145,98,86,253,271
142,151,101,88,253,282
144,154,103,110,253,282
138,156,108,113,274,284
135,157,108,113,273,289
135,157,111,116,276,290
136,159,117,115,279,291
135,161,120,118,283,292
136,160,120,121,283,292
138,162,120,123,284,292
141,163,120,123,287,293
141,163,121,124,287,300
142,163,122,122,293,300
138,163,127,124,291,301
139,163,125,123,291,301
140,164,122,125,291,300
143,163,122,125,292,301
