Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
94,99.2242202758789,-1,-1.0,-1,-1.0,-1,-1
94,99.45405578613281,-1,-1.0,-1,-1.0,-1,-1
94,99.45405578613281,-1,-1.0,-1,-1.0,-1,-1
97,99.31470489501953,-1,-1.0,-1,-1.0,-1,-1
97,99.31470489501953,-1,-1.0,-1,-1.0,-1,-1
93,99.46216583251953,-1,-1.0,-1,-1.0,-1,-1
93,99.69772338867188,-1,-1.0,-1,-1.0,-1,-1
97,99.45948028564453,-1,-1.0,-1,-1.0,-1,-1
97,99.45948028564453,-1,-1.0,-1,-1.0,-1,-1
98,99.15422058105469,-1,-1.0,-1,-1.0,-1,-1
95,99.15422058105469,-1,-1.0,-1,-1.0,-1,-1
95,99.15422058105469,-1,-1.0,-1,-1.0,-1,-1
95,99.24823760986328,-1,-1.0,-1,-1.0,-1,-1
95,99.31818389892578,-1,-1.0,-1,-1.0,-1,-1
95,99.31818389892578,-1,-1.0,-1,-1.0,-1,-1
95,99.5897445678711,-1,-1.0,-1,-1.0,-1,-1
95,99.6507797241211,-1,-1.0,-1,-1.0,-1,-1
96,99.6431884765625,-1,-1.0,-1,-1.0,-1,-1
95,99.29313659667969,-1,-1.0,-1,-1.0,-1,-1
95,99.29313659667969,-1,-1.0,-1,-1.0,-1,-1
95,99.29313659667969,-1,-1.0,-1,-1.0,-1,-1
95,99.64313507080078,-1,-1.0,-1,-1.0,-1,-1
97,99.45777130126953,-1,-1.0,-1,-1.0,-1,-1
97,99.31562042236328,-1,-1.0,-1,-1.0,-1,-1
91,99.65392303466797,-1,-1.0,-1,-1.0,-1,-1
91,99.26485443115234,-1,-1.0,-1,-1.0,-1,-1
91,99.26485443115234,-1,-1.0,-1,-1.0,-1,-1
91,99.29759216308594,-1,-1.0,-1,-1.0,-1,-1
91,99.60307312011719,-1,-1.0,-1,-1.0,-1,-1
90,99.52410888671875,-1,-1.0,-1,-1.0,-1,-1
90,99.51715850830078,-1,-1.0,-1,-1.0,-1,-1
91,99.50916290283203,-1,-1.0,-1,-1.0,-1,-1
91,99.50916290283203,-1,-1.0,-1,-1.0,-1,-1
91,99.26351165771484,-1,-1.0,-1,-1.0,-1,-1
95,99.21785736083984,-1,-1.0,-1,-1.0,-1,-1
95,99.21785736083984,-1,-1.0,-1,-1.0,-1,-1
93,99.25031280517578,-1,-1.0,-1,-1.0,-1,-1
93,99.17817687988281,-1,-1.0,-1,-1.0,-1,-1
93,99.17817687988281,-1,-1.0,-1,-1.0,-1,-1
90,99.16871643066406,-1,-1.0,-1,-1.0,-1,-1
90,99.16871643066406,-1,-1.0,-1,-1.0,-1,-1
91,99.16871643066406,-1,-1.0,-1,-1.0,-1,-1
91,99.16871643066406,-1,-1.0,-1,-1.0,-1,-1
92,99.18995666503906,-1,-1.0,-1,-1.0,-1,-1
92,99.18995666503906,-1,-1.0,-1,-1.0,-1,-1
93,99.48052215576172,-1,-1.0,-1,-1.0,-1,-1
94,99.4918212890625,-1,-1.0,-1,-1.0,-1,-1
95,99.24420166015625,-1,-1.0,-1,-1.0,-1,-1
94,99.34144592285156,-1,-1.0,-1,-1.0,-1,-1
93,99.67523956298828,-1,-1.0,-1,-1.0,-1,-1
93,99.67523956298828,-1,-1.0,-1,-1.0,-1,-1
91,99.63825988769531,-1,-1.0,-1,-1.0,-1,-1
91,99.4513931274414,-1,-1.0,-1,-1.0,-1,-1
93,99.5867691040039,-1,-1.0,-1,-1.0,-1,-1
93,99.3305892944336,-1,-1.0,-1,-1.0,-1,-1
93,99.2672119140625,-1,-1.0,-1,-1.0,-1,-1
93,99.2672119140625,-1,-1.0,-1,-1.0,-1,-1
93,99.24211120605469,-1,-1.0,-1,-1.0,-1,-1
94,99.46054077148438,-1,-1.0,-1,-1.0,-1,-1
94,99.58129119873047,-1,-1.0,-1,-1.0,-1,-1
92,99.63658905029297,-1,-1.0,-1,-1.0,-1,-1
92,99.53805541992188,-1,-1.0,-1,-1.0,-1,-1
92,99.53805541992188,-1,-1.0,-1,-1.0,-1,-1
89,99.18818664550781,-1,-1.0,-1,-1.0,-1,-1
89,99.48123931884766,-1,-1.0,-1,-1.0,-1,-1
94,99.6736831665039,-1,-1.0,-1,-1.0,-1,-1
94,99.49404907226562,-1,-1.0,-1,-1.0,-1,-1
93,99.66986846923828,-1,-1.0,-1,-1.0,-1,-1
93,99.66986846923828,-1,-1.0,-1,-1.0,-1,-1
93,99.50257873535156,-1,-1.0,-1,-1.0,-1,-1
90,99.17994689941406,-1,-1.0,-1,-1.0,-1,-1
91,99.61405944824219,-1,-1.0,-1,-1.0,-1,-1
91,99.18277740478516,-1,-1.0,-1,-1.0,-1,-1
91,99.18699645996094,-1,-1.0,-1,-1.0,-1,-1
91,99.18699645996094,-1,-1.0,-1,-1.0,-1,-1
91,99.14495086669922,-1,-1.0,-1,-1.0,-1,-1
91,99.14495086669922,-1,-1.0,-1,-1.0,-1,-1
94,99.21106719970703,-1,-1.0,-1,-1.0,-1,-1
94,99.19329071044922,-1,-1.0,-1,-1.0,-1,-1
89,99.2715072631836,-1,-1.0,-1,-1.0,-1,-1
89,99.2715072631836,-1,-1.0,-1,-1.0,-1,-1
90,99.2715072631836,-1,-1.0,-1,-1.0,-1,-1
93,99.12300109863281,-1,-1.0,-1,-1.0,-1,-1
93,99.18937683105469,-1,-1.0,-1,-1.0,-1,-1
94,99.59229278564453,-1,-1.0,-1,-1.0,-1,-1
94,99.43029022216797,-1,-1.0,-1,-1.0,-1,-1
94,99.43029022216797,-1,-1.0,-1,-1.0,-1,-1
91,99.47626495361328,-1,-1.0,-1,-1.0,-1,-1
91,99.13270568847656,-1,-1.0,-1,-1.0,-1,-1
90,99.64627075195312,-1,-1.0,-1,-1.0,-1,-1
90,99.56725311279297,-1,-1.0,-1,-1.0,-1,-1
95,99.10974884033203,-1,-1.0,-1,-1.0,-1,-1
95,99.10974884033203,-1,-1.0,-1,-1.0,-1,-1
95,99.62313079833984,-1,-1.0,-1,-1.0,-1,-1
92,99.54517364501953,-1,-1.0,-1,-1.0,-1,-1
92,99.64481353759766,-1,-1.0,-1,-1.0,-1,-1
92,99.23114776611328,-1,-1.0,-1,-1.0,-1,-1
93,99.48733520507812,-1,-1.0,-1,-1.0,-1,-1
93,99.48733520507812,-1,-1.0,-1,-1.0,-1,-1
92,99.58634948730469,-1,-1.0,-1,-1.0,-1,-1
91,99.47465515136719,-1,-1.0,-1,-1.0,-1,-1
90,99.47882080078125,-1,-1.0,-1,-1.0,-1,-1
90,99.4659194946289,-1,-1.0,-1,-1.0,-1,-1
92,99.4659194946289,-1,-1.0,-1,-1.0,-1,-1
92,99.4659194946289,-1,-1.0,-1,-1.0,-1,-1
92,99.45599365234375,-1,-1.0,-1,-1.0,-1,-1
92,99.45599365234375,-1,-1.0,-1,-1.0,-1,-1
92,99.31543731689453,-1,-1.0,-1,-1.0,-1,-1
98,99.23019409179688,-1,-1.0,-1,-1.0,-1,-1
97,99.66535186767578,-1,-1.0,-1,-1.0,-1,-1
97,99.66535186767578,-1,-1.0,-1,-1.0,-1,-1
92,99.32569122314453,-1,-1.0,-1,-1.0,-1,-1
93,99.56759643554688,-1,-1.0,-1,-1.0,-1,-1
93,99.46965026855469,-1,-1.0,-1,-1.0,-1,-1
93,99.56402587890625,-1,-1.0,-1,-1.0,-1,-1
92,99.34077453613281,-1,-1.0,-1,-1.0,-1,-1
92,99.34077453613281,-1,-1.0,-1,-1.0,-1,-1
