Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
180,252.88058471679688,-1,-1.0,-1,-1.0
179,252.53369140625,-1,-1.0,-1,-1.0
163,252.86923217773438,-1,-1.0,-1,-1.0
162,252.87876892089844,-1,-1.0,-1,-1.0
159,252.5384979248047,-1,-1.0,-1,-1.0
159,252.5384979248047,-1,-1.0,-1,-1.0
158,252.5354766845703,-1,-1.0,-1,-1.0
154,252.8576202392578,-1,-1.0,-1,-1.0
154,252.86669921875,-1,-1.0,-1,-1.0
156,252.88140869140625,-1,-1.0,-1,-1.0
155,252.86439514160156,-1,-1.0,-1,-1.0
155,252.86439514160156,-1,-1.0,-1,-1.0
153,157.27418518066406,-1,-1.0,-1,-1.0
153,157.27418518066406,-1,-1.0,-1,-1.0
154,157.27418518066406,-1,-1.0,-1,-1.0
154,157.27418518066406,-1,-1.0,-1,-1.0
151,157.32843017578125,-1,-1.0,-1,-1.0
151,157.32843017578125,-1,-1.0,-1,-1.0
151,156.98309326171875,-1,-1.0,-1,-1.0
147,156.98309326171875,-1,-1.0,-1,-1.0
147,157.2980194091797,-1,-1.0,-1,-1.0
142,140.18592834472656,-1,-1.0,-1,-1.0
141,139.52072143554688,-1,-1.0,-1,-1.0
141,139.52072143554688,-1,-1.0,-1,-1.0
143,139.5233917236328,-1,-1.0,-1,-1.0
143,133.32623291015625,-1,-1.0,-1,-1.0
126,133.32623291015625,-1,-1.0,-1,-1.0
127,129.8950958251953,-1,-1.0,-1,-1.0
128,129.49813842773438,-1,-1.0,-1,-1.0
128,129.49813842773438,-1,-1.0,-1,-1.0
128,129.49818420410156,-1,-1.0,-1,-1.0
130,129.51974487304688,-1,-1.0,-1,-1.0
130,129.5349578857422,-1,-1.0,-1,-1.0
135,129.5349578857422,-1,-1.0,-1,-1.0
135,129.5349578857422,-1,-1.0,-1,-1.0
135,129.5349578857422,-1,-1.0,-1,-1.0
136,129.82846069335938,-1,-1.0,-1,-1.0
136,129.84243774414062,-1,-1.0,-1,-1.0
136,129.84483337402344,-1,-1.0,-1,-1.0
136,129.84397888183594,-1,-1.0,-1,-1.0
144,129.84397888183594,-1,-1.0,-1,-1.0
144,129.84397888183594,-1,-1.0,-1,-1.0
144,129.84397888183594,-1,-1.0,-1,-1.0
152,129.83139038085938,-1,-1.0,-1,-1.0
152,129.82601928710938,-1,-1.0,-1,-1.0
158,158.77227783203125,-1,-1.0,-1,-1.0
159,159.79022216796875,-1,-1.0,-1,-1.0
159,159.79022216796875,-1,-1.0,-1,-1.0
159,159.79022216796875,-1,-1.0,-1,-1.0
159,159.79022216796875,-1,-1.0,-1,-1.0
156,159.79119873046875,-1,-1.0,-1,-1.0
157,159.78627014160156,-1,-1.0,-1,-1.0
159,159.78627014160156,-1,-1.0,-1,-1.0
159,159.78627014160156,-1,-1.0,-1,-1.0
159,158.21633911132812,-1,-1.0,-1,-1.0
151,155.48292541503906,-1,-1.0,-1,-1.0
150,155.48292541503906,-1,-1.0,-1,-1.0
150,155.48292541503906,-1,-1.0,-1,-1.0
150,155.6612548828125,-1,-1.0,-1,-1.0
150,155.6612548828125,-1,-1.0,-1,-1.0
149,155.4830322265625,-1,-1.0,-1,-1.0
149,155.25575256347656,-1,-1.0,-1,-1.0
152,155.4962158203125,-1,-1.0,-1,-1.0
152,156.1753692626953,-1,-1.0,-1,-1.0
152,157.27127075195312,-1,-1.0,-1,-1.0
152,157.27127075195312,-1,-1.0,-1,-1.0
152,157.8892364501953,-1,-1.0,-1,-1.0
154,158.27084350585938,-1,-1.0,-1,-1.0
154,158.2779541015625,-1,-1.0,-1,-1.0
153,158.27438354492188,-1,-1.0,-1,-1.0
153,158.2792510986328,-1,-1.0,-1,-1.0
153,158.2792510986328,-1,-1.0,-1,-1.0
145,158.27584838867188,-1,-1.0,-1,-1.0
145,158.27455139160156,-1,-1.0,-1,-1.0
167,157.89295959472656,-1,-1.0,-1,-1.0
167,162.43673706054688,-1,-1.0,-1,-1.0
162,162.43673706054688,-1,-1.0,-1,-1.0
162,162.43673706054688,-1,-1.0,-1,-1.0
162,162.43673706054688,-1,-1.0,-1,-1.0
165,162.43629455566406,-1,-1.0,-1,-1.0
164,162.3232421875,-1,-1.0,-1,-1.0
157,162.3199920654297,-1,-1.0,-1,-1.0
158,168.630859375,-1,-1.0,-1,-1.0
158,168.630859375,-1,-1.0,-1,-1.0
167,168.62847900390625,-1,-1.0,-1,-1.0
167,167.5344696044922,-1,-1.0,-1,-1.0
174,167.757080078125,-1,-1.0,-1,-1.0
174,165.0977783203125,-1,-1.0,-1,-1.0
171,165.0977783203125,-1,-1.0,-1,-1.0
171,165.0977783203125,-1,-1.0,-1,-1.0
171,161.19358825683594,-1,-1.0,-1,-1.0
168,161.19358825683594,-1,-1.0,-1,-1.0
167,160.99191284179688,-1,-1.0,-1,-1.0
156,160.81227111816406,-1,-1.0,-1,-1.0
156,160.81227111816406,-1,-1.0,-1,-1.0
156,160.81227111816406,-1,-1.0,-1,-1.0
153,160.81227111816406,-1,-1.0,-1,-1.0
152,160.9980010986328,-1,-1.0,-1,-1.0
153,160.99937438964844,-1,-1.0,-1,-1.0
153,161.00018310546875,-1,-1.0,-1,-1.0
132,160.99383544921875,-1,-1.0,-1,-1.0
132,160.99383544921875,-1,-1.0,-1,-1.0
132,161.00341796875,-1,-1.0,-1,-1.0
169,160.99612426757812,-1,-1.0,-1,-1.0
169,161.22264099121094,-1,-1.0,-1,-1.0
148,161.22264099121094,-1,-1.0,-1,-1.0
146,161.22264099121094,-1,-1.0,-1,-1.0
