Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo7,Ranging.truthDistTo7
147,140.75936889648438,105,101.44197082519531,230,227.7322235107422
146,140.763671875,106,101.9019546508789,229,227.5957489013672
145,140.98583984375,108,101.4531021118164,228,227.6003875732422
146,140.98583984375,108,101.4531021118164,230,227.60035705566406
146,140.9842987060547,104,102.2574462890625,230,227.60035705566406
147,140.9842987060547,105,102.28862762451172,228,227.60035705566406
148,140.9842987060547,102,102.28862762451172,231,227.60035705566406
147,140.99362182617188,102,102.10381317138672,229,228.82920837402344
147,140.99362182617188,106,102.10381317138672,229,227.607177734375
145,141.91668701171875,106,101.97769927978516,229,228.13999938964844
144,141.91668701171875,105,101.97769927978516,227,228.13999938964844
146,141.91668701171875,104,101.33633422851562,228,228.15130615234375
146,141.91668701171875,105,101.33633422851562,231,228.23081970214844
147,141.92042541503906,105,101.33633422851562,229,228.27366638183594
147,141.7014617919922,106,101.33633422851562,229,228.13815307617188
147,141.69595336914062,105,101.33633422851562,228,228.16778564453125
147,142.05340576171875,110,102.70503997802734,230,228.8424530029297
146,141.00442504882812,109,101.4551010131836,228,228.8384552001953
146,141.8546905517578,106,102.7332763671875,226,227.8589630126953
144,141.8580780029297,106,103.54908752441406,228,229.11585998535156
144,142.05044555664062,106,103.53923797607422,230,228.4774627685547
145,141.8236541748047,106,103.39990997314453,233,228.88174438476562
145,141.8239288330078,104,103.39990997314453,235,228.84494018554688
146,142.0925750732422,105,102.70574188232422,228,228.84494018554688
147,142.1097412109375,103,103.18213653564453,229,228.84494018554688
147,141.04769897460938,103,102.28418731689453,229,227.59608459472656
146,140.99551391601562,111,102.28418731689453,230,227.6084747314453
145,140.7499542236328,111,102.28533935546875,230,227.6084747314453
145,140.838134765625,104,102.28533935546875,232,227.61363220214844
145,141.05270385742188,104,102.28533935546875,229,227.61363220214844
145,140.74960327148438,106,102.12310791015625,227,227.61521911621094
146,142.04747009277344,105,103.3751220703125,228,228.8446502685547
146,141.8295135498047,105,103.3751220703125,229,228.8446502685547
146,142.12640380859375,106,103.3751220703125,226,228.8446502685547
145,142.12083435058594,105,103.17092895507812,227,228.8446502685547
148,142.0624542236328,105,103.17659759521484,228,228.8446502685547
148,142.0624542236328,109,103.54368591308594,227,228.8446502685547
146,142.0624542236328,108,103.54368591308594,224,228.84539794921875
146,142.0608673095703,105,102.7137451171875,230,228.83224487304688
145,142.11734008789062,104,102.7137451171875,230,228.8414306640625
145,142.11778259277344,104,103.53312683105469,227,228.8414306640625
145,142.1013641357422,105,103.52957153320312,229,228.4399871826172
145,141.8362579345703,106,103.5252914428711,229,228.8853302001953
146,141.8153076171875,106,103.5252914428711,232,228.8849639892578
146,141.02516174316406,107,102.25900268554688,233,227.6412811279297
147,141.02197265625,106,102.25900268554688,230,227.6461944580078
147,141.02197265625,105,102.25900268554688,230,227.6461944580078
147,140.72036743164062,106,102.25900268554688,230,228.54991149902344
147,141.6896514892578,102,101.33570861816406,230,228.54991149902344
145,140.7617950439453,102,102.26590728759766,228,227.58705139160156
145,141.90054321289062,106,101.31867980957031,226,228.12237548828125
145,141.67385864257812,106,101.31867980957031,228,228.16331481933594
145,140.80645751953125,106,102.40303039550781,230,227.75375366210938
145,140.80645751953125,106,101.94062805175781,233,227.71580505371094
