Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7
77,101.5713119506836,100,105.56526947021484,-1,199.99989318847656,136,143.7314453125
76,101.60285186767578,101,105.53764343261719,-1,199.99989318847656,135,143.61151123046875
76,100.53899383544922,100,105.1500473022461,-1,199.99989318847656,136,143.59982299804688
76,100.66985321044922,103,104.7618637084961,-1,199.99989318847656,136,143.61013793945312
76,100.66985321044922,102,105.1490478515625,-1,199.99989318847656,134,143.7471923828125
77,101.75906372070312,101,105.56641387939453,-1,199.99989318847656,135,143.79075622558594
77,101.75906372070312,100,105.55069732666016,-1,199.99989318847656,135,143.79075622558594
76,101.73097229003906,102,105.55069732666016,-1,199.99989318847656,134,143.88827514648438
114,101.72228240966797,100,105.40186309814453,-1,199.99989318847656,136,143.88827514648438
114,101.47210693359375,101,105.3984375,-1,199.99989318847656,136,143.05825805664062
78,100.89604187011719,103,105.13545227050781,-1,199.99989318847656,136,143.07044982910156
78,100.89604187011719,103,105.13321685791016,-1,199.99989318847656,136,143.0740203857422
78,100.89604187011719,106,105.13321685791016,-1,199.99989318847656,136,144.0845947265625
74,100.51730346679688,105,104.72552490234375,-1,199.99989318847656,135,144.08102416992188
75,100.6575927734375,101,104.74286651611328,-1,199.99989318847656,136,143.55911254882812
75,101.15574645996094,102,104.35889434814453,-1,199.99989318847656,136,144.20590209960938
74,100.76419067382812,102,104.3590087890625,-1,199.99989318847656,135,143.51268005371094
74,100.97968292236328,100,105.1270980834961,-1,199.99989318847656,135,143.0694122314453
74,100.97968292236328,98,105.5430908203125,-1,199.99989318847656,136,143.60801696777344
74,100.89012908935547,101,105.12224578857422,-1,199.99989318847656,136,143.813232421875
72,101.56793212890625,101,105.13554382324219,-1,199.99989318847656,136,143.6225128173828
72,101.56793212890625,102,104.74478149414062,-1,199.99989318847656,136,143.60186767578125
72,100.67023468017578,101,104.74422454833984,-1,199.99989318847656,134,143.6072998046875
72,101.51595306396484,100,105.39936828613281,-1,199.99989318847656,134,143.61114501953125
72,101.57500457763672,98,104.7398910522461,-1,199.99989318847656,135,143.58599853515625
72,100.98204040527344,102,105.13563537597656,-1,199.99989318847656,135,143.74522399902344
70,101.60478973388672,101,105.54385375976562,-1,199.99989318847656,136,143.74522399902344
70,101.60478973388672,103,105.51483917236328,-1,199.99989318847656,136,143.5885467529297
72,100.88599395751953,102,105.1183090209961,-1,199.99989318847656,135,143.58868408203125
73,100.88599395751953,103,105.15609741210938,-1,199.99989318847656,134,143.56846618652344
73,100.88599395751953,103,105.15609741210938,-1,199.99989318847656,135,143.67697143554688
73,100.88634490966797,104,105.13614654541016,-1,199.99989318847656,135,143.06967163085938
73,100.89874267578125,102,105.55449676513672,-1,199.99989318847656,135,143.72633361816406
73,100.89874267578125,101,104.7533950805664,-1,199.99989318847656,135,143.57383728027344
73,101.75303649902344,102,105.56587982177734,-1,199.99989318847656,137,143.58743286132812
73,100.67366790771484,101,104.75094604492188,-1,199.99989318847656,137,143.605712890625
70,101.49481964111328,103,105.56031036376953,-1,199.99989318847656,135,143.82785034179688
70,101.57079315185547,100,105.4124526977539,-1,199.99989318847656,134,143.82785034179688
67,101.5691909790039,100,105.4088363647461,-1,199.99989318847656,134,143.60499572753906
67,101.5691909790039,100,105.43875122070312,-1,199.99989318847656,135,143.01805114746094
67,101.5691909790039,101,105.14751434326172,-1,199.99989318847656,136,143.59877014160156
67,101.5691909790039,100,105.1469497680664,-1,199.99989318847656,136,143.5977783203125
72,101.02535247802734,103,104.37394714355469,-1,199.99989318847656,134,144.0933837890625
72,101.13971710205078,103,105.1298599243164,-1,199.99989318847656,134,143.61395263671875
72,100.50409698486328,102,105.53451538085938,-1,199.99989318847656,136,143.71434020996094
72,101.51067352294922,102,105.52446746826172,-1,199.99989318847656,136,143.61195373535156
75,100.52619934082031,101,104.72512817382812,-1,199.99989318847656,135,143.61053466796875
75,100.52619934082031,103,105.13009643554688,-1,199.99989318847656,136,143.60629272460938
73,100.6668701171875,103,104.73819732666016,-1,199.99989318847656,134,143.08218383789062
72,100.65638732910156,100,105.14742279052734,-1,199.99989318847656,134,143.0806884765625
73,100.88091278076172,100,105.1245346069336,-1,199.99989318847656,137,143.6155548095703
74,100.84759521484375,101,105.14164733886719,-1,199.99989318847656,137,143.6804962158203
74,100.88127899169922,99,105.1353530883789,-1,199.99989318847656,134,143.59024047851562
73,100.95835876464844,103,104.7337875366211,-1,199.99989318847656,134,143.73092651367188
74,101.58053588867188,100,105.5358657836914,-1,199.99989318847656,136,143.59487915039062
74,100.94741821289062,102,105.14751434326172,-1,199.99989318847656,136,143.59046936035156
73,101.59149169921875,100,105.13995361328125,-1,199.99989318847656,135,143.08253479003906
73,101.48759460449219,103,105.1437759399414,-1,199.99989318847656,135,143.05393981933594
81,100.87582397460938,103,105.12830352783203,-1,199.99989318847656,136,143.69778442382812
81,100.87582397460938,100,105.55081939697266,-1,199.99989318847656,136,143.725341796875
81,100.87582397460938,101,105.55226135253906,-1,199.99989318847656,135,143.725341796875
80,101.75691986083984,101,105.56550598144531,-1,199.99989318847656,136,143.725341796875
73,101.75691986083984,103,105.56550598144531,-1,199.99989318847656,136,143.725341796875
73,101.47222900390625,100,105.5530776977539,-1,199.99989318847656,136,143.7232666015625
72,101.48127746582031,99,105.5530776977539,-1,199.99989318847656,135,143.7232666015625
72,101.48127746582031,101,105.5530776977539,-1,199.99989318847656,135,143.7232666015625
72,101.47298431396484,100,104.74303436279297,-1,199.99989318847656,137,143.5443878173828
72,101.47298431396484,101,104.37322998046875,-1,199.99989318847656,136,143.5443878173828
78,101.00566864013672,99,105.15756225585938,-1,199.99989318847656,136,143.05499267578125
77,101.11521911621094,104,105.15331268310547,-1,199.99989318847656,135,143.67660522460938
69,100.89871978759766,100,105.15570831298828,-1,199.99989318847656,134,143.6778106689453
69,100.87682342529297,102,105.15570831298828,-1,199.99989318847656,136,143.0473175048828
69,100.87682342529297,101,104.73188018798828,-1,199.99989318847656,136,143.59036254882812
69,100.87682342529297,103,104.35846710205078,-1,199.99989318847656,136,143.5861358642578
73,100.68464660644531,101,104.7134780883789,-1,199.99989318847656,134,143.05227661132812
76,100.42407989501953,101,104.72283172607422,-1,199.99989318847656,135,143.58189392089844
78,101.12056732177734,100,104.73614501953125,-1,199.99989318847656,136,143.7191619873047
77,101.4980697631836,99,105.13343048095703,-1,199.99989318847656,136,143.60804748535156
78,100.49764251708984,102,105.15398406982422,-1,199.99989318847656,136,143.60020446777344
78,100.84119415283203,103,104.36609649658203,-1,199.99989318847656,136,143.72830200195312
78,101.58160400390625,103,105.52383422851562,-1,199.99989318847656,134,143.61911010742188
78,100.97032165527344,101,105.13360595703125,-1,199.99989318847656,135,143.59872436523438
69,100.97032165527344,102,105.13360595703125,-1,199.99989318847656,135,143.6793670654297
69,100.89823150634766,103,105.13360595703125,-1,199.99989318847656,135,143.6039276123047
69,100.89823150634766,102,105.55302429199219,-1,199.99989318847656,138,143.1619415283203
69,101.48490142822266,103,105.54200744628906,-1,199.99989318847656,135,143.7102508544922
68,101.73536682128906,100,105.52446746826172,-1,199.99989318847656,135,143.81979370117188
69,100.5023193359375,101,104.72915649414062,-1,199.99989318847656,135,143.68038940429688
72,100.4212875366211,101,104.7450942993164,-1,199.99989318847656,135,143.68463134765625
72,100.67305755615234,100,104.73773193359375,-1,199.99989318847656,135,143.71633911132812
71,100.50563049316406,102,104.72904205322266,-1,199.99989318847656,135,143.5812225341797
72,100.50563049316406,101,104.72904205322266,-1,199.99989318847656,135,143.58848571777344
68,100.52226257324219,100,104.7525634765625,-1,199.99989318847656,135,143.597900390625
68,100.66938781738281,98,104.75109100341797,-1,199.99989318847656,135,143.58572387695312
68,101.51569366455078,101,105.16571807861328,-1,199.99989318847656,137,143.59405517578125
68,100.75030517578125,101,104.37690734863281,-1,199.99989318847656,137,143.05343627929688
69,100.88968658447266,100,105.1605224609375,-1,199.99989318847656,136,143.5886993408203
69,100.95136260986328,102,105.15042114257812,-1,199.99989318847656,136,143.5886993408203
69,100.95136260986328,102,105.15042114257812,-1,199.99989318847656,135,143.5919189453125
69,100.95136260986328,102,105.13363647460938,-1,199.99989318847656,136,143.62008666992188
69,100.41695404052734,101,104.74121856689453,-1,199.99989318847656,134,143.62025451660156
75,100.42840576171875,101,104.35999298095703,-1,199.99989318847656,135,144.1016387939453
74,100.88388061523438,98,105.14541625976562,-1,199.99989318847656,133,143.70774841308594
75,100.88662719726562,102,105.1382064819336,-1,199.99989318847656,134,143.60595703125
73,100.87704467773438,102,105.1382064819336,-1,199.99989318847656,133,143.592529296875
73,100.87889099121094,101,105.1410903930664,-1,199.99989318847656,134,143.58975219726562
73,101.14588165283203,100,105.1410903930664,-1,199.99989318847656,133,143.63360595703125
73,100.52996826171875,102,104.75132751464844,-1,199.99989318847656,135,143.56832885742188
73,100.52996826171875,102,105.53765869140625,-1,199.99989318847656,134,143.18124389648438
73,101.7593994140625,101,105.1437759399414,-1,199.99989318847656,135,143.17056274414062
72,101.13298034667969,101,105.14398193359375,-1,199.99989318847656,134,143.5571746826172
69,101.13653564453125,102,105.16539764404297,-1,199.99989318847656,134,143.04771423339844
70,101.13653564453125,100,105.16451263427734,-1,199.99989318847656,133,143.044677734375
71,100.68170166015625,101,104.7520523071289,-1,199.99989318847656,134,143.044677734375
69,100.67821502685547,103,104.72927856445312,-1,199.99989318847656,135,143.04965209960938
70,101.71150207519531,101,105.44033813476562,-1,199.99989318847656,135,143.40171813964844
70,101.71150207519531,103,105.44033813476562,-1,199.99989318847656,136,143.40171813964844
69,101.71208190917969,102,105.44033813476562,-1,199.99989318847656,136,143.40171813964844
74,101.80089569091797,103,105.44033813476562,-1,199.99989318847656,136,143.40171813964844
74,101.71070098876953,104,105.44033813476562,-1,199.99989318847656,135,143.40171813964844
74,101.79882049560547,102,105.44033813476562,-1,199.99989318847656,137,143.40171813964844
76,101.79882049560547,103,105.44033813476562,-1,199.99989318847656,136,143.95901489257812
77,101.79882049560547,101,105.44033813476562,-1,199.99989318847656,133,143.95001220703125
76,100.96312713623047,100,105.14067077636719,-1,199.99989318847656,134,143.5558624267578
66,100.15882873535156,104,105.14067077636719,-1,199.99989318847656,134,143.54344177246094
66,100.10456085205078,102,104.53479766845703,-1,199.99989318847656,135,143.77569580078125
78,100.19581604003906,100,105.53997802734375,-1,199.99989318847656,138,142.77479553222656
78,101.78458404541016,105,105.4206771850586,-1,199.99989318847656,135,142.94564819335938
78,101.78458404541016,101,104.69676208496094,-1,199.99989318847656,128,142.6283416748047
78,102.58872985839844,99,105.3206787109375,-1,199.99989318847656,129,143.1365509033203
88,105.52845001220703,104,106.28780364990234,-1,199.99989318847656,128,143.93531799316406
88,105.83613586425781,106,107.49369812011719,-1,199.99989318847656,125,145.34747314453125
95,105.485107421875,105,106.46150970458984,-1,201.92465209960938,134,145.4649200439453
95,110.22663116455078,108,110.03583526611328,-1,201.92465209960938,132,145.4649200439453
91,110.9021987915039,111,111.91134643554688,-1,201.92465209960938,135,148.05569458007812
91,112.30259704589844,114,111.86375427246094,-1,205.79550170898438,133,148.38697814941406
93,112.30259704589844,117,111.86375427246094,-1,207.1000518798828,137,148.68930053710938
94,114.81572723388672,122,114.85806274414062,-1,207.073974609375,138,150.05459594726562
106,115.23884582519531,122,117.51024627685547,181,207.0525360107422,136,151.9302520751953
106,115.23884582519531,126,118.72645568847656,181,207.0525360107422,140,152.3730926513672
88,114.33039093017578,133,120.15050506591797,191,207.56878662109375,138,152.66696166992188
89,114.92008972167969,133,120.15050506591797,220,208.78414916992188,136,152.66696166992188
113,115.03894805908203,136,122.6391830444336,220,221.21865844726562,144,152.25384521484375
113,122.93922424316406,139,138.7766571044922,215,222.5640869140625,149,152.25384521484375
97,122.93922424316406,144,138.50357055664062,209,222.93353271484375,144,155.75161743164062
97,122.54312896728516,147,138.50357055664062,209,222.6505584716797,142,156.2098846435547
115,127.90799713134766,150,150.74403381347656,220,230.80911254882812,146,155.49716186523438
116,125.93773651123047,151,147.26626586914062,227,230.90499877929688,149,156.02792358398438
122,125.66734313964844,150,147.26626586914062,228,230.90499877929688,145,156.02792358398438
123,126.20950317382812,147,147.26626586914062,227,231.7569580078125,144,157.75257873535156
117,125.39737701416016,147,138.92218017578125,229,231.6317596435547,144,157.75257873535156
116,124.63282775878906,151,136.84164428710938,229,231.6317596435547,146,157.75257873535156
105,124.63282775878906,155,131.1945037841797,226,231.6317596435547,149,157.38165283203125
105,124.97119140625,152,128.6992645263672,222,231.6317596435547,149,157.38165283203125
108,124.13726043701172,152,128.6992645263672,224,230.79727172851562,144,157.38165283203125
108,124.10922241210938,150,124.96615600585938,223,229.8714599609375,142,157.38165283203125
105,124.20629119873047,149,120.55408477783203,228,229.8714599609375,137,157.38165283203125
