Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7,T
99,114.1224976,105,115.5206909,229,243.0677948,174,186.0820618,0.06
98,113.5744324,106,115.3968277,227,240.7910309,173,186.5515289,0.12
97,113.5744324,106,116.6788712,227,240.7910309,174,186.5512238,0.18
93,111.642807,106,117.779808,227,240.7910309,172,186.0820923,0.24
93,111.642807,108,117.9523087,224,235.1576385,170,182.8221588,0.3
93,111.6297302,109,117.9717865,224,235.1576385,169,181.7729034,0.36
93,111.6392288,110,117.9539032,224,235.1576385,168,181.7521057,0.42
88,111.6392288,111,117.9539032,224,235.1576385,166,181.7653046,0.48
87,106.6452332,111,118.0317764,224,235.1576385,165,181.7653046,0.54
89,105.8677673,111,116.8949127,224,235.1576385,160,173.4040833,0.6
89,104.7639084,113,120.5782318,224,235.1576385,158,171.8371735,0.66
87,104.5433044,113,121.3708038,223,227.0926361,154,171.1843262,0.72
87,104.5433044,114,121.4974899,235,222.0168152,152,171.8664856,0.78
88,104.5433044,114,121.4044876,235,222.0168152,152,171.8664856,0.84
87,104.5433044,112,121.3224716,235,222.0168152,148,171.8664856,0.9
86,103.4380875,112,121.2002945,235,222.0168152,144,171.8664856,0.96
85,103.4350128,108,120.7131119,235,222.0168152,144,171.8593445,1.02
83,102.7951813,111,119.2480698,222,210.7320862,141,171.8560181,1.08
83,102.8088531,110,119.2899094,197,210.7431641,141,171.8532715,1.14
83,102.1218262,108,119.2899094,197,206.8223877,145,164.5565643,1.2
83,101.8588562,108,116.6087418,197,206.3220825,147,164.9767456,1.26
85,101.2173691,106,115.8502655,196,204.5661316,146,164.4383392,1.32
85,101.1779327,103,114.8183212,200,204.5530548,147,166.3012848,1.38
85,100.8962784,101,112.4657593,197,204.5643463,152,165.9610901,1.44
85,100.3695679,100,112.4460068,198,204.5638733,151,165.9808655,1.5
82,100.756012,97,112.4605331,198,204.5641022,155,165.9781342,1.56
83,100.793808,96,112.4605331,198,207.5189362,154,165.9776917,1.62
84,100.7736816,94,106.7184372,198,209.6605377,157,165.9776917,1.68
84,101.5843506,93,107.5562744,200,209.8939819,158,166.5673676,1.74
83,101.5992584,92,107.442009,198,209.8459473,159,165.9839935,1.8
83,101.5992584,93,107.442009,196,211.454483,161,166.1274414,1.86
85,101.50354,94,106.7372055,196,211.9024353,161,171.0291443,1.92
85,101.5760727,92,106.061615,197,210.3933258,162,170.6616669,1.98
89,104.8181686,94,105.2189026,197,209.7746887,161,170.3254089,2.04
88,105.4156952,98,106.1537933,195,210.5825806,161,170.0292206,2.1
92,106.6235733,97,106.1537933,194,210.5825806,160,168.8492584,2.16
92,107.6820068,99,106.0521622,189,203.3375092,160,168.8278809,2.22
92,107.7785339,99,106.0878525,189,200.6169281,159,168.1851349,2.28
92,107.2582397,100,112.7352295,185,198.6051941,158,167.012146,2.34
92,108.2951202,102,112.8855057,186,196.2696381,155,166.2901154,2.4
